time,open,high,low,close,tick_volume,spread,real_volume
1764118800,138.90,140.30,138.67,138.76,166,39,0
1764122400,138.79,139.67,138.61,138.84,1111,39,0
1764126000,138.85,140.47,138.38,139.82,1156,39,0
1764129600,139.81,140.03,138.87,139.06,833,39,0
1764133200,139.06,139.58,137.73,137.95,897,39,0
1764136800,137.91,138.36,137.56,137.85,687,39,0
1764140400,137.84,139.09,137.80,138.82,769,39,0
1764144000,138.81,139.57,138.22,139.36,844,39,0
1764147600,139.32,139.75,138.91,139.69,714,39,0
1764151200,139.68,139.68,137.71,137.73,973,39,0
1764154800,137.75,137.94,136.03,136.52,1013,39,0
1764158400,136.52,137.25,136.42,137.08,868,39,0
1764162000,137.06,137.19,136.40,136.67,730,39,0
1764165600,136.66,136.91,135.38,135.45,1214,39,0
1764169200,135.43,136.72,135.31,136.53,1152,39,0
1764172800,136.51,138.09,135.53,135.91,1684,39,0
1764176400,136.15,137.25,135.62,136.47,1831,36,0
1764180000,136.49,137.90,136.27,136.87,1362,39,0
1764183600,136.90,140.80,136.55,140.56,1847,38,0
1764187200,140.60,144.51,140.50,144.44,1785,39,0
1764190800,144.50,144.55,143.48,143.80,1179,39,0
1764194400,143.76,143.83,142.35,142.72,1116,39,0
1764198000,142.71,144.03,142.66,143.36,882,36,0
1764201600,143.30,143.89,142.61,142.88,715,35,0
1764205200,142.86,143.24,142.32,142.82,794,39,0
1764208800,142.80,143.55,142.04,142.64,919,39,0
1764212400,142.64,143.49,141.89,143.12,978,39,0
1764216000,143.11,143.92,142.61,142.81,1222,39,0
1764219600,142.75,143.52,142.16,142.33,834,39,0
1764223200,142.31,142.83,142.14,142.67,751,39,0
1764226800,142.65,143.29,142.36,142.58,834,39,0
1764230400,142.58,143.92,142.58,143.76,610,39,0
1764234000,143.77,144.08,143.42,143.57,587,39,0
1764237600,143.56,143.70,141.93,142.40,740,39,0
1764241200,142.42,142.86,141.47,141.55,758,39,0
1764244800,141.53,142.15,141.33,142.12,646,39,0
1764248400,142.11,142.14,141.48,141.88,493,38,0
1764252000,141.88,141.99,140.83,140.93,709,39,0
1764255600,140.91,141.34,140.53,141.05,867,39,0
1764259200,141.08,141.60,140.66,141.07,765,39,0
1764262800,141.03,142.33,140.88,141.96,838,36,0
1764266400,141.93,142.26,141.41,142.00,1035,36,0
1764270000,142.01,142.07,141.24,141.44,684,39,0
1764273600,141.41,142.90,141.33,142.74,799,39,0
1764277200,142.70,142.74,142.06,142.53,632,39,0
1764280800,142.53,142.71,142.22,142.28,464,39,0
1764284400,142.22,142.36,141.60,141.75,567,36,0
1764288000,141.78,141.84,140.32,140.62,634,35,0
1764291600,140.61,141.25,140.30,140.65,709,39,0
1764295200,140.65,141.25,140.30,140.81,751,39,0
1764298800,140.81,140.85,138.66,138.86,1083,39,0
1764302400,138.88,139.43,138.40,139.30,936,39,0
