time,open,high,low,close,tick_volume,spread,real_volume
1617246000,105.59,108.90,105.59,108.19,403,0,0
1617591600,113.61,113.61,109.94,111.99,573,0,0
1617678000,108.49,110.36,108.49,110.36,188,0,0
1617764400,113.12,113.12,109.75,110.17,380,0,0
1617850800,108.44,111.62,108.04,110.01,560,0,0
1617937200,114.27,114.27,110.67,111.15,409,0,0
1618196400,113.07,113.07,110.97,111.89,303,0,0
1618282800,113.15,113.48,111.50,112.14,296,0,0
1618369200,114.50,114.50,111.46,111.91,350,0,0
1618455600,114.94,114.94,112.24,112.31,278,0,0
1618542000,110.76,111.58,109.37,109.52,319,0,0
1618628400,108.85,108.85,108.85,108.85,1,0,0
1618801200,110.66,112.18,109.40,112.13,410,0,0
1618887600,110.37,113.00,107.92,110.65,989,0,0
1618974000,110.50,111.74,106.66,108.96,863,0,0
1619060400,109.97,111.13,107.10,109.15,725,0,0
1619146800,111.80,111.80,109.46,110.25,314,0,0
1619406000,108.35,110.21,108.01,108.01,407,0,0
1619492400,105.91,107.68,105.47,107.12,322,0,0
1619578800,106.68,111.96,103.31,105.21,1584,0,0
1619665200,104.71,106.22,104.17,104.55,395,0,0
1619751600,104.35,104.35,100.00,100.85,521,0,0
1619838000,100.74,100.74,100.74,100.74,1,0,0
1620010800,101.27,101.90,98.70,99.78,492,0,0
1620097200,100.09,100.44,96.50,97.15,495,0,0
1620183600,98.14,99.79,96.35,98.87,616,0,0
1620270000,98.80,99.31,97.08,97.54,321,0,0
1620356400,96.49,97.92,96.45,97.32,212,0,0
1620615600,99.12,99.48,97.03,97.03,282,0,0
1620702000,95.57,96.21,94.43,95.65,349,0,0
1620788400,94.77,95.60,92.86,93.38,410,0,0
1620874800,91.07,93.33,90.90,92.90,304,0,0
1620961200,93.99,94.54,93.20,94.25,243,0,0
1621220400,94.52,94.95,93.50,94.68,275,0,0
1621306800,94.86,96.06,94.24,95.14,337,0,0
1621393200,95.75,96.65,93.86,94.72,456,0,0
1621479600,95.87,97.61,95.87,97.56,180,0,0
1621566000,95.82,97.37,95.82,96.00,293,0,0
1621825200,97.12,97.43,96.52,97.43,152,0,0
1621911600,99.18,99.18,97.88,98.92,235,0,0
1621998000,98.10,99.45,98.10,98.35,246,0,0
1622084400,99.47,99.77,98.58,99.51,235,0,0
1622170800,99.87,101.74,99.38,99.44,430,0,0
1622516400,99.64,99.82,98.78,99.71,202,0,0
1622602800,98.57,98.85,97.61,97.96,188,0,0
1622689200,98.20,99.30,97.13,98.62,393,0,0
1622775600,98.83,101.03,98.35,100.39,381,0,0
1623034800,99.54,100.46,99.38,100.04,167,0,0
1623121200,100.43,100.83,99.36,99.80,232,0,0
1623207600,97.15,98.76,97.15,98.06,232,0,0
1623294000,98.77,99.10,97.90,98.26,190,0,0
1623380400,98.99,99.74,98.60,99.27,201,0,0
1623639600,98.50,99.85,98.47,99.03,224,0,0
1623726000,100.25,100.25,98.70,98.90,176,0,0
1623812400,97.52,97.89,96.53,96.57,178,0,0
1623898800,95.14,96.23,93.91,95.93,386,0,0
1623985200,95.45,96.04,94.26,95.18,330,0,0
1624244400,95.74,97.03,95.74,96.43,190,0,0
1624330800,97.72,98.42,97.20,97.25,198,0,0
1624417200,96.44,96.84,95.50,96.35,260,0,0
1624503600,96.41,98.15,96.35,97.12,290,0,0
1624590000,98.13,98.50,97.56,98.38,164,0,0
1624849200,98.28,98.75,97.50,98.63,216,0,0
1624935600,99.22,100.19,98.99,99.51,212,0,0
1625022000,97.94,98.19,96.92,97.40,201,0,0
1625108400,98.50,98.65,97.53,98.28,203,0,0
1625194800,100.84,101.95,100.62,101.27,224,0,0
1625540400,101.98,102.14,100.02,101.15,342,0,0
1625626800,100.76,101.43,100.02,100.75,282,0,0
1625713200,100.02,100.02,98.06,99.35,326,0,0
1625799600,100.28,102.35,100.18,101.64,299,0,0
1626058800,103.99,104.80,103.54,104.80,172,0,0
1626145200,104.58,104.69,103.30,103.95,216,0,0
1626231600,105.12,105.29,104.38,104.72,143,0,0
1626318000,104.00,104.03,102.40,102.87,214,0,0
1626404400,101.39,102.45,101.24,102.11,171,0,0
1626663600,99.04,99.56,97.78,98.65,318,0,0
1626750000,97.51,99.48,97.51,99.26,220,0,0
1626836400,98.82,100.81,98.82,100.09,272,0,0
1626922800,100.75,100.92,99.51,99.55,163,0,0
1627009200,100.66,100.87,99.68,100.62,235,0,0
1627268400,99.78,100.40,98.79,98.81,226,0,0
1627354800,100.47,101.36,98.71,100.20,504,0,0
1627441200,101.58,103.44,101.14,102.76,343,0,0
1627527600,104.51,106.10,104.12,104.65,383,0,0
1627614000,103.87,104.72,102.48,104.25,411,0,0
1627873200,104.93,105.62,103.80,104.41,313,0,0
1627959600,104.78,105.35,102.72,103.53,402,0,0
1628046000,103.68,106.15,101.45,101.45,718,0,0
1628132400,103.26,105.40,101.40,101.87,662,0,0
