time,open,high,low,close,tick_volume,spread,real_volume
1521158400,2751.4,2752.8,2750.7,2751.7,409,15,0
1521162000,2751.8,2753.5,2751.7,2753.3,257,15,0
1521165600,2753.2,2753.3,2749.3,2750.3,450,15,0
1521169200,2750.1,2750.3,2744.8,2747.0,978,15,0
1521172800,2747.0,2747.8,2745.8,2746.3,486,15,0
1521176400,2746.3,2748.9,2745.6,2745.8,521,15,0
1521180000,2745.8,2747.8,2745.8,2747.8,453,15,0
1521183600,2748.0,2751.7,2748.0,2750.0,476,15,0
1521187200,2749.8,2750.0,2747.6,2747.8,567,15,0
1521190800,2747.7,2748.5,2744.9,2745.0,523,15,0
1521194400,2745.1,2751.5,2745.0,2751.0,1299,15,0
1521198000,2750.8,2752.2,2750.3,2750.7,671,15,0
1521201600,2750.5,2752.4,2749.1,2752.0,776,15,0
1521205200,2751.8,2752.9,2748.0,2748.3,772,15,0
1521208800,2748.0,2754.5,2747.8,2753.0,933,15,0
1521212400,2752.3,2757.5,2749.0,2754.8,3083,15,0
1521216000,2755.0,2759.3,2752.5,2758.0,2447,15,0
1521219600,2757.8,2760.4,2752.4,2752.9,1825,15,0
1521223200,2752.9,2757.7,2751.7,2756.4,1684,15,0
1521226800,2756.4,2757.7,2748.9,2750.5,1156,15,0
1521230400,2751.0,2753.5,2748.2,2752.5,902,15,0
1521234000,2752.3,2756.3,2748.0,2748.5,1671,15,0
1521237600,2748.0,2752.3,2747.5,2750.3,277,15,0
1521417600,2748.8,2749.2,2746.0,2747.9,788,15,0
1521421200,2747.6,2749.3,2747.4,2748.4,353,15,0
1521424800,2748.4,2750.7,2745.9,2746.2,529,15,0
1521428400,2745.9,2746.2,2741.2,2743.7,1276,15,0
1521432000,2743.9,2746.4,2743.7,2744.3,654,15,0
1521435600,2744.3,2745.3,2743.8,2744.2,346,15,0
1521439200,2744.0,2744.9,2743.9,2743.9,297,15,0
1521442800,2743.9,2744.4,2741.3,2742.2,734,15,0
1521446400,2742.3,2742.9,2740.3,2742.1,512,15,0
1521450000,2742.3,2743.8,2741.0,2743.0,708,15,0
1521453600,2743.0,2744.8,2728.0,2734.0,2475,15,0
1521457200,2734.3,2738.2,2732.3,2737.5,896,15,0
1521460800,2737.5,2738.0,2735.2,2736.0,789,15,0
1521464400,2736.2,2736.5,2733.1,2736.1,506,15,0
1521468000,2736.0,2740.1,2736.0,2737.6,830,15,0
1521471600,2737.8,2739.8,2729.4,2733.6,3061,15,0
1521475200,2733.4,2734.1,2721.1,2722.6,2776,15,0
1521478800,2722.4,2724.6,2708.3,2710.5,2953,15,0
1521482400,2710.3,2713.4,2702.9,2707.7,4123,15,0
1521486000,2707.4,2708.4,2694.3,2704.4,3569,15,0
1521489600,2703.9,2707.2,2692.0,2701.4,3469,15,0
1521493200,2701.2,2713.8,2696.3,2710.8,4944,15,0
1521496800,2710.8,2719.0,2710.8,2717.4,680,15,0
1521504000,2716.3,2716.3,2712.8,2714.1,526,15,0
1521507600,2714.3,2714.5,2711.3,2713.1,349,15,0
1521511200,2713.3,2718.9,2712.8,2713.7,599,15,0
1521514800,2713.7,2719.2,2713.7,2716.2,922,15,0
1521518400,2716.2,2716.4,2713.7,2714.4,763,15,0
1521522000,2714.4,2718.4,2714.4,2717.4,486,15,0
1521525600,2717.2,2721.7,2716.9,2719.2,410,15,0
1521529200,2719.0,2722.2,2718.8,2721.9,597,15,0
1521532800,2721.8,2723.3,2720.0,2721.4,677,15,0
1521536400,2721.4,2721.9,2718.2,2718.2,931,15,0
1521540000,2717.2,2719.2,2715.4,2718.3,1254,15,0
1521543600,2718.0,2718.3,2711.0,2714.3,1186,15,0
1521547200,2714.0,2720.3,2713.1,2719.2,1141,15,0
1521550800,2719.2,2723.7,2719.0,2723.2,1051,15,0
1521554400,2723.2,2723.7,2719.0,2719.5,714,15,0
1521558000,2719.4,2722.5,2714.3,2715.5,3309,15,0
1521561600,2715.5,2722.3,2711.3,2718.8,3289,15,0
1521565200,2718.9,2719.6,2708.4,2712.3,3247,15,0
1521568800,2712.3,2718.1,2711.0,2714.0,2575,15,0
1521572400,2713.8,2715.4,2708.6,2709.8,1846,15,0
1521576000,2709.9,2719.5,2707.8,2718.3,2007,15,0
1521579600,2718.3,2721.6,2713.6,2715.3,2312,15,0
1521583200,2714.8,2719.3,2714.3,2718.5,349,15,0
1521590400,2718.6,2720.0,2715.5,2716.0,430,15,0
1521594000,2715.9,2717.2,2715.8,2716.8,250,15,0
1521597600,2716.8,2717.6,2715.9,2716.0,238,15,0
1521601200,2715.9,2720.4,2715.9,2719.5,415,15,0
