time,open,high,low,close,tick_volume,spread,real_volume
1764118800,1.5270,1.5909,1.5232,1.5561,341,151,0
1764122400,1.5561,1.5580,1.5358,1.5393,2009,151,0
1764126000,1.5393,1.5531,1.5285,1.5461,1660,151,0
1764129600,1.5461,1.5516,1.5267,1.5271,1178,151,0
1764133200,1.5271,1.5357,1.5110,1.5136,1250,151,0
1764136800,1.5136,1.5208,1.5065,1.5173,918,151,0
1764140400,1.5173,1.5273,1.5160,1.5216,898,151,0
1764144000,1.5216,1.5262,1.5119,1.5236,973,151,0
1764147600,1.5236,1.5345,1.5205,1.5342,910,151,0
1764151200,1.5342,1.5342,1.5145,1.5158,1122,151,0
1764154800,1.5160,1.5209,1.5007,1.5032,1338,151,0
1764158400,1.5032,1.5133,1.4927,1.5036,1110,151,0
1764162000,1.5036,1.5074,1.4927,1.4940,892,151,0
1764165600,1.4939,1.4967,1.4681,1.4692,1578,151,0
1764169200,1.4689,1.4863,1.4627,1.4841,1471,151,0
1764172800,1.4841,1.4898,1.4626,1.4674,1967,151,0
1764176400,1.4664,1.4812,1.4623,1.4733,1988,151,0
1764180000,1.4733,1.5025,1.4729,1.4947,1795,151,0
1764183600,1.4953,1.5321,1.4831,1.5275,2113,151,0
1764187200,1.5275,1.5471,1.5242,1.5465,1981,151,0
1764190800,1.5465,1.5486,1.5333,1.5377,1336,151,0
1764194400,1.5377,1.5424,1.5271,1.5364,1222,151,0
1764198000,1.5365,1.5564,1.5316,1.5471,1019,151,0
1764201600,1.5461,1.5546,1.5343,1.5374,901,151,0
1764205200,1.5374,1.5449,1.5287,1.5358,978,151,0
1764208800,1.5356,1.5422,1.5274,1.5361,1006,151,0
1764212400,1.5361,1.5588,1.5350,1.5551,1173,151,0
1764216000,1.5546,1.5709,1.5487,1.5620,1479,151,0
1764219600,1.5624,1.5705,1.5369,1.5404,1253,151,0
1764223200,1.5404,1.5581,1.5363,1.5371,962,151,0
1764226800,1.5371,1.5470,1.5278,1.5324,1047,151,0
1764230400,1.5324,1.5512,1.5293,1.5383,847,151,0
1764234000,1.5383,1.5386,1.5308,1.5361,736,151,0
1764237600,1.5361,1.5367,1.5280,1.5326,845,151,0
1764241200,1.5326,1.5467,1.5283,1.5286,918,151,0
1764244800,1.5285,1.5322,1.5155,1.5223,875,151,0
1764248400,1.5223,1.5306,1.5171,1.5247,773,151,0
1764252000,1.5247,1.5260,1.5144,1.5175,899,151,0
1764255600,1.5173,1.5286,1.5100,1.5236,1116,151,0
1764259200,1.5236,1.5300,1.5174,1.5220,972,151,0
1764262800,1.5220,1.5430,1.5198,1.5386,1101,151,0
1764266400,1.5385,1.5692,1.5376,1.5637,1585,151,0
1764270000,1.5637,1.5642,1.5502,1.5588,1173,151,0
1764273600,1.5588,1.5734,1.5542,1.5734,962,151,0
1764277200,1.5733,1.5734,1.5604,1.5649,810,151,0
1764280800,1.5649,1.5700,1.5583,1.5640,753,151,0
1764284400,1.5641,1.5767,1.5566,1.5580,846,151,0
1764288000,1.5580,1.5600,1.5364,1.5387,719,151,0
1764291600,1.5387,1.5456,1.5277,1.5356,879,151,0
1764295200,1.5356,1.5429,1.5311,1.5368,903,151,0
1764298800,1.5368,1.5369,1.5080,1.5096,1101,151,0
1764302400,1.5097,1.5271,1.5053,1.5237,1297,151,0
1764306000,1.5238,1.5337,1.5203,1.5310,859,151,0
1764309600,1.5312,1.5345,1.5217,1.5242,811,151,0
1764313200,1.5242,1.5317,1.5169,1.5251,782,151,0
1764316800,1.5251,1.5251,1.5040,1.5082,799,151,0
1764320400,1.5082,1.5201,1.5068,1.5119,725,151,0
1764324000,1.5119,1.5619,1.5116,1.5604,1366,151,0
1764327600,1.5607,1.5706,1.5462,1.5502,1329,151,0
1764331200,1.5502,1.5574,1.5454,1.5523,763,151,0
1764334800,1.5524,1.5524,1.5247,1.5332,1271,151,0
1764338400,1.5329,1.5474,1.5323,1.5400,998,151,0
1764342000,1.5400,1.5721,1.5335,1.5648,1431,151,0
1764345600,1.5647,1.5873,1.5582,1.5729,1922,151,0
1764349200,1.5730,1.5923,1.5671,1.5762,1944,151,0
1764352800,1.5762,1.5765,1.5344,1.5352,1761,151,0
1764356400,1.5355,1.5357,1.5081,1.5122,1911,151,0
1764360000,1.5142,1.5183,1.4970,1.5118,1650,151,0
1764363600,1.5116,1.5308,1.5110,1.5250,1186,151,0
1764367200,1.5250,1.5268,1.5127,1.5256,955,151,0
1764370800,1.5256,1.5287,1.5176,1.5203,743,151,0
1764439200,1.5048,1.5048,1.5014,1.5021,72,151,0
1764468000,1.4916,1.4957,1.4887,1.4902,475,151,0
1764471600,1.4902,1.5014,1.4879,1.4993,601,151,0
1764475200,1.4993,1.5064,1.4964,1.4979,628,151,0
1764478800,1.4979,1.5104,1.4874,1.5096,739,151,0
1764482400,1.5096,1.5105,1.5018,1.5050,650,151,0
1764486000,1.5047,1.5050,1.4901,1.4936,655,151,0
1764489600,1.4936,1.5040,1.4899,1.5008,693,151,0
1764493200,1.5008,1.5161,1.4994,1.5157,733,151,0
1764496800,1.5157,1.5334,1.5114,1.5229,1493,151,0
1764500400,1.5231,1.5411,1.5205,1.5403,1263,151,0
1764504000,1.5403,1.5416,1.5178,1.5181,1127,151,0
1764507600,1.5183,1.5257,1.5144,1.5188,982,151,0
1764511200,1.5190,1.5479,1.5158,1.5458,1260,151,0
1764514800,1.5458,1.5622,1.5401,1.5536,1546,151,0
1764518400,1.5536,1.5545,1.5307,1.5373,999,151,0
1764522000,1.5373,1.5377,1.5186,1.5369,1048,151,0
1764525600,1.5369,1.5477,1.5353,1.5401,1032,151,0
1764529200,1.5402,1.5410,1.5292,1.5331,823,151,0
1764532800,1.5333,1.5419,1.5296,1.5409,698,151,0
1764536400,1.5409,1.5428,1.5327,1.5356,587,151,0
1764540000,1.5356,1.5403,1.5267,1.5320,654,151,0
1764543600,1.5320,1.5336,1.5238,1.5311,688,151,0
1764547200,1.5362,1.5417,1.5240,1.5315,634,151,0
1764550800,1.5318,1.5321,1.4878,1.4894,1317,151,0
