time,open,high,low,close,tick_volume,spread,real_volume
1470366000,4327.00,4330.00,4191.00,4195.00,147,0,0
1470625200,4280.00,4360.00,4240.00,4360.00,161,0,0
1470711600,4394.00,4446.00,4353.00,4438.00,143,0,0
1470798000,4480.00,4485.00,4388.00,4400.00,115,0,0
1471230000,4454.00,4455.00,4381.00,4398.00,93,0,0
1471316400,4400.00,4400.00,4348.00,4356.00,61,0,0
1471402800,4322.00,4402.00,4311.00,4389.00,116,0,0
1471489200,4420.00,4424.00,4366.00,4388.00,85,0,0
1471575600,4418.00,4420.00,4348.00,4410.00,137,0,0
1471834800,4460.00,4501.00,4427.00,4438.00,127,0,0
1471921200,4474.00,4534.00,4452.00,4520.00,119,0,0
1472007600,4512.00,4544.00,4485.00,4529.00,102,0,0
1472094000,4476.00,4494.00,4422.00,4434.00,103,0,0
1472180400,4388.00,4394.00,4316.00,4357.00,126,0,0
1472439600,4364.00,4397.00,4289.00,4310.00,163,0,0
1472526000,4311.00,4345.00,4292.00,4324.00,94,0,0
1472612400,4352.00,4362.00,4310.00,4359.00,98,0,0
1472698800,4408.00,4490.00,4362.00,4490.00,175,0,0
1472785200,4518.00,4542.00,4425.00,4452.00,169,0,0
1473044400,4518.00,4524.00,4478.00,4489.00,64,0,0
1473130800,4530.00,4542.00,4498.00,4524.00,83,0,0
1473217200,4474.00,4510.00,4460.00,4497.00,78,0,0
1473303600,4484.00,4493.00,4446.00,4484.00,95,0,0
1473390000,4498.00,4506.00,4422.00,4463.00,134,0,0
1473649200,4418.00,4432.00,4380.00,4414.00,101,0,0
1473735600,4340.00,4443.00,4340.00,4398.00,149,0,0
1473822000,4364.00,4405.00,4358.00,4368.00,91,0,0
1473908400,4356.00,4369.00,4314.00,4340.00,95,0,0
1473994800,4344.00,4438.00,4326.00,4430.00,139,0,0
1474340400,4502.00,4582.00,4480.00,4544.00,163,0,0
1474426800,4646.00,4728.00,4600.00,4723.00,180,0,0
1474599600,4718.00,4720.00,4650.00,4669.00,92,0,0
1474858800,4654.00,4742.00,4653.00,4704.00,129,0,0
1474945200,4648.00,4746.00,4630.00,4746.00,135,0,0
1475031600,4736.00,4746.00,4692.00,4707.00,80,0,0
1475118000,4738.00,4810.00,4724.00,4796.00,115,0,0
1475204400,4764.00,4790.00,4740.00,4760.00,97,0,0
1475463600,4710.00,4901.00,4710.00,4756.00,337,0,0
1475550000,4762.00,4817.00,4755.00,4804.00,83,0,0
1475636400,4864.00,4866.00,4818.00,4840.00,73,0,0
1475722800,4770.00,4840.00,4760.00,4828.00,103,0,0
1475809200,4691.00,4780.00,4575.00,4583.00,303,0,0
1476154800,4502.00,4524.00,4464.00,4470.00,89,0,0
1476241200,4446.00,4474.00,4420.00,4426.00,89,0,0
1476327600,4429.00,4448.00,4373.00,4390.00,112,0,0
1476414000,4404.00,4466.00,4388.00,4457.00,104,0,0
1476673200,4444.00,4464.00,4412.00,4434.00,95,0,0
1476759600,4410.00,4448.00,4385.00,4444.00,93,0,0
1476846000,4430.00,4483.00,4422.00,4478.00,75,0,0
1476932400,4484.00,4539.00,4476.00,4539.00,72,0,0
1477018800,4550.00,4552.00,4502.00,4522.00,73,0,0
1477278000,4536.00,4540.00,4488.00,4521.00,90,0,0
1477364400,4510.00,4530.00,4497.00,4510.00,67,0,0
1477450800,4510.00,4534.00,4484.00,4491.00,82,0,0
1477537200,4492.00,4492.00,4455.00,4470.00,53,0,0
1477623600,4498.00,4499.00,4454.00,4470.00,63,0,0
1477879200,4432.00,4432.00,4364.00,4382.00,87,0,0
1477965600,4400.00,4439.00,4382.00,4439.00,76,0,0
1478052000,4392.00,4405.00,4330.00,4342.00,101,0,0
1478570400,4370.00,4378.00,4328.00,4336.00,67,0,0
1478656800,4344.00,4360.00,4148.00,4182.00,263,0,0
1478829600,4330.00,4361.00,4226.00,4244.00,185,0,0
1479088800,4284.00,4333.00,4256.00,4292.00,147,0,0
1479175200,4284.00,4366.00,4276.00,4362.00,103,0,0
1479261600,4390.00,4392.00,4314.00,4337.00,104,0,0
1479348000,4339.00,4400.00,4312.00,4316.00,154,0,0
1479434400,4332.00,4342.00,4252.00,4278.00,127,0,0
1479693600,4310.00,4373.00,4300.00,4359.00,98,0,0
1479780000,4366.00,4404.00,4351.00,4401.00,72,0,0
1479952800,4454.00,4460.00,4392.00,4418.00,101,0,0
1480039200,4438.00,4500.00,4434.00,4494.00,77,0,0
1480298400,4492.00,4512.00,4458.00,4500.00,101,0,0
1480384800,4498.00,4539.00,4488.00,4500.00,101,0,0
1480471200,4494.00,4504.00,4434.00,4434.00,81,0,0
1480557600,4496.00,4497.00,4424.00,4444.00,95,0,0
1480644000,4438.00,4447.00,4296.00,4313.00,178,0,0
1480903200,4294.00,4321.00,4280.00,4299.00,78,0,0
