time,open,high,low,close,tick_volume,spread,real_volume
1599706800,4879.00,4929.00,4856.00,4928.00,98,0,0
1599793200,4951.00,4987.00,4902.00,4972.00,150,0,0
1600052400,5009.00,5115.00,5001.00,5113.00,125,0,0
1600138800,5096.00,5096.00,5019.00,5024.00,83,0,0
1600225200,4962.00,5011.00,4962.00,4996.00,65,0,0
1600311600,5026.00,5033.00,4967.00,4975.00,82,0,0
1600398000,4951.00,4967.00,4926.00,4930.00,62,0,0
1600830000,4862.00,4876.00,4805.00,4856.00,137,0,0
1600916400,4782.00,4820.00,4767.00,4804.00,85,0,0
1601002800,4806.00,4811.00,4712.00,4748.00,141,0,0
1601262000,4799.00,4819.00,4765.00,4817.00,91,0,0
1601348400,4781.00,4803.00,4738.00,4752.00,102,0,0
1601434800,4678.00,4703.00,4637.00,4639.00,94,0,0
1601607600,4641.00,4659.00,4581.00,4590.00,106,0,0
1601866800,4697.00,4740.00,4657.00,4733.00,131,0,0
1601953200,4761.00,4832.00,4749.00,4819.00,109,0,0
1602039600,4742.00,4776.00,4727.00,4762.00,79,0,0
1602126000,4774.00,4865.00,4767.00,4818.00,153,0,0
1602212400,4801.00,4807.00,4742.00,4776.00,106,0,0
1602558000,4870.00,4896.00,4839.00,4896.00,89,0,0
1602644400,4847.00,4877.00,4824.00,4850.00,104,0,0
1602730800,4877.00,4908.00,4847.00,4859.00,105,0,0
1602817200,4832.00,4864.00,4817.00,4838.00,89,0,0
1603076400,4838.00,4911.00,4836.00,4892.00,97,0,0
1603162800,4817.00,4844.00,4782.00,4783.00,91,0,0
1603249200,4824.00,4888.00,4810.00,4869.00,112,0,0
1603335600,4889.00,4903.00,4838.00,4856.00,98,0,0
1603422000,4888.00,4904.00,4830.00,4903.00,134,0,0
1603677600,4887.00,4927.00,4862.00,4922.00,96,0,0
1603764000,4930.00,4959.00,4887.00,4891.00,106,0,0
1603850400,4792.00,4828.00,4713.00,4732.00,171,0,0
1603936800,4676.00,4745.00,4660.00,4734.00,113,0,0
1604282400,4681.00,4793.00,4673.00,4770.00,152,0,0
1604455200,4800.00,4868.00,4773.00,4811.00,180,0,0
1604541600,4780.00,4784.00,4732.00,4772.00,97,0,0
1604628000,4754.00,4799.00,4701.00,4799.00,152,0,0
1604887200,4838.00,4907.00,4800.00,4899.00,154,0,0
1604973600,5101.00,5342.00,4966.00,5321.00,533,0,0
1605060000,5500.00,5716.00,5415.00,5501.00,602,0,0
1605146400,5386.00,5432.00,5274.00,5301.00,232,0,0
1605232800,5241.00,5270.00,5073.00,5081.00,235,0,0
1605578400,5447.00,5529.00,5376.00,5515.00,239,0,0
1605664800,5541.00,5557.00,5470.00,5538.00,172,0,0
1605751200,5542.00,5605.00,5466.00,5586.00,235,0,0
1605837600,5550.00,5604.00,5406.00,5463.00,310,0,0
1606183200,5637.00,5646.00,5553.00,5560.00,110,0,0
1606269600,5650.00,5681.00,5538.00,5551.00,188,0,0
1606356000,5391.00,5453.00,5361.00,5385.00,179,0,0
1606442400,5454.00,5485.00,5428.00,5468.00,101,0,0
1606701600,5351.00,5375.00,5207.00,5207.00,193,0,0
1606788000,5250.00,5274.00,5191.00,5230.00,147,0,0
1606874400,5298.00,5330.00,5272.00,5289.00,108,0,0
1606960800,5335.00,5365.00,5276.00,5294.00,138,0,0
1607047200,5219.00,5386.00,5219.00,5343.00,211,0,0
1607306400,5400.00,5400.00,5270.00,5275.00,136,0,0
1607392800,5258.00,5273.00,5211.00,5226.00,93,0,0
1607479200,5201.00,5307.00,5201.00,5300.00,114,0,0
1607565600,5320.00,5341.00,5271.00,5275.00,96,0,0
1607652000,5286.00,5319.00,5257.00,5284.00,123,0,0
1607911200,5463.00,5463.00,5324.00,5336.00,152,0,0
1607997600,5258.00,5280.00,5206.00,5213.00,104,0,0
1608084000,5300.00,5304.00,5258.00,5293.00,86,0,0
1608170400,5361.00,5362.00,5299.00,5309.00,75,0,0
1608516000,5261.00,5277.00,5206.00,5251.00,133,0,0
1608602400,5185.00,5226.00,5158.00,5170.00,122,0,0
1608688800,5216.00,5245.00,5178.00,5209.00,128,0,0
1608775200,5244.00,5252.00,5194.00,5199.00,72,0,0
1608861600,5224.00,5243.00,5207.00,5237.00,60,0,0
1609120800,5256.00,5286.00,5216.00,5284.00,113,0,0
1609207200,5330.00,5393.00,5310.00,5381.00,116,0,0
1609293600,5394.00,5395.00,5312.00,5312.00,85,0,0
1609639200,6308.00,6308.00,5291.00,5291.00,1018,0,0
1609725600,5289.00,6215.00,4214.00,5210.00,3924,0,0
1609812000,5201.00,6191.00,5176.00,5206.00,2026,0,0
1609898400,5205.00,6317.00,5100.00,5473.00,2167,0,0
1609984800,5477.00,5500.00,4438.00,5452.00,2100,0,0
1610071200,5456.00,5503.00,5427.00,5503.00,106,0,0
1610330400,5502.00,5700.00,5499.00,5506.00,399,0,0
1610416800,5505.00,5610.00,4573.00,5574.00,2006,0,0
1610503200,5573.00,6687.00,5301.00,5581.00,2765,0,0
1610589600,5583.00,5750.00,4643.00,5643.00,2155,0,0
1610676000,5642.00,5698.00,5572.00,5581.00,192,0,0
1610762400,5581.00,5581.00,5581.00,5581.00,1,0,0
1610848800,6586.00,6586.00,4586.00,5528.00,2943,0,0
1610935200,5528.00,5750.00,5251.00,5517.00,988,0,0
1611021600,5516.00,5710.00,4950.00,5596.00,1441,0,0
1611108000,5595.00,5750.00,4602.00,5546.00,2248,0,0
1611194400,5556.00,5600.00,4539.00,5462.00,2029,0,0
1611280800,5460.00,5490.00,5419.00,5428.00,111,0,0
1611453600,6423.00,6423.00,5360.00,5400.00,1104,0,0
1611540000,5402.00,5500.00,5301.00,5387.00,384,0,0
1611626400,5390.00,6378.00,5301.00,5337.00,2102,0,0
1611712800,5341.00,6359.00,5091.00,5153.00,2349,0,0
1611799200,5155.00,6261.00,5155.00,5260.00,2108,0,0
1611885600,5260.00,5268.00,5137.00,5139.00,142,0,0
1611972000,5139.00,5139.00,5139.00,5139.00,1,0,0
1612058400,6133.00,6133.00,4133.00,5133.00,3001,0,0
1612144800,5136.00,5501.00,4801.00,5115.00,1380,0,0
1612231200,5114.00,6130.00,4801.00,5201.00,2572,0,0
1612317600,5209.00,6280.00,5182.00,5309.00,2097,0,0
1612404000,5309.00,6315.00,4315.00,5358.00,3952,0,0
1612490400,5359.00,5398.00,5314.00,5390.00,138,0,0
1612663200,4801.00,5430.00,4391.00,5420.00,1460,0,0
1612749600,5423.00,5558.00,4525.00,5499.00,1991,0,0
1612836000,5500.00,5801.00,5401.00,5466.00,767,0,0
1612922400,5463.00,5566.00,5443.00,5551.00,159,0,0
1613008800,4553.00,5556.00,4553.00,5556.00,1004,0,0
1613095200,5557.00,5613.00,5503.00,5529.00,193,0,0
1613268000,6534.00,6534.00,5560.00,5585.00,1000,0,0
1613354400,5580.00,6560.00,4560.00,5600.00,3981,0,0
1613440800,5597.00,5630.00,4556.00,5585.00,2137,0,0
1613527200,5587.00,5630.00,4801.00,5433.00,1505,0,0
1613613600,5434.00,5630.00,4591.00,5351.00,1996,0,0
1613700000,5352.00,5386.00,5327.00,5343.00,110,0,0
1613872800,6345.00,6345.00,5300.00,5426.00,1172,0,0
1613959200,5426.00,5450.00,5350.00,5352.00,127,0,0
1614045600,5352.00,5352.00,4351.00,5285.00,1936,0,0
1614132000,5288.00,6253.00,5241.00,5336.00,1977,0,0
1614218400,5337.00,6371.00,4800.00,5348.00,3132,0,0
1614304800,5350.00,5368.00,5259.00,5259.00,128,0,0
1614391200,5259.00,5259.00,5259.00,5259.00,1,0,0
1614477600,6253.00,6253.00,5327.00,5329.00,929,0,0
1614564000,5317.00,6358.00,5301.00,5393.00,2039,0,0
1614650400,5392.00,6141.00,5289.00,5330.00,1643,0,0
1614736800,5330.00,6378.00,4378.00,5400.00,3931,0,0
1614823200,5401.00,5504.00,4414.00,5423.00,2159,0,0
1614909600,5424.00,5447.00,5334.00,5383.00,186,0,0
1615168800,5454.00,5583.00,5422.00,5577.00,200,0,0
1615255200,5700.00,5747.00,5604.00,5696.00,283,0,0
1615341600,5601.00,5669.00,5601.00,5631.00,107,0,0
1615428000,5579.00,5594.00,5541.00,5577.00,105,0,0
1615514400,5493.00,5570.00,5463.00,5541.00,167,0,0
1615773600,5478.00,5557.00,5478.00,5517.00,120,0,0
1615860000,5501.00,5531.00,5471.00,5499.00,119,0,0
1615946400,5482.00,5549.00,5482.00,5548.00,69,0,0
1616032800,5574.00,5665.00,5573.00,5643.00,116,0,0
1616119200,5551.00,5699.00,5551.00,5679.00,169,0,0
1616378400,5501.00,5575.00,5359.00,5368.00,300,0,0
1616464800,5351.00,5401.00,5294.00,5368.00,198,0,0
1616551200,5317.00,5436.00,5317.00,5397.00,159,0,0
1616637600,5449.00,5484.00,5417.00,5462.00,122,0,0
1616724000,5495.00,5531.00,5462.00,5485.00,129,0,0
1616986800,5541.00,5544.00,5462.00,5500.00,124,0,0
1617073200,5409.00,5409.00,5344.00,5348.00,70,0,0
1617159600,5320.00,5353.00,5272.00,5274.00,117,0,0
1617246000,5332.00,5374.00,5286.00,5306.00,151,0,0
1617332400,5316.00,5334.00,5251.00,5265.00,116,0,0
1617591600,5301.00,5323.00,5279.00,5313.00,77,0,0
1617678000,5355.00,5355.00,5232.00,5238.00,130,0,0
1617764400,5247.00,5256.00,5210.00,5214.00,60,0,0
1617850800,5272.00,5282.00,5216.00,5238.00,99,0,0
1617937200,5282.00,5282.00,5201.00,5206.00,87,0,0
1618196400,5206.00,5230.00,5182.00,5185.00,76,0,0
1618282800,5237.00,5298.00,5223.00,5283.00,105,0,0
1618369200,5286.00,5366.00,5262.00,5334.00,161,0,0
1618455600,5327.00,5368.00,5308.00,5365.00,83,0,0
1618542000,5378.00,5460.00,5368.00,5456.00,107,0,0
1618801200,5450.00,5450.00,5385.00,5406.00,87,0,0
1618887600,5391.00,5395.00,5324.00,5332.00,84,0,0
1618974000,5259.00,5291.00,5222.00,5273.00,125,0,0
1619146800,5335.00,5353.00,5269.00,5305.00,139,0,0
1619406000,5379.00,5379.00,5287.00,5288.00,94,0,0
1619492400,5255.00,5313.00,5255.00,5283.00,89,0,0
1619578800,5292.00,5333.00,5277.00,5317.00,88,0,0
1619751600,5320.00,5320.00,5232.00,5232.00,89,0,0
1620270000,5349.00,5349.00,5264.00,5299.00,121,0,0
1620356400,5343.00,5421.00,5333.00,5418.00,102,0,0
1620615600,5413.00,5470.00,5404.00,5470.00,76,0,0
1620702000,5438.00,5453.00,5334.00,5346.00,147,0,0
1620788400,5350.00,5435.00,5350.00,5431.00,90,0,0
1620874800,5384.00,5445.00,5346.00,5363.00,178,0,0
1620961200,5386.00,5493.00,5376.00,5488.00,133,0,0
1621220400,5488.00,5489.00,5402.00,5443.00,130,0,0
1621306800,5477.00,5599.00,5470.00,5589.00,147,0,0
1621393200,5590.00,5625.00,5553.00,5596.00,139,0,0
1621479600,5564.00,5569.00,5270.00,5299.00,334,0,0
1621566000,5269.00,5279.00,5127.00,5187.00,223,0,0
1621825200,5228.00,5313.00,5216.00,5278.00,145,0,0
