time,open,high,low,close,tick_volume,spread,real_volume
946864800,15.00,15.19,14.69,15.00,101,0,0
946951200,14.87,14.94,14.31,14.44,84,0,0
947037600,14.75,14.75,14.31,14.56,70,0,0
947124000,14.38,14.56,14.31,14.56,33,0,0
947210400,14.44,14.75,14.31,14.75,58,0,0
947469600,14.56,14.75,14.50,14.62,45,0,0
947556000,14.50,14.94,14.50,14.75,64,0,0
947642400,14.75,14.81,14.00,14.38,126,0,0
947728800,14.25,14.94,14.25,14.87,77,0,0
947815200,14.94,14.94,14.56,14.62,45,0,0
948160800,14.75,14.75,14.31,14.44,58,0,0
948247200,14.31,14.56,14.19,14.25,69,0,0
948333600,14.31,14.62,14.31,14.50,44,0,0
948420000,14.50,14.75,14.38,14.44,69,0,0
948679200,14.50,14.81,14.44,14.62,63,0,0
948765600,14.56,15.38,14.50,14.75,158,0,0
948852000,14.75,16.12,14.69,15.56,206,0,0
948938400,16.25,17.00,16.19,16.50,138,0,0
949024800,16.12,16.44,15.75,16.25,126,0,0
949284000,16.37,17.81,16.31,17.31,207,0,0
949370400,17.75,17.75,17.06,17.69,133,0,0
949456800,17.50,17.56,17.19,17.38,63,0,0
949543200,17.44,17.62,17.38,17.56,37,0,0
949629600,17.50,17.75,17.44,17.44,57,0,0
949888800,17.38,17.87,17.38,17.44,93,0,0
949975200,17.50,17.62,16.75,16.88,113,0,0
950061600,16.75,16.81,16.25,16.56,94,0,0
950148000,16.31,16.63,16.06,16.25,109,0,0
950234400,16.50,16.50,16.00,16.12,63,0,0
950493600,16.00,16.63,15.94,16.37,102,0,0
950580000,16.37,16.81,16.25,16.63,87,0,0
950666400,16.37,16.63,16.25,16.44,70,0,0
950752800,16.31,16.69,15.94,15.94,114,0,0
950839200,16.06,16.19,15.44,15.69,114,0,0
951184800,15.50,16.69,15.50,16.50,139,0,0
951357600,16.31,16.31,15.56,16.06,126,0,0
951444000,16.00,16.19,15.25,15.56,145,0,0
951703200,15.75,15.81,15.38,15.62,74,0,0
951789600,15.44,15.69,15.31,15.62,59,0,0
951876000,15.44,17.25,15.31,17.25,208,0,0
951962400,17.50,20.75,17.44,20.12,401,0,0
952048800,20.75,22.12,20.44,21.94,218,0,0
952308000,21.94,22.12,21.31,21.56,125,0,0
952394400,22.25,24.31,22.19,24.00,250,0,0
952480800,24.88,26.87,24.56,26.25,326,0,0
952567200,25.75,26.38,24.94,25.88,276,0,0
952653600,25.75,26.38,25.37,25.81,197,0,0
952912800,25.06,25.69,24.56,25.00,221,0,0
952999200,24.75,24.75,22.69,22.94,232,0,0
953085600,23.50,23.69,22.75,22.81,120,0,0
953172000,22.94,23.38,22.88,23.06,89,0,0
953258400,22.81,22.88,22.25,22.44,90,0,0
953517600,22.25,22.50,22.06,22.25,89,0,0
953604000,22.50,22.75,20.06,20.94,383,0,0
953690400,20.75,21.25,20.69,20.94,94,0,0
953776800,20.94,22.12,20.81,21.94,163,0,0
953863200,21.81,22.00,21.75,21.88,44,0,0
954126000,21.75,22.56,21.06,21.31,257,0,0
954212400,21.00,21.69,20.38,20.62,225,0,0
954298800,20.56,20.94,19.19,19.69,264,0,0
954385200,19.75,19.75,19.31,19.63,77,0,0
954471600,19.63,20.44,19.63,20.38,88,0,0
954730800,20.12,20.62,20.00,20.00,113,0,0
954817200,20.06,20.31,18.50,19.50,307,0,0
954903600,19.12,19.81,19.00,19.81,94,0,0
954990000,19.81,20.50,19.81,20.12,108,0,0
955076400,20.50,21.44,20.38,21.44,119,0,0
955335600,21.38,21.44,20.87,21.06,83,0,0
955422000,21.06,21.13,20.50,20.62,83,0,0
955508400,20.50,20.75,19.63,19.81,156,0,0
955594800,19.88,20.12,19.69,19.69,68,0,0
955681200,19.50,19.56,18.00,18.50,213,0,0
955940400,18.31,18.44,17.75,18.44,126,0,0
956026800,18.44,19.06,18.25,19.06,101,0,0
