time,open,high,low,close,tick_volume,spread,real_volume
1470366000,1160.00,1185.00,1150.00,1170.00,6001,0,0
1470625200,1190.00,1215.00,1185.00,1210.00,4001,0,0
1470711600,1205.00,1210.00,1200.00,1200.00,1501,0,0
1470798000,1195.00,1200.00,1185.00,1190.00,2501,0,0
1471230000,1200.00,1200.00,1190.00,1190.00,1001,0,0
1471316400,1195.00,1200.00,1175.00,1175.00,3001,0,0
1471402800,1180.00,1205.00,1175.00,1200.00,4001,0,0
1471489200,1185.00,1195.00,1180.00,1180.00,2501,0,0
1471575600,1195.00,1210.00,1190.00,1205.00,3001,0,0
1471834800,1215.00,1220.00,1215.00,1220.00,501,0,0
1471921200,1210.00,1215.00,1195.00,1200.00,3001,0,0
1472007600,1215.00,1225.00,1210.00,1225.00,2001,0,0
1472094000,1220.00,1225.00,1215.00,1225.00,1501,0,0
1472180400,1205.00,1205.00,1185.00,1185.00,2001,0,0
1472439600,1220.00,1235.00,1200.00,1230.00,6001,0,0
1472526000,1230.00,1250.00,1230.00,1235.00,3501,0,0
1472612400,1260.00,1270.00,1250.00,1250.00,3001,0,0
1472698800,1250.00,1260.00,1245.00,1255.00,2501,0,0
1472785200,1245.00,1255.00,1245.00,1255.00,1001,0,0
1473044400,1275.00,1275.00,1255.00,1255.00,2001,0,0
1473130800,1245.00,1255.00,1240.00,1245.00,3001,0,0
1473217200,1220.00,1240.00,1220.00,1235.00,2501,0,0
1473303600,1235.00,1240.00,1225.00,1235.00,3001,0,0
1473390000,1240.00,1245.00,1235.00,1235.00,1501,0,0
1473649200,1215.00,1225.00,1210.00,1220.00,2501,0,0
1473735600,1225.00,1235.00,1215.00,1225.00,4001,0,0
1473822000,1220.00,1230.00,1210.00,1210.00,3001,0,0
1473908400,1200.00,1205.00,1185.00,1195.00,3501,0,0
1473994800,1190.00,1190.00,1170.00,1175.00,2501,0,0
1474340400,1180.00,1205.00,1175.00,1190.00,5001,0,0
1474426800,1185.00,1230.00,1180.00,1230.00,5501,0,0
1474599600,1200.00,1210.00,1190.00,1190.00,3001,0,0
1474858800,1190.00,1190.00,1180.00,1185.00,1501,0,0
1474945200,1165.00,1200.00,1165.00,1200.00,3501,0,0
1475031600,1180.00,1185.00,1170.00,1175.00,2501,0,0
1475118000,1185.00,1190.00,1180.00,1180.00,1501,0,0
1475204400,1140.00,1160.00,1140.00,1155.00,2501,0,0
1475463600,1165.00,1170.00,1160.00,1160.00,1501,0,0
1475550000,1175.00,1180.00,1170.00,1180.00,1501,0,0
1475636400,1190.00,1200.00,1190.00,1195.00,1501,0,0
1475722800,1205.00,1215.00,1205.00,1205.00,2001,0,0
1475809200,1210.00,1210.00,1195.00,1200.00,2001,0,0
1476154800,1205.00,1210.00,1200.00,1200.00,1501,0,0
1476241200,1190.00,1200.00,1190.00,1190.00,2001,0,0
1476327600,1200.00,1210.00,1190.00,1195.00,3501,0,0
1476414000,1190.00,1200.00,1185.00,1200.00,2001,0,0
1476673200,1200.00,1210.00,1200.00,1205.00,1501,0,0
1476759600,1200.00,1205.00,1190.00,1200.00,3001,0,0
1476846000,1195.00,1195.00,1190.00,1190.00,501,0,0
1476932400,1190.00,1205.00,1190.00,1205.00,1501,0,0
1477018800,1210.00,1210.00,1195.00,1195.00,1501,0,0
1477278000,1195.00,1195.00,1190.00,1190.00,501,0,0
1477364400,1195.00,1210.00,1195.00,1210.00,1501,0,0
1477450800,1205.00,1210.00,1200.00,1205.00,2001,0,0
1477537200,1205.00,1210.00,1200.00,1200.00,1501,0,0
1477623600,1210.00,1210.00,1205.00,1210.00,1001,0,0
1477879200,1200.00,1215.00,1200.00,1215.00,1501,0,0
1477965600,1215.00,1215.00,1210.00,1215.00,1001,0,0
1478052000,1200.00,1200.00,1185.00,1185.00,1501,0,0
1478570400,1175.00,1185.00,1165.00,1180.00,3501,0,0
1478656800,1185.00,1190.00,1100.00,1105.00,10001,0,0
1478829600,1185.00,1200.00,1180.00,1190.00,3501,0,0
1479088800,1200.00,1210.00,1195.00,1205.00,2501,0,0
1479175200,1215.00,1220.00,1210.00,1215.00,2001,0,0
1479261600,1220.00,1240.00,1220.00,1240.00,2001,0,0
1479348000,1225.00,1240.00,1225.00,1230.00,2501,0,0
1479434400,1250.00,1265.00,1250.00,1265.00,1501,0,0
1479693600,1270.00,1280.00,1270.00,1270.00,2001,0,0
1479780000,1265.00,1270.00,1255.00,1260.00,2501,0,0
1479952800,1290.00,1320.00,1275.00,1320.00,6001,0,0
1480039200,1335.00,1360.00,1320.00,1340.00,7501,0,0
1480298400,1330.00,1340.00,1310.00,1330.00,6001,0,0
1480384800,1320.00,1335.00,1320.00,1330.00,2001,0,0
1480471200,1340.00,1340.00,1325.00,1330.00,2001,0,0
1480557600,1350.00,1365.00,1335.00,1340.00,5001,0,0
1480644000,1345.00,1350.00,1335.00,1340.00,2501,0,0
1480903200,1330.00,1330.00,1320.00,1325.00,1501,0,0
1480989600,1335.00,1340.00,1335.00,1335.00,1001,0,0
1481076000,1350.00,1370.00,1350.00,1370.00,2001,0,0
1481162400,1390.00,1400.00,1385.00,1395.00,2501,0,0
1481248800,1395.00,1405.00,1390.00,1400.00,2501,0,0
1481508000,1420.00,1420.00,1390.00,1400.00,4001,0,0
1481594400,1400.00,1410.00,1390.00,1410.00,3001,0,0
1481680800,1415.00,1415.00,1405.00,1405.00,1001,0,0
1481767200,1420.00,1440.00,1420.00,1430.00,3001,0,0
1481853600,1440.00,1440.00,1420.00,1430.00,3001,0,0
1482112800,1425.00,1435.00,1415.00,1430.00,3501,0,0
1482199200,1425.00,1430.00,1420.00,1425.00,2001,0,0
1482285600,1430.00,1440.00,1420.00,1425.00,3501,0,0
1482372000,1420.00,1425.00,1415.00,1415.00,1501,0,0
1482717600,1405.00,1405.00,1395.00,1400.00,1501,0,0
1482804000,1390.00,1405.00,1385.00,1395.00,3501,0,0
