time,open,high,low,close,tick_volume,spread,real_volume
1764172800,423.81,425.27,417.01,417.22,1286,24,0
1764176400,417.21,421.17,416.84,419.14,2507,24,0
1764180000,419.15,420.89,418.16,420.54,2186,24,0
1764183600,420.54,422.88,419.41,422.35,2219,24,0
1764187200,422.36,423.95,421.29,423.08,2252,24,0
1764190800,423.08,426.28,422.92,424.07,2259,24,0
1764194400,424.09,426.14,423.74,426.14,2100,24,0
1764345600,426.41,432.70,426.32,428.96,1268,24,0
1764349200,428.97,430.28,426.21,430.06,2364,24,0
1764352800,430.07,432.24,428.44,429.23,2332,24,0
1764356400,429.26,430.42,428.16,429.99,2130,24,0
1764604800,425.45,431.27,425.45,428.72,1064,24,0
1764608400,428.83,433.21,426.22,429.39,2696,24,0
1764612000,429.42,429.42,425.72,427.90,2209,24,0
1764615600,427.93,430.99,427.26,429.15,2242,24,0
1764619200,429.14,430.18,427.65,428.32,1963,24,0
1764622800,428.33,428.47,426.27,426.41,2162,24,0
1764626400,426.41,429.59,426.25,429.46,2168,24,0
1764691200,430.71,433.25,427.65,428.90,1294,24,0
1764694800,428.87,436.62,428.86,429.65,2524,24,0
1764698400,429.64,429.64,422.03,424.16,2526,24,0
1764702000,424.13,426.07,423.32,423.33,2344,24,0
1764705600,423.31,426.14,422.91,426.08,2248,24,0
1764709200,426.09,429.25,425.23,429.07,2224,24,0
1764712800,429.24,430.92,428.61,429.05,2165,24,0
1764777600,431.94,438.73,431.04,437.21,1334,24,0
1764781200,437.24,444.22,436.94,440.55,2631,24,0
1764784800,440.54,442.17,437.67,440.08,2536,24,0
1764788400,440.01,442.03,439.35,441.10,2368,24,0
1764792000,441.10,447.36,440.92,446.32,2308,24,0
1764795600,446.16,447.76,445.00,445.28,2339,24,0
1764799200,445.34,447.65,445.34,446.62,2165,24,0
1764864000,449.65,454.36,445.86,450.83,1308,24,0
1764867600,450.62,452.55,445.33,448.22,2449,24,0
1764871200,448.26,450.07,446.76,449.60,2402,24,0
1764874800,449.52,450.66,447.94,448.27,2255,24,0
1764878400,448.26,449.23,446.49,448.66,2231,24,0
1764882000,448.65,450.00,446.10,449.51,2363,24,0
1764885600,449.46,453.16,448.76,453.13,2156,24,0
1764950400,453.10,458.27,453.10,454.92,1315,24,0
1764954000,455.03,458.73,453.94,456.33,2535,24,0
1764957600,456.28,456.92,451.59,454.89,2512,24,0
1764961200,454.91,455.06,452.95,454.54,2314,24,0
1764964800,454.58,455.46,453.82,454.37,2125,24,0
1764968400,454.36,455.67,453.55,455.11,2126,24,0
1764972000,455.07,455.61,454.22,454.79,1992,24,0
1765209600,447.32,449.49,443.75,444.94,1290,24,0
1765213200,444.99,445.44,439.68,439.84,2488,24,0
1765216800,439.90,440.30,437.63,438.12,2417,24,0
1765220400,438.10,439.22,436.48,438.93,2326,24,0
1765224000,438.89,439.25,435.16,435.87,2318,24,0
1765227600,435.88,438.28,435.42,437.12,2270,24,0
1765231200,437.12,438.49,436.98,438.02,2057,24,0
1765296000,437.44,444.44,435.61,444.43,1284,24,0
1765299600,444.34,448.00,442.49,447.74,2426,24,0
1765303200,447.71,449.11,446.09,448.80,2268,24,0
1765306800,448.80,451.65,448.66,451.62,2302,24,0
1765310400,451.62,452.25,448.16,448.90,2191,24,0
1765314000,448.80,449.46,447.68,448.70,2078,24,0
1765317600,448.68,448.74,446.49,446.89,2017,24,0
1765382400,445.83,449.91,443.56,445.14,1275,24,0
1765386000,445.14,446.79,443.78,444.82,2423,24,0
1765389600,444.83,447.09,444.26,445.98,2171,24,0
1765393200,445.87,446.30,444.46,445.83,1943,24,0
1765396800,445.78,446.50,444.21,444.98,1930,24,0
1765400400,444.95,451.96,444.77,451.77,2566,24,0
1765404000,451.82,456.64,451.02,454.00,2323,24,0
1765468800,448.80,448.80,440.98,441.57,1308,24,0
1765472400,441.50,446.33,440.26,441.97,2517,24,0
1765476000,441.96,445.07,440.83,442.92,2407,24,0
1765479600,442.91,446.67,442.91,446.19,2285,24,0
1765483200,446.18,447.57,445.55,446.33,2193,24,0
1765486800,446.31,447.87,445.67,446.55,2129,24,0
1765490400,446.51,446.84,444.08,445.65,2112,24,0
1765555200,448.06,462.83,448.06,460.74,1286,24,0
1765558800,460.63,460.89,447.38,447.92,2605,24,0
1765562400,447.90,449.67,441.39,443.09,2566,24,0
1765566000,443.28,451.56,443.11,450.68,2433,24,0
1765569600,450.71,456.22,450.51,453.52,2405,24,0
1765573200,453.53,453.83,450.01,452.24,2386,24,0
1765576800,452.31,458.17,451.94,458.17,2232,24,0
1765814400,469.34,480.81,467.57,477.42,1310,24,0
1765818000,477.35,480.00,470.65,478.45,2621,24,0
1765821600,478.47,481.59,475.89,477.11,2492,24,0
1765825200,477.03,477.59,474.41,477.26,2437,24,0
1765828800,477.22,478.25,474.48,477.01,2340,24,0
1765832400,477.01,478.73,475.46,478.70,2339,24,0
1765836000,478.69,480.42,476.71,478.27,2256,24,0
1765900800,472.11,478.25,465.79,478.09,1318,24,0
1765904400,478.07,481.78,472.49,476.13,2629,24,0
1765908000,476.10,479.46,474.40,479.36,2492,24,0
1765911600,479.38,481.18,476.13,476.35,2401,24,0
1765915200,476.36,480.20,475.69,479.69,2325,24,0
1765918800,479.62,486.12,477.50,485.14,2369,24,0
1765922400,485.20,490.95,484.78,490.56,2291,24,0
1765987200,487.94,495.02,486.17,492.88,1309,24,0
1765990800,492.84,493.01,477.27,477.81,2622,24,0
1765994400,478.07,480.29,474.11,476.88,2588,24,0
1765998000,476.83,479.26,472.64,474.62,2478,24,0
1766001600,474.61,476.95,467.39,467.83,2443,24,0
1766005200,467.87,470.73,466.13,470.73,2439,24,0
1766008800,470.74,471.09,467.46,468.19,2279,24,0
1766073600,477.45,481.92,473.04,480.66,1345,24,0
1766077200,480.44,486.78,477.58,486.33,2615,24,0
1766080800,486.31,490.71,485.54,489.03,2520,24,0
1766084400,489.04,489.77,484.52,489.29,2527,24,0
1766088000,489.32,489.42,487.11,488.29,2330,24,0
1766091600,488.25,488.39,483.40,484.05,2415,24,0
1766095200,484.04,488.77,483.32,487.12,2290,24,0
1766160000,487.94,490.15,481.44,484.56,1293,24,0
1766163600,484.66,486.15,477.65,478.12,2552,24,0
1766167200,478.20,481.69,474.92,475.35,2464,24,0
1766170800,475.31,480.33,475.31,478.01,2276,24,0
1766174400,478.05,482.87,477.73,481.59,2202,24,0
1766178000,481.54,483.82,480.53,482.04,2159,24,0
1766181600,482.02,483.86,481.26,482.56,2095,24,0
1766419200,489.76,498.65,487.99,493.74,1302,24,0
1766422800,493.71,494.20,485.25,491.27,2549,24,0
1766426400,491.22,494.47,490.75,493.96,2423,24,0
1766430000,493.96,495.46,493.13,494.81,2278,24,0
1766433600,494.89,496.16,492.72,496.15,2263,24,0
1766437200,496.01,496.23,491.92,493.00,2185,24,0
1766440800,493.01,493.30,487.40,489.15,2190,24,0
1766505600,489.21,491.74,485.60,487.15,1290,24,0
1766509200,487.37,488.56,484.93,487.97,2365,24,0
1766512800,487.94,489.21,484.21,486.19,2233,24,0
1766516400,486.19,487.07,483.67,484.02,2162,24,0
1766520000,483.87,486.05,482.74,483.03,2128,24,0
1766523600,483.02,486.46,482.95,486.30,2073,24,0
1766527200,486.34,487.25,484.49,485.10,2034,24,0
1766592000,488.35,490.68,479.49,480.39,1272,24,0
1766595600,480.36,481.10,476.72,478.56,2327,24,0
1766599200,478.56,482.68,478.38,481.92,2111,24,0
1766602800,481.93,485.20,481.13,485.07,2145,24,0
1766606400,485.20,485.39,484.02,484.30,379,24,0
1766764800,485.66,488.88,481.89,482.43,1262,24,0
1766768400,482.45,482.45,473.79,478.04,2475,24,0
1766772000,478.05,479.25,477.00,478.14,2222,24,0
1766775600,478.12,480.37,476.52,480.04,1974,24,0
1766779200,480.03,480.17,477.62,478.25,1954,24,0
1766782800,478.28,479.10,477.65,478.51,1878,24,0
1766786400,478.53,478.67,475.92,475.97,1802,24,0
1767024000,468.84,468.84,462.14,462.63,1479,24,0
1767027600,462.61,467.66,461.25,466.60,2475,24,0
1767031200,466.59,469.06,466.01,467.74,2166,24,0
1767034800,467.73,468.06,465.33,465.83,2017,24,0
1767038400,465.79,465.79,462.46,462.76,2098,24,0
1767042000,462.76,464.22,461.85,463.93,2079,24,0
1767045600,463.93,464.02,459.23,459.97,2000,24,0
1767110400,460.93,461.34,453.76,458.73,1262,24,0
1767114000,458.72,461.51,457.59,461.51,2318,24,0
1767117600,461.53,462.53,460.22,461.56,2034,24,0
1767121200,461.54,462.93,459.60,459.82,1927,24,0
1767124800,459.88,460.59,458.16,458.90,1833,24,0
1767128400,458.83,459.55,456.97,457.77,1839,24,0
1767132000,457.72,458.16,454.51,454.81,1919,24,0
1767196800,455.93,456.36,452.52,454.33,1234,24,0
1767200400,454.34,455.03,452.22,453.90,2205,24,0
1767204000,453.86,454.31,452.49,453.94,1972,24,0
1767207600,453.93,455.71,453.06,453.47,1922,24,0
1767369600,457.67,457.96,449.41,452.42,1287,24,0
