time,open,high,low,close,tick_volume,spread,real_volume
1277780400,3.80,5.00,3.51,4.78,201,0,0
1277866800,5.16,6.08,4.66,4.77,246,0,0
1277953200,5.00,5.18,4.05,4.39,166,0,0
1278039600,4.60,4.62,3.74,3.84,101,0,0
1278385200,4.00,4.00,3.17,3.22,89,0,0
1278471600,3.28,3.33,3.00,3.16,55,0,0
1278558000,3.23,3.50,3.11,3.49,53,0,0
1278644400,3.52,3.58,3.31,3.48,51,0,0
1278903600,3.59,3.61,3.40,3.41,25,0,0
1278990000,3.48,3.73,3.38,3.63,56,0,0
1279076400,3.59,4.03,3.55,3.97,59,0,0
1279162800,3.99,4.30,3.80,3.98,100,0,0
1279249200,4.14,4.26,4.01,4.13,50,0,0
1279508400,4.27,4.45,4.18,4.38,44,0,0
1279594800,4.37,4.37,4.01,4.06,42,0,0
1279681200,4.13,4.18,3.90,4.04,48,0,0
1279767600,4.10,4.25,4.07,4.20,27,0,0
1279854000,4.24,4.31,4.21,4.26,19,0,0
1280113200,4.30,4.30,4.06,4.19,38,0,0
1280199600,4.18,4.24,4.05,4.11,32,0,0
1280286000,4.11,4.18,4.10,4.14,14,0,0
1280372400,4.15,4.18,4.00,4.07,29,0,0
1280458800,4.04,4.09,3.91,3.99,32,0,0
1280718000,4.10,4.19,4.07,4.18,17,0,0
1280804400,4.20,4.39,4.16,4.39,28,0,0
1280890800,4.39,4.44,4.17,4.25,41,0,0
1280977200,4.31,4.31,4.01,4.09,39,0,0
1281063600,4.02,4.03,3.90,3.92,17,0,0
1281322800,3.98,4.00,3.89,3.92,17,0,0
1281409200,3.93,3.93,3.76,3.81,23,0,0
1281495600,3.74,3.78,3.57,3.58,27,0,0
1281582000,3.56,3.58,3.48,3.52,17,0,0
1281668400,3.64,3.69,3.53,3.66,31,0,0
1281927600,3.69,3.76,3.65,3.76,16,0,0
1282014000,3.79,3.88,3.76,3.83,21,0,0
1282100400,3.92,3.92,3.72,3.75,24,0,0
1282186800,3.71,3.85,3.67,3.76,32,0,0
1282273200,3.73,3.82,3.70,3.82,16,0,0
1282532400,3.82,4.08,3.80,4.03,36,0,0
1282618800,3.85,3.94,3.79,3.84,30,0,0
1282705200,3.83,4.00,3.71,3.98,44,0,0
1282791600,3.98,4.05,3.92,3.95,24,0,0
1282878000,3.95,3.97,3.90,3.94,14,0,0
1283137200,3.94,4.04,3.92,3.97,22,0,0
1283223600,3.93,3.96,3.87,3.90,16,0,0
1283310000,3.92,4.14,3.92,4.09,28,0,0
1283396400,4.07,4.25,4.06,4.21,25,0,0
1283482800,4.17,4.26,4.13,4.21,23,0,0
1283828400,4.12,4.20,4.10,4.11,20,0,0
1283914800,4.13,4.19,4.12,4.18,10,0,0
1284001200,4.20,4.21,4.14,4.14,9,0,0
1284087600,4.15,4.19,3.95,4.03,37,0,0
1284346800,4.18,4.18,4.10,4.14,13,0,0
1284433200,4.11,4.32,4.11,4.22,32,0,0
1284519600,4.20,4.40,4.16,4.40,29,0,0
1284606000,4.43,4.63,4.17,4.19,69,0,0
1284692400,4.20,4.26,3.96,4.05,46,0,0
1284951600,4.13,4.27,4.03,4.21,41,0,0
1285038000,4.18,4.31,4.13,4.15,34,0,0
1285124400,4.17,4.19,3.96,3.97,27,0,0
1285210800,3.98,4.03,3.90,3.91,20,0,0
1285297200,3.99,4.04,3.93,4.02,20,0,0
1285556400,4.08,4.16,4.01,4.11,28,0,0
1285642800,4.21,4.30,4.15,4.28,24,0,0
1285729200,4.24,4.41,4.23,4.40,21,0,0
1285815600,4.40,4.43,4.04,4.08,47,0,0
1285902000,4.14,4.15,4.06,4.12,17,0,0
1286161200,4.09,4.23,4.06,4.20,24,0,0
1286247600,4.23,4.26,4.20,4.22,12,0,0
1286334000,4.21,4.25,4.06,4.09,27,0,0
1286420400,4.11,4.13,4.07,4.09,11,0,0
1286506800,4.09,4.16,4.08,4.09,17,0,0
1286766000,4.09,4.14,4.01,4.05,23,0,0
1286852400,4.04,4.06,4.01,4.05,10,0,0
1286938800,4.13,4.17,4.07,4.11,19,0,0
1287025200,4.20,4.21,4.08,4.15,22,0,0
1287111600,4.18,4.18,4.05,4.11,20,0,0
1287370800,4.10,4.13,4.04,4.05,14,0,0
1287457200,4.04,4.08,4.00,4.01,14,0,0
1287543600,4.03,4.14,4.01,4.13,17,0,0
1287630000,4.12,4.19,4.09,4.15,18,0,0
1287716400,4.14,4.19,4.11,4.14,17,0,0
1287975600,4.19,4.20,4.15,4.17,9,0,0
1288062000,4.16,4.37,4.10,4.27,44,0,0
1288148400,4.25,4.28,4.13,4.20,26,0,0
1288234800,4.28,4.30,4.19,4.24,19,0,0
1288321200,4.23,4.37,4.21,4.37,19,0,0
1288576800,4.39,4.55,4.26,4.28,48,0,0
1288663200,4.34,4.38,4.21,4.25,26,0,0
1288749600,4.26,4.50,4.23,4.35,46,0,0
1288836000,4.52,5.07,4.43,4.98,83,0,0
1288922400,4.97,4.99,4.74,4.89,43,0,0
1289181600,4.90,5.00,4.81,5.00,29,0,0
1289268000,5.00,5.14,4.81,4.93,60,0,0
1289354400,4.90,5.99,4.81,5.87,140,0,0
1289440800,5.72,5.82,5.47,5.61,60,0,0
1289527200,5.65,6.10,5.61,5.97,67,0,0
1289786400,6.04,6.59,6.04,6.16,99,0,0
1289872800,6.20,6.28,5.68,5.93,94,0,0
1289959200,6.04,6.15,5.72,5.90,73,0,0
1290045600,6.13,6.15,5.78,5.98,60,0,0
1290132000,6.03,6.27,5.94,6.20,50,0,0
1290391200,6.31,6.69,6.30,6.68,42,0,0
1290477600,6.66,7.14,6.44,6.91,116,0,0
1290564000,7.05,7.19,6.87,7.09,61,0,0
1290736800,7.12,7.20,6.95,7.06,45,0,0
1290996000,7.08,7.19,6.67,6.87,84,0,0
1291082400,6.75,7.07,6.68,7.07,47,0,0
1291168800,7.17,7.28,6.69,6.87,89,0,0
1291255200,6.80,6.86,6.24,6.47,92,0,0
1291341600,6.40,6.45,6.17,6.30,47,0,0
1291600800,6.27,6.29,5.91,6.06,56,0,0
1291687200,6.10,6.48,6.01,6.31,74,0,0
1291773600,6.50,6.50,6.30,6.47,38,0,0
1291860000,6.50,6.54,6.33,6.41,34,0,0
1291946400,6.41,6.58,6.23,6.30,60,0,0
1292205600,6.33,6.35,6.08,6.11,33,0,0
1292292000,6.06,6.08,5.55,5.71,72,0,0
1292378400,5.73,5.99,5.71,5.92,38,0,0
1292464800,6.00,6.18,5.93,6.16,35,0,0
1292551200,6.27,6.31,6.14,6.27,35,0,0
1292810400,6.33,6.44,6.25,6.34,38,0,0
1292896800,6.36,6.54,6.34,6.45,32,0,0
1292983200,6.45,6.57,6.34,6.53,39,0,0
1293069600,6.25,6.50,5.98,6.02,82,0,0
1293415200,5.60,5.72,5.01,5.11,94,0,0
1293501600,5.17,5.35,5.00,5.28,60,0,0
1293588000,5.41,5.60,5.30,5.55,47,0,0
1293674400,5.54,5.58,5.28,5.30,37,0,0
1293760800,5.31,5.45,5.30,5.33,29,0,0
1294020000,5.37,5.40,5.18,5.32,40,0,0
1294106400,5.33,5.39,5.20,5.33,39,0,0
1294192800,5.30,5.38,5.24,5.37,22,0,0
1294279200,5.37,5.60,5.36,5.58,28,0,0
1294365600,5.60,5.72,5.58,5.65,24,0,0
1294624800,5.63,5.74,5.61,5.69,21,0,0
1294711200,5.72,5.74,5.38,5.39,40,0,0
1294797600,5.40,5.48,5.30,5.39,36,0,0
1294884000,5.39,5.39,5.23,5.24,18,0,0
1294970400,5.23,5.32,5.12,5.15,33,0,0
1295316000,5.10,5.13,4.95,5.13,34,0,0
1295402400,5.05,5.09,4.75,4.81,45,0,0
