time,open,high,low,close,tick_volume,spread,real_volume
1661763600,53.26,53.26,53.26,53.26,1,0,0
1661770800,53.25,53.36,53.25,53.36,2,0,0
1661778000,53.97,54.40,53.97,54.40,5,0,0
1661781600,54.64,54.64,54.64,54.64,1,0,0
1661864400,53.16,53.16,52.94,52.94,3,0,0
1661868000,52.85,52.85,52.58,52.58,2,0,0
1662112800,51.07,51.07,51.07,51.07,1,0,0
1662552000,50.22,50.22,50.22,50.22,1,0,0
1663599600,49.53,49.53,49.53,49.53,1,0,0
1665568800,50.71,50.73,49.74,49.93,1653,11,0
1665572400,49.93,50.53,49.90,50.46,1269,11,0
1665576000,50.45,50.78,50.39,50.57,1005,11,0
1665579600,50.57,50.69,50.32,50.49,777,11,0
1665583200,50.48,50.52,50.12,50.14,647,15,0
1665586800,50.15,50.22,49.64,49.75,1169,13,0
1665590400,49.76,49.81,49.23,49.36,1347,13,0
1665594000,49.33,49.67,49.30,49.65,1379,13,0
1665597600,49.64,49.96,49.60,49.77,505,13,0
1665655200,49.95,50.47,49.73,50.24,943,13,0
1665658800,50.24,50.99,50.20,50.92,811,15,0
1665662400,50.93,51.19,50.84,51.01,786,15,0
1665666000,51.02,51.08,50.76,50.86,510,15,0
1665669600,50.85,50.95,50.66,50.79,921,15,0
1665673200,50.79,50.88,49.82,50.17,1339,13,0
1665676800,50.16,50.87,49.93,50.74,1258,15,0
1665680400,50.75,51.34,50.66,51.25,1223,15,0
1665684000,51.22,51.56,50.83,50.98,583,15,0
1665741600,51.86,52.50,51.78,52.17,1312,15,0
1665745200,52.17,52.72,52.08,52.72,929,15,0
1665748800,52.71,52.86,52.62,52.71,927,15,0
1665752400,52.73,52.74,52.47,52.52,964,15,0
1665756000,52.50,52.53,51.96,52.05,864,15,0
1665759600,52.05,52.68,51.97,52.65,1098,15,0
1665763200,52.66,52.74,52.01,52.09,1395,15,0
1665766800,52.07,52.19,51.54,51.87,1268,15,0
1665770400,51.88,52.19,51.88,52.14,550,15,0
1666000800,52.58,53.12,52.51,53.01,1536,11,0
1666004400,53.02,53.05,52.47,52.73,918,11,0
1666008000,52.73,52.82,52.65,52.78,891,11,0
1666011600,52.79,52.92,52.73,52.88,1957,11,0
1666015200,52.89,52.89,52.71,52.78,2012,15,0
1666018800,52.77,52.78,52.43,52.62,1888,15,0
1666022400,52.62,53.01,52.62,52.81,2048,15,0
1666026000,52.81,53.02,52.67,52.81,2026,15,0
1666029600,52.82,52.95,52.75,52.91,1010,15,0
1666087200,52.79,53.25,52.70,53.05,2463,15,0
1666090800,53.04,53.20,52.67,52.67,2313,15,0
1666094400,52.68,53.13,52.64,53.06,2399,15,0
1666098000,53.05,53.13,52.87,52.89,2306,15,0
1666101600,52.91,53.16,52.88,53.09,2312,15,0
1666105200,53.08,53.15,52.91,52.95,2353,15,0
1666108800,52.94,52.99,52.25,52.31,2493,15,0
1666112400,52.32,52.39,52.11,52.22,2475,15,0
1666116000,52.21,52.31,52.09,52.15,1188,15,0
1666173600,52.61,52.80,52.21,52.34,2294,15,0
1666177200,52.35,52.43,52.06,52.31,1958,15,0
1666180800,52.31,52.79,52.23,52.75,1943,15,0
1666184400,52.76,52.77,52.48,52.59,1891,15,0
1666188000,52.61,52.66,52.37,52.59,1970,15,0
1666191600,52.58,52.73,52.40,52.72,2004,15,0
1666195200,52.73,53.03,52.36,52.76,2027,15,0
1666198800,52.74,52.86,52.65,52.76,1966,15,0
1666202400,52.75,52.82,52.63,52.75,923,15,0
1666260000,53.63,53.65,53.11,53.50,2439,15,0
1666263600,53.49,53.90,53.43,53.54,2280,15,0
1666267200,53.55,53.69,53.27,53.30,2378,15,0
1666270800,53.31,53.51,53.24,53.42,2256,15,0
1666274400,53.41,53.59,53.40,53.53,2300,15,0
1666278000,53.52,53.74,53.26,53.31,2498,15,0
1666281600,53.30,53.53,53.23,53.38,2446,15,0
1666285200,53.38,53.45,53.07,53.12,2454,15,0
1666288800,53.14,53.15,52.89,52.93,1177,15,0
1666346400,52.40,52.77,52.25,52.28,2402,15,0
1666350000,52.27,52.49,52.07,52.32,2394,15,0
1666353600,52.33,52.60,52.26,52.41,2368,15,0
1666357200,52.42,52.59,52.30,52.43,1995,15,0
1666360800,52.44,52.58,52.33,52.43,1867,15,0
1666364400,52.42,52.50,52.13,52.25,2038,15,0
1666368000,52.27,52.83,52.20,52.74,2075,15,0
1666371600,52.76,52.83,52.31,52.53,2022,15,0
1666375200,52.54,52.96,52.47,52.84,1006,15,0
1666605600,52.63,53.04,52.07,52.25,2568,15,0
1666609200,52.25,52.34,51.99,52.32,2378,15,0
1666612800,52.33,52.60,52.26,52.56,2319,15,0
1666616400,52.57,52.77,52.53,52.75,2262,15,0
1666620000,52.74,53.12,52.66,53.03,2248,15,0
1666623600,53.03,53.24,52.77,53.24,2400,15,0
1666627200,53.24,53.78,53.11,53.72,2569,15,0
1666630800,53.73,53.80,53.46,53.66,2439,15,0
1666634400,53.67,53.75,53.58,53.67,1166,15,0
1666692000,53.36,53.58,53.10,53.33,2376,15,0
1666695600,53.35,53.49,53.24,53.35,2201,15,0
1666699200,53.36,53.37,53.16,53.31,2230,15,0
1666702800,53.30,53.43,53.21,53.33,2045,15,0
1666706400,53.34,53.35,53.13,53.23,1770,15,0
1666710000,53.22,53.29,53.09,53.19,1894,15,0
1666713600,53.20,53.43,53.03,53.12,2056,15,0
1666717200,53.11,53.37,53.06,53.21,1975,15,0
1666720800,53.20,53.36,53.09,53.13,923,15,0
1666778400,53.09,53.29,52.68,52.80,2056,15,0
1666782000,52.81,53.02,52.57,53.01,1893,15,0
1666785600,53.00,53.00,52.70,52.85,1833,15,0
1666789200,52.85,52.94,52.73,52.74,1763,15,0
1666792800,52.75,52.83,52.66,52.68,1765,15,0
1666796400,52.67,52.73,52.33,52.53,1874,15,0
1666800000,52.52,52.91,52.49,52.72,1987,15,0
1666803600,52.74,53.00,52.73,52.89,1932,15,0
1666807200,52.90,53.07,52.79,52.79,953,15,0
1666864800,53.36,54.29,53.25,54.10,2508,15,0
