time,open,high,low,close,tick_volume,spread,real_volume
946864800,99.46,103.83,96.09,102.84,1211,0,0
946951200,101.46,101.59,97.71,98.46,477,0,0
947037600,98.46,99.21,95.59,96.09,488,0,0
947124000,96.34,97.46,90.47,93.46,1111,0,0
947210400,92.53,95.09,91.34,93.96,608,0,0
947469600,98.40,101.21,97.46,100.40,551,0,0
947556000,100.46,102.84,98.52,99.46,765,0,0
947642400,99.21,103.02,98.40,100.96,750,0,0
947728800,102.46,103.77,98.59,102.34,1025,0,0
947815200,104.83,108.08,104.71,107.83,375,0,0
948160800,104.96,111.33,104.96,110.33,738,0,0
948247200,111.90,111.96,109.33,109.46,283,0,0
948333600,111.96,115.02,110.77,112.83,764,0,0
948420000,114.71,115.08,109.89,110.76,644,0,0
948679200,114.46,117.45,107.96,110.83,1536,0,0
948765600,112.83,117.21,111.08,113.83,1127,0,0
948852000,113.27,113.46,109.83,112.46,646,0,0
948938400,112.25,116.50,109.69,113.00,1288,0,0
949024800,112.06,113.25,104.94,107.13,1170,0,0
949284000,106.94,108.00,102.00,107.75,1120,0,0
949370400,107.62,113.37,105.87,113.13,950,0,0
949456800,115.38,120.50,114.44,119.37,814,0,0
949543200,121.00,134.50,120.56,134.00,1489,0,0
949629600,131.75,139.00,130.25,132.00,1726,0,0
949888800,131.25,135.44,131.25,134.50,514,0,0
949975200,135.12,139.62,134.75,138.87,600,0,0
950061600,139.12,143.13,138.12,140.88,827,0,0
950148000,140.62,145.00,138.00,145.00,963,0,0
950234400,143.00,143.25,136.00,137.62,913,0,0
950493600,138.75,139.25,132.00,134.62,1038,0,0
950580000,134.62,135.81,130.25,134.94,1081,0,0
950666400,135.87,139.75,135.31,135.75,877,0,0
950752800,135.94,145.00,135.94,143.00,1107,0,0
950839200,145.00,145.00,134.00,134.00,1101,0,0
951184800,142.00,150.00,137.50,149.00,1801,0,0
951357600,149.00,159.00,148.62,157.75,1202,0,0
951444000,157.38,160.75,152.75,153.25,1188,0,0
951703200,153.25,157.50,146.00,155.88,2038,0,0
951789600,157.00,169.69,157.00,166.12,1627,0,0
951876000,167.44,170.00,157.75,164.37,2144,0,0
951962400,164.06,175.38,160.00,173.00,2183,0,0
952048800,178.00,188.13,178.00,187.62,1065,0,0
952308000,192.25,199.56,181.50,186.00,2988,0,0
952394400,187.50,187.94,175.62,180.00,1715,0,0
952480800,180.00,180.25,168.31,172.00,1589,0,0
952567200,172.00,180.94,167.62,180.00,1865,0,0
952653600,180.38,184.00,173.50,180.75,2064,0,0
952912800,173.50,178.75,171.00,171.75,1376,0,0
952999200,174.00,176.37,153.12,156.50,2901,0,0
953085600,157.50,157.50,146.00,147.00,1251,0,0
953172000,150.12,161.94,143.81,160.00,2639,0,0
953258400,160.00,170.75,158.13,169.88,1537,0,0
953517600,170.00,175.19,164.50,167.13,1852,0,0
953604000,167.00,172.50,161.88,171.25,1700,0,0
953690400,174.00,180.50,167.75,178.00,2151,0,0
953776800,178.00,182.88,172.50,174.25,1702,0,0
953863200,176.25,184.94,172.00,176.56,2558,0,0
954126000,176.00,183.44,176.00,180.94,995,0,0
954212400,180.50,180.87,175.50,178.88,913,0,0
954298800,178.00,179.00,168.50,170.81,1382,0,0
954385200,170.81,171.00,155.00,163.12,2432,0,0
954471600,165.00,167.00,157.00,160.00,1501,0,0
954730800,160.00,160.56,149.75,150.75,1238,0,0
954817200,151.00,153.25,128.25,145.75,4476,0,0
954903600,145.94,160.19,142.38,150.00,3157,0,0
954990000,156.00,162.00,154.25,160.00,1151,0,0
955076400,164.00,166.62,160.75,166.50,925,0,0
955335600,167.50,169.00,155.25,156.38,1639,0,0
955422000,152.00,155.88,146.06,150.00,1765,0,0
955508400,150.50,153.75,138.50,140.50,2051,0,0
955594800,141.63,149.75,137.25,141.87,2477,0,0
955681200,139.12,141.81,129.56,139.00,2439,0,0
955940400,130.75,159.00,130.75,149.00,3826,0,0
956026800,145.62,150.00,137.00,150.00,2163,0,0
956113200,150.00,153.00,142.62,143.00,1377,0,0
956199600,145.00,148.94,143.62,145.00,1065,0,0
956545200,142.00,145.56,139.75,141.25,1088,0,0
956631600,147.38,152.00,145.62,152.00,815,0,0
956718000,155.00,155.94,147.75,149.00,1039,0,0
956804400,146.75,162.87,146.00,159.50,2100,0,0
956890800,162.00,168.75,162.00,162.87,1264,0,0
957150000,163.75,165.44,157.12,160.00,1290,0,0
957236400,157.81,164.50,155.50,155.50,1570,0,0
957322800,155.50,157.88,145.44,151.81,2120,0,0
957409200,152.50,156.87,149.06,155.50,1263,0,0
957495600,157.50,160.44,152.88,153.81,1144,0,0
957754800,154.94,155.44,146.00,146.81,1076,0,0
957841200,146.81,149.00,138.87,141.31,1477,0,0
957927600,139.00,139.00,129.00,132.87,1388,0,0
958014000,131.75,141.12,131.00,140.00,1200,0,0
958100400,142.88,146.25,139.50,141.25,1188,0,0
958359600,140.75,144.50,135.25,142.69,1657,0,0
958446000,146.13,149.00,142.88,147.87,1051,0,0
958532400,147.63,151.00,143.06,144.87,1313,0,0
958618800,145.88,147.87,142.75,145.06,943,0,0
958705200,142.00,143.00,135.75,139.50,1201,0,0
958964400,137.56,138.25,129.12,133.75,1446,0,0
959050800,68.00,68.75,64.00,64.00,551,0,0
959137200,64.12,69.44,60.13,68.38,1437,0,0
959223600,71.75,73.56,69.38,70.00,662,0,0
959310000,68.00,69.19,65.06,67.00,727,0,0
959655600,70.00,72.62,68.75,72.25,550,0,0
959742000,72.50,73.37,70.25,72.25,600,0,0
959828400,74.38,78.62,73.88,78.13,574,0,0
960174000,83.75,85.50,80.50,84.00,976,0,0
960260400,84.06,85.25,80.00,80.50,695,0,0
960346800,82.00,84.25,78.94,82.88,975,0,0
960433200,84.00,84.75,80.88,81.75,550,0,0
960778800,83.00,83.62,78.12,79.12,713,0,0
960865200,80.50,83.25,78.56,83.25,664,0,0
960951600,83.50,85.00,81.56,81.88,527,0,0
961038000,81.62,83.00,78.50,80.50,789,0,0
961124400,78.50,82.00,78.50,82.00,351,0,0
961383600,80.88,88.88,80.88,87.75,914,0,0
961470000,87.31,90.00,86.00,86.88,758,0,0
961556400,86.00,88.00,80.00,82.00,1201,0,0
961642800,82.25,85.38,79.25,81.62,1164,0,0
961729200,79.50,79.50,74.00,75.75,726,0,0
961988400,75.00,76.12,73.00,74.75,600,0,0
962074800,74.75,74.75,71.75,71.75,301,0,0
962161200,73.75,74.44,71.25,71.62,426,0,0
962247600,71.00,73.62,67.94,69.00,937,0,0
962334000,69.44,71.50,68.19,68.69,588,0,0
962593200,69.00,69.75,68.56,69.00,239,0,0
962766000,64.25,66.00,63.75,65.75,301,0,0
962852400,65.88,67.31,64.56,67.00,439,0,0
962938800,68.25,70.44,67.88,69.00,438,0,0
963198000,68.50,69.94,67.56,68.00,427,0,0
963284400,67.75,69.50,64.94,68.00,888,0,0
963370800,67.50,68.00,66.06,68.00,339,0,0
963457200,68.50,72.44,67.88,70.88,675,0,0
963543600,71.00,73.00,69.75,72.50,501,0,0
963802800,72.94,74.50,70.75,73.50,695,0,0
963889200,73.00,73.00,69.94,70.56,369,0,0
963975600,70.50,70.50,67.00,67.25,376,0,0
964062000,67.50,69.38,65.56,67.75,740,0,0
964148400,65.50,65.88,61.50,63.50,677,0,0
964407600,62.75,68.88,62.06,68.00,840,0,0
964494000,68.75,70.38,66.38,67.06,632,0,0
964580400,66.56,66.62,62.25,64.06,625,0,0
964666800,57.50,60.00,56.50,57.06,657,0,0
964753200,58.50,58.94,55.88,57.50,513,0,0
965012400,59.38,60.44,58.31,59.50,415,0,0
965098800,59.81,59.81,57.25,58.00,332,0,0
965185200,57.88,59.75,56.19,57.00,625,0,0
965271600,58.00,58.00,53.00,55.75,776,0,0
965358000,59.00,59.00,53.81,55.25,664,0,0
965617200,55.38,59.00,54.88,58.50,513,0,0
965703600,57.69,61.25,57.31,59.88,570,0,0
965790000,61.00,62.25,60.00,60.00,351,0,0
965876400,61.00,61.25,58.38,60.50,525,0,0
965962800,59.00,59.55,56.00,57.25,536,0,0
966222000,59.88,64.00,58.81,63.50,677,0,0
966308400,65.50,67.50,65.25,66.50,351,0,0
966394800,66.94,68.88,66.00,66.50,533,0,0
966481200,66.56,68.56,65.50,67.50,519,0,0
966567600,69.12,71.00,69.00,70.62,251,0,0
966826800,70.62,70.75,66.19,67.75,626,0,0
966913200,67.50,67.50,65.00,65.38,289,0,0
966999600,65.12,67.88,65.12,67.88,277,0,0
967086000,68.50,70.62,68.12,69.62,389,0,0
967172400,69.44,69.69,66.94,67.12,319,0,0
967604400,66.88,67.19,65.44,66.94,345,0,0
967690800,66.06,68.00,66.06,66.75,320,0,0
967777200,68.44,68.62,66.56,67.00,269,0,0
968122800,67.06,67.06,65.62,66.00,183,0,0
968209200,65.06,66.00,62.00,62.88,583,0,0
968295600,62.62,64.25,60.50,61.50,639,0,0
968382000,61.88,61.88,57.31,58.62,589,0,0
968641200,57.94,59.75,56.44,58.00,657,0,0
968727600,58.56,59.44,56.69,57.25,420,0,0
968814000,56.31,58.12,55.56,57.00,444,0,0
968900400,58.50,60.50,58.25,60.12,289,0,0
968986800,59.88,59.88,58.22,59.00,245,0,0
969246000,60.00,62.06,58.06,59.19,720,0,0
969332400,59.12,64.12,58.12,63.69,744,0,0
969418800,62.50,63.62,58.81,60.00,713,0,0
969505200,58.88,59.31,52.50,53.88,863,0,0
969591600,54.00,57.00,53.81,57.00,339,0,0
969850800,57.31,57.81,51.00,52.00,832,0,0
969937200,51.31,52.50,47.88,49.06,700,0,0
970023600,50.50,50.88,46.50,48.38,665,0,0
970110000,48.44,49.25,47.00,47.00,307,0,0
970196400,47.50,48.56,46.81,47.50,351,0,0
970455600,49.19,51.56,48.38,50.00,556,0,0
970542000,51.50,51.50,48.25,48.75,376,0,0
970628400,48.81,50.75,48.75,50.75,207,0,0
970714800,50.00,50.12,47.75,48.81,356,0,0
970801200,48.25,49.88,45.75,46.88,690,0,0
971060400,47.00,47.12,43.06,45.38,651,0,0
971146800,44.25,44.75,41.94,43.25,463,0,0
971233200,40.38,42.50,38.44,41.81,670,0,0
971319600,43.06,43.12,39.12,39.56,451,0,0
971406000,39.56,46.25,39.50,44.50,857,0,0
971665200,45.75,46.00,43.06,43.56,370,0,0
971751600,43.56,43.56,38.88,40.19,600,0,0
971838000,37.00,39.88,35.00,36.88,965,0,0
971924400,44.75,46.38,43.25,45.75,527,0,0
972010800,44.75,49.88,44.19,47.50,864,0,0
972270000,49.25,51.50,48.12,48.88,640,0,0
972356400,48.31,48.44,45.12,45.88,422,0,0
972442800,44.50,44.81,42.12,42.62,351,0,0
972529200,42.62,44.81,40.94,44.25,612,0,0
972615600,46.00,46.00,43.62,44.69,346,0,0
972871200,44.88,47.25,44.81,46.69,308,0,0
972957600,47.50,50.06,47.44,49.06,369,0,0
973044000,47.75,48.06,45.50,46.75,413,0,0
973130400,48.19,48.38,46.00,47.50,408,0,0
973216800,48.12,48.12,46.31,46.62,213,0,0
973476000,47.00,47.75,46.25,46.38,239,0,0
973562400,46.69,46.69,44.66,44.94,232,0,0
973648800,44.94,45.62,42.06,42.31,450,0,0
973735200,41.06,42.00,39.44,41.88,431,0,0
973821600,40.12,40.19,38.75,38.75,152,0,0
974080800,38.50,43.19,38.38,42.31,582,0,0
974167200,44.50,47.44,43.50,45.69,670,0,0
974253600,47.00,48.88,46.25,48.00,427,0,0
974340000,46.88,47.50,46.06,46.50,251,0,0
974426400,46.56,46.56,42.25,43.75,582,0,0
974685600,43.25,44.00,41.00,42.31,507,0,0
974772000,42.81,43.31,41.56,41.94,264,0,0
974858400,41.94,43.50,41.50,41.69,376,0,0
975031200,42.75,44.50,42.50,44.00,276,0,0
975290400,46.50,46.56,44.06,44.25,276,0,0
975376800,44.94,45.19,39.81,40.50,633,0,0
975463200,40.56,40.56,38.56,39.06,251,0,0
975549600,37.00,38.06,36.69,37.31,244,0,0
975636000,37.94,39.88,36.75,37.81,614,0,0
975895200,38.00,41.06,37.94,39.62,463,0,0
975981600,40.25,46.44,40.25,45.69,695,0,0
976068000,45.69,47.50,45.00,46.31,439,0,0
976154400,44.50,44.81,39.81,42.88,839,0,0
976240800,47.25,50.00,46.00,49.50,576,0,0
976500000,49.56,53.00,48.94,51.88,581,0,0
976586400,51.25,53.25,50.38,52.81,419,0,0
976672800,51.38,52.25,48.00,48.00,513,0,0
