time,open,high,low,close,tick_volume,spread,real_volume
1443582000,5.478,5.583,5.443,5.553,206,0,0
1443668400,5.620,5.638,5.530,5.587,184,0,0
1443754800,5.653,5.698,5.548,5.633,281,0,0
1444014000,5.753,5.848,5.723,5.798,206,0,0
1444100400,5.818,5.868,5.783,5.848,141,0,0
1444186800,5.865,5.908,5.807,5.807,145,0,0
1444273200,5.808,5.868,5.778,5.798,171,0,0
1444359600,5.860,5.918,5.827,5.857,180,0,0
1444618800,5.870,5.885,5.817,5.837,104,0,0
1444705200,5.838,5.843,5.708,5.808,241,0,0
1444791600,5.778,5.793,5.708,5.728,121,0,0
1444878000,5.755,5.818,5.737,5.803,115,0,0
1444964400,5.843,5.873,5.763,5.803,181,0,0
1445223600,5.853,5.873,5.773,5.818,166,0,0
1445310000,5.910,6.023,5.892,5.983,190,0,0
1445396400,5.993,6.038,5.913,6.028,216,0,0
1445482800,6.015,6.158,5.992,6.143,205,0,0
1445569200,6.160,6.168,6.042,6.047,140,0,0
1445824800,6.040,6.040,5.972,6.017,114,0,0
1445911200,6.025,6.080,5.957,5.982,204,0,0
1445997600,5.978,6.043,5.968,6.028,101,0,0
1446084000,6.058,6.068,5.803,5.883,356,0,0
1446170400,5.898,5.918,5.783,5.883,256,0,0
1446429600,5.825,5.928,5.792,5.878,220,0,0
1446516000,5.888,5.923,5.743,5.803,276,0,0
1446602400,5.853,5.968,5.838,5.853,261,0,0
1446688800,5.858,5.943,5.793,5.833,276,0,0
1446775200,5.830,5.953,5.792,5.938,215,0,0
1447034400,5.953,6.038,5.858,5.863,271,0,0
1447120800,5.883,5.958,5.868,5.941,123,0,0
1447207200,5.938,6.123,5.863,5.923,506,0,0
1447293600,5.910,5.910,5.537,5.587,424,0,0
1447380000,5.570,5.653,5.487,5.557,320,0,0
1447639200,5.458,5.543,5.448,5.498,151,0,0
1447725600,5.545,5.618,5.522,5.608,130,0,0
1447812000,5.608,5.613,5.503,5.528,141,0,0
1447898400,5.565,5.608,5.507,5.522,160,0,0
1447984800,5.520,5.538,5.372,5.402,215,0,0
1448244000,5.415,5.563,5.392,5.518,240,0,0
1448330400,5.463,5.478,5.368,5.408,166,0,0
1448416800,5.438,5.538,5.378,5.518,241,0,0
1448503200,5.533,5.613,5.518,5.578,146,0,0
1448589600,5.543,5.603,5.513,5.558,166,0,0
1448848800,5.528,5.593,5.493,5.553,176,0,0
1448935200,5.578,5.608,5.528,5.553,136,0,0
1449021600,5.553,5.558,5.463,5.483,121,0,0
1449108000,5.458,5.593,5.320,5.375,464,0,0
1449194400,5.300,5.388,5.257,5.363,200,0,0
1449453600,5.378,5.413,5.328,5.358,151,0,0
1449540000,5.358,5.363,5.158,5.208,261,0,0
1449626400,5.198,5.263,5.113,5.213,286,0,0
