time,open,high,low,close,tick_volume,spread,real_volume
1511528400,7405.4,7419.9,7402.4,7414.4,1959,25,0
1511532000,7414.1,7423.4,7408.4,7421.9,2159,22,0
1511535600,7421.7,7422.9,7405.9,7408.9,1717,23,0
1511539200,7409.4,7416.9,7407.9,7413.9,2815,21,0
1511542800,7413.4,7413.9,7403.4,7411.7,2278,25,0
1511546400,7411.6,7419.9,7409.0,7417.2,1841,23,0
1511550000,7416.9,7423.9,7416.4,7418.9,770,23,0
1511553600,7418.4,7419.9,7416.4,7417.9,86,26,0
1511557200,7418.9,7419.9,7418.4,7418.4,21,27,0
1511560800,7417.9,7422.4,7412.9,7414.4,178,27,0
1511773200,7404.7,7408.7,7397.7,7401.2,976,26,0
1511776800,7400.7,7420.2,7387.7,7419.7,4448,23,0
1511780400,7420.2,7435.2,7415.7,7425.2,2562,23,0
1511784000,7425.7,7437.2,7419.2,7435.2,1613,23,0
1511787600,7434.7,7439.2,7427.7,7429.7,1235,25,0
1511791200,7430.0,7430.2,7394.7,7395.7,2393,23,0
1511794800,7395.2,7408.7,7391.2,7407.4,1762,23,0
1511798400,7407.2,7412.7,7400.2,7402.2,2983,23,0
1511802000,7402.7,7406.3,7392.7,7401.8,2731,22,0
1511805600,7401.3,7403.8,7380.8,7388.3,1906,22,0
1511809200,7388.8,7392.8,7385.8,7392.7,606,21,0
1511812800,7392.2,7398.2,7392.2,7398.2,350,25,0
1511816400,7398.7,7398.7,7391.7,7393.7,273,23,0
1511820000,7393.2,7393.7,7384.2,7384.7,311,23,0
1511859600,7383.3,7396.3,7382.8,7388.3,1456,25,0
1511863200,7388.0,7413.3,7384.8,7410.3,4496,20,0
1511866800,7410.8,7415.8,7406.8,7415.8,2129,23,0
1511870400,7416.0,7429.1,7409.8,7426.3,2253,23,0
1511874000,7425.8,7435.3,7418.3,7429.8,1460,23,0
1511877600,7429.8,7433.5,7421.2,7428.4,1291,21,0
1511881200,7428.9,7443.4,7428.9,7443.4,898,21,0
1511884800,7443.9,7450.9,7441.9,7444.9,1656,21,0
1511888400,7445.4,7470.4,7444.9,7465.4,2006,21,0
1511892000,7465.9,7471.4,7460.9,7467.9,2075,21,0
1511895600,7467.9,7474.4,7432.9,7435.9,1668,20,0
1511899200,7436.4,7454.9,7424.9,7428.4,1947,21,0
1511902800,7428.9,7438.4,7422.9,7431.9,1250,23,0
1511906400,7432.0,7441.4,7430.9,7440.9,729,22,0
1511946000,7439.5,7444.5,7428.5,7432.0,2778,20,0
1511949600,7432.5,7437.0,7413.5,7418.5,5035,20,0
1511953200,7418.3,7429.2,7413.5,7421.9,2838,6,0
1511956800,7421.7,7423.9,7414.4,7416.9,2334,6,0
1511960400,7417.0,7421.9,7414.8,7417.9,1485,6,0
1511964000,7418.0,7427.9,7416.3,7424.4,1584,6,0
1511967600,7424.4,7425.4,7417.4,7425.4,1674,6,0
1511971200,7425.3,7438.9,7419.9,7438.4,1395,6,0
1511974800,7438.9,7443.9,7412.4,7414.9,2693,6,0
1511978400,7415.4,7422.4,7354.4,7362.4,3308,6,0
1511982000,7361.9,7379.9,7359.4,7378.2,1272,6,0
1511985600,7378.4,7386.4,7375.1,7379.9,918,6,0
1511989200,7379.4,7388.9,7378.9,7386.4,1053,8,0
1511992800,7386.9,7390.4,7381.4,7388.4,958,8,0
1512032400,7373.6,7382.1,7364.6,7370.6,1267,6,0
1512036000,7370.1,7372.6,7358.6,7362.6,3322,6,0
1512039600,7362.1,7381.6,7362.1,7378.1,1927,6,0
1512043200,7377.6,7414.6,7370.1,7413.6,1590,8,0
1512046800,7413.4,7418.1,7406.1,7417.1,1651,6,0
1512050400,7416.9,7418.4,7377.2,7386.5,1702,6,0
1512054000,7386.9,7388.0,7378.5,7378.5,1600,5,0
1512057600,7378.0,7379.0,7358.0,7364.0,1791,6,0
1512061200,7363.5,7368.5,7343.0,7351.5,2345,6,0
1512064800,7351.0,7354.5,7320.5,7326.5,2926,6,0
1512068400,7327.0,7343.5,7326.5,7332.5,1427,6,0
1512072000,7333.0,7337.5,7311.0,7313.5,1005,8,0
1512075600,7314.0,7322.5,7313.5,7315.0,572,8,0
1512079200,7315.5,7326.5,7309.5,7320.0,939,6,0
1512118800,7322.1,7335.1,7319.1,7333.1,1170,6,0
1512122400,7332.6,7344.6,7308.6,7313.1,3443,6,0
1512126000,7313.3,7317.6,7305.1,7316.1,2804,6,0
1512129600,7316.3,7318.6,7287.8,7290.1,2410,6,0
1512133200,7289.6,7304.6,7289.1,7303.1,1730,6,0
1512136800,7303.6,7324.6,7299.3,7320.6,1524,6,0
1512140400,7320.4,7346.1,7319.1,7333.6,1544,7,0
1512144000,7333.1,7343.1,7322.1,7334.6,2284,6,0
1512147600,7335.1,7354.6,7332.6,7344.6,3045,6,0
1512151200,7344.4,7346.1,7278.1,7313.6,12881,6,0
1512154800,7313.6,7329.6,7307.6,7321.6,5837,6,0
1512158400,7321.6,7332.1,7316.6,7322.1,2343,6,0
1512162000,7322.1,7338.6,7320.6,7336.1,1858,6,0
1512165600,7336.1,7344.1,7329.6,7332.0,1635,6,0
1512378000,7360.6,7369.1,7359.4,7367.1,1554,6,0
1512381600,7364.1,7369.6,7345.8,7359.3,3312,9,0
1512385200,7359.4,7363.1,7352.6,7353.1,1636,6,0
1512388800,7353.6,7363.6,7349.6,7354.8,1305,9,0
1512392400,7354.6,7362.1,7327.6,7339.1,1998,9,0
1512396000,7338.6,7343.3,7321.1,7341.6,1729,9,0
1512399600,7341.9,7342.1,7328.6,7338.1,1570,6,0
1512403200,7337.6,7349.6,7334.6,7340.6,2287,6,0
1512406800,7341.1,7347.8,7323.1,7335.1,5126,9,0
1512410400,7335.3,7350.6,7334.3,7347.9,3220,6,0
1512414000,7347.6,7352.1,7342.6,7348.6,1339,6,0
1512417600,7349.1,7353.1,7347.1,7347.6,957,9,0
1512421200,7347.8,7347.9,7330.1,7333.8,1591,9,0
1512424800,7333.6,7335.1,7313.6,7313.6,1588,6,0
1512464400,7338.4,7351.4,7337.6,7349.4,1175,7,0
1512468000,7349.4,7374.2,7348.9,7364.4,2984,6,0
1512471600,7364.4,7364.9,7346.9,7350.4,2531,6,0
1512475200,7350.9,7354.2,7336.4,7339.4,2226,6,0
1512478800,7339.2,7351.9,7336.9,7351.9,2247,6,0
1512482400,7351.9,7353.4,7337.9,7350.9,2338,6,0
1512486000,7351.0,7354.4,7340.9,7344.4,1647,6,0
1512489600,7344.5,7353.9,7330.4,7334.4,3438,6,0
1512493200,7333.7,7338.6,7325.7,7333.4,4555,6,0
1512496800,7333.1,7340.9,7318.4,7319.9,2725,6,0
1512500400,7319.4,7324.9,7314.4,7320.4,1652,6,0
1512504000,7320.4,7326.4,7317.9,7322.6,1193,6,0
1512507600,7322.9,7325.4,7310.4,7313.9,1484,6,0
1512511200,7314.1,7316.9,7307.9,7308.4,1317,6,0
1512550800,7299.0,7305.5,7292.5,7300.5,1433,6,0
1512554400,7300.5,7308.3,7288.5,7307.5,3165,6,0
1512558000,7307.8,7321.0,7306.0,7317.3,2143,6,0
1512561600,7317.5,7330.0,7315.0,7318.5,1958,6,0
