time,open,high,low,close,tick_volume,spread,real_volume
1336014000,21.315,21.335,21.315,21.335,21,0,0
1336100400,21.235,21.365,21.005,21.040,526,0,0
1336446000,21.155,21.155,20.840,20.840,316,0,0
1336532400,20.735,20.780,20.510,20.780,496,0,0
1336618800,20.810,20.810,20.525,20.630,391,0,0
1336705200,20.545,21.060,20.545,21.010,566,0,0
1336964400,20.845,20.865,20.620,20.740,386,0,0
1337050800,20.790,20.935,20.605,20.675,546,0,0
1337137200,20.475,20.640,20.345,20.390,506,0,0
1337223600,20.455,20.475,20.230,20.330,366,0,0
1337310000,20.130,20.360,20.010,20.190,641,0,0
1337569200,20.285,20.475,20.215,20.280,516,0,0
1337655600,20.340,20.405,20.050,20.260,631,0,0
1337742000,20.115,20.280,20.045,20.115,471,0,0
1337828400,20.225,20.445,20.105,20.280,626,0,0
1337914800,20.330,20.475,20.135,20.295,646,0,0
1338174000,20.410,20.565,20.120,20.185,666,0,0
1338260400,20.240,20.440,20.130,20.245,616,0,0
1338346800,20.145,20.310,20.080,20.115,431,0,0
1339038000,20.410,20.520,20.385,20.400,261,0,0
1339124400,20.395,20.555,20.360,20.445,341,0,0
1339383600,20.675,20.745,20.335,20.350,496,0,0
1339470000,20.405,20.720,20.285,20.540,736,0,0
1339556400,20.645,20.815,20.540,20.795,401,0,0
1339642800,20.890,21.025,20.790,21.025,336,0,0
1339729200,21.095,21.185,20.675,20.715,641,0,0
1339988400,20.885,20.965,20.695,20.845,501,0,0
1340074800,20.525,20.870,20.215,20.780,1056,0,0
1340161200,20.745,20.825,20.295,20.645,961,0,0
1340247600,20.515,20.915,20.460,20.850,576,0,0
1340334000,20.845,20.975,20.720,20.920,436,0,0
1340593200,20.755,20.865,20.610,20.730,486,0,0
1340679600,20.795,20.865,20.605,20.775,501,0,0
1340766000,20.765,21.090,20.750,21.030,416,0,0
1340852400,21.055,21.120,20.790,20.950,556,0,0
1340938800,21.295,21.605,21.200,21.475,631,0,0
1341198000,21.385,21.630,21.345,21.525,431,0,0
1341284400,21.730,21.855,21.565,21.855,456,0,0
1341370800,21.745,22.015,21.735,21.765,541,0,0
1341457200,21.865,21.900,21.540,21.650,506,0,0
1341543600,21.605,21.740,21.565,21.645,311,0,0
1341802800,21.675,21.785,21.485,21.500,426,0,0
1341889200,21.430,21.655,21.350,21.590,451,0,0
1341975600,21.480,21.570,21.245,21.305,476,0,0
1342062000,21.235,21.305,21.110,21.290,336,0,0
1342148400,21.245,21.455,21.245,21.375,291,0,0
1342407600,21.365,21.480,21.300,21.435,291,0,0
1342494000,21.600,21.620,21.355,21.530,461,0,0
