time,open,high,low,close,tick_volume,spread,real_volume
946864800,53.13,54.06,52.94,53.75,163,0,0
946951200,53.38,54.25,52.94,53.06,231,0,0
947037600,53.13,54.19,52.63,52.94,294,0,0
947124000,53.00,55.50,52.88,54.88,337,0,0
947210400,57.50,61.50,56.88,61.31,544,0,0
947469600,61.81,61.88,59.81,60.25,259,0,0
947556000,59.00,61.31,58.69,60.38,387,0,0
947642400,59.88,61.00,59.50,59.81,294,0,0
947728800,60.13,61.94,59.81,61.69,271,0,0
947815200,62.00,62.81,61.50,61.63,226,0,0
948160800,60.25,61.00,58.25,59.00,426,0,0
948247200,58.50,60.44,58.50,59.50,289,0,0
948333600,59.50,61.00,58.50,61.00,351,0,0
948420000,61.00,61.00,57.75,58.38,389,0,0
948679200,57.38,58.06,54.56,55.19,482,0,0
948765600,55.50,56.19,54.56,55.19,296,0,0
948852000,54.50,56.31,54.50,55.06,307,0,0
948938400,55.06,55.31,53.88,54.19,200,0,0
949024800,52.25,54.63,52.25,52.63,439,0,0
949284000,52.63,55.25,52.56,53.00,502,0,0
949370400,53.50,55.44,53.13,54.44,369,0,0
949456800,54.88,56.50,54.88,55.88,225,0,0
949543200,55.38,56.00,55.06,55.38,189,0,0
949629600,55.63,56.81,55.63,56.75,125,0,0
949888800,56.00,58.50,55.81,58.19,320,0,0
949975200,56.00,57.13,55.75,56.00,277,0,0
950061600,56.50,56.69,53.75,53.94,333,0,0
950148000,57.88,60.44,57.06,57.88,677,0,0
950234400,57.13,59.13,55.88,56.00,538,0,0
950493600,56.63,57.50,56.38,56.88,200,0,0
950580000,58.38,61.44,58.25,59.38,539,0,0
950666400,59.69,62.50,59.31,61.31,477,0,0
950752800,62.00,64.69,61.88,62.88,475,0,0
950839200,62.13,62.50,57.25,57.88,626,0,0
951184800,58.00,59.63,57.69,58.81,308,0,0
951271200,58.25,58.50,56.88,57.25,225,0,0
951357600,56.63,56.75,51.94,52.63,563,0,0
951444000,52.63,52.88,50.56,51.25,327,0,0
951703200,51.00,52.44,50.50,51.44,345,0,0
951789600,51.19,51.94,51.00,51.13,183,0,0
