time,open,high,low,close,tick_volume,spread,real_volume
946864800,44.13,44.13,42.94,43.06,132,0,0
946951200,43.06,43.38,42.63,43.00,145,0,0
947037600,43.00,43.75,42.94,43.00,163,0,0
947124000,43.00,46.00,43.00,45.63,338,0,0
947210400,45.63,45.69,44.63,45.31,181,0,0
947469600,46.38,46.75,45.50,46.38,251,0,0
947556000,46.25,47.19,46.25,46.75,139,0,0
947642400,46.50,46.81,45.63,45.81,168,0,0
947728800,45.81,47.63,45.38,46.63,369,0,0
947815200,46.75,46.94,45.69,46.06,182,0,0
948160800,45.56,45.88,44.25,44.38,209,0,0
948247200,43.13,43.69,42.25,43.63,239,0,0
948333600,44.25,44.81,40.88,42.00,562,0,0
948420000,42.56,44.19,42.50,43.75,220,0,0
948679200,43.81,44.25,42.38,42.44,238,0,0
948765600,42.44,42.69,40.00,40.94,389,0,0
948852000,41.00,41.81,39.94,41.81,294,0,0
948938400,42.00,42.00,40.06,40.25,214,0,0
949024800,40.31,41.31,39.75,40.63,281,0,0
949284000,40.63,41.13,39.81,40.25,227,0,0
949370400,40.00,40.38,39.50,40.31,146,0,0
949456800,40.13,40.25,38.63,38.75,187,0,0
949543200,39.25,39.56,39.00,39.31,107,0,0
949629600,39.75,40.88,39.69,40.31,183,0,0
949888800,40.25,40.50,39.50,39.69,145,0,0
949975200,39.94,40.00,38.63,38.75,156,0,0
950061600,39.25,40.63,38.81,38.94,334,0,0
950148000,38.94,38.94,35.88,37.06,425,0,0
950234400,37.13,37.38,36.63,36.75,113,0,0
950493600,37.25,38.00,36.88,38.00,150,0,0
950580000,38.50,38.81,37.75,38.81,182,0,0
950666400,39.00,39.38,37.00,37.38,315,0,0
950752800,37.50,38.00,36.75,37.88,213,0,0
950839200,38.00,38.25,37.44,37.75,138,0,0
951184800,37.94,39.38,37.88,38.81,214,0,0
951271200,38.81,39.44,38.75,39.31,89,0,0
951357600,39.50,39.56,36.25,37.25,438,0,0
951444000,37.25,37.50,36.56,37.44,170,0,0
951703200,37.44,38.75,36.81,38.50,283,0,0
951789600,38.44,38.81,37.94,38.00,131,0,0
951876000,38.13,38.63,38.00,38.25,115,0,0
951962400,38.19,38.19,37.38,37.81,125,0,0
952048800,37.75,40.00,37.56,39.38,326,0,0
952308000,39.13,39.13,37.31,37.75,227,0,0
952394400,37.25,37.50,35.69,36.00,238,0,0
952480800,36.50,37.06,36.25,36.31,144,0,0
952567200,36.50,36.50,34.56,35.94,333,0,0
