time,open,high,low,close,tick_volume,spread,real_volume
946864800,69.47,69.53,66.79,66.86,288,0,0
946951200,66.79,66.79,64.43,64.74,268,0,0
947037600,64.67,67.79,64.55,67.79,337,0,0
947124000,65.67,67.91,64.80,67.79,411,0,0
947210400,67.42,67.42,65.55,66.17,250,0,0
947469600,66.67,67.23,66.23,66.86,182,0,0
947556000,66.92,67.23,65.05,65.05,250,0,0
947642400,65.92,67.29,65.24,67.17,286,0,0
947728800,67.42,68.29,67.17,68.10,157,0,0
947815200,68.66,69.04,68.10,68.85,170,0,0
948160800,68.79,68.79,67.17,68.48,294,0,0
948247200,68.29,68.35,67.23,68.04,200,0,0
948333600,67.91,68.91,67.91,68.66,126,0,0
948420000,68.66,68.66,66.48,67.04,275,0,0
948679200,67.67,68.04,65.80,65.80,262,0,0
948765600,65.42,66.42,64.55,65.67,350,0,0
948852000,65.05,65.42,64.30,64.92,212,0,0
948938400,65.11,65.17,63.80,64.92,256,0,0
949024800,64.92,65.67,63.80,64.74,357,0,0
949284000,62.81,63.80,58.82,59.81,697,0,0
949370400,59.50,61.31,58.13,61.19,468,0,0
949456800,59.57,59.75,57.01,58.07,399,0,0
949543200,59.07,59.32,57.20,57.45,263,0,0
949629600,58.01,58.01,55.89,56.20,244,0,0
949888800,56.45,56.64,55.33,55.58,176,0,0
949975200,56.08,59.19,55.58,59.19,412,0,0
950061600,59.32,59.44,57.82,57.82,175,0,0
950148000,57.88,58.32,56.33,56.89,300,0,0
950234400,56.64,56.82,54.95,54.95,206,0,0
950493600,55.14,55.33,53.96,54.21,182,0,0
950580000,54.27,54.83,53.40,54.77,237,0,0
950666400,55.02,56.26,54.33,55.83,306,0,0
950752800,56.33,58.07,55.95,57.82,276,0,0
950839200,57.82,59.25,55.08,56.76,729,0,0
951184800,56.76,56.76,54.39,54.83,282,0,0
951357600,55.00,55.00,53.81,54.06,145,0,0
951444000,54.94,55.75,54.06,55.50,283,0,0
951703200,55.56,55.63,54.50,55.00,171,0,0
951789600,55.00,55.31,54.50,54.62,125,0,0
951876000,54.62,54.69,51.88,52.50,351,0,0
951962400,52.12,53.62,52.06,53.31,194,0,0
952048800,53.31,53.50,52.56,52.69,127,0,0
952308000,54.38,54.38,52.50,52.75,214,0,0
952394400,52.75,52.81,49.00,50.62,550,0,0
952480800,52.75,54.50,51.31,54.31,483,0,0
952567200,54.50,54.50,52.44,53.00,263,0,0
952653600,53.75,54.38,53.06,53.44,234,0,0
952912800,52.25,54.19,52.12,52.75,365,0,0
952999200,52.50,53.50,52.31,52.56,233,0,0
953085600,52.94,55.37,51.62,54.94,551,0,0
953172000,55.88,57.62,55.06,56.25,476,0,0
953258400,57.06,57.06,55.50,55.50,157,0,0
953517600,56.50,56.87,55.25,56.56,319,0,0
953604000,56.31,58.37,55.25,58.19,437,0,0
953690400,58.19,59.06,56.81,56.87,319,0,0
953776800,56.81,59.94,56.00,59.62,508,0,0
953863200,60.00,64.12,59.81,63.75,488,0,0
954126000,63.00,64.00,62.62,63.19,258,0,0
954212400,62.50,63.00,60.06,60.25,364,0,0
954298800,61.25,61.25,58.31,59.06,370,0,0
954385200,58.81,60.13,58.31,58.56,340,0,0
954471600,59.56,63.00,58.19,62.98,621,0,0
954730800,62.00,62.00,59.00,59.38,339,0,0
954817200,59.38,59.75,55.37,57.81,720,0,0
954903600,56.81,58.25,56.81,58.19,151,0,0
954990000,58.31,60.19,58.31,59.87,221,0,0
955076400,59.87,61.44,59.12,60.88,364,0,0
955335600,61.12,64.00,61.00,64.00,313,0,0
955422000,63.31,63.31,62.12,63.19,227,0,0
955508400,62.81,62.87,61.25,61.50,194,0,0
955594800,61.50,61.50,59.44,60.25,288,0,0
955681200,58.50,58.75,55.00,55.00,401,0,0
955940400,57.00,59.50,55.00,58.00,801,0,0
956026800,58.00,61.19,58.00,60.69,370,0,0
956113200,60.19,60.50,58.75,59.06,238,0,0
956199600,61.00,63.88,60.62,63.50,403,0,0
956545200,63.00,63.25,62.00,62.62,213,0,0
956631600,64.31,66.44,63.81,66.44,314,0,0
956718000,66.50,66.94,64.94,66.19,370,0,0
956804400,65.50,66.56,65.19,65.94,231,0,0
956890800,66.69,66.75,65.50,66.50,232,0,0
957150000,66.62,66.94,64.25,64.25,302,0,0
957236400,64.06,64.44,63.25,63.81,214,0,0
957322800,64.06,64.06,62.31,62.38,183,0,0
957409200,62.12,62.12,60.00,60.94,307,0,0
957495600,59.75,60.88,59.00,59.87,365,0,0
957754800,59.00,61.75,58.31,61.06,483,0,0
957841200,61.50,63.38,60.81,62.50,415,0,0
957927600,62.00,62.38,60.62,60.81,234,0,0
958014000,60.88,61.69,60.88,61.25,126,0,0
958100400,61.50,62.62,61.37,61.56,245,0,0
958359600,61.56,64.00,60.69,63.31,488,0,0
958446000,64.00,64.00,61.88,62.00,225,0,0
958532400,61.75,62.87,61.19,62.31,281,0,0
958618800,62.25,62.25,61.37,62.12,164,0,0
958705200,61.88,62.19,60.50,61.88,339,0,0
958964400,61.63,61.88,59.87,61.44,384,0,0
959050800,61.19,62.25,61.12,61.88,158,0,0
959137200,61.00,61.37,59.12,59.62,313,0,0
959223600,59.44,60.25,58.00,58.88,395,0,0
959310000,59.00,59.31,56.75,57.19,332,0,0
959655600,57.00,59.31,57.00,59.06,257,0,0
959742000,59.94,60.94,59.62,59.87,258,0,0
959828400,60.81,62.06,60.62,61.50,220,0,0
960174000,60.88,62.50,60.81,61.56,271,0,0
960260400,61.56,61.88,60.75,61.75,208,0,0
960346800,61.75,62.19,61.44,62.06,120,0,0
960433200,62.00,62.12,60.25,60.25,200,0,0
960778800,59.00,59.88,57.50,59.34,443,0,0
960865200,59.50,62.06,59.25,61.31,382,0,0
960951600,61.19,61.88,60.88,61.25,195,0,0
961038000,61.50,62.50,61.44,62.38,125,0,0
961124400,62.44,62.75,61.38,61.75,206,0,0
961383600,61.75,62.19,60.25,62.12,352,0,0
961470000,61.88,62.00,60.88,61.44,181,0,0
961556400,60.94,61.81,60.56,61.75,170,0,0
961642800,61.56,62.94,61.25,62.94,201,0,0
961729200,62.81,62.81,61.31,61.44,164,0,0
961988400,60.75,61.00,60.31,60.75,139,0,0
962074800,60.75,60.94,59.62,60.12,202,0,0
962161200,60.19,60.81,59.56,59.62,194,0,0
962247600,59.62,60.31,58.62,60.25,276,0,0
962334000,60.31,62.00,58.91,58.91,479,0,0
962593200,59.50,59.88,59.31,59.44,109,0,0
962766000,59.62,61.31,59.50,61.00,225,0,0
962852400,61.00,61.44,61.00,61.31,58,0,0
962938800,60.38,61.00,60.12,60.69,146,0,0
963198000,60.00,61.06,59.88,61.00,137,0,0
963284400,60.31,60.94,60.31,60.81,77,0,0
963370800,60.50,61.06,60.19,60.69,156,0,0
963457200,60.56,60.75,60.06,60.31,114,0,0
963543600,60.69,61.00,60.44,60.88,94,0,0
963802800,60.94,61.38,60.06,60.44,215,0,0
963889200,60.19,60.88,60.19,60.75,83,0,0
963975600,60.75,61.50,60.62,61.25,127,0,0
964062000,60.88,60.94,59.19,59.56,219,0,0
964148400,59.31,60.00,59.00,59.50,182,0,0
964407600,58.75,59.50,58.50,59.00,176,0,0
964494000,58.56,59.06,58.56,58.69,88,0,0
964580400,58.62,58.69,57.56,58.12,177,0,0
964666800,58.00,58.69,57.50,58.12,227,0,0
964753200,58.69,58.88,57.25,57.38,196,0,0
965012400,57.38,58.75,57.25,58.75,164,0,0
965098800,58.56,58.56,57.88,58.31,112,0,0
965185200,58.38,58.50,57.75,58.19,132,0,0
965271600,57.62,58.50,57.31,57.94,207,0,0
965358000,57.44,58.00,57.44,57.69,88,0,0
965617200,57.81,57.94,57.25,57.38,96,0,0
965703600,57.12,57.25,56.69,56.88,89,0,0
965790000,56.88,57.00,55.69,55.75,150,0,0
965876400,55.44,58.75,54.88,58.50,469,0,0
965962800,58.00,59.00,57.75,59.00,151,0,0
966222000,58.75,59.06,58.50,58.62,100,0,0
966308400,58.38,58.50,57.56,57.88,139,0,0
966394800,57.62,58.00,57.25,57.31,120,0,0
966481200,57.31,57.44,56.75,56.75,83,0,0
966567600,56.75,57.00,55.81,56.19,183,0,0
966826800,56.25,56.81,55.75,55.81,169,0,0
966913200,55.81,56.38,55.75,56.25,83,0,0
966999600,56.00,56.25,55.69,55.75,88,0,0
967086000,55.56,56.81,55.56,56.44,163,0,0
967172400,56.44,57.94,56.44,57.62,183,0,0
967604400,55.25,55.81,55.00,55.12,150,0,0
967690800,55.44,56.12,55.25,55.44,175,0,0
967777200,55.62,56.19,55.38,55.88,137,0,0
968122800,55.25,56.19,55.12,55.56,184,0,0
968209200,55.31,56.00,54.75,55.81,201,0,0
968295600,55.12,55.75,54.25,54.56,245,0,0
968382000,54.44,54.50,53.12,53.31,164,0,0
968641200,53.56,53.69,51.88,52.38,245,0,0
968727600,52.94,53.94,52.50,53.56,227,0,0
968814000,53.75,56.25,53.75,55.00,376,0,0
968900400,56.50,56.62,55.19,55.44,181,0,0
968986800,55.50,55.94,55.06,55.38,165,0,0
969246000,55.06,55.12,52.75,53.00,269,0,0
969332400,52.38,52.69,52.00,52.50,127,0,0
969418800,52.50,54.19,52.50,54.00,189,0,0
969505200,55.50,56.50,55.25,55.25,226,0,0
969591600,55.50,56.19,55.06,56.00,177,0,0
969850800,56.44,57.00,56.31,56.75,108,0,0
969937200,56.88,57.25,56.50,56.94,145,0,0
970023600,56.81,56.81,56.50,56.62,44,0,0
970110000,56.50,57.56,56.50,57.31,132,0,0
970196400,56.31,56.75,55.25,56.38,294,0,0
970455600,56.00,56.88,55.88,56.69,132,0,0
970542000,56.62,57.25,56.50,56.62,151,0,0
970628400,56.62,59.81,56.50,58.75,450,0,0
970714800,59.00,59.19,58.25,58.50,139,0,0
970801200,58.38,58.88,57.81,58.06,183,0,0
971060400,58.31,58.38,56.56,56.88,222,0,0
971146800,56.88,59.38,56.62,58.88,353,0,0
971233200,59.00,59.00,57.38,57.50,175,0,0
971319600,57.00,57.19,54.75,54.75,264,0,0
971406000,54.81,57.00,54.56,56.62,308,0,0
971665200,56.50,56.50,55.62,55.94,121,0,0
971751600,55.81,55.94,54.94,55.12,132,0,0
971838000,52.50,54.00,51.25,53.06,495,0,0
971924400,57.75,61.00,57.31,60.00,514,0,0
972010800,59.94,62.19,59.62,62.00,309,0,0
972270000,61.44,61.62,60.75,60.81,112,0,0
972356400,59.50,59.94,59.44,59.75,76,0,0
972442800,59.88,59.94,59.25,59.62,113,0,0
972529200,59.19,59.75,58.75,59.75,145,0,0
972615600,59.75,59.88,59.19,59.31,95,0,0
972871200,59.00,61.38,58.50,61.12,365,0,0
972957600,61.88,61.94,60.06,60.75,264,0,0
973044000,60.62,60.69,59.50,59.62,139,0,0
973130400,59.50,61.50,58.00,61.38,513,0,0
973216800,60.50,61.06,59.75,60.56,257,0,0
973476000,60.44,60.44,59.38,60.00,169,0,0
973562400,60.00,60.62,59.50,59.94,219,0,0
973648800,60.00,60.12,59.38,59.75,124,0,0
973735200,59.38,59.88,58.50,58.62,201,0,0
