time,open,high,low,close,tick_volume,spread,real_volume
1519268400,24710.1,24730.2,24592.9,24637.3,14422,41,0
1519272000,24636.6,24666.8,24619.5,24647.5,9930,41,0
1519275600,24647.5,24657.9,24632.2,24637.2,4923,42,0
1519279200,24636.7,24659.0,24631.1,24652.5,3882,44,0
1519282800,24652.5,24697.8,24641.4,24685.2,5969,41,0
1519286400,24685.8,24692.4,24657.0,24670.3,3592,43,0
1519290000,24670.0,24703.9,24639.8,24683.7,8059,41,0
1519293600,24682.7,24731.0,24649.3,24681.2,10759,42,0
1519297200,24682.0,24714.3,24660.3,24714.0,9365,43,0
1519300800,24713.0,24796.1,24705.7,24766.9,9332,44,0
1519304400,24767.1,24811.0,24745.6,24779.1,7698,44,0
1519308000,24779.0,24841.9,24779.0,24803.1,11845,43,0
1519311600,24803.1,24866.3,24778.5,24850.3,11847,43,0
1519315200,24850.6,25008.0,24845.8,24911.5,24265,41,0
1519318800,24914.8,25052.8,24873.3,25000.5,29964,41,0
1519322400,25000.5,25133.8,24997.3,25118.8,22544,41,0
1519326000,25118.8,25142.3,24994.7,25015.2,19126,41,0
1519329600,25014.7,25064.1,24936.0,24996.8,19891,41,0
1519333200,24997.4,25092.0,24936.8,24948.4,17666,41,0
1519336800,24947.9,25001.7,24888.5,24952.5,20868,41,0
1519347600,25026.6,25042.3,25004.7,25037.5,2099,41,0
1519351200,25037.1,25104.6,25015.1,25086.7,6890,41,0
1519354800,25087.4,25102.3,25060.3,25085.4,7954,41,0
1519358400,25086.2,25122.2,25075.1,25101.8,6013,42,0
1519362000,25101.8,25103.5,25073.4,25101.1,5314,43,0
1519365600,25101.1,25110.3,25069.1,25097.2,3547,43,0
1519369200,25097.2,25125.0,25094.3,25114.5,5375,41,0
1519372800,25114.5,25217.5,25110.2,25186.6,6857,42,0
1519376400,25186.6,25214.1,25172.0,25176.9,7007,43,0
1519380000,25177.2,25177.2,25105.0,25126.9,10461,43,0
1519383600,25126.4,25173.8,25104.7,25145.3,6823,43,0
1519387200,25145.4,25156.1,25077.4,25100.9,7548,42,0
1519390800,25100.9,25152.3,25097.7,25151.2,6830,43,0
1519394400,25150.7,25169.3,25123.9,25124.5,7288,41,0
1519398000,25125.1,25156.4,25091.6,25101.4,7548,41,0
1519401600,25101.3,25164.1,25072.9,25107.1,24480,41,0
1519405200,25107.1,25126.5,25024.6,25093.6,31372,41,0
1519408800,25093.9,25160.7,25086.8,25148.6,21623,41,0
1519412400,25147.6,25155.6,25085.6,25105.5,16637,41,0
1519416000,25106.0,25134.8,25070.4,25123.6,14809,41,0
1519419600,25123.6,25212.1,25084.3,25196.6,15111,41,0
1519423200,25196.7,25311.1,25195.3,25309.1,16287,41,0
1519606800,25328.7,25412.5,25328.7,25392.3,2934,33,0
1519610400,25392.3,25397.4,25312.8,25331.3,8382,33,0
1519614000,25331.3,25372.3,25326.8,25348.3,9734,33,0
1519617600,25348.3,25370.4,25327.1,25359.3,7349,33,0
1519621200,25359.3,25397.5,25357.8,25378.3,4506,33,0
1519624800,25378.4,25393.9,25370.2,25381.3,2530,32,0
1519628400,25380.3,25410.4,25376.0,25406.3,3554,33,0
1519632000,25405.3,25446.4,25405.2,25429.9,3804,31,0
1519635600,25429.4,25455.3,25424.5,25438.3,5919,33,0
1519639200,25437.3,25512.0,25423.5,25505.8,10051,32,0
1519642800,25505.8,25520.0,25461.2,25466.5,7870,31,0
1519646400,25466.6,25500.3,25463.3,25493.3,5158,32,0
1519650000,25493.3,25498.7,25471.6,25482.8,4914,31,0
1519653600,25482.8,25501.1,25459.8,25484.1,6007,31,0
1519657200,25484.1,25489.8,25448.7,25457.3,7925,31,0
1519660800,25456.3,25549.1,25427.1,25514.0,22578,31,0
1519664400,25514.0,25527.9,25437.0,25472.5,29584,31,0
1519668000,25472.5,25558.9,25454.0,25530.8,20605,31,0
1519671600,25530.8,25653.0,25528.8,25645.3,16525,31,0
1519675200,25645.3,25683.5,25637.8,25652.5,13243,31,0
1519678800,25654.3,25693.8,25622.8,25646.6,14964,31,0
1519682400,25644.5,25736.3,25633.6,25708.4,17832,31,0
1519689600,25774.8,25774.8,25774.8,25774.8,1,62,0
1519693200,25772.6,25795.7,25767.3,25781.8,2006,32,0
1519696800,25781.3,25791.1,25766.4,25790.8,3390,31,0
1519700400,25790.8,25824.6,25781.5,25805.8,5244,31,0
1519704000,25805.8,25819.0,25788.4,25791.8,4296,33,0
1519707600,25791.8,25792.8,25754.4,25770.8,5242,33,0
1519711200,25770.3,25775.0,25746.8,25760.8,2764,33,0
1519714800,25760.8,25763.8,25732.5,25747.8,4277,33,0
1519718400,25746.8,25755.9,25697.8,25720.0,4157,33,0
1519722000,25720.0,25741.0,25706.1,25733.2,6281,33,0
1519725600,25732.8,25787.8,25721.4,25737.8,10431,34,0
1519729200,25736.3,25751.9,25697.5,25721.7,6982,34,0
1519732800,25721.2,25769.0,25708.4,25741.5,5748,34,0
1519736400,25741.5,25760.5,25693.5,25697.1,9465,32,0
1519740000,25697.1,25756.3,25696.7,25746.3,7611,31,0
1519743600,25745.8,25764.0,25702.3,25749.8,10651,31,0
1519747200,25751.8,25771.7,25691.9,25707.4,22398,33,0
1519750800,25707.4,25805.5,25622.3,25659.7,28601,31,0
1519754400,25660.7,25734.5,25625.5,25631.8,32659,31,0
1519758000,25631.8,25709.5,25555.6,25705.4,31016,31,0
1519761600,25704.4,25707.4,25602.8,25619.2,24110,31,0
