time,open,high,low,close,tick_volume,spread,real_volume
1521136800,24993.2,25031.4,24957.2,24976.8,19547,31,0
1521140400,24976.8,24991.4,24837.6,24837.8,18408,31,0
1521144000,24837.8,24894.4,24799.6,24892.2,22573,31,0
1521147600,24892.4,24929.4,24858.9,24893.9,19985,31,0
1521151200,24892.9,24944.7,24892.9,24942.7,3604,31,0
1521158400,24935.9,24944.2,24925.5,24933.4,1115,38,0
1521162000,24931.2,24951.1,24929.2,24941.9,1296,37,0
1521165600,24940.9,24944.9,24901.9,24910.9,3899,31,0
1521169200,24910.1,24910.2,24844.9,24872.2,8503,31,0
1521172800,24873.0,24889.1,24862.2,24867.6,4456,31,0
1521176400,24867.6,24902.0,24851.9,24854.9,3743,31,0
1521180000,24854.9,24877.9,24854.2,24877.1,2751,33,0
1521183600,24876.0,24927.9,24876.0,24910.0,4528,31,0
1521187200,24910.0,24911.0,24883.9,24884.9,3862,32,0
1521190800,24884.9,24891.0,24860.4,24863.6,3312,31,0
1521194400,24863.7,24926.3,24861.7,24918.9,7859,32,0
1521198000,24918.9,24924.9,24899.9,24909.0,5316,31,0
1521201600,24909.9,24919.2,24880.9,24911.1,6330,31,0
1521205200,24910.1,24923.1,24877.9,24881.5,5404,31,0
1521208800,24880.6,24949.2,24869.9,24927.9,8353,31,0
1521212400,24927.9,24997.9,24864.9,24962.7,24889,31,0
1521216000,24962.7,25016.9,24927.9,24995.2,25836,31,0
1521219600,24995.2,25046.9,24945.2,24974.9,19808,31,0
1521223200,24974.9,25043.9,24963.4,25025.9,15550,31,0
1521226800,25025.9,25036.9,24965.9,24974.2,12499,31,0
1521230400,24974.2,25005.4,24947.9,24996.4,9956,31,0
1521234000,24996.5,25024.4,24942.4,24943.9,13938,32,0
1521237600,24941.9,24984.9,24941.9,24963.1,2997,32,0
1521417600,24958.0,24960.8,24929.0,24937.9,1282,35,0
1521421200,24936.8,24948.6,24927.6,24938.9,1160,31,0
1521424800,24938.9,24961.0,24897.8,24903.6,3632,31,0
1521428400,24901.9,24904.9,24857.7,24888.9,9593,31,0
1521432000,24888.9,24917.8,24888.6,24899.6,5274,31,0
1521435600,24899.6,24912.7,24890.8,24899.9,3525,31,0
1521439200,24899.6,24907.7,24895.6,24902.6,2350,34,0
1521442800,24902.6,24929.6,24877.8,24907.7,4640,31,0
1521446400,24906.8,24911.8,24889.9,24905.7,3316,31,0
1521450000,24905.6,24922.6,24893.8,24911.4,4580,34,0
1521453600,24911.4,24924.3,24780.1,24817.7,15384,31,0
1521457200,24817.9,24850.9,24806.7,24842.6,9831,31,0
1521460800,24841.8,24848.9,24815.6,24831.6,7740,34,0
1521464400,24831.6,24841.8,24812.4,24839.7,6800,32,0
1521468000,24838.6,24881.8,24836.7,24849.6,8680,31,0
1521471600,24849.8,24868.6,24746.9,24790.6,26849,31,0
1521475200,24790.6,24796.4,24695.0,24718.6,29693,31,0
1521478800,24718.6,24736.6,24621.1,24646.3,28565,31,0
1521482400,24647.1,24665.9,24568.3,24596.3,31894,31,0
1521486000,24595.6,24604.2,24481.1,24579.2,28112,31,0
1521489600,24577.2,24602.1,24472.7,24542.8,28315,31,0
1521493200,24542.3,24649.1,24500.9,24623.9,31165,31,0
1521496800,24622.9,24701.2,24621.9,24682.4,5584,33,0
1521504000,24664.4,24664.5,24632.1,24644.6,1416,33,0
1521507600,24643.7,24649.5,24617.9,24634.9,1791,35,0
1521511200,24634.9,24691.1,24632.9,24653.1,5672,31,0
1521514800,24652.2,24696.3,24649.2,24662.8,8024,32,0
1521518400,24660.1,24666.0,24639.8,24646.8,5423,35,0
1521522000,24646.8,24677.1,24646.8,24668.8,3763,35,0
1521525600,24667.8,24713.0,24663.8,24689.8,3334,35,0
1521529200,24689.0,24728.3,24686.9,24726.3,4403,35,0
1521532800,24724.3,24747.1,24711.8,24715.9,4405,33,0
1521536400,24715.9,24728.0,24684.2,24684.2,6622,32,0
1521540000,24685.0,24705.0,24657.0,24683.1,8740,33,0
1521543600,24681.0,24685.0,24611.0,24636.0,8519,33,0
1521547200,24636.0,24688.6,24628.1,24674.8,8489,31,0
1521550800,24673.8,24727.8,24673.8,24726.9,8197,35,0
1521554400,24726.9,24729.0,24683.4,24695.4,8025,31,0
1521558000,24694.4,24775.9,24658.9,24715.9,24126,31,0
1521561600,24715.9,24817.0,24691.1,24779.1,29564,31,0
1521565200,24780.1,24796.6,24702.3,24739.5,29169,31,0
1521568800,24739.6,24781.5,24717.8,24728.8,21336,31,0
1521572400,24728.8,24743.8,24690.5,24708.5,13586,31,0
1521576000,24710.5,24791.5,24684.1,24782.6,17791,31,0
1521579600,24782.1,24807.6,24729.6,24744.5,20309,31,0
1521583200,24744.6,24774.8,24738.1,24772.6,3076,32,0
1521590400,24779.1,24788.9,24751.1,24756.1,1143,34,0
1521594000,24756.3,24771.1,24756.1,24762.9,858,35,0
1521597600,24762.9,24775.7,24754.4,24755.7,1389,31,0
1521601200,24755.7,24786.9,24754.9,24777.7,3429,31,0
1521604800,24777.9,24792.7,24776.8,24784.7,2023,33,0
1521608400,24784.8,24791.8,24781.8,24790.0,1284,33,0
1521612000,24788.9,24807.8,24786.8,24803.7,756,33,0
1521615600,24801.8,24804.0,24775.3,24775.4,1533,33,0
1521619200,24775.4,24793.6,24769.2,24784.5,3041,31,0
1521622800,24783.6,24787.7,24755.7,24768.5,6510,31,0
1521626400,24768.6,24773.7,24726.7,24738.7,9042,31,0
1521630000,24738.7,24746.9,24714.8,24740.7,5235,35,0
1521633600,24740.7,24777.7,24724.7,24765.9,6602,33,0
1521637200,24765.9,24772.9,24710.8,24738.8,7401,31,0
1521640800,24738.3,24755.7,24720.7,24745.2,8698,32,0
1521644400,24745.8,24767.7,24687.8,24699.7,22987,31,0
1521648000,24699.7,24732.8,24662.1,24710.1,18948,31,0
1521651600,24710.1,24889.7,24698.3,24856.2,15853,31,0
1521655200,24856.2,24891.7,24841.1,24881.3,13180,31,0
1521658800,24882.3,24884.3,24818.4,24862.4,14222,31,0
1521662400,24862.9,24997.2,24706.2,24750.3,25698,32,0
1521666000,24750.5,24881.2,24699.5,24700.5,30279,32,0
1521669600,24699.5,24738.8,24698.2,24735.8,4472,33,0
1521676800,24742.5,24760.8,24736.2,24741.9,895,36,0
1521680400,24742.0,24747.0,24725.1,24732.5,1666,35,0
1521684000,24732.5,24775.5,24727.5,24763.7,4689,33,0
1521687600,24763.7,24808.6,24762.7,24766.6,7879,34,0
1521691200,24766.6,24774.6,24721.3,24730.5,6435,34,0
1521694800,24730.5,24737.4,24710.3,24722.3,4987,34,0
1521698400,24722.4,24738.3,24720.4,24730.1,2099,34,0
1521702000,24730.1,24777.9,24725.1,24756.5,4864,31,0
1521705600,24756.5,24766.5,24717.3,24722.0,4453,32,0
1521709200,24720.1,24726.0,24543.4,24562.3,12104,31,0
1521712800,24563.6,24649.0,24540.4,24634.0,12169,35,0
1521716400,24630.8,24633.1,24537.3,24571.1,12963,34,0
1521720000,24571.1,24592.2,24509.7,24540.7,10547,32,0
