time,open,high,low,close,tick_volume,spread,real_volume
1536656400,1.31379,1.31411,1.31340,1.31372,2119,6,0
1536660000,1.31372,1.31404,1.31312,1.31368,2357,6,0
1536663600,1.31368,1.31516,1.31334,1.31479,3465,6,0
1536667200,1.31480,1.31591,1.31470,1.31584,2711,6,0
1536670800,1.31583,1.31660,1.31539,1.31603,2034,6,0
1536674400,1.31603,1.31623,1.31524,1.31558,2324,6,0
1536678000,1.31558,1.31741,1.31541,1.31705,3757,6,0
1536681600,1.31704,1.31717,1.31553,1.31673,2729,6,0
1536685200,1.31672,1.31694,1.31393,1.31442,3836,6,0
1536688800,1.31442,1.31465,1.31309,1.31316,2325,6,0
1536692400,1.31316,1.31377,1.31237,1.31334,2056,6,0
1536696000,1.31334,1.31369,1.31235,1.31271,1524,6,0
1536699600,1.31271,1.31339,1.31254,1.31305,1059,6,0
1536703200,1.31305,1.31313,1.31100,1.31140,1943,6,0
1536706800,1.31137,1.31156,1.30413,1.30652,4212,6,0
1536710400,1.30649,1.30649,1.30547,1.30615,403,19,0
1536714000,1.30596,1.30637,1.30563,1.30588,895,6,0
1536717600,1.30590,1.30630,1.30508,1.30626,1055,6,0
1536721200,1.30625,1.30755,1.30607,1.30719,1575,6,0
1536724800,1.30718,1.30779,1.30711,1.30750,1773,6,0
1536728400,1.30748,1.30762,1.30686,1.30694,1580,6,0
1536732000,1.30692,1.30745,1.30680,1.30692,1176,6,0
1536735600,1.30692,1.30703,1.30633,1.30635,990,6,0
1536739200,1.30635,1.30709,1.30601,1.30670,1203,6,0
1536742800,1.30670,1.30736,1.30579,1.30707,1625,6,0
1536746400,1.30707,1.30721,1.30545,1.30558,1991,6,0
1536750000,1.30558,1.30601,1.30459,1.30558,2631,6,0
1536753600,1.30559,1.30637,1.30529,1.30549,1994,6,0
1536757200,1.30551,1.30559,1.30412,1.30525,2482,6,0
1536760800,1.30524,1.30779,1.30489,1.30756,2599,6,0
1536764400,1.30756,1.30773,1.30586,1.30723,2826,6,0
1536768000,1.30723,1.30759,1.30257,1.30426,2989,6,0
1536771600,1.30426,1.30447,1.29982,1.30085,6401,6,0
1536775200,1.30084,1.30158,1.29860,1.30052,5445,6,0
1536778800,1.30052,1.30120,1.29852,1.29935,2906,6,0
1536782400,1.29935,1.29992,1.29802,1.29914,2306,6,0
1536786000,1.29915,1.30010,1.29862,1.29877,1836,6,0
1536789600,1.29878,1.30049,1.29870,1.30014,1758,6,0
1536793200,1.30014,1.30091,1.29954,1.29981,1397,6,0
1536796800,1.29926,1.29997,1.29920,1.29943,642,20,0
1536800400,1.29946,1.29996,1.29939,1.29981,1406,6,0
1536804000,1.29981,1.30029,1.29976,1.30018,1856,7,0
1536807600,1.30022,1.30027,1.29933,1.29983,1496,6,0
1536811200,1.29981,1.30079,1.29934,1.30041,1412,6,0
1536814800,1.30042,1.30100,1.30026,1.30035,1271,6,0
1536818400,1.30035,1.30089,1.30029,1.30036,1086,6,0
1536822000,1.30036,1.30130,1.30001,1.30125,743,6,0
1536825600,1.30125,1.30161,1.30091,1.30156,1238,6,0
1536829200,1.30152,1.30185,1.30064,1.30098,1199,6,0
1536832800,1.30097,1.30112,1.30019,1.30036,2024,6,0
1536836400,1.30036,1.30088,1.29997,1.30087,1972,6,0
1536840000,1.30087,1.30144,1.30053,1.30126,2249,6,0
1536843600,1.30125,1.30179,1.30096,1.30111,1460,6,0
1536847200,1.30111,1.30119,1.30003,1.30068,2474,6,0
1536850800,1.30070,1.30073,1.29758,1.29810,4538,6,0
1536854400,1.29810,1.29954,1.29773,1.29890,4176,6,0
1536858000,1.29889,1.30254,1.29822,1.30107,4858,6,0
1536861600,1.30107,1.30129,1.30024,1.30058,2761,6,0
1536865200,1.30056,1.30059,1.29894,1.29941,1890,6,0
1536868800,1.29941,1.30017,1.29853,1.30017,1678,6,0
1536872400,1.30015,1.30039,1.29889,1.29899,1408,6,0
1536876000,1.29897,1.30075,1.29896,1.30051,1605,6,0
1536879600,1.30051,1.30066,1.29936,1.29943,1177,6,0
1536883200,1.29948,1.29988,1.29925,1.29986,279,22,0
1536886800,1.29986,1.30006,1.29950,1.29970,3060,8,0
1536890400,1.29968,1.30062,1.29968,1.30053,2066,6,0
1536894000,1.30051,1.30072,1.29956,1.30016,1726,7,0
1536897600,1.30016,1.30025,1.29961,1.29978,1623,6,0
1536901200,1.29978,1.29978,1.29908,1.29934,1974,6,0
1536904800,1.29934,1.29945,1.29907,1.29940,2139,6,0
1536908400,1.29940,1.29972,1.29928,1.29933,3225,6,0
1536912000,1.29934,1.29940,1.29907,1.29916,1735,6,0
1536915600,1.29916,1.29922,1.29825,1.29912,1792,6,0
1536919200,1.29911,1.29954,1.29873,1.29902,2377,6,0
1536922800,1.29901,1.30039,1.29882,1.30009,1656,6,0
1536926400,1.30009,1.30081,1.29993,1.30012,1345,6,0
1536930000,1.30012,1.30037,1.29917,1.29932,1785,6,0
1536933600,1.29934,1.30113,1.29869,1.30094,2437,6,0
1536937200,1.30094,1.30189,1.29904,1.30174,4187,6,0
1536940800,1.30175,1.30327,1.30149,1.30275,3837,6,0
1536944400,1.30272,1.30470,1.30262,1.30349,4521,6,0
1536948000,1.30349,1.30423,1.30172,1.30298,3248,6,0
1536951600,1.30298,1.30460,1.30280,1.30409,4482,6,0
1536955200,1.30410,1.30540,1.30409,1.30434,3149,6,0
1536958800,1.30435,1.30487,1.30292,1.30318,2787,6,0
1536962400,1.30320,1.30417,1.30271,1.30399,1602,6,0
1536966000,1.30400,1.30400,1.30293,1.30293,1995,6,0
1537142400,1.30317,1.30450,1.30312,1.30388,197,10,0
1537146000,1.30391,1.30441,1.30391,1.30420,760,6,0
1537149600,1.30421,1.30452,1.30403,1.30439,1129,6,0
1537153200,1.30439,1.30481,1.30388,1.30395,1337,6,0
1537156800,1.30395,1.30421,1.30369,1.30381,1327,7,0
1537160400,1.30382,1.30430,1.30336,1.30336,1334,7,0
1537164000,1.30336,1.30365,1.30326,1.30339,1530,6,0
1537167600,1.30339,1.30354,1.30295,1.30327,1767,6,0
1537171200,1.30327,1.30353,1.30299,1.30305,1054,6,0
1537174800,1.30304,1.30373,1.30263,1.30370,1849,6,0
1537178400,1.30370,1.30415,1.30278,1.30296,2150,6,0
1537182000,1.30296,1.30330,1.30240,1.30297,1973,7,0
1537185600,1.30297,1.30339,1.30248,1.30269,1951,6,0
1537189200,1.30270,1.30306,1.30168,1.30203,2314,6,0
1537192800,1.30203,1.30303,1.30192,1.30227,1548,6,0
1537196400,1.30227,1.30243,1.30097,1.30120,2495,6,0
1537200000,1.30119,1.30223,1.30069,1.30142,2853,6,0
1537203600,1.30143,1.30292,1.30027,1.30288,3756,6,0
1537207200,1.30287,1.30393,1.30127,1.30184,3337,6,0
1537210800,1.30183,1.30209,1.30102,1.30107,1996,6,0
1537214400,1.30103,1.30189,1.30074,1.30156,1470,6,0
1537218000,1.30156,1.30276,1.30156,1.30265,905,6,0
1537221600,1.30265,1.30346,1.30229,1.30282,2401,6,0
1537225200,1.30280,1.30405,1.30268,1.30401,1468,6,0
1537228800,1.30346,1.30360,1.30288,1.30343,240,12,0
1537232400,1.30343,1.30552,1.30327,1.30552,3367,7,0
1537236000,1.30556,1.30642,1.30509,1.30636,1472,6,0
1537239600,1.30635,1.30635,1.30499,1.30514,1365,6,0
1537243200,1.30514,1.30557,1.30462,1.30486,1906,7,0
1537246800,1.30485,1.30566,1.30482,1.30502,2308,7,0
1537250400,1.30502,1.30503,1.30352,1.30402,3466,6,0
1537254000,1.30403,1.30461,1.30353,1.30453,2546,6,0
1537257600,1.30453,1.30472,1.30337,1.30345,2782,6,0
1537261200,1.30346,1.30369,1.30202,1.30209,3190,6,0
1537264800,1.30209,1.30386,1.30207,1.30302,3497,6,0
1537268400,1.30303,1.30345,1.30228,1.30252,2246,6,0
1537272000,1.30252,1.30260,1.30127,1.30161,1556,6,0
1537275600,1.30161,1.30257,1.30161,1.30213,1223,6,0
1537279200,1.30213,1.30372,1.30196,1.30244,1680,6,0
1537282800,1.30241,1.30331,1.29947,1.30025,2705,6,0
1537286400,1.30027,1.30105,1.29850,1.29939,3713,6,0
1537290000,1.29939,1.30086,1.29893,1.29910,3738,6,0
1537293600,1.29910,1.30053,1.29751,1.29769,3402,6,0
1537297200,1.29771,1.29893,1.29770,1.29858,2673,6,0
1537300800,1.29858,1.29985,1.29785,1.29879,2411,6,0
1537304400,1.29880,1.29885,1.29716,1.29828,1460,6,0
1537308000,1.29828,1.29869,1.29792,1.29801,1445,6,0
1537311600,1.29801,1.29828,1.29736,1.29760,1477,6,0
1537315200,1.29762,1.29873,1.29760,1.29770,1756,14,0
1537318800,1.29784,1.29798,1.29684,1.29707,1115,6,0
1537322400,1.29707,1.29730,1.29690,1.29728,865,6,0
1537326000,1.29728,1.29809,1.29715,1.29808,1646,6,0
1537329600,1.29808,1.29828,1.29775,1.29814,1819,6,0
1537333200,1.29815,1.29819,1.29703,1.29706,1802,6,0
1537336800,1.29706,1.29719,1.29649,1.29695,2156,6,0
1537340400,1.29696,1.29712,1.29631,1.29673,1236,6,0
1537344000,1.29673,1.29677,1.29570,1.29571,1807,6,0
1537347600,1.29571,1.29587,1.29509,1.29551,1768,6,0
1537351200,1.29551,1.29569,1.29477,1.29527,2294,6,0
1537354800,1.29527,1.29550,1.29442,1.29503,2344,6,0
1537358400,1.29503,1.29552,1.29452,1.29544,1533,7,0
1537362000,1.29544,1.29548,1.29329,1.29366,1930,6,0
1537365600,1.29366,1.29661,1.29349,1.29599,3072,6,0
1537369200,1.29599,1.29808,1.29582,1.29660,3117,6,0
1537372800,1.29661,1.29682,1.29522,1.29610,3356,6,0
1537376400,1.29610,1.30145,1.29543,1.29610,5200,6,0
1537380000,1.29610,1.29622,1.29365,1.29376,3639,6,0
1537383600,1.29376,1.29439,1.29287,1.29358,2190,6,0
1537387200,1.29358,1.29419,1.29309,1.29325,2062,6,0
1537390800,1.29326,1.29381,1.29105,1.29171,1887,6,0
1537394400,1.29169,1.29255,1.29159,1.29247,1996,6,0
1537398000,1.29247,1.29298,1.28997,1.29189,2793,6,0
1537401600,1.29142,1.29347,1.29135,1.29258,1128,25,0
1537405200,1.29257,1.29260,1.29173,1.29208,5714,7,0
1537408800,1.29203,1.29248,1.29180,1.29183,2272,7,0
1537412400,1.29184,1.29257,1.29172,1.29221,2471,6,0
1537416000,1.29221,1.29248,1.29172,1.29234,1429,7,0
1537419600,1.29234,1.29237,1.29181,1.29184,1487,6,0
1537423200,1.29183,1.29218,1.29148,1.29216,1681,6,0
1537426800,1.29217,1.29277,1.29202,1.29236,1294,6,0
1537430400,1.29236,1.29236,1.29189,1.29217,1535,7,0
1537434000,1.29217,1.29254,1.29131,1.29253,1349,6,0
1537437600,1.29253,1.29255,1.29061,1.29105,2115,6,0
1537441200,1.29105,1.29257,1.29061,1.29221,2167,6,0
1537444800,1.29221,1.29231,1.29049,1.29081,1880,6,0
1537448400,1.29080,1.29088,1.28933,1.28965,3456,6,0
1537452000,1.28965,1.29128,1.28964,1.28984,3015,6,0
1537455600,1.28985,1.29075,1.28897,1.28959,4549,6,0
1537459200,1.28960,1.29040,1.28844,1.28974,3995,6,0
1537462800,1.28974,1.29123,1.28899,1.29080,2893,6,0
1537466400,1.29072,1.29228,1.28989,1.29212,3978,6,0
1537470000,1.29210,1.29272,1.29074,1.29106,2632,6,0
