time,open,high,low,close,tick_volume,spread,real_volume
1536656400,0.97457,0.97572,0.97431,0.97534,2304,7,0
1536660000,0.97531,0.97531,0.97308,0.97393,2961,6,0
1536663600,0.97393,0.97424,0.97297,0.97414,3185,6,0
1536667200,0.97414,0.97483,0.97389,0.97475,3072,6,0
1536670800,0.97475,0.97503,0.97379,0.97392,2052,6,0
1536674400,0.97391,0.97413,0.97317,0.97374,2046,6,0
1536678000,0.97373,0.97504,0.97334,0.97412,3877,6,0
1536681600,0.97411,0.97471,0.97361,0.97449,2567,6,0
1536685200,0.97449,0.97460,0.97336,0.97412,2753,6,0
1536688800,0.97413,0.97470,0.97367,0.97373,2104,6,0
1536692400,0.97373,0.97417,0.97273,0.97371,1622,7,0
1536696000,0.97371,0.97379,0.97271,0.97328,1294,7,0
1536699600,0.97328,0.97371,0.97290,0.97350,1253,7,0
1536703200,0.97350,0.97378,0.97275,0.97276,1256,7,0
1536706800,0.97275,0.97279,0.97197,0.97236,1175,7,0
1536710400,0.97166,0.97266,0.97166,0.97251,241,39,0
1536714000,0.97251,0.97265,0.97243,0.97258,369,10,0
1536717600,0.97258,0.97301,0.97254,0.97300,626,7,0
1536721200,0.97299,0.97345,0.97281,0.97334,1260,7,0
1536724800,0.97335,0.97384,0.97332,0.97382,885,9,0
1536728400,0.97381,0.97403,0.97355,0.97368,741,7,0
1536732000,0.97368,0.97396,0.97346,0.97396,568,9,0
1536735600,0.97395,0.97443,0.97394,0.97420,467,7,0
1536739200,0.97419,0.97448,0.97396,0.97429,863,6,0
1536742800,0.97430,0.97431,0.97329,0.97385,2192,6,0
1536746400,0.97386,0.97430,0.97325,0.97423,2973,7,0
1536750000,0.97423,0.97494,0.97344,0.97428,3616,7,0
1536753600,0.97428,0.97451,0.97284,0.97309,2541,7,0
1536757200,0.97309,0.97359,0.97279,0.97352,2149,7,0
1536760800,0.97352,0.97434,0.97327,0.97382,3317,7,0
1536764400,0.97382,0.97393,0.97245,0.97328,2984,6,0
1536768000,0.97328,0.97328,0.97203,0.97211,2595,6,0
1536771600,0.97211,0.97223,0.97008,0.97117,2929,6,0
1536775200,0.97117,0.97145,0.97026,0.97035,4054,6,0
1536778800,0.97035,0.97080,0.96994,0.97039,2775,6,0
1536782400,0.97038,0.97042,0.96954,0.96966,2237,7,0
1536786000,0.96966,0.97021,0.96965,0.97002,1209,7,0
1536789600,0.97004,0.97056,0.97003,0.97030,1060,7,0
1536793200,0.97029,0.97052,0.96995,0.97052,499,8,0
1536796800,0.97045,0.97072,0.96965,0.97006,1473,16,0
1536800400,0.97006,0.97026,0.96989,0.97011,344,7,0
1536804000,0.97010,0.97029,0.97001,0.97020,428,8,0
1536807600,0.97021,0.97040,0.97003,0.97016,1235,7,0
1536811200,0.97016,0.97018,0.96958,0.96981,1012,8,0
1536814800,0.96980,0.96994,0.96913,0.96924,1117,6,0
1536818400,0.96924,0.96949,0.96903,0.96915,656,7,0
1536822000,0.96914,0.96994,0.96912,0.96986,677,7,0
1536825600,0.96986,0.96987,0.96935,0.96961,777,8,0
1536829200,0.96961,0.96985,0.96881,0.96945,1500,7,0
1536832800,0.96945,0.96994,0.96901,0.96994,2153,6,0
1536836400,0.96993,0.97030,0.96953,0.97029,1689,6,0
1536840000,0.97031,0.97041,0.96987,0.97008,2311,6,0
1536843600,0.97003,0.97009,0.96925,0.96954,2048,6,0
1536847200,0.96954,0.96980,0.96879,0.96953,2542,6,0
1536850800,0.96953,0.96987,0.96637,0.96646,4790,6,0
1536854400,0.96647,0.96754,0.96581,0.96671,3945,6,0
1536858000,0.96671,0.96837,0.96655,0.96778,4237,6,0
1536861600,0.96779,0.96812,0.96699,0.96802,2815,6,0
1536865200,0.96802,0.96812,0.96745,0.96748,1399,7,0
1536868800,0.96748,0.96755,0.96577,0.96623,1621,6,0
1536872400,0.96624,0.96642,0.96577,0.96577,1605,7,0
1536876000,0.96577,0.96600,0.96540,0.96565,1231,7,0
1536879600,0.96566,0.96571,0.96513,0.96542,818,6,0
1536883200,0.96519,0.96584,0.96519,0.96560,449,28,0
1536886800,0.96567,0.96567,0.96505,0.96525,1808,7,0
1536890400,0.96525,0.96629,0.96525,0.96628,669,7,0
1536894000,0.96627,0.96639,0.96602,0.96618,932,6,0
1536897600,0.96618,0.96621,0.96582,0.96591,896,9,0
1536901200,0.96591,0.96598,0.96512,0.96513,816,6,0
1536904800,0.96514,0.96516,0.96457,0.96474,544,7,0
1536908400,0.96473,0.96510,0.96473,0.96489,572,7,0
1536912000,0.96489,0.96529,0.96480,0.96509,488,7,0
1536915600,0.96509,0.96546,0.96492,0.96530,1783,6,0
1536919200,0.96529,0.96532,0.96362,0.96389,2219,6,0
1536922800,0.96390,0.96419,0.96342,0.96411,2060,6,0
1536926400,0.96411,0.96428,0.96352,0.96419,1668,6,0
1536930000,0.96419,0.96450,0.96402,0.96405,1655,6,0
1536933600,0.96406,0.96472,0.96360,0.96470,1905,6,0
1536937200,0.96464,0.96609,0.96367,0.96607,3350,6,0
1536940800,0.96607,0.96683,0.96567,0.96643,3237,6,0
1536944400,0.96642,0.96702,0.96586,0.96596,3218,6,0
1536948000,0.96596,0.96672,0.96587,0.96653,2241,6,0
1536951600,0.96653,0.96713,0.96616,0.96674,3805,6,0
1536955200,0.96674,0.96725,0.96672,0.96683,1766,6,0
1536958800,0.96682,0.96754,0.96668,0.96687,921,7,0
1536962400,0.96687,0.96744,0.96669,0.96733,842,6,0
1536966000,0.96733,0.96736,0.96683,0.96727,530,6,0
1537142400,0.96716,0.96777,0.96620,0.96723,474,64,0
1537146000,0.96736,0.96741,0.96665,0.96725,566,7,0
1537149600,0.96725,0.96732,0.96695,0.96722,428,9,0
1537153200,0.96723,0.96735,0.96694,0.96729,851,7,0
1537156800,0.96728,0.96728,0.96689,0.96701,723,7,0
1537160400,0.96700,0.96737,0.96677,0.96703,592,7,0
1537164000,0.96703,0.96731,0.96693,0.96718,463,7,0
1537167600,0.96719,0.96756,0.96709,0.96723,523,8,0
1537171200,0.96723,0.96758,0.96706,0.96710,611,8,0
1537174800,0.96709,0.96714,0.96650,0.96691,1392,6,0
1537178400,0.96691,0.96748,0.96500,0.96508,2427,7,0
1537182000,0.96508,0.96602,0.96470,0.96508,2375,6,0
1537185600,0.96508,0.96545,0.96400,0.96518,1783,6,0
1537189200,0.96517,0.96543,0.96389,0.96390,2113,6,0
1537192800,0.96390,0.96445,0.96314,0.96327,2492,6,0
1537196400,0.96327,0.96339,0.96215,0.96270,2895,6,0
1537200000,0.96271,0.96319,0.96179,0.96183,2409,6,0
1537203600,0.96184,0.96262,0.96113,0.96224,2100,6,0
1537207200,0.96223,0.96297,0.96197,0.96207,2042,6,0
1537210800,0.96207,0.96255,0.96160,0.96232,1577,6,0
1537214400,0.96233,0.96240,0.96194,0.96213,1513,6,0
1537218000,0.96214,0.96253,0.96194,0.96232,1018,8,0
1537221600,0.96231,0.96238,0.96160,0.96186,1410,7,0
1537225200,0.96188,0.96243,0.96167,0.96233,1343,9,0
1537228800,0.96221,0.96253,0.96216,0.96227,151,6,0
1537232400,0.96227,0.96254,0.96188,0.96253,2206,7,0
1537236000,0.96240,0.96285,0.96234,0.96263,506,7,0
