time,open,high,low,close,tick_volume,spread,real_volume
1447743600,6.39601,6.39746,6.39532,6.39635,177,44,325000000
1447747200,6.39645,6.39865,6.39576,6.39771,583,48,1103600000
1447750800,6.39771,6.40086,6.39771,6.39949,752,30,1506100000
1447754400,6.39949,6.40319,6.39929,6.40309,757,23,1458800000
1447758000,6.40309,6.40309,6.40030,6.40063,484,27,933800000
1447761600,6.40058,6.40369,6.40024,6.40369,862,22,1664000000
1447765200,6.40379,6.40769,6.40128,6.40450,4152,25,6738904000
1447768800,6.40450,6.40661,6.40429,6.40641,2465,32,5312900000
1447772400,6.40604,6.40792,6.40529,6.40674,640,33,1063700000
1447776000,6.40674,6.40726,6.40581,6.40699,651,41,689100000
1447779600,6.40694,6.40873,6.40694,6.40741,879,33,379220000
1447783200,6.40741,6.40822,6.40489,6.40739,745,22,492710000
1447786800,6.40753,6.40812,6.40665,6.40701,603,72,319970000
1447790400,6.40689,6.40770,6.40688,6.40719,194,57,77450000
1447794000,6.40711,6.40849,6.40700,6.40829,558,71,167100000
1447797600,6.40798,6.40886,6.40759,6.40841,358,67,232320000
1447801200,6.40849,6.40979,6.40801,6.40924,217,66,110160000
1447804800,6.41169,6.41273,6.41061,6.41239,196,0,219532000
1447808400,6.41252,6.41269,6.41006,6.41142,285,57,166141000
1447812000,6.41109,6.41286,6.40694,6.41223,1492,22,1535293000
1447815600,6.41223,6.41739,6.40809,6.41493,1627,22,2093626000
1447819200,6.41484,6.41702,6.41309,6.41687,1623,22,2093414000
1447822800,6.41687,6.41687,6.41360,6.41462,810,28,979247000
1447826400,6.41431,6.41549,6.41363,6.41522,353,35,370547000
1447830000,6.41522,6.41532,6.41173,6.41212,572,22,687087000
1447833600,6.41227,6.41306,6.40189,6.40973,2348,22,3028840000
1447837200,6.40931,6.41342,6.40839,6.41281,1430,22,1464640000
1447840800,6.41286,6.41933,6.41271,6.41833,1225,22,1540072000
1447844400,6.41830,6.41853,6.41549,6.41722,1072,26,1257252000
1447848000,6.41722,6.41742,6.41227,6.41367,1604,22,1655454000
1447851600,6.41328,6.41638,6.41328,6.41531,1939,22,1923396000
1447855200,6.41549,6.41569,6.41406,6.41431,817,22,675176000
1447858800,6.41421,6.41739,6.41421,6.41601,2094,30,2129400000
1447862400,6.41607,6.41607,6.41241,6.41293,1134,34,990708000
1447866000,6.41266,6.41389,6.41102,6.41339,476,38,427388000
1447869600,6.41349,6.41778,6.41339,6.41769,842,47,711312000
1447873200,6.41773,6.41805,6.41690,6.41731,230,58,166200000
1447876800,6.41722,6.41937,6.41716,6.41859,216,76,137296000
1447880400,6.41839,6.41973,6.41646,6.41778,756,48,799548000
1447884000,6.41781,6.41849,6.41636,6.41712,1110,39,1264284000
1447887600,6.41719,6.41755,6.41561,6.41649,400,58,234296000
1447891200,6.41627,6.41727,6.41560,6.41570,27,0,9704000
1447894800,6.41589,6.41665,6.41564,6.41601,2584,102,3008896000
1447898400,6.41627,6.41689,6.41241,6.41421,1501,45,1334558000
1447902000,6.41421,6.41449,6.40390,6.40793,2102,27,2591024000
1447905600,6.40793,6.41169,6.40735,6.40906,908,22,1107888000
1447909200,6.40901,6.40983,6.40205,6.40541,955,29,1128806000
1447912800,6.40518,6.40725,6.40474,6.40515,723,34,508144000
1447916400,6.40489,6.40739,6.40471,6.40669,724,36,245266000
1447920000,6.40679,6.40914,6.40582,6.40844,862,33,935266000
1447923600,6.40839,6.41018,6.40767,6.40953,690,38,698458000
1447927200,6.40948,6.41281,6.40721,6.41029,1043,22,984074000
1447930800,6.41011,6.41391,6.40811,6.41159,1267,29,862086000
1447934400,6.41156,6.41309,6.40970,6.41031,913,22,594446000
1447938000,6.41064,6.41064,6.40618,6.40815,750,22,633824000
1447941600,6.40810,6.41101,6.40759,6.40951,1556,41,1085964000
1447945200,6.40951,6.41085,6.40829,6.40901,1182,32,1020738000
1447948800,6.40901,6.40971,6.40661,6.40863,1538,26,1325686000
1447952400,6.40868,6.40941,6.40671,6.40741,1102,44,600616000
1447956000,6.40731,6.40760,6.40572,6.40604,628,30,417094000
1447959600,6.40571,6.40778,6.40554,6.40714,720,58,729266000
