time,open,high,low,close,tick_volume,spread,real_volume
1215748800,4.72550,4.72800,4.72380,4.72500,400,0,0
1215752400,4.72490,4.72510,4.72080,4.72170,523,0,0
1215756000,4.72200,4.73010,4.72170,4.72880,1016,0,0
1215759600,4.72890,4.72960,4.72360,4.72540,851,0,0
1215763200,4.72550,4.73090,4.72540,4.72690,1158,0,0
1215766800,4.72680,4.72780,4.72310,4.72680,1327,0,0
1215770400,4.72670,4.72940,4.72270,4.72550,1038,0,0
1215774000,4.72540,4.72740,4.71830,4.71910,1508,0,0
1215777600,4.71900,4.72100,4.71300,4.71890,1490,0,0
1215781200,4.71900,4.72300,4.71200,4.71410,2033,0,0
1215784800,4.71400,4.71560,4.70020,4.70260,2957,0,0
1215788400,4.70250,4.70250,4.67830,4.69080,3589,0,0
1215792000,4.69090,4.69400,4.67760,4.68800,3121,0,0
1215795600,4.68780,4.69340,4.68490,4.69150,2285,0,0
1215799200,4.69190,4.69420,4.68840,4.69250,1536,0,0
1215802800,4.69260,4.69670,4.69070,4.69270,1094,0,0
1215806400,4.69280,4.69770,4.69130,4.69390,1329,0,0
1215810000,4.69400,4.69490,4.67910,4.68400,1614,0,0
1215813600,4.68390,4.68440,4.67930,4.67960,530,0,0
1215993600,4.67180,4.68860,4.67110,4.68680,923,0,0
1215997200,4.68700,4.69120,4.68090,4.69050,918,0,0
1216000800,4.69060,4.69600,4.68980,4.69330,1279,0,0
1216004400,4.69300,4.69550,4.69120,4.69270,504,0,0
1216008000,4.69250,4.69270,4.68580,4.68680,635,0,0
1216011600,4.68670,4.69000,4.68660,4.68950,427,0,0
1216015200,4.68930,4.69120,4.68710,4.69090,481,0,0
1216018800,4.69100,4.70090,4.68990,4.69560,1166,0,0
1216022400,4.69540,4.70010,4.68760,4.69970,1467,0,0
1216026000,4.69940,4.70230,4.69360,4.69700,1819,0,0
1216029600,4.69710,4.70800,4.69610,4.69990,1889,0,0
1216033200,4.69970,4.70410,4.69760,4.70270,1267,0,0
1216036800,4.70260,4.70560,4.70070,4.70380,1059,0,0
1216040400,4.70370,4.70630,4.70070,4.70410,1520,0,0
