time,open,high,low,close,tick_volume,spread,real_volume
1420153200,260.350,260.570,260.310,260.530,604,1330,0
1420156800,260.500,260.990,260.360,260.810,921,1060,0
1420160400,260.780,261.320,260.730,261.320,2914,1040,0
1420164000,261.300,261.660,261.110,261.290,3638,1040,0
1420167600,261.290,261.710,261.150,261.350,3139,990,0
1420171200,261.340,261.640,261.270,261.570,2334,970,0
1420174800,261.430,261.670,261.350,261.530,2705,1010,0
1420178400,261.580,261.690,261.410,261.520,1379,980,0
1420182000,261.490,262.000,261.370,261.990,3497,700,0
1420185600,262.050,263.460,261.570,262.920,1913,120,0
1420189200,262.900,263.050,261.970,262.940,1947,120,0
1420192800,262.950,264.610,262.900,264.170,1472,500,0
1420196400,264.180,264.620,263.550,264.220,1004,120,0
1420200000,264.230,264.830,264.120,264.540,1299,120,0
1420203600,264.540,265.040,264.360,264.730,1418,120,0
1420207200,264.730,264.960,264.490,264.760,1215,120,0
1420210800,264.760,265.890,264.720,265.680,1770,120,0
1420214400,265.650,265.750,264.060,264.180,2712,120,0
1420218000,264.170,264.500,263.720,264.310,1047,300,0
1420221600,264.320,265.080,264.260,264.720,1219,180,0
1420225200,264.720,264.770,264.650,264.720,887,370,0
1420228800,264.730,264.890,264.700,264.870,716,370,0
1420232400,264.880,264.880,264.580,264.700,1577,340,0
1420236000,264.700,265.160,264.500,264.520,444,300,0
1420412400,265.220,266.810,265.110,265.900,3040,750,0
1420416000,265.900,266.300,265.650,265.940,1420,920,0
1420419600,265.900,266.070,265.340,265.620,1683,790,0
1420423200,265.630,265.890,265.410,265.820,1290,1000,0
1420426800,265.800,265.820,265.580,265.780,813,1000,0
1420430400,265.790,266.050,265.770,266.050,757,1030,0
1420434000,266.060,266.240,266.030,266.110,698,1040,0
1420437600,266.130,266.460,266.030,266.250,795,1040,0
1420441200,266.260,267.060,266.130,266.510,1063,420,0
1420444800,266.520,268.260,266.200,267.630,1905,120,0
1420448400,267.640,267.880,265.980,266.630,2592,120,0
1420452000,266.650,267.190,266.550,266.890,1520,120,0
1420455600,266.900,268.050,266.800,267.900,1365,120,0
1420459200,267.890,268.140,267.520,267.580,1624,120,0
1420462800,267.580,267.880,267.260,267.520,1979,120,0
1420466400,267.530,267.860,266.030,266.940,2172,120,0
1420470000,266.940,267.460,266.440,266.910,1931,120,0
1420473600,266.900,267.160,266.390,266.420,1495,120,0
1420477200,266.440,266.910,266.400,266.570,1242,120,0
1420480800,266.550,267.000,266.380,266.560,2536,120,0
1420484400,266.570,266.760,266.210,266.210,2262,210,0
1420488000,266.220,266.230,265.780,265.820,493,210,0
1420491600,265.830,265.950,265.650,265.840,312,240,0
