time,open,high,low,close,tick_volume,spread,real_volume
1536199200,111.468,111.508,111.420,111.446,941,8,0
1536202800,111.445,111.451,111.229,111.266,2796,8,0
1536206400,111.266,111.304,111.167,111.291,2672,8,0
1536210000,111.291,111.328,111.263,111.282,1451,8,0
1536213600,111.283,111.371,111.274,111.353,1822,8,0
1536217200,111.353,111.420,111.332,111.368,1380,8,0
1536220800,111.369,111.427,111.327,111.327,1602,8,0
1536224400,111.327,111.409,111.308,111.372,1872,8,0
1536228000,111.373,111.400,111.308,111.314,2399,8,0
1536231600,111.313,111.419,111.252,111.350,2499,8,0
1536235200,111.350,111.376,111.297,111.301,1759,8,0
1536238800,111.301,111.333,111.280,111.285,1265,8,0
1536242400,111.285,111.310,111.249,111.295,1405,8,0
1536246000,111.295,111.341,111.114,111.196,2693,8,0
1536249600,111.196,111.230,111.106,111.137,3048,8,0
1536253200,111.142,111.211,110.845,110.893,5284,8,0
1536256800,110.894,110.935,110.837,110.870,5798,8,0
1536260400,110.870,110.880,110.707,110.737,3329,8,0
1536264000,110.736,110.833,110.703,110.800,2412,8,0
1536267600,110.800,110.866,110.772,110.835,2577,8,0
1536271200,110.835,110.948,110.828,110.887,2963,8,0
1536274800,110.886,110.902,110.517,110.722,3008,8,0
1536278400,110.736,110.736,110.639,110.669,2353,8,0
1536282000,110.668,110.684,110.644,110.664,1129,9,0
1536285600,110.664,110.681,110.456,110.485,1834,8,0
1536289200,110.486,110.516,110.376,110.501,2995,8,0
1536292800,110.500,110.633,110.478,110.610,3119,8,0
1536296400,110.610,110.624,110.527,110.578,2403,8,0
1536300000,110.576,110.593,110.501,110.593,1880,8,0
1536303600,110.593,110.597,110.527,110.569,1612,8,0
1536307200,110.568,110.633,110.553,110.587,1786,8,0
1536310800,110.587,110.716,110.587,110.626,2751,8,0
1536314400,110.626,110.768,110.589,110.739,2764,8,0
1536318000,110.740,110.773,110.670,110.717,2024,8,0
1536321600,110.715,110.841,110.702,110.746,2200,8,0
1536325200,110.747,110.835,110.743,110.791,1950,8,0
1536328800,110.792,110.882,110.791,110.835,2250,8,0
1536332400,110.842,111.088,110.793,111.038,4436,8,0
1536336000,111.038,111.100,110.931,111.048,3759,8,0
1536339600,111.048,111.244,111.025,111.122,4734,8,0
1536343200,111.122,111.224,111.103,111.182,3239,8,0
1536346800,111.182,111.197,110.733,110.997,7264,8,0
1536350400,111.000,111.075,110.980,111.041,2523,8,0
1536354000,111.046,111.110,111.033,111.075,1750,8,0
1536357600,111.074,111.099,110.980,111.028,2683,8,0
1536361200,111.031,111.073,110.922,111.056,1075,8,0
1536537600,110.995,111.068,110.962,111.036,938,9,0
1536541200,111.025,111.082,110.984,110.985,2570,9,0
1536544800,110.984,110.985,110.876,110.915,1733,8,0
1536548400,110.916,111.031,110.905,110.944,2837,8,0
1536552000,110.944,110.978,110.846,110.977,3553,8,0
1536555600,110.977,111.054,110.922,111.015,2464,8,0
1536559200,111.016,111.025,110.950,111.006,1351,8,0
1536562800,111.006,111.023,110.928,110.955,1193,8,0
1536566400,110.955,110.976,110.931,110.974,1173,8,0
1536570000,110.974,110.988,110.923,110.979,1454,8,0
1536573600,110.979,111.041,110.966,110.982,2293,8,0
1536577200,110.982,111.083,110.982,111.054,1867,8,0
1536580800,111.054,111.144,111.045,111.120,1558,8,0
1536584400,111.120,111.143,111.088,111.100,1067,8,0
1536588000,111.100,111.122,111.065,111.094,1100,8,0
1536591600,111.090,111.130,111.054,111.128,1727,8,0
1536595200,111.128,111.188,111.092,111.166,3204,8,0
1536598800,111.165,111.184,111.025,111.112,2863,8,0
1536602400,111.112,111.171,111.065,111.090,2628,8,0
1536606000,111.090,111.160,111.072,111.125,1781,8,0
1536609600,111.125,111.156,111.090,111.142,1154,8,0
1536613200,111.141,111.220,111.108,111.205,1147,8,0
1536616800,111.205,111.245,111.170,111.180,1501,8,0
1536620400,111.180,111.184,111.081,111.117,907,8,0
1536624000,111.084,111.125,111.035,111.088,796,10,0
1536627600,111.089,111.140,111.089,111.130,694,8,0
1536631200,111.132,111.146,111.070,111.137,600,8,0
1536634800,111.140,111.444,111.137,111.402,2957,8,0
1536638400,111.402,111.474,111.348,111.461,3445,8,0
1536642000,111.461,111.462,111.350,111.372,1590,8,0
1536645600,111.372,111.448,111.340,111.446,1776,8,0
1536649200,111.446,111.472,111.361,111.395,1383,8,0
1536652800,111.396,111.482,111.393,111.436,1723,8,0
1536656400,111.436,111.481,111.419,111.463,1293,8,0
1536660000,111.463,111.562,111.442,111.535,1705,8,0
1536663600,111.535,111.546,111.368,111.393,2520,8,0
1536667200,111.393,111.396,111.302,111.393,2145,8,0
1536670800,111.393,111.427,111.378,111.417,1701,8,0
1536674400,111.417,111.420,111.278,111.362,1304,8,0
1536678000,111.361,111.399,111.288,111.399,2257,8,0
1536681600,111.399,111.543,111.373,111.528,2799,8,0
1536685200,111.528,111.566,111.442,111.464,3100,8,0
1536688800,111.464,111.594,111.457,111.554,2608,8,0
1536692400,111.555,111.633,111.540,111.613,1660,8,0
1536696000,111.613,111.626,111.543,111.559,1494,8,0
1536699600,111.559,111.605,111.541,111.591,1236,8,0
1536703200,111.590,111.638,111.585,111.590,1205,8,0
1536706800,111.592,111.600,111.561,111.590,883,8,0
1536710400,111.568,111.628,111.535,111.599,1114,9,0
1536714000,111.602,111.646,111.574,111.626,1182,8,0
1536717600,111.623,111.629,111.554,111.629,1420,8,0
1536721200,111.629,111.629,111.461,111.532,2634,8,0
1536724800,111.531,111.577,111.465,111.492,2365,8,0
1536728400,111.495,111.499,111.449,111.492,1627,8,0
1536732000,111.491,111.497,111.452,111.482,1157,8,0
1536735600,111.482,111.512,111.477,111.505,1019,8,0
1536739200,111.507,111.555,111.481,111.517,1439,8,0
1536742800,111.516,111.586,111.515,111.530,1482,8,0
1536746400,111.530,111.552,111.468,111.488,1503,8,0
1536750000,111.488,111.510,111.430,111.477,1766,8,0
1536753600,111.477,111.489,111.432,111.448,1274,8,0
1536757200,111.448,111.510,111.437,111.501,1048,8,0
1536760800,111.500,111.573,111.457,111.474,1974,8,0
1536764400,111.474,111.488,111.287,111.294,2171,8,0
1536768000,111.294,111.357,111.258,111.281,2515,8,0
1536771600,111.280,111.314,111.212,111.258,2989,8,0
1536775200,111.257,111.460,111.253,111.295,4734,8,0
1536778800,111.295,111.415,111.264,111.305,2601,8,0
1536782400,111.305,111.320,111.109,111.180,2221,8,0
1536786000,111.180,111.246,111.166,111.228,1894,8,0
1536789600,111.228,111.301,111.220,111.237,1645,8,0
1536793200,111.237,111.264,111.230,111.250,690,8,0
1536796800,111.262,111.274,111.155,111.248,2150,14,0
1536800400,111.248,111.248,111.210,111.232,1234,8,0
1536804000,111.232,111.245,111.199,111.210,1053,8,0
1536807600,111.209,111.422,111.166,111.414,2462,8,0
1536811200,111.415,111.453,111.338,111.370,2311,8,0
1536814800,111.370,111.385,111.322,111.352,1202,8,0
1536818400,111.353,111.398,111.347,111.365,1161,8,0
1536822000,111.365,111.432,111.364,111.414,1167,8,0
1536825600,111.413,111.470,111.406,111.428,1291,8,0
1536829200,111.428,111.457,111.392,111.444,1696,8,0
1536832800,111.444,111.505,111.425,111.470,1926,8,0
1536836400,111.469,111.501,111.443,111.493,1211,8,0
1536840000,111.493,111.516,111.425,111.445,1618,8,0
1536843600,111.445,111.510,111.425,111.508,1353,8,0
1536847200,111.508,111.598,111.504,111.566,2311,8,0
1536850800,111.565,111.655,111.368,111.470,4890,8,0
1536854400,111.470,111.629,111.372,111.595,4617,8,0
1536858000,111.595,111.912,111.590,111.844,5488,8,0
1536861600,111.844,111.955,111.813,111.925,2991,8,0
1536865200,111.926,111.927,111.841,111.853,1931,8,0
1536868800,111.853,111.879,111.796,111.861,1817,8,0
1536872400,111.863,111.923,111.830,111.877,1651,8,0
1536876000,111.875,111.993,111.873,111.979,1949,8,0
1536879600,111.980,111.984,111.917,111.918,980,8,0
1536883200,111.920,111.944,111.831,111.915,1577,9,0
1536886800,111.914,112.044,111.898,112.038,1587,8,0
1536890400,112.038,112.055,111.964,112.021,1221,8,0
1536894000,112.022,112.074,111.961,112.050,2488,8,0
1536897600,112.050,112.056,111.951,111.961,2021,8,0
1536901200,111.960,111.979,111.827,111.862,1925,8,0
1536904800,111.862,111.904,111.804,111.823,1524,8,0
1536908400,111.823,111.848,111.783,111.824,1175,8,0
1536912000,111.824,111.878,111.809,111.870,1132,8,0
1536915600,111.869,111.961,111.842,111.915,1764,8,0
1536919200,111.915,111.935,111.808,111.821,1827,8,0
1536922800,111.821,111.863,111.797,111.832,1466,8,0
1536926400,111.831,111.839,111.750,111.794,1455,8,0
1536930000,111.795,111.815,111.756,111.806,1508,8,0
1536933600,111.806,111.903,111.803,111.851,1577,8,0
1536937200,111.850,112.044,111.775,112.040,3747,8,0
1536940800,112.040,112.047,111.950,112.013,3545,8,0
1536944400,112.013,112.103,111.949,112.092,4065,8,0
1536948000,112.092,112.165,112.042,112.091,2880,8,0
1536951600,112.092,112.101,111.861,112.018,5174,8,0
1536955200,112.015,112.028,111.958,112.010,2536,8,0
1536958800,112.009,112.052,112.002,112.013,1236,8,0
1536962400,112.012,112.059,111.978,112.022,1597,8,0
1536966000,112.022,112.057,111.963,112.055,959,8,0
1537142400,112.007,112.026,111.999,112.015,99,11,0
1537146000,112.018,112.048,111.937,111.967,1668,8,0
1537149600,111.962,112.025,111.948,111.963,1377,8,0
1537153200,111.963,112.105,111.941,112.097,1787,8,0
1537156800,112.097,112.118,111.983,111.985,1239,8,0
1537160400,111.985,111.999,111.960,111.996,839,8,0
1537164000,111.996,111.996,111.951,111.966,877,8,0
1537167600,111.965,111.989,111.962,111.972,844,8,0
1537171200,111.973,111.992,111.953,111.953,625,8,0
1537174800,111.953,112.008,111.940,112.000,1778,8,0
1537178400,112.000,112.023,111.848,111.858,1906,8,0
1537182000,111.859,111.976,111.851,111.958,1746,8,0
1537185600,111.958,111.998,111.919,111.986,1275,8,0
1537189200,111.986,112.034,111.969,112.027,1652,8,0
1537192800,112.027,112.087,112.016,112.024,1805,8,0
1537196400,112.024,112.107,111.968,112.000,2550,8,0
1537200000,112.001,112.058,111.959,111.976,2315,8,0
1537203600,111.976,111.993,111.875,111.939,2477,8,0
1537207200,111.937,112.017,111.937,111.967,2195,8,0
1537210800,111.967,112.019,111.946,111.976,1605,8,0
1537214400,111.975,112.019,111.903,111.925,1928,8,0
1537218000,111.925,111.964,111.857,111.873,1339,8,0
1537221600,111.872,111.891,111.757,111.823,2940,8,0
1537225200,111.823,111.855,111.780,111.851,1364,8,0
1537228800,111.827,111.855,111.798,111.841,522,9,0
1537232400,111.841,111.849,111.664,111.677,4044,8,0
1537236000,111.676,111.732,111.671,111.686,1649,8,0
1537239600,111.686,111.816,111.660,111.763,2449,8,0
1537243200,111.763,111.913,111.727,111.889,3519,8,0
1537246800,111.889,111.979,111.851,111.976,2409,8,0
1537250400,111.975,112.005,111.895,111.940,3417,8,0
1537254000,111.940,112.020,111.933,112.000,1823,8,0
1537257600,112.001,112.021,111.955,111.966,2074,8,0
1537261200,111.966,112.273,111.935,112.221,4848,8,0
1537264800,112.222,112.230,111.910,111.963,5119,8,0
