time,open,high,low,close,tick_volume,spread,real_volume
1363651200,3.20094,3.20460,3.19863,3.20415,875,280,0
1363654800,3.20420,3.20694,3.20129,3.20458,898,280,0
1363658400,3.20558,3.20650,3.19925,3.19935,1506,280,0
1363662000,3.19933,3.20485,3.19789,3.20055,1062,180,0
1363665600,3.20149,3.20431,3.19850,3.20058,1064,195,0
1363669200,3.20164,3.20558,3.19980,3.20357,1108,142,0
1363672800,3.20350,3.20595,3.20163,3.20325,938,205,0
1363676400,3.20430,3.20835,3.20055,3.20772,1475,100,0
1363680000,3.20777,3.21038,3.20010,3.20267,2108,120,0
1363683600,3.20272,3.20885,3.19960,3.20651,2326,80,0
1363687200,3.20640,3.21014,3.20460,3.20773,2951,80,0
1363690800,3.20720,3.21088,3.20235,3.20373,3177,80,0
1363694400,3.20375,3.20947,3.19933,3.20840,3249,80,0
1363698000,3.20853,3.20853,3.20285,3.20610,2309,80,0
1363701600,3.20593,3.20820,3.20193,3.20517,2698,80,0
1363705200,3.20550,3.21247,3.20462,3.20815,2967,80,0
1363708800,3.20799,3.21808,3.20598,3.21051,3543,80,0
1363712400,3.21050,3.22696,3.20930,3.22650,3426,80,0
1363716000,3.22653,3.23415,3.22190,3.23298,3942,80,0
1363719600,3.23295,3.24285,3.22908,3.23265,3668,80,0
1363723200,3.23285,3.23840,3.22898,3.23428,2922,80,0
1363726800,3.23465,3.23770,3.22206,3.23090,3130,82,0
1363730400,3.23065,3.23203,3.22555,3.22998,1807,117,0
1363734000,3.23033,3.23677,3.22485,3.23540,1304,280,0
1363737600,3.23567,3.23640,3.23110,3.23285,1377,220,0
1363741200,3.23430,3.23887,3.23105,3.23260,1418,181,0
1363744800,3.23445,3.23445,3.22905,3.23093,1130,280,0
1363748400,3.23120,3.23490,3.22858,3.23210,1130,240,0
1363752000,3.23275,3.23370,3.23030,3.23090,1034,250,0
1363755600,3.23235,3.23380,3.22818,3.23175,1174,250,0
1363759200,3.23280,3.23413,3.23087,3.23400,955,260,0
1363762800,3.23295,3.23490,3.22950,3.23150,1060,170,0
1363766400,3.23224,3.23350,3.22480,3.22810,1263,110,0
1363770000,3.22890,3.23080,3.21905,3.22210,2212,80,0
1363773600,3.22210,3.22744,3.21925,3.22550,3359,80,0
1363777200,3.22545,3.22595,3.21450,3.21780,2981,80,0
1363780800,3.21785,3.21921,3.20803,3.21631,2981,80,0
1363784400,3.21633,3.22343,3.21476,3.22016,2271,80,0
1363788000,3.22033,3.22051,3.20855,3.21570,3795,80,0
1363791600,3.21560,3.21705,3.20679,3.21635,3249,80,0
1363795200,3.21645,3.22068,3.21040,3.21742,3101,80,0
1363798800,3.21709,3.22333,3.21668,3.22210,2762,80,0
1363802400,3.22207,3.22667,3.21915,3.22214,2105,80,0
1363806000,3.22270,3.22650,3.21810,3.22375,2016,80,0
