time,open,high,low,close,tick_volume,spread,real_volume
1314154800,6.33020,6.34266,6.33017,6.33930,3940,750,0
1314158400,6.33938,6.34603,6.33538,6.34415,3925,750,0
1314162000,6.34411,6.34577,6.33943,6.33979,3251,750,0
1314165600,6.33980,6.34117,6.33624,6.33827,3025,750,0
1314169200,6.33840,6.34733,6.33586,6.34672,4102,750,0
1314172800,6.34680,6.34839,6.32556,6.32841,4583,750,0
1314176400,6.32851,6.35706,6.32203,6.35657,6068,750,0
1314180000,6.35664,6.36487,6.32130,6.32922,5715,750,0
1314183600,6.32923,6.33045,6.29923,6.30050,4819,750,0
1314187200,6.30046,6.31185,6.29201,6.30464,4626,750,0
1314190800,6.30470,6.31338,6.29634,6.31338,2721,152,0
1314194400,6.31841,6.31924,6.28541,6.30440,4625,750,0
1314198000,6.30447,6.31758,6.29166,6.29247,5503,750,0
1314201600,6.29252,6.32012,6.28824,6.31693,6405,750,0
1314205200,6.31688,6.32771,6.31243,6.31655,5308,750,0
1314208800,6.31669,6.33320,6.31669,6.32292,4309,750,0
1314212400,6.32293,6.32850,6.31113,6.32081,4296,750,0
1314216000,6.32085,6.32594,6.31844,6.31957,3275,750,0
1314219600,6.31947,6.32710,6.31835,6.32381,3240,750,0
1314223200,6.32368,6.32899,6.31984,6.32827,2555,750,0
1314226800,6.32819,6.32938,6.32380,6.32824,2167,750,0
1314230400,6.32818,6.32918,6.32430,6.32656,2743,750,0
1314234000,6.32646,6.33395,6.32623,6.33238,2202,750,0
1314237600,6.33229,6.33446,6.32862,6.33347,2990,750,0
1314241200,6.33348,6.34074,6.33307,6.33506,3563,750,0
1314244800,6.33503,6.33814,6.33061,6.33558,2893,750,0
1314248400,6.33556,6.33693,6.33039,6.33201,2718,750,0
1314252000,6.33181,6.33463,6.32893,6.33404,2723,750,0
1314255600,6.33384,6.33529,6.32160,6.32644,3092,750,0
1314259200,6.32642,6.32643,6.30552,6.31917,4883,750,0
1314262800,6.31898,6.32022,6.29161,6.31311,6274,750,0
1314266400,6.31295,6.31304,6.29280,6.29650,4929,750,0
1314270000,6.29649,6.32525,6.29637,6.32340,5505,750,0
1314273600,6.32342,6.32449,6.29256,6.29977,5050,750,0
1314277200,6.29989,6.31068,6.29972,6.30431,4436,750,0
1314280800,6.30437,6.31574,6.30079,6.30881,5203,750,0
1314284400,6.30882,6.31693,6.28512,6.31182,6631,750,0
1314288000,6.31188,6.36776,6.31139,6.34269,7404,750,0
1314291600,6.34260,6.34582,6.32750,6.32826,4655,750,0
1314295200,6.32821,6.33008,6.31671,6.31744,3705,750,0
1314298800,6.31729,6.33012,6.31560,6.32663,3160,750,0
1314302400,6.32662,6.32683,6.31175,6.31317,3198,750,0
1314306000,6.31310,6.32395,6.31267,6.32024,2754,750,0
1314309600,6.31975,6.32654,6.31645,6.32376,1902,750,0
1314313200,6.32379,6.32802,6.32142,6.32709,2247,750,0
1314316800,6.32738,6.32919,6.32021,6.32219,2541,750,0
1314320400,6.32217,6.32218,6.30376,6.30825,3923,750,0
1314324000,6.30849,6.31305,6.30577,6.31140,3477,750,0
1314327600,6.31118,6.31520,6.30841,6.31460,2796,750,0
1314331200,6.31468,6.31960,6.30669,6.31190,3148,750,0
1314334800,6.31173,6.31233,6.30391,6.30735,3319,750,0
1314338400,6.30725,6.30965,6.29893,6.30121,3641,750,0
1314342000,6.30125,6.30737,6.29016,6.30451,4266,750,0
1314345600,6.30449,6.31236,6.29380,6.30654,6029,750,0
1314349200,6.30651,6.30701,6.29260,6.29452,5601,750,0
1314352800,6.29448,6.30822,6.29005,6.30656,4763,750,0
1314356400,6.30648,6.30734,6.29795,6.29955,4399,750,0
1314360000,6.29953,6.32083,6.29814,6.31787,4790,750,0
1314363600,6.31797,6.32896,6.31420,6.32631,5391,750,0
1314367200,6.32629,6.33522,6.30728,6.31189,5967,750,0
1314370800,6.31197,6.36643,6.31197,6.35202,7957,750,0
1314374400,6.35189,6.35263,6.28415,6.29201,6818,750,0
1314378000,6.29197,6.29307,6.27576,6.29231,5181,1000,0
1314381600,6.29224,6.29541,6.28095,6.28179,3697,999,0
1314385200,6.28180,6.29356,6.28051,6.29252,3776,1000,0
1314388800,6.29257,6.29857,6.28846,6.28989,3105,937,0
1314392400,6.28991,6.29294,6.28670,6.28912,2686,1000,0
1314396000,6.28925,6.28925,6.28915,6.28915,2,1000,0
1314576000,6.29059,6.29614,6.28735,6.29091,2520,864,0
1314579600,6.29105,6.29975,6.28997,6.29798,2881,769,0
1314583200,6.29796,6.30482,6.29739,6.30299,2846,750,0
1314586800,6.30269,6.30391,6.29177,6.29375,3119,750,0
1314590400,6.29366,6.29845,6.29093,6.29143,2725,750,0
1314594000,6.29147,6.29747,6.28973,6.29642,2230,750,0
1314597600,6.29724,6.29724,6.28713,6.28933,2655,750,0
1314601200,6.28939,6.28982,6.26354,6.26548,4141,750,0
1314604800,6.26554,6.27069,6.25573,6.25746,4598,750,0
1314608400,6.25745,6.27430,6.25208,6.27141,4487,750,0
1314612000,6.27137,6.27884,6.26851,6.27386,4241,750,0
1314615600,6.27387,6.28267,6.26841,6.28180,3903,750,0
1314619200,6.28183,6.28269,6.27074,6.27758,3573,750,0
1314622800,6.27756,6.28533,6.27426,6.28377,3812,750,0
1314626400,6.28365,6.28972,6.26799,6.27073,4259,750,0
1314630000,6.27068,6.27561,6.26371,6.26784,5201,750,0
1314633600,6.26789,6.29440,6.26724,6.29320,3977,185,951600000
1314637200,6.29320,6.29920,6.28990,6.29510,2621,177,1988850000
1314640800,6.29510,6.30376,6.29306,6.30160,1753,216,1302050000
1314644400,6.30160,6.30640,6.29590,6.29770,1863,205,840750000
1314648000,6.29810,6.30317,6.29397,6.29820,1879,186,1285650000
1314651600,6.29780,6.29900,6.26871,6.26889,1343,302,1034300000
1314655200,6.29221,6.29502,6.28547,6.29290,514,346,532250000
1314658800,6.29294,6.29338,6.28809,6.28930,1344,295,2732300000
1314662400,6.28930,6.29369,6.28910,6.29200,1070,293,2080500000
1314666000,6.29160,6.29693,6.28904,6.29470,1956,205,2006450000
1314669600,6.29490,6.29720,6.29330,6.29460,2089,240,4788900000
1314673200,6.29460,6.29480,6.28770,6.28840,1248,310,422100000
1314676800,6.28840,6.29160,6.28730,6.29070,1736,400,534300000
1314680400,6.29120,6.29300,6.28993,6.29039,1797,326,518000000
1314684000,6.29065,6.29230,6.26265,6.28740,2149,250,1986150000
1314687600,6.28740,6.32050,6.28630,6.31180,3955,121,2124300000
1314691200,6.31200,6.33004,6.30630,6.32878,4638,112,2245850000
1314694800,6.32878,6.36100,6.32091,6.35690,4773,96,3397450000
1314698400,6.35690,6.38280,6.35284,6.36585,4595,110,2618050000
