time,open,high,low,close,tick_volume,spread,real_volume
1314637200,1.20537,1.20652,1.20375,1.20417,1000,24,714250000
1314640800,1.20417,1.20552,1.20409,1.20517,730,29,327000000
1314644400,1.20517,1.20558,1.20473,1.20507,366,41,433500000
1314648000,1.20507,1.20574,1.20466,1.20537,292,29,208000000
1314651600,1.20537,1.20544,1.20497,1.20529,259,32,286500000
1314655200,1.20534,1.20537,1.20477,1.20506,263,36,349500000
1314658800,1.20506,1.20522,1.20446,1.20446,99,61,194000000
1314662400,1.20474,1.20497,1.20408,1.20408,70,0,44750000
1314666000,1.20408,1.20489,1.20406,1.20454,275,35,346500000
1314669600,1.20454,1.20547,1.20452,1.20506,280,24,187250000
1314673200,1.20505,1.20531,1.20449,1.20513,372,24,253000000
1314676800,1.20513,1.20579,1.20482,1.20532,515,23,175500000
1314680400,1.20533,1.20552,1.20493,1.20509,419,31,174750000
1314684000,1.20509,1.20514,1.20444,1.20444,338,28,136750000
1314687600,1.20444,1.20524,1.20444,1.20494,294,26,111250000
1314691200,1.20494,1.20509,1.20475,1.20483,369,31,117250000
1314694800,1.20475,1.20652,1.20474,1.20603,927,16,564000000
1314698400,1.20603,1.20664,1.20546,1.20654,923,26,420500000
1314702000,1.20654,1.20722,1.20611,1.20722,918,26,341000000
1314705600,1.20722,1.20834,1.20704,1.20751,870,19,405250000
1314709200,1.20751,1.20836,1.20751,1.20757,531,26,161500000
1314712800,1.20757,1.20804,1.20724,1.20739,423,25,137500000
1314716400,1.20734,1.20836,1.20683,1.20734,587,26,229250000
1314720000,1.20734,1.20742,1.20627,1.20659,650,32,329750000
1314723600,1.20661,1.20759,1.20569,1.20606,755,30,288000000
1314727200,1.20606,1.20692,1.20555,1.20647,594,28,439750000
1314730800,1.20647,1.20677,1.20542,1.20639,374,28,324500000
1314734400,1.20639,1.20650,1.20545,1.20596,341,34,265250000
1314738000,1.20596,1.20609,1.20435,1.20436,704,26,427750000
1314741600,1.20437,1.20501,1.20435,1.20472,286,44,154500000
1314745200,1.20472,1.20620,1.20458,1.20555,213,49,295000000
1314748800,1.20564,1.20580,1.20458,1.20580,48,109,22500000
1314752400,1.20578,1.20600,1.20566,1.20600,74,46,48500000
1314756000,1.20600,1.20678,1.20578,1.20649,258,27,130500000
1314759600,1.20639,1.20754,1.20610,1.20714,546,20,448250000
1314763200,1.20714,1.20729,1.20657,1.20685,456,21,427500000
1314766800,1.20685,1.20689,1.20509,1.20538,634,26,415750000
1314770400,1.20540,1.20540,1.20410,1.20445,473,28,291000000
1314774000,1.20445,1.20474,1.20415,1.20439,344,22,233500000
1314777600,1.20439,1.20474,1.20389,1.20419,356,21,392250000
1314781200,1.20419,1.20419,1.20275,1.20309,837,23,534500000
1314784800,1.20304,1.20354,1.20272,1.20282,993,19,834000000
1314788400,1.20274,1.20318,1.20242,1.20249,780,20,499250000
1314792000,1.20249,1.20295,1.20229,1.20264,665,23,416000000
1314795600,1.20264,1.20272,1.20202,1.20254,579,26,255500000
1314799200,1.20254,1.20269,1.20220,1.20232,505,24,251000000
1314802800,1.20232,1.20302,1.20232,1.20234,1069,20,647250000
1314806400,1.20234,1.20285,1.20212,1.20244,1310,22,770250000
1314810000,1.20244,1.20324,1.20200,1.20210,1998,23,1177250000
1314813600,1.20209,1.20329,1.20189,1.20311,1601,23,761000000
1314817200,1.20306,1.20349,1.20268,1.20301,971,28,1160000000
1314820800,1.20301,1.20382,1.20284,1.20356,771,26,665750000
1314824400,1.20356,1.20459,1.20351,1.20397,979,32,780000000
1314828000,1.20396,1.20474,1.20361,1.20416,975,28,851250000
1314831600,1.20416,1.20446,1.20377,1.20382,142,53,153750000
1314835200,1.20382,1.20393,1.20328,1.20333,61,0,18250000
1314838800,1.20328,1.20368,1.20328,1.20363,56,64,14750000
1314842400,1.20365,1.20454,1.20334,1.20449,467,19,192750000
1314846000,1.20449,1.20459,1.20349,1.20373,1013,18,957250000
1314849600,1.20372,1.20401,1.20207,1.20244,1661,16,1967000000
1314853200,1.20244,1.20266,1.20199,1.20201,1118,23,1393500000
1314856800,1.20200,1.20289,1.20199,1.20274,846,21,1006750000
1314860400,1.20274,1.20359,1.20250,1.20294,547,22,494250000
1314864000,1.20294,1.20364,1.20280,1.20296,784,16,761000000
1314867600,1.20296,1.20337,1.20254,1.20279,1488,19,1674250000
1314871200,1.20279,1.20422,1.20264,1.20364,2053,18,1773750000
1314874800,1.20364,1.20396,1.20304,1.20372,1882,16,1367000000
1314878400,1.20372,1.20492,1.20362,1.20482,1625,16,1066750000
1314882000,1.20482,1.20484,1.20419,1.20452,816,17,613000000
1314885600,1.20452,1.20482,1.20404,1.20440,1098,26,673250000
1314889200,1.20445,1.20474,1.20352,1.20364,1454,20,823500000
1314892800,1.20364,1.20385,1.20324,1.20384,1464,16,742000000
1314896400,1.20379,1.20469,1.20274,1.20409,2522,16,1626250000
1314900000,1.20414,1.20419,1.20264,1.20269,1412,26,824000000
1314903600,1.20269,1.20290,1.20224,1.20236,881,29,781500000
1314907200,1.20237,1.20371,1.20232,1.20366,568,33,484250000
1314910800,1.20366,1.20416,1.20286,1.20348,777,33,689500000
1314914400,1.20349,1.20485,1.20346,1.20467,908,16,817000000
1314918000,1.20467,1.20472,1.20343,1.20386,321,46,287000000
1314921600,1.20386,1.20409,1.20381,1.20393,34,32,13750000
1314925200,1.20393,1.20433,1.20388,1.20408,59,63,19250000
1314928800,1.20408,1.20449,1.20369,1.20422,195,32,62750000
1314932400,1.20434,1.20446,1.20289,1.20349,552,23,303750000
1314936000,1.20344,1.20374,1.20324,1.20349,441,24,256250000
1314939600,1.20349,1.20459,1.20329,1.20429,646,27,440000000
1314943200,1.20429,1.20459,1.20394,1.20394,375,21,214750000
1314946800,1.20394,1.20399,1.20359,1.20364,243,19,268000000
1314950400,1.20364,1.20404,1.20344,1.20369,424,26,534000000
1314954000,1.20389,1.20399,1.20324,1.20356,840,25,755000000
1314957600,1.20356,1.20502,1.20329,1.20384,1262,19,770500000
1314961200,1.20384,1.20442,1.20374,1.20399,935,24,491250000
1314964800,1.20399,1.20420,1.20342,1.20347,812,20,500500000
1314968400,1.20347,1.20369,1.20322,1.20357,514,21,261500000
1314972000,1.20357,1.20357,1.20294,1.20332,398,26,222500000
1314975600,1.20332,1.20413,1.20263,1.20352,1231,21,909250000
