time,open,high,low,close,tick_volume,spread,real_volume
1764129600,17.17574,17.18503,17.16478,17.16891,3773,1425,0
1764133200,17.16682,17.17069,17.16052,17.16335,2294,2099,0
1764136800,17.16347,17.16791,17.16019,17.16447,3615,2055,0
1764140400,17.16469,17.16656,17.15683,17.16082,1818,2089,0
1764144000,17.16101,17.17439,17.14081,17.16881,6242,1989,0
1764147600,17.16968,17.18195,17.15399,17.16376,11203,1615,0
1764151200,17.16388,17.17313,17.14768,17.15665,14894,1488,0
1764154800,17.15656,17.16498,17.13386,17.15399,13973,1424,0
1764158400,17.15411,17.15414,17.13730,17.14186,15265,1504,0
1764162000,17.14194,17.14409,17.11910,17.12535,16204,1398,0
1764165600,17.12542,17.15844,17.12243,17.13972,16128,1407,0
1764169200,17.13947,17.15600,17.09961,17.14663,17558,1477,0
1764172800,17.14645,17.16074,17.12159,17.13055,18917,1446,0
1764176400,17.13056,17.14067,17.10115,17.10536,24804,1453,0
1764180000,17.10456,17.10665,17.08687,17.09010,25259,1448,0
1764183600,17.08972,17.11734,17.08359,17.09730,18376,1620,0
1764187200,17.09697,17.11435,17.08928,17.09405,17315,1560,0
1764190800,17.09392,17.13768,17.08596,17.13130,16044,1492,0
1764194400,17.13118,17.14514,17.12279,17.13587,12206,1536,0
1764198000,17.13590,17.14187,17.11561,17.12280,4314,1772,0
1764216000,17.12325,17.12798,17.10467,17.12587,2928,1070,0
1764219600,17.12105,17.12944,17.10491,17.10825,6425,2379,0
1764223200,17.10833,17.11150,17.09770,17.10177,2330,2401,0
1764226800,17.10169,17.12127,17.09537,17.11676,3137,2102,0
1764230400,17.11601,17.13033,17.10101,17.11538,4862,1555,0
1764234000,17.11533,17.13387,17.10264,17.12872,11824,1515,0
1764237600,17.12871,17.16710,17.11845,17.16092,16744,1466,0
1764241200,17.16076,17.17776,17.15583,17.16992,12256,1469,0
1764244800,17.16980,17.17147,17.14325,17.14711,13789,1480,0
1764248400,17.14714,17.15218,17.13932,17.15077,10452,1505,0
1764252000,17.15126,17.16272,17.14651,17.15969,8162,1527,0
1764255600,17.15972,17.16866,17.14363,17.15202,10934,1458,0
1764259200,17.15235,17.16614,17.15025,17.16317,13720,1487,0
1764262800,17.16290,17.16507,17.14532,17.14968,14336,1479,0
1764266400,17.15043,17.15124,17.13168,17.13245,8387,1481,0
1764270000,17.13244,17.15277,17.13237,17.14126,945,1596,0
1764273600,17.14123,17.14473,17.13876,17.14167,466,1825,0
1764277200,17.14168,17.14528,17.13861,17.14397,570,1807,0
1764280800,17.14395,17.15328,17.14202,17.15233,25816,1744,0
1764284400,17.15232,17.15232,17.13236,17.14436,230,1833,0
1764302400,17.14315,17.15195,17.13596,17.14958,4786,1441,0
1764306000,17.14509,17.14796,17.13586,17.14415,84622,2496,0
1764309600,17.14411,17.15163,17.14012,17.14746,106541,2513,0
1764313200,17.14748,17.15429,17.13740,17.14376,44845,2423,0
1764316800,17.14371,17.17182,17.13891,17.14909,38118,2204,0
1764320400,17.14895,17.18153,17.14265,17.17810,21673,1566,0
1764324000,17.18030,17.18700,17.14693,17.15732,26855,1530,0
1764327600,17.15714,17.15948,17.12495,17.14100,27616,1499,0
1764331200,17.14055,17.15503,17.12242,17.14645,23785,1458,0
1764334800,17.14602,17.15243,17.12072,17.12225,12821,1312,0
1764338400,17.12260,17.13207,17.10227,17.11130,21428,1458,0
1764342000,17.11125,17.13474,17.10096,17.11611,30817,1523,0
1764345600,17.11587,17.11931,17.08511,17.08738,19555,1475,0
1764349200,17.08600,17.13565,17.07811,17.13565,25368,1424,0
1764352800,17.13582,17.13784,17.10126,17.11630,22751,1534,0
1764356400,17.11604,17.12879,17.09693,17.10032,22506,1616,0
1764360000,17.09935,17.10775,17.09877,17.10346,2015,1713,0
1764363600,17.10339,17.10725,17.09704,17.10191,3316,1696,0
1764367200,17.10236,17.10843,17.08786,17.09786,16704,1559,0
1764370800,17.10105,17.10493,17.09196,17.09196,7051,1997,0
1764561600,17.09210,17.12547,17.09043,17.11944,5228,1205,0
1764565200,17.11556,17.12600,17.11081,17.11606,5757,2185,0
1764568800,17.11634,17.12267,17.11236,17.11920,3725,1887,0
1764572400,17.11979,17.13684,17.11975,17.13350,6767,1479,0
1764576000,17.13318,17.15088,17.11498,17.11983,9671,1908,0
1764579600,17.11972,17.14234,17.08554,17.09778,12023,1473,0
1764583200,17.09719,17.10468,17.05838,17.08757,12934,1506,0
1764586800,17.08784,17.09403,17.05924,17.07383,14660,1482,0
1764590400,17.07396,17.09158,17.06204,17.08183,14175,1489,0
1764594000,17.08193,17.09897,17.07516,17.08002,14955,1458,0
1764597600,17.07975,17.08506,17.06224,17.06513,14611,1418,0
