time,open,high,low,close,tick_volume,spread,real_volume
1497322800,35.720,36.093,35.647,35.895,718,0,0
1497409200,35.928,36.463,35.813,36.361,868,0,0
1497495600,36.315,36.718,36.122,36.230,1108,0,0
1497582000,36.288,36.496,36.033,36.381,834,0,0
1497841200,36.448,36.571,36.150,36.338,733,0,0
1497927600,36.370,36.390,35.862,35.950,637,0,0
1498014000,35.978,35.978,35.418,35.513,656,0,0
1498100400,35.390,35.535,35.292,35.478,399,0,0
1498186800,35.375,35.740,35.367,35.633,489,0,0
1498446000,35.650,35.780,35.452,35.527,534,0,0
1498532400,35.468,35.593,35.048,35.153,776,0,0
1498705200,34.455,34.538,34.310,34.470,442,0,0
1498791600,34.768,34.788,34.738,34.750,83,0,0
1499050800,34.438,34.606,34.303,34.543,502,0,0
1499137200,34.373,34.446,34.248,34.381,389,0,0
1499223600,34.333,34.458,34.053,34.411,733,0,0
1499310000,34.473,34.586,33.743,34.010,1224,0,0
1499396400,33.888,34.098,33.773,33.928,611,0,0
1499655600,34.148,34.588,34.148,34.476,553,0,0
1499742000,34.570,34.573,33.955,34.082,749,0,0
1499828400,34.165,34.923,34.127,34.795,963,0,0
1499914800,34.848,34.993,34.700,34.755,494,0,0
1500001200,34.918,35.178,34.713,35.031,818,0,0
1500260400,34.660,34.768,34.582,34.723,310,0,0
1500346800,34.583,34.783,34.488,34.560,568,0,0
1500433200,34.498,34.543,34.483,34.490,113,0,0
1500519600,34.643,34.848,34.385,34.413,697,0,0
1500606000,34.443,34.658,34.280,34.410,724,0,0
1500865200,34.483,34.706,34.293,34.385,729,0,0
1500951600,34.448,34.578,34.278,34.320,473,0,0
1501038000,34.343,34.551,34.190,34.518,548,0,0
1501124400,34.488,35.348,34.485,35.028,1187,0,0
1501210800,34.895,34.898,34.322,34.465,723,0,0
1501470000,34.528,34.633,34.260,34.330,549,0,0
1501556400,34.215,35.035,34.215,35.000,856,0,0
1501642800,35.465,35.768,35.227,35.510,1038,0,0
1501729200,35.380,35.848,35.330,35.618,799,0,0
1501815600,35.583,36.011,35.580,35.951,495,0,0
1502074800,35.953,35.973,35.400,35.570,764,0,0
1502161200,35.575,35.793,35.405,35.663,689,0,0
1502247600,35.548,35.813,35.410,35.578,777,0,0
1502334000,35.623,35.708,35.315,35.520,684,0,0
1502420400,35.465,35.623,34.872,35.025,1063,0,0
