time,open,high,low,close,tick_volume,spread,real_volume
1336014000,1.7290,1.7305,1.7282,1.7285,42,0,0
1336100400,1.7285,1.7385,1.7112,1.7192,454,0,0
1336446000,1.7438,1.7550,1.7158,1.7170,517,0,0
1336532400,1.7120,1.7328,1.6975,1.7070,657,0,0
1336618800,1.7000,1.7198,1.7000,1.7135,262,0,0
1336705200,1.7082,1.7242,1.6988,1.7215,376,0,0
1336964400,1.7065,1.7205,1.6888,1.6952,522,0,0
1337050800,1.7102,1.7145,1.6910,1.6995,364,0,0
1337137200,1.7068,1.7082,1.6788,1.6800,321,0,0
1337223600,1.6722,1.6730,1.6418,1.6625,528,0,0
1337310000,1.6400,1.6715,1.6400,1.6438,593,0,0
1337569200,1.6468,1.6592,1.6362,1.6535,394,0,0
1337655600,1.6705,1.7235,1.6702,1.7218,554,0,0
1337742000,1.7185,1.7328,1.6890,1.6975,667,0,0
1337828400,1.6900,1.7258,1.6900,1.7205,412,0,0
1337914800,1.7108,1.7350,1.7020,1.7325,444,0,0
1338174000,1.7325,1.7422,1.7152,1.7238,454,0,0
1338260400,1.7242,1.7310,1.7040,1.7278,505,0,0
1338346800,1.7158,1.7198,1.6990,1.7130,389,0,0
1339038000,1.6870,1.6995,1.6822,1.6900,317,0,0
1339124400,1.6885,1.7162,1.6862,1.7125,361,0,0
1339383600,1.7268,1.7298,1.7028,1.7052,325,0,0
1339470000,1.7042,1.7488,1.6945,1.7445,684,0,0
1339556400,1.7542,1.7630,1.7442,1.7542,377,0,0
1339642800,1.7632,1.7670,1.7400,1.7622,531,0,0
1339729200,1.7622,1.7702,1.7390,1.7488,491,0,0
1339988400,1.7402,1.7482,1.7285,1.7460,337,0,0
1340074800,1.7480,1.7838,1.7350,1.7818,639,0,0
1340161200,1.7765,1.7790,1.7590,1.7770,396,0,0
1340247600,1.7578,1.7825,1.7578,1.7805,268,0,0
1340334000,1.7658,1.7878,1.7582,1.7722,529,0,0
1340593200,1.7658,1.7865,1.7628,1.7855,278,0,0
1340679600,1.7925,1.7960,1.7825,1.7840,186,0,0
1340766000,1.7815,1.8132,1.7795,1.8108,382,0,0
1340852400,1.8098,1.8162,1.7925,1.8038,415,0,0
1340938800,1.8190,1.8192,1.7822,1.7882,433,0,0
1341198000,1.7880,1.7938,1.7565,1.7935,692,0,0
1341284400,1.7880,1.7942,1.7765,1.7920,315,0,0
1341370800,1.7870,1.8175,1.7860,1.7998,503,0,0
1341457200,1.8055,1.8235,1.7892,1.8218,524,0,0
1341543600,1.8240,1.8280,1.8030,1.8060,321,0,0
1341802800,1.8135,1.8272,1.8078,1.8135,389,0,0
1341889200,1.8210,1.8252,1.8040,1.8162,377,0,0
1341975600,1.8160,1.8480,1.8088,1.8405,540,0,0
1342062000,1.8408,1.8425,1.8078,1.8185,472,0,0
1342148400,1.8380,1.8385,1.8212,1.8238,205,0,0
1342407600,1.8225,1.8508,1.8198,1.8372,474,0,0
1342494000,1.8432,1.8432,1.8122,1.8295,484,0,0
1342580400,1.8388,1.8490,1.8328,1.8485,228,0,0
1342666800,1.8582,1.8698,1.8112,1.8310,901,0,0
1342753200,1.7960,1.8365,1.7732,1.7982,1245,0,0
1343012400,1.7925,1.8068,1.7795,1.7940,532,0,0
