time,open,high,low,close,tick_volume,spread,real_volume
1528081200,154.70,155.80,152.10,153.40,611,0,0
1528167600,153.20,155.30,152.80,153.20,501,0,0
1528340400,151.80,152.40,149.60,150.50,431,0,0
1528426800,149.90,150.90,148.40,148.70,381,0,0
1528686000,149.40,150.50,147.80,150.20,461,0,0
1528772400,150.60,151.20,148.30,149.00,421,0,0
1528858800,148.60,149.70,147.60,148.80,401,0,0
1528945200,146.80,150.20,146.80,149.90,371,0,0
1529031600,149.10,150.40,143.80,147.20,1131,0,0
1529290800,147.00,149.00,144.90,146.50,771,0,0
1529377200,144.20,149.20,142.80,145.40,1161,0,0
1529463600,145.50,146.60,144.40,144.70,361,0,0
1529550000,144.80,145.90,140.90,142.00,721,0,0
1529895600,142.30,142.30,138.80,139.00,371,0,0
1529982000,138.30,139.60,137.30,137.80,411,0,0
1530068400,137.40,147.00,136.10,140.00,1921,0,0
1530154800,138.90,140.60,137.70,139.10,561,0,0
1530241200,139.80,143.50,139.80,143.00,421,0,0
1530500400,142.00,142.00,139.10,139.20,301,0,0
1530586800,139.50,141.20,138.60,139.30,501,0,0
1530673200,139.20,139.60,138.10,139.10,291,0,0
1530759600,139.20,143.80,139.10,142.10,651,0,0
1530846000,142.90,143.30,141.00,141.70,341,0,0
1531105200,142.00,144.40,141.80,144.40,281,0,0
1531191600,144.30,145.20,143.50,145.20,251,0,0
1531278000,143.40,143.80,142.20,143.30,311,0,0
1531364400,143.70,146.30,142.40,146.20,531,0,0
1531450800,146.50,147.70,146.00,147.60,231,0,0
1531710000,147.60,149.60,146.40,148.60,541,0,0
1531796400,149.30,149.30,146.20,147.50,441,0,0
1531882800,148.80,149.80,147.20,148.80,521,0,0
1531969200,151.60,153.60,147.60,151.10,1151,0,0
1532055600,151.10,152.00,147.30,148.30,661,0,0
1532314800,148.40,152.10,147.80,151.90,511,0,0
1532401200,151.80,158.00,151.60,154.40,1021,0,0
1532487600,154.20,154.60,152.00,152.70,371,0,0
1532574000,154.20,154.80,153.40,154.50,251,0,0
1532660400,154.30,154.70,152.60,153.50,341,0,0
1532919600,154.50,155.80,153.80,154.30,381,0,0
1533006000,154.20,155.30,153.40,154.60,341,0,0
1533092400,155.20,155.20,152.40,152.50,291,0,0
1533178800,152.50,152.60,146.80,147.90,701,0,0
