time,open,high,low,close,tick_volume,spread,real_volume
1549159200,32.23,32.46,32.05,32.38,68,0,0
1549245600,32.37,32.54,32.29,32.50,38,0,0
1549332000,32.49,33.18,32.45,33.13,83,0,0
1549418400,33.12,33.60,33.00,33.47,86,0,0
1549504800,33.47,33.60,33.24,33.35,61,0,0
1549591200,33.34,33.50,33.20,33.30,57,0,0
1549764000,33.39,33.39,33.02,33.17,53,0,0
1549850400,33.16,33.22,32.93,33.12,55,0,0
1549936800,33.12,33.50,33.07,33.26,73,0,0
1550023200,33.25,33.35,33.03,33.21,61,0,0
1550109600,33.22,33.39,33.16,33.34,35,0,0
1550196000,33.34,33.53,33.30,33.31,44,0,0
1550368800,33.28,33.58,33.28,33.58,31,0,0
1550455200,33.57,33.71,33.31,33.62,76,0,0
1550541600,33.62,33.62,33.01,33.03,64,0,0
1550628000,33.02,34.88,32.46,34.80,307,0,0
1550714400,34.80,35.25,34.40,34.88,163,0,0
1550800800,34.88,35.38,34.84,35.16,81,0,0
1550973600,35.19,35.55,35.19,35.34,58,0,0
1551060000,35.34,35.95,32.93,33.02,373,0,0
1551146400,33.03,33.04,32.50,32.81,87,0,0
1551232800,32.81,33.08,32.67,32.79,81,0,0
1551319200,32.79,33.50,32.53,33.30,144,0,0
1551405600,33.31,33.52,33.21,33.39,55,0,0
1551578400,33.58,33.82,33.42,33.76,63,0,0
1551664800,33.77,33.88,33.35,33.48,78,0,0
1551751200,33.48,33.85,33.31,33.75,82,0,0
1551837600,33.74,34.25,33.72,33.98,83,0,0
1551924000,33.98,34.53,33.98,34.41,68,0,0
1552010400,34.40,34.57,34.27,34.50,51,0,0
1552183200,34.50,34.74,34.33,34.35,68,0,0
1552269600,34.36,34.74,34.33,34.63,56,0,0
1552356000,34.62,34.63,34.06,34.09,62,0,0
1552442400,34.10,34.64,34.08,34.33,90,0,0
1552528800,34.32,34.75,34.25,34.46,87,0,0
1552615200,34.45,34.58,34.34,34.54,40,0,0
1552788000,34.58,34.62,34.40,34.47,34,0,0
1552874400,34.47,34.76,34.40,34.62,58,0,0
1552960800,34.61,34.85,34.50,34.65,67,0,0
1553047200,34.64,34.97,34.57,34.76,69,0,0
1553133600,34.76,34.93,34.31,34.83,118,0,0
1553220000,34.82,35.13,34.64,34.79,96,0,0
1553392800,34.84,35.01,34.73,34.90,51,0,0
1553479200,34.90,35.10,33.61,33.79,188,0,0
1553565600,33.79,34.08,33.61,33.75,91,0,0
1553652000,33.75,34.40,33.64,34.11,117,0,0
1553738400,34.11,35.15,34.03,34.88,148,0,0
1553824800,34.89,35.10,34.56,34.66,86,0,0
1553997600,34.73,34.95,34.65,34.90,44,0,0
1554087600,34.89,34.90,34.31,34.44,74,0,0
1554174000,34.46,34.80,34.31,34.74,71,0,0
1554260400,34.73,35.04,34.65,34.84,68,0,0
1554346800,34.83,34.97,34.43,34.47,73,0,0
1554433200,34.47,34.54,34.13,34.20,56,0,0
1554606000,34.47,34.47,34.40,34.40,8,0,0
1554692400,34.31,34.60,34.24,34.45,59,0,0
1554778800,34.38,34.42,34.05,34.15,52,0,0
1554865200,34.12,34.33,34.11,34.21,36,0,0
1554951600,34.09,34.45,34.08,34.30,54,0,0
1555038000,34.51,34.79,34.43,34.72,52,0,0
1555210800,34.74,34.74,34.73,34.73,2,0,0
1555297200,34.50,34.69,34.31,34.40,67,0,0
1555383600,34.38,34.93,34.38,34.80,69,0,0
1555470000,34.79,34.96,34.53,34.73,81,0,0
1555556400,35.05,35.14,34.89,34.99,45,0,0
1555902000,34.95,34.95,34.95,34.95,1,0,0
1555988400,35.07,35.67,35.07,35.64,64,0,0
1556074800,35.89,36.16,35.85,35.99,53,0,0
1556161200,36.03,36.06,36.03,36.06,4,0,0
1556247600,36.13,36.26,35.92,35.99,55,0,0
1556420400,35.99,35.99,35.99,35.99,1,0,0
1556506800,36.00,36.24,35.66,35.86,103,0,0
1556593200,35.81,36.16,35.71,36.02,70,0,0
1556679600,35.99,35.99,35.53,35.74,68,0,0
1556766000,35.60,35.77,35.35,35.65,80,0,0
1556852400,35.95,36.49,35.94,36.37,69,0,0
1557025200,36.39,36.41,36.39,36.41,3,0,0
1557111600,36.06,36.20,35.63,35.84,93,0,0
1557198000,35.67,36.26,35.63,36.00,94,0,0
1557284400,35.72,36.27,35.68,36.08,83,0,0
1557370800,36.00,36.36,35.91,36.26,65,0,0
1557457200,36.36,36.76,36.31,36.60,67,0,0
1557630000,36.67,36.67,36.67,36.67,1,0,0
1557716400,36.59,36.68,36.26,36.63,81,0,0
1557802800,36.31,36.59,36.24,36.34,68,0,0
1557889200,36.03,36.40,35.96,36.32,60,0,0
1557975600,36.18,36.18,35.79,35.93,54,0,0
1558062000,36.32,36.62,36.28,36.37,64,0,0
1558234800,36.35,36.35,36.35,36.35,1,0,0
1558321200,36.46,36.89,36.39,36.71,76,0,0
1558407600,36.59,36.73,36.32,36.55,79,0,0
1558494000,36.92,37.24,36.74,37.20,73,0,0
1558580400,37.45,37.70,37.27,37.69,63,0,0
1558666800,37.45,37.70,37.44,37.63,35,0,0
1558926000,37.63,37.94,37.56,37.89,51,0,0
1559012400,37.91,38.25,37.88,37.95,71,0,0
1559098800,37.64,37.86,37.23,37.36,99,0,0
1559185200,36.99,37.15,36.73,36.88,74,0,0
1559271600,36.99,37.23,36.98,37.06,44,0,0
1559444400,37.07,37.07,37.05,37.05,3,0,0
1559530800,37.01,37.20,36.73,36.82,76,0,0
1559617200,36.60,37.06,36.55,36.91,72,0,0
1559703600,37.13,37.33,36.90,37.00,74,0,0
1559790000,37.53,38.08,37.51,38.01,67,0,0
1559876400,37.99,38.06,37.51,37.63,75,0,0
1560135600,37.67,37.70,37.67,37.70,4,0,0
1560222000,38.02,38.56,37.90,38.56,79,0,0
1560308400,38.53,38.80,38.18,38.25,97,0,0
1560394800,36.97,37.06,36.14,36.29,117,0,0
1560481200,35.25,36.02,35.10,35.67,143,0,0
1560654000,35.75,35.75,35.75,35.75,1,0,0
1560740400,35.61,35.97,35.30,35.76,120,0,0
1560826800,35.77,36.55,35.71,36.40,106,0,0
1560913200,36.49,36.77,36.09,36.40,128,0,0
1560999600,36.36,36.70,36.33,36.66,45,0,0
1561086000,36.55,36.73,36.42,36.42,50,0,0
1561345200,36.42,36.45,36.02,36.41,86,0,0
1561431600,36.48,36.74,36.32,36.64,69,0,0
1561518000,36.52,36.59,36.23,36.26,47,0,0
1561604400,35.84,36.57,35.81,36.57,80,0,0
1561690800,36.38,36.52,36.19,36.19,48,0,0
1561950000,36.13,36.14,35.91,35.93,27,0,0
1562036400,36.10,36.35,35.97,36.15,72,0,0
1562122800,35.85,36.62,35.68,36.42,132,0,0
1562209200,36.47,36.64,36.29,36.42,66,0,0
1562295600,36.56,37.35,36.55,37.18,99,0,0
1562554800,37.10,37.14,36.96,37.09,36,0,0
1562641200,36.80,37.15,36.68,37.07,68,0,0
1562727600,37.29,37.50,37.05,37.47,73,0,0
1562814000,37.24,37.64,37.06,37.58,83,0,0
1562900400,37.61,37.94,37.61,37.75,53,0,0
1563159600,37.84,37.96,37.80,37.89,28,0,0
1563246000,37.89,38.18,37.68,38.03,87,0,0
1563332400,37.98,38.49,37.92,38.42,71,0,0
1563418800,38.38,38.48,37.99,38.13,74,0,0
1563505200,37.98,38.54,37.96,38.46,69,0,0
1563764400,38.20,38.28,38.14,38.24,25,0,0
1563850800,38.67,39.03,38.63,38.90,58,0,0
1563937200,39.02,39.42,38.94,39.30,69,0,0
1564023600,39.62,39.86,39.51,39.86,47,0,0
1564110000,39.72,40.00,39.63,39.76,71,0,0
1564369200,39.91,39.96,39.75,39.81,33,0,0
1564455600,40.32,40.38,39.76,39.83,76,0,0
1564542000,39.82,39.84,39.12,39.19,82,0,0
1564628400,39.05,39.76,38.98,39.63,99,0,0
1564714800,39.46,39.69,38.80,38.85,118,0,0
1564974000,39.27,39.45,39.23,39.29,43,0,0
1565060400,38.03,38.29,37.84,37.89,77,0,0
1565146800,38.00,38.85,37.97,38.70,107,0,0
1565233200,38.08,39.10,38.07,39.07,108,0,0
1565319600,38.61,38.88,38.37,38.80,84,0,0
