time,open,high,low,close,tick_volume,spread,real_volume
1468465200,3.31,3.34,3.29,3.34,8,0,0
1468551600,3.31,3.38,3.31,3.33,13,0,0
1468810800,3.29,3.38,3.29,3.36,12,0,0
1468897200,3.36,3.41,3.31,3.34,19,0,0
1468983600,3.30,3.30,2.96,3.14,53,0,0
1469070000,3.16,3.19,3.06,3.11,22,0,0
1469156400,3.13,3.15,3.06,3.08,14,0,0
1469415600,3.09,3.12,3.06,3.11,11,0,0
1469502000,3.11,3.11,3.05,3.05,7,0,0
1469588400,3.05,3.10,3.03,3.09,11,0,0
1469674800,3.09,3.12,3.06,3.11,11,0,0
1469761200,3.09,3.10,3.05,3.07,9,0,0
1470020400,3.09,3.13,3.07,3.12,10,0,0
1470106800,3.11,3.13,3.07,3.08,10,0,0
1470193200,3.09,3.09,3.04,3.06,8,0,0
1470279600,3.04,3.07,2.97,3.03,20,0,0
1470366000,3.05,3.08,3.02,3.06,12,0,0
1470625200,3.07,3.10,3.05,3.06,10,0,0
1470798000,3.05,3.12,3.03,3.08,16,0,0
1470970800,3.08,3.11,3.05,3.07,12,0,0
1471230000,3.06,3.11,3.04,3.10,11,0,0
1471316400,3.10,3.17,3.09,3.17,10,0,0
1471402800,3.16,3.19,3.10,3.11,14,0,0
1471489200,3.09,3.17,3.08,3.11,17,0,0
1471575600,3.08,3.12,3.05,3.09,14,0,0
1471834800,3.10,3.13,3.06,3.12,13,0,0
1471921200,3.09,3.11,3.04,3.09,15,0,0
1472007600,3.07,3.10,3.06,3.09,7,0,0
1472094000,3.09,3.10,3.06,3.08,8,0,0
1472180400,3.08,3.12,3.06,3.08,13,0,0
1472439600,3.05,3.08,3.03,3.06,10,0,0
1472526000,3.06,3.10,3.05,3.07,10,0,0
1472612400,3.07,3.12,3.04,3.08,16,0,0
1472698800,3.09,3.11,3.05,3.09,13,0,0
1472785200,3.10,3.11,3.05,3.07,10,0,0
1473044400,3.10,3.14,3.09,3.13,8,0,0
1473130800,3.12,3.18,3.11,3.17,10,0,0
1473217200,3.19,3.25,3.16,3.20,18,0,0
1473303600,3.22,3.22,3.14,3.20,15,0,0
1473390000,3.19,3.21,3.16,3.18,10,0,0
1473735600,3.18,3.20,3.10,3.14,17,0,0
1473822000,3.18,3.18,3.11,3.14,11,0,0
1473908400,3.12,3.13,3.05,3.11,16,0,0
1473994800,3.10,3.16,3.09,3.13,12,0,0
1474254000,3.12,3.18,3.10,3.15,14,0,0
1474340400,3.12,3.19,3.12,3.18,9,0,0
1474426800,3.15,3.19,3.15,3.18,6,0,0
1474513200,3.19,3.26,3.18,3.19,17,0,0
1474599600,3.18,3.21,3.16,3.20,9,0,0
1474858800,3.17,3.21,3.16,3.20,8,0,0
1474945200,3.21,3.24,3.16,3.22,16,0,0
1475031600,3.24,3.26,3.19,3.19,10,0,0
1475118000,3.20,3.24,3.18,3.22,11,0,0
1475204400,3.21,4.61,3.19,3.23,283,0,0
1475463600,3.24,3.24,3.19,3.20,7,0,0
1475550000,3.20,3.24,3.19,3.24,7,0,0
1475636400,3.25,3.26,3.17,3.23,17,0,0
1475722800,3.24,3.26,3.21,3.22,9,0,0
1475809200,3.20,3.25,3.19,3.21,12,0,0
1476068400,3.20,3.22,3.20,3.22,3,0,0
1476154800,3.23,3.26,3.19,3.20,12,0,0
1476241200,3.23,3.23,3.17,3.18,8,0,0
1476327600,3.15,3.20,3.15,3.17,9,0,0
1476414000,3.17,3.23,3.15,3.22,12,0,0
1476673200,3.24,3.24,3.18,3.22,11,0,0
1476759600,3.24,3.25,3.23,3.23,4,0,0
1476846000,3.22,3.28,3.17,3.27,18,0,0
1476932400,3.28,3.34,3.27,3.30,13,0,0
1477018800,3.27,3.33,3.26,3.29,13,0,0
1477278000,3.26,3.38,3.25,3.37,16,0,0
1477364400,3.32,3.40,3.32,3.38,11,0,0
1477450800,3.26,3.38,3.26,3.35,16,0,0
1477537200,3.38,3.38,3.31,3.31,8,0,0
1477623600,3.35,3.35,3.28,3.30,10,0,0
1477879200,3.36,3.37,3.22,3.34,29,0,0
1477965600,3.34,3.37,3.30,3.33,14,0,0
1478052000,3.33,3.33,3.27,3.30,10,0,0
1478138400,3.28,3.30,3.25,3.29,10,0,0
1478224800,3.28,3.31,3.24,3.27,14,0,0
1478484000,3.27,3.33,3.26,3.31,11,0,0
1478570400,3.29,3.34,3.27,3.33,11,0,0
1478656800,3.26,3.35,3.21,3.32,23,0,0
1478743200,3.34,3.40,3.31,3.35,18,0,0
1478829600,3.35,3.39,3.26,3.30,22,0,0
1479088800,3.24,3.36,3.24,3.33,16,0,0
1479175200,3.25,3.37,3.25,3.36,14,0,0
1479261600,3.38,3.39,3.28,3.35,20,0,0
1479348000,3.34,3.38,3.32,3.36,11,0,0
1479434400,3.33,3.40,3.27,3.37,23,0,0
1479693600,3.30,3.40,3.30,3.38,13,0,0
1479780000,3.30,3.42,3.30,3.41,14,0,0
1479866400,3.41,3.46,3.39,3.43,13,0,0
1479952800,3.39,3.48,3.38,3.47,13,0,0
1480039200,3.45,3.59,3.45,3.59,15,0,0
1480298400,3.51,3.61,3.50,3.56,18,0,0
1480384800,3.51,3.60,3.51,3.55,15,0,0
1480471200,3.58,4.90,3.49,3.53,278,0,0
1480557600,3.45,3.64,3.45,3.63,21,0,0
1480644000,3.63,3.65,3.57,3.59,13,0,0
1480903200,3.58,3.67,3.58,3.66,11,0,0
1480989600,3.64,3.72,3.63,3.67,16,0,0
1481076000,3.66,3.70,3.64,3.68,11,0,0
1481162400,3.67,3.70,3.64,3.64,10,0,0
1481248800,3.69,3.70,3.62,3.63,11,0,0
1481508000,3.59,3.69,3.59,3.68,12,0,0
1481594400,3.66,3.71,3.65,3.70,9,0,0
1481680800,3.68,3.73,3.62,3.72,19,0,0
1481767200,3.68,3.69,3.40,3.59,50,0,0
1481853600,3.67,3.73,3.55,3.72,32,0,0
1482112800,3.73,3.74,3.65,3.68,14,0,0
1482199200,3.68,3.76,3.58,3.74,31,0,0
1482285600,3.74,3.76,3.65,3.76,21,0,0
1482372000,3.76,3.76,3.64,3.65,14,0,0
1482458400,3.65,3.65,3.57,3.58,10,0,0
1482804000,3.60,3.63,3.55,3.62,15,0,0
1482890400,3.61,3.65,3.55,3.64,18,0,0
1482976800,3.63,3.70,3.54,3.60,30,0,0
1483063200,3.60,3.67,3.43,3.61,48,0,0
1483408800,3.59,3.62,3.55,3.62,12,0,0
1483495200,3.59,3.63,3.58,3.62,8,0,0
1483581600,3.63,3.72,3.62,3.68,16,0,0
1483668000,3.70,3.71,3.61,3.63,14,0,0
1483927200,3.62,3.67,3.61,3.66,9,0,0
1484013600,3.64,3.70,3.60,3.69,16,0,0
1484100000,3.63,3.71,3.63,3.68,12,0,0
1484186400,3.68,3.76,3.67,3.76,11,0,0
1484272800,3.76,3.80,3.74,3.79,10,0,0
1484532000,3.79,3.81,3.75,3.75,9,0,0
1484618400,3.75,3.77,3.72,3.74,10,0,0
1484704800,3.73,3.86,3.72,3.86,16,0,0
1484791200,3.86,3.87,3.78,3.81,14,0,0
1484877600,3.82,3.89,3.81,3.89,10,0,0
1485136800,3.89,3.92,3.83,3.86,16,0,0
1485223200,3.85,3.98,3.85,3.94,18,0,0
1485309600,3.93,3.98,3.92,3.96,10,0,0
1485396000,3.97,4.00,3.92,3.92,12,0,0
1485482400,3.92,4.00,3.91,3.92,19,0,0
1485828000,3.91,3.99,3.84,3.87,27,0,0
1485914400,3.89,3.98,3.84,3.97,21,0,0
1486000800,3.98,3.99,3.88,3.90,15,0,0
1486087200,3.88,3.93,3.85,3.92,13,0,0
1486346400,3.92,3.94,3.91,3.92,7,0,0
1486432800,3.93,3.93,3.89,3.89,5,0,0
1486519200,3.89,3.94,3.88,3.88,12,0,0
1486605600,3.89,3.97,3.87,3.95,15,0,0
1486692000,3.95,3.96,3.91,3.92,8,0,0
1486951200,3.94,3.96,3.91,3.92,9,0,0
1487037600,3.92,3.95,3.85,3.86,15,0,0
