time,open,high,low,close,tick_volume,spread,real_volume
1522893600,16.323,16.327,16.303,16.303,133,19,0
1522897200,16.303,16.318,16.264,16.289,539,16,0
1522900800,16.285,16.300,16.285,16.286,246,18,0
1522904400,16.286,16.301,16.284,16.296,148,18,0
1522908000,16.296,16.296,16.286,16.286,90,19,0
1522911600,16.285,16.297,16.251,16.270,309,17,0
1522915200,16.270,16.285,16.265,16.280,127,18,0
1522918800,16.275,16.280,16.245,16.254,660,18,0
1522922400,16.253,16.257,16.179,16.232,1533,17,0
1522926000,16.231,16.262,16.211,16.218,898,17,0
1522929600,16.218,16.246,16.208,16.231,512,16,0
1522933200,16.231,16.297,16.231,16.276,661,17,0
1522936800,16.275,16.306,16.253,16.277,919,18,0
1522940400,16.282,16.298,16.212,16.213,1922,18,0
1522944000,16.212,16.392,16.202,16.371,2599,16,0
1522947600,16.374,16.375,16.276,16.311,2035,17,0
1522951200,16.311,16.371,16.311,16.368,1363,17,0
1522954800,16.366,16.389,16.348,16.384,655,16,0
1522958400,16.384,16.418,16.346,16.362,741,17,0
1522962000,16.361,16.391,16.354,16.391,266,18,0
1522965600,16.391,16.396,16.380,16.390,178,17,0
1522969200,16.390,16.395,16.342,16.343,158,18,0
1522976400,16.329,16.396,16.329,16.391,237,18,0
1522980000,16.391,16.425,16.382,16.409,927,18,0
1522983600,16.413,16.420,16.406,16.418,416,18,0
1522987200,16.417,16.436,16.417,16.427,514,17,0
1522990800,16.427,16.427,16.398,16.409,205,18,0
1522994400,16.409,16.409,16.379,16.389,370,18,0
1522998000,16.387,16.388,16.312,16.342,692,18,0
1523001600,16.343,16.349,16.320,16.348,426,18,0
1523005200,16.348,16.348,16.302,16.316,1195,17,0
1523008800,16.314,16.314,16.262,16.305,1223,16,0
1523012400,16.304,16.315,16.285,16.295,583,18,0
1523016000,16.290,16.319,16.290,16.314,432,17,0
1523019600,16.314,16.314,16.281,16.281,353,18,0
1523023200,16.276,16.307,16.271,16.278,613,18,0
1523026800,16.283,16.465,16.264,16.435,4985,16,0
1523030400,16.437,16.490,16.386,16.422,4500,16,0
1523034000,16.423,16.448,16.369,16.379,2224,16,0
1523037600,16.383,16.396,16.333,16.382,1628,16,0
1523041200,16.384,16.394,16.339,16.371,1113,17,0
1523044800,16.374,16.390,16.336,16.349,912,17,0
1523048400,16.352,16.373,16.329,16.349,585,17,0
1523052000,16.348,16.370,16.348,16.360,556,17,0
1523055600,16.361,16.378,16.340,16.340,121,18,0
1523235600,16.377,16.416,16.358,16.411,330,17,0
1523239200,16.414,16.421,16.393,16.402,358,16,0
1523242800,16.403,16.411,16.394,16.401,325,18,0
1523246400,16.397,16.413,16.369,16.384,641,18,0
1523250000,16.385,16.425,16.384,16.425,249,18,0
1523253600,16.428,16.430,16.408,16.409,244,18,0
1523257200,16.409,16.422,16.406,16.414,163,18,0
1523260800,16.412,16.434,16.406,16.423,286,18,0
1523264400,16.422,16.430,16.399,16.418,1131,17,0
1523268000,16.417,16.417,16.359,16.380,1827,18,0
1523271600,16.379,16.391,16.316,16.359,1057,17,0
1523275200,16.358,16.380,16.335,16.335,639,18,0
1523278800,16.333,16.347,16.325,16.339,1001,18,0
1523282400,16.341,16.357,16.325,16.356,884,17,0
1523286000,16.357,16.429,16.346,16.418,1568,17,0
1523289600,16.422,16.437,16.376,16.411,1386,18,0
1523293200,16.411,16.457,16.386,16.423,1314,16,0
1523296800,16.428,16.477,16.418,16.450,1034,17,0
1523300400,16.453,16.501,16.440,16.489,1042,17,0
1523304000,16.493,16.548,16.493,16.526,945,17,0
1523307600,16.525,16.538,16.520,16.532,466,17,0
1523311200,16.532,16.532,16.492,16.496,436,17,0
1523314800,16.496,16.501,16.439,16.441,121,20,0
1523322000,16.459,16.501,16.459,16.475,229,18,0
1523325600,16.475,16.492,16.470,16.487,203,18,0
1523329200,16.487,16.518,16.480,16.506,310,18,0
1523332800,16.509,16.511,16.463,16.467,578,17,0
1523336400,16.463,16.484,16.453,16.476,673,18,0
1523340000,16.474,16.474,16.428,16.450,375,18,0
1523343600,16.449,16.461,16.448,16.460,191,18,0
1523347200,16.455,16.460,16.427,16.449,309,17,0
1523350800,16.448,16.468,16.438,16.464,685,18,0
1523354400,16.460,16.510,16.448,16.505,1088,18,0
1523358000,16.503,16.510,16.466,16.510,816,17,0
1523361600,16.510,16.518,16.481,16.488,528,18,0
1523365200,16.490,16.503,16.483,16.489,634,17,0
1523368800,16.486,16.555,16.469,16.520,1482,17,0
1523372400,16.516,16.618,16.515,16.588,1381,17,0
1523376000,16.584,16.644,16.510,16.540,2138,17,0
1523379600,16.542,16.610,16.540,16.599,1273,16,0
1523383200,16.600,16.609,16.538,16.583,1703,17,0
1523386800,16.581,16.596,16.562,16.587,821,17,0
1523390400,16.587,16.607,16.563,16.568,587,17,0
1523394000,16.567,16.608,16.562,16.607,378,18,0
1523397600,16.602,16.610,16.572,16.573,379,18,0
1523401200,16.573,16.573,16.526,16.526,96,18,0
1523408400,16.533,16.579,16.528,16.576,150,18,0
1523412000,16.574,16.588,16.571,16.586,189,18,0
1523415600,16.586,16.605,16.576,16.590,376,17,0
1523419200,16.588,16.589,16.557,16.558,296,16,0
1523422800,16.553,16.569,16.548,16.550,154,16,0
1523426400,16.554,16.562,16.543,16.559,150,17,0
1523430000,16.558,16.564,16.548,16.559,108,18,0
1523433600,16.559,16.573,16.554,16.560,243,17,0
1523437200,16.561,16.625,16.557,16.604,603,17,0
1523440800,16.603,16.614,16.589,16.593,1040,19,0
1523444400,16.593,16.602,16.536,16.544,823,17,0
1523448000,16.544,16.579,16.526,16.574,591,17,0
1523451600,16.577,16.608,16.558,16.580,827,17,0
1523455200,16.578,16.633,16.567,16.578,2386,17,0
1523458800,16.580,16.680,16.563,16.615,2576,16,0
1523462400,16.610,16.735,16.590,16.689,2390,16,0
1523466000,16.694,16.844,16.678,16.838,2217,16,0
1523469600,16.841,16.869,16.776,16.786,2434,16,0
1523473200,16.780,16.827,16.734,16.803,1845,17,0
1523476800,16.799,16.801,16.718,16.732,1401,17,0
1523480400,16.732,16.744,16.607,16.635,2176,16,0
1523484000,16.635,16.670,16.625,16.655,621,18,0
1523487600,16.653,16.671,16.620,16.620,196,18,0
1523494800,16.600,16.679,16.593,16.674,114,19,0
1523498400,16.674,16.680,16.641,16.679,285,16,0
1523502000,16.680,16.688,16.653,16.658,406,17,0
1523505600,16.661,16.680,16.634,16.659,491,17,0
1523509200,16.658,16.664,16.625,16.640,656,17,0
1523512800,16.640,16.666,16.635,16.659,291,18,0
1523516400,16.658,16.660,16.613,16.625,394,18,0
1523520000,16.624,16.645,16.615,16.639,219,19,0
1523523600,16.640,16.674,16.631,16.655,800,17,0
1523527200,16.653,16.678,16.628,16.633,1037,18,0
1523530800,16.634,16.659,16.573,16.574,957,19,0
1523534400,16.578,16.612,16.548,16.612,1572,17,0
1523538000,16.610,16.625,16.556,16.606,1503,16,0
1523541600,16.604,16.661,16.600,16.600,1782,17,0
1523545200,16.599,16.626,16.503,16.536,2287,17,0
1523548800,16.538,16.578,16.483,16.508,2864,16,0
1523552400,16.508,16.538,16.466,16.499,2143,17,0
1523556000,16.497,16.530,16.484,16.509,1781,16,0
1523559600,16.512,16.535,16.501,16.517,1361,17,0
1523563200,16.518,16.519,16.473,16.493,1691,18,0
1523566800,16.490,16.500,16.470,16.487,673,18,0
1523570400,16.486,16.492,16.443,16.477,611,17,0
1523574000,16.477,16.477,16.416,16.416,154,17,0
1523581200,16.416,16.494,16.416,16.489,178,17,0
1523584800,16.484,16.489,16.474,16.476,266,19,0
1523588400,16.481,16.490,16.465,16.487,386,18,0
1523592000,16.492,16.507,16.486,16.491,427,18,0
1523595600,16.495,16.520,16.486,16.515,271,18,0
1523599200,16.515,16.516,16.499,16.515,149,18,0
1523602800,16.518,16.530,16.512,16.523,190,18,0
1523606400,16.522,16.523,16.499,16.499,199,19,0
1523610000,16.498,16.503,16.474,16.482,768,17,0
1523613600,16.482,16.524,16.467,16.520,1091,17,0
1523617200,16.520,16.551,16.519,16.548,966,18,0
1523620800,16.549,16.553,16.534,16.544,556,18,0
1523624400,16.542,16.549,16.517,16.517,515,17,0
1523628000,16.509,16.522,16.459,16.495,1569,16,0
1523631600,16.496,16.588,16.477,16.563,1343,17,0
1523635200,16.558,16.644,16.536,16.638,1950,17,0
1523638800,16.637,16.671,16.616,16.660,1528,17,0
1523642400,16.661,16.676,16.631,16.642,1220,18,0
1523646000,16.641,16.680,16.626,16.679,653,16,0
1523649600,16.679,16.679,16.632,16.637,521,16,0
1523653200,16.637,16.648,16.616,16.631,347,17,0
1523656800,16.636,16.651,16.626,16.635,527,18,0
1523660400,16.635,16.648,16.606,16.610,122,18,0
1523840400,16.595,16.646,16.565,16.596,734,18,0
1523844000,16.596,16.638,16.590,16.621,632,18,0
1523847600,16.624,16.636,16.614,16.624,353,18,0
1523851200,16.624,16.689,16.624,16.669,963,18,0
1523854800,16.669,16.678,16.649,16.673,678,18,0
1523858400,16.673,16.673,16.652,16.657,180,19,0
1523862000,16.658,16.662,16.632,16.637,198,18,0
1523865600,16.641,16.642,16.610,16.617,254,19,0
1523869200,16.615,16.622,16.576,16.576,914,18,0
1523872800,16.579,16.607,16.547,16.605,984,17,0
1523876400,16.607,16.617,16.596,16.606,653,18,0
1523880000,16.604,16.626,16.596,16.616,486,18,0
1523883600,16.615,16.623,16.590,16.596,466,17,0
1523887200,16.591,16.613,16.582,16.600,605,19,0
1523890800,16.598,16.699,16.597,16.678,1645,18,0
1523894400,16.678,16.745,16.668,16.727,1624,16,0
1523898000,16.728,16.769,16.726,16.739,1397,17,0
1523901600,16.742,16.743,16.673,16.708,887,16,0
1523905200,16.708,16.717,16.688,16.692,819,17,0
1523908800,16.688,16.692,16.657,16.679,502,17,0
1523912400,16.680,16.685,16.667,16.675,353,18,0
1523916000,16.675,16.677,16.650,16.667,386,17,0
1523919600,16.667,16.667,16.617,16.618,58,18,0
1523926800,16.619,16.692,16.616,16.679,150,19,0
1523930400,16.679,16.699,16.674,16.692,169,18,0
1523934000,16.690,16.714,16.688,16.704,225,18,0
1523937600,16.702,16.719,16.670,16.680,471,18,0
1523941200,16.676,16.686,16.668,16.675,396,18,0
1523944800,16.678,16.680,16.655,16.670,541,19,0
1523948400,16.668,16.676,16.659,16.667,125,19,0
1523952000,16.667,16.691,16.657,16.691,239,19,0
1523955600,16.687,16.735,16.677,16.730,753,17,0
1523959200,16.730,16.730,16.604,16.624,1386,16,0
1523962800,16.621,16.628,16.584,16.616,1016,17,0
1523966400,16.615,16.628,16.580,16.585,725,18,0
1523970000,16.585,16.636,16.585,16.623,476,17,0
1523973600,16.623,16.642,16.598,16.631,652,18,0
1523977200,16.634,16.656,16.595,16.628,1412,18,0
1523980800,16.628,16.747,16.614,16.718,1847,17,0
1523984400,16.719,16.757,16.646,16.734,1579,16,0
1523988000,16.734,16.766,16.727,16.741,847,16,0
1523991600,16.741,16.778,16.736,16.776,491,17,0
1523995200,16.781,16.781,16.745,16.761,632,18,0
1523998800,16.763,16.781,16.760,16.765,440,17,0
1524002400,16.763,16.798,16.761,16.767,415,17,0
1524006000,16.765,16.772,16.740,16.740,120,17,0
1524013200,16.703,16.775,16.703,16.762,196,16,0
1524016800,16.766,16.767,16.750,16.758,107,18,0
1524020400,16.758,16.767,16.745,16.749,369,18,0
1524024000,16.747,16.760,16.722,16.726,579,18,0
1524027600,16.726,16.743,16.726,16.730,338,17,0
1524031200,16.730,16.746,16.724,16.741,163,18,0
1524034800,16.742,16.751,16.730,16.741,189,16,0
1524038400,16.740,16.742,16.725,16.742,349,18,0
1524042000,16.740,16.820,16.737,16.800,1321,17,0
1524045600,16.800,16.836,16.760,16.835,1019,17,0
1524049200,16.838,16.845,16.804,16.807,1190,17,0
1524052800,16.807,16.857,16.791,16.828,1056,18,0
1524056400,16.828,16.936,16.828,16.921,1293,16,0
1524060000,16.920,16.990,16.920,16.981,1390,17,0
1524063600,16.978,17.137,16.971,17.092,1898,16,0
1524067200,17.092,17.182,17.041,17.126,2496,16,0
1524070800,17.129,17.247,17.112,17.177,2530,16,0
1524074400,17.177,17.225,17.167,17.208,1029,16,0
1524078000,17.210,17.257,17.177,17.242,892,16,0
1524081600,17.243,17.243,17.180,17.215,857,17,0
1524085200,17.215,17.217,17.185,17.185,424,17,0
1524088800,17.186,17.191,17.150,17.175,710,18,0
1524092400,17.175,17.189,17.142,17.142,85,18,0
1524099600,17.141,17.223,17.139,17.205,210,19,0
1524103200,17.209,17.210,17.189,17.195,228,19,0
1524106800,17.195,17.204,17.154,17.163,399,18,0
1524110400,17.163,17.179,17.120,17.131,856,16,0
1524114000,17.132,17.222,17.129,17.218,633,18,0
1524117600,17.219,17.242,17.211,17.216,635,18,0
1524121200,17.215,17.236,17.210,17.220,247,19,0
1524124800,17.220,17.240,17.214,17.230,429,18,0
1524128400,17.226,17.265,17.216,17.261,1130,17,0
1524132000,17.261,17.306,17.229,17.253,1632,17,0
1524135600,17.255,17.270,17.211,17.235,1380,18,0
1524139200,17.231,17.235,17.133,17.204,1447,18,0
1524142800,17.200,17.218,17.144,17.195,1503,18,0
1524146400,17.194,17.281,17.182,17.260,1420,18,0
1524150000,17.258,17.345,17.155,17.300,2756,16,0
1524153600,17.302,17.342,17.194,17.330,2776,17,0
1524157200,17.333,17.347,17.253,17.279,1978,17,0
1524160800,17.279,17.284,17.090,17.184,2823,16,0
1524164400,17.183,17.268,17.178,17.262,1756,18,0
1524168000,17.265,17.265,17.225,17.245,1194,17,0
1524171600,17.245,17.245,17.199,17.214,957,17,0
1524175200,17.217,17.257,17.209,17.249,643,17,0
1524178800,17.250,17.258,17.199,17.200,133,17,0
1524186000,17.179,17.247,17.179,17.237,193,18,0
1524189600,17.236,17.246,17.226,17.226,234,18,0
