time,open,high,low,close,tick_volume,spread,real_volume
1522994400,1330.99,1331.06,1329.09,1330.20,3190,21,0
1522998000,1330.20,1330.40,1326.57,1327.77,3340,18,0
1523001600,1327.76,1328.49,1327.17,1328.29,3212,19,0
1523005200,1328.29,1328.29,1324.36,1324.69,4580,20,0
1523008800,1324.69,1324.81,1319.65,1324.44,4517,18,0
1523012400,1324.46,1325.35,1323.68,1323.98,3559,20,0
1523016000,1323.95,1326.23,1323.90,1325.84,2758,18,0
1523019600,1325.94,1325.94,1323.62,1323.66,2193,22,0
1523023200,1323.61,1324.39,1322.46,1322.91,2594,20,0
1523026800,1322.91,1330.88,1320.60,1328.34,12894,18,0
1523030400,1328.39,1335.39,1327.64,1331.42,13076,18,0
1523034000,1331.41,1334.18,1330.31,1331.55,9005,18,0
1523037600,1331.58,1333.82,1331.38,1332.17,6099,18,0
1523041200,1332.18,1333.13,1330.58,1331.35,5206,19,0
1523044800,1331.37,1332.77,1330.25,1331.98,4660,20,0
1523048400,1331.93,1332.99,1331.07,1332.70,3653,18,0
1523052000,1332.72,1333.97,1332.38,1333.12,3325,18,0
1523055600,1333.13,1333.84,1332.57,1332.80,707,20,0
1523235600,1333.14,1334.15,1332.29,1333.61,1479,22,0
1523239200,1333.60,1334.01,1331.73,1332.44,2165,23,0
1523242800,1332.44,1332.64,1331.22,1331.42,3398,18,0
1523246400,1331.42,1332.34,1329.71,1331.44,4236,20,0
1523250000,1331.45,1333.38,1331.34,1333.12,2329,19,0
1523253600,1333.15,1333.32,1332.22,1332.46,2406,21,0
1523257200,1332.46,1332.62,1332.06,1332.37,1740,25,0
1523260800,1332.38,1333.39,1331.96,1333.01,2175,23,0
1523264400,1333.04,1333.04,1330.64,1331.37,4481,22,0
1523268000,1331.33,1331.78,1328.43,1329.64,6378,20,0
1523271600,1329.62,1329.88,1327.46,1328.86,3644,20,0
1523275200,1328.86,1329.80,1327.49,1327.53,2489,20,0
1523278800,1327.51,1328.66,1326.77,1328.33,3724,21,0
1523282400,1328.31,1329.70,1327.79,1329.58,3124,18,0
1523286000,1329.58,1333.79,1329.20,1333.57,6408,18,0
1523289600,1333.59,1334.52,1331.25,1332.12,6745,18,0
1523293200,1332.14,1333.84,1331.37,1332.18,6601,20,0
1523296800,1332.19,1333.99,1331.97,1333.37,4901,19,0
1523300400,1333.37,1336.79,1332.17,1335.22,5085,19,0
1523304000,1335.22,1337.01,1335.12,1335.71,3636,19,0
1523307600,1335.71,1337.89,1335.64,1337.27,2711,19,0
1523311200,1337.27,1337.43,1336.15,1337.19,3077,18,0
1523314800,1337.27,1337.69,1335.75,1335.87,1033,20,0
1523322000,1335.94,1337.20,1335.23,1335.49,1147,20,0
1523325600,1335.51,1337.08,1335.09,1336.44,1576,18,0
1523329200,1336.45,1338.04,1336.45,1337.70,2606,20,0
1523332800,1337.73,1337.82,1334.38,1334.48,3879,18,0
1523336400,1334.48,1334.90,1332.77,1333.75,5835,22,0
1523340000,1333.75,1334.56,1333.39,1334.25,2541,21,0
1523343600,1334.24,1334.25,1333.34,1333.86,1746,22,0
1523347200,1333.85,1334.12,1331.03,1332.38,3072,20,0
1523350800,1332.38,1333.57,1331.49,1333.31,3501,19,0
1523354400,1333.28,1337.78,1332.88,1337.26,6107,21,0
1523358000,1337.23,1337.64,1334.16,1336.31,3878,18,0
1523361600,1336.31,1336.31,1334.53,1335.23,2334,18,0
1523365200,1335.23,1336.13,1334.91,1335.66,2399,21,0
1523368800,1335.66,1338.95,1335.39,1336.43,5623,18,0
1523372400,1336.40,1339.10,1335.53,1337.44,6489,20,0
1523376000,1337.37,1340.90,1336.94,1338.82,7824,18,0
1523379600,1338.89,1340.17,1338.07,1339.69,6461,18,0
1523383200,1339.74,1339.89,1335.86,1338.58,7416,19,0
1523386800,1338.60,1340.37,1338.32,1339.45,5714,18,0
1523390400,1339.45,1342.52,1338.69,1338.92,4579,18,0
1523394000,1338.91,1341.88,1338.62,1341.68,3585,18,0
1523397600,1341.78,1341.99,1340.15,1340.47,3483,19,0
1523401200,1340.55,1340.55,1338.95,1339.20,935,23,0
1523408400,1338.53,1340.69,1338.51,1340.41,602,18,0
1523412000,1340.40,1341.89,1340.17,1341.76,1345,18,0
1523415600,1341.71,1342.65,1340.93,1341.64,3052,20,0
1523419200,1341.64,1341.64,1339.71,1339.98,2375,20,0
1523422800,1340.02,1341.17,1339.90,1340.17,2114,20,0
1523426400,1340.17,1341.78,1340.03,1341.47,1324,18,0
1523430000,1341.47,1341.71,1340.95,1341.71,1044,23,0
1523433600,1341.67,1342.42,1341.34,1342.17,1775,18,0
1523437200,1342.18,1345.28,1341.91,1344.63,3783,18,0
1523440800,1344.63,1345.38,1343.75,1344.83,2941,18,0
