time,open,high,low,close,tick_volume,spread,real_volume
1496685600,49.37,49.37,49.10,49.29,1336,6,0
1496689200,49.28,49.49,49.26,49.37,699,7,0
1496692800,49.36,49.68,49.36,49.57,925,7,0
1496696400,49.58,49.62,49.37,49.47,910,7,0
1496700000,49.48,49.63,49.47,49.53,227,7,0
1496703600,49.53,49.55,49.45,49.52,140,9,0
1496718000,49.59,49.74,49.59,49.70,256,6,0
1496721600,49.70,49.73,49.18,49.25,710,9,0
1496725200,49.25,49.26,49.07,49.17,446,6,0
1496728800,49.16,49.32,49.13,49.27,289,9,0
1496732400,49.26,49.42,49.26,49.33,187,9,0
1496736000,49.32,49.33,49.24,49.29,238,9,0
1496739600,49.30,49.89,49.29,49.50,1600,7,0
1496743200,49.51,49.76,49.25,49.41,1049,7,0
1496746800,49.42,49.61,49.19,49.48,841,6,0
1496750400,49.49,49.57,49.30,49.44,739,6,0
1496754000,49.45,49.68,49.43,49.52,575,7,0
1496757600,49.51,49.51,49.29,49.36,656,7,0
1496761200,49.37,49.50,49.25,49.34,763,7,0
1496764800,49.33,49.51,49.20,49.37,1324,7,0
1496768400,49.38,49.43,49.19,49.26,1135,7,0
1496772000,49.25,49.74,49.18,49.62,1325,6,0
1496775600,49.63,49.98,49.55,49.87,1541,7,0
1496779200,49.88,49.98,49.75,49.94,758,7,0
1496782800,49.95,50.22,49.95,50.14,889,7,0
1496786400,50.15,50.29,50.12,50.23,329,6,0
1496790000,50.22,50.34,49.86,49.97,793,9,0
1496804400,50.04,50.11,49.98,49.99,149,6,0
1496808000,50.00,50.07,49.98,50.04,147,6,0
1496811600,50.05,50.18,50.05,50.12,297,9,0
1496815200,50.13,50.21,50.09,50.16,113,9,0
1496818800,50.15,50.17,50.11,50.14,105,9,0
1496822400,50.15,50.17,50.04,50.07,123,9,0
1496826000,50.07,50.09,49.84,50.05,716,7,0
1496829600,50.04,50.09,49.80,49.87,914,7,0
1496833200,49.86,49.89,49.73,49.79,786,6,0
1496836800,49.78,50.06,49.77,49.96,542,7,0
1496840400,49.95,50.05,49.82,49.83,768,7,0
1496844000,49.82,49.90,49.71,49.81,706,7,0
1496847600,49.80,49.85,49.58,49.64,842,6,0
1496851200,49.63,49.87,49.58,49.85,1090,7,0
1496854800,49.84,49.96,48.22,48.48,3841,6,0
1496858400,48.47,48.61,48.38,48.46,2132,6,0
1496862000,48.45,48.53,48.20,48.27,1047,7,0
1496865600,48.26,48.47,48.20,48.35,908,6,0
1496869200,48.36,48.42,48.04,48.34,1281,6,0
1496872800,48.34,48.40,48.15,48.22,452,7,0
1496876400,48.21,48.37,48.19,48.28,396,6,0
1496890800,48.34,48.53,48.32,48.48,343,6,0
1496894400,48.49,48.53,48.38,48.42,318,6,0
1496898000,48.41,48.50,48.26,48.44,371,6,0
1496901600,48.44,48.54,48.43,48.50,303,9,0
1496905200,48.49,48.53,48.48,48.50,101,9,0
1496908800,48.50,48.53,48.46,48.48,211,9,0
1496912400,48.49,48.62,48.47,48.59,453,6,0
1496916000,48.60,48.71,48.35,48.51,704,7,0
1496919600,48.52,48.62,48.38,48.60,823,8,0
1496923200,48.61,48.70,48.52,48.64,495,7,0
1496926800,48.65,48.69,48.37,48.40,506,7,0
1496930400,48.39,48.43,47.77,47.92,1844,7,0
1496934000,47.93,48.01,47.69,47.79,1732,6,0
1496937600,47.78,48.33,47.76,48.31,2942,6,0
1496941200,48.32,48.48,48.07,48.13,3278,6,0
