time,open,high,low,close,tick_volume,spread,real_volume
1522724400,63.01,63.11,62.96,63.07,283,10,0
1522728000,63.08,63.21,63.04,63.12,374,9,0
1522731600,63.11,63.13,63.06,63.12,295,10,0
1522735200,63.11,63.14,63.05,63.05,126,10,0
1522738800,63.04,63.11,62.98,63.08,278,9,0
1522742400,63.08,63.10,62.96,63.00,273,10,0
1522746000,63.00,63.20,63.00,63.20,448,7,0
1522749600,63.19,63.31,63.14,63.26,729,7,0
1522753200,63.26,63.52,63.16,63.40,1111,6,0
1522756800,63.39,63.41,63.21,63.22,667,7,0
1522760400,63.21,63.34,63.18,63.20,665,7,0
1522764000,63.21,63.28,62.99,63.14,963,7,0
1522767600,63.14,63.41,63.09,63.40,1681,6,0
1522771200,63.40,63.57,63.11,63.42,2973,6,0
1522774800,63.42,63.52,63.04,63.47,3270,6,0
1522778400,63.46,63.71,63.26,63.29,2662,6,0
1522782000,63.29,63.56,63.21,63.50,1929,6,0
1522785600,63.50,63.60,63.32,63.37,2162,6,0
1522789200,63.38,63.50,63.25,63.44,2084,6,0
1522792800,63.43,63.56,63.41,63.47,1086,6,0
1522796400,63.46,63.75,63.33,63.46,1003,7,0
1522803600,63.51,63.56,63.45,63.49,111,6,0
1522807200,63.49,63.54,63.44,63.45,94,10,0
1522810800,63.45,63.52,63.25,63.33,289,10,0
1522814400,63.33,63.34,63.18,63.25,335,9,0
1522818000,63.25,63.32,63.24,63.26,164,6,0
1522821600,63.26,63.28,63.23,63.25,114,10,0
1522825200,63.25,63.30,63.23,63.30,76,10,0
1522828800,63.29,63.31,63.20,63.24,211,7,0
1522832400,63.25,63.25,63.18,63.25,455,6,0
1522836000,63.24,63.32,63.00,63.05,1187,6,0
1522839600,63.06,63.06,62.58,62.61,2063,6,0
1522843200,62.61,62.61,62.10,62.31,1397,6,0
1522846800,62.30,62.39,62.21,62.26,954,6,0
1522850400,62.27,62.64,62.25,62.54,1040,6,0
1522854000,62.54,62.59,62.40,62.43,1488,6,0
1522857600,62.42,62.44,62.02,62.22,3237,6,0
1522861200,62.22,63.12,62.13,63.04,6353,6,0
1522864800,63.04,63.17,62.75,63.08,4478,6,0
1522868400,63.09,63.41,62.94,63.24,2560,6,0
1522872000,63.23,63.26,63.01,63.13,1733,6,0
1522875600,63.14,63.47,63.08,63.32,2261,6,0
1522879200,63.33,63.53,63.31,63.50,742,6,0
1522882800,63.49,63.53,63.43,63.47,324,9,0
1522890000,63.62,63.63,63.49,63.57,216,8,0
1522893600,63.58,63.59,63.51,63.58,123,8,0
1522897200,63.59,63.73,63.47,63.51,440,6,0
1522900800,63.51,63.54,63.42,63.53,282,8,0
1522904400,63.53,63.67,63.53,63.63,357,8,0
1522908000,63.63,63.68,63.60,63.63,185,8,0
1522911600,63.62,63.63,63.48,63.61,137,8,0
1522915200,63.60,63.63,63.56,63.59,161,8,0
1522918800,63.59,63.60,63.48,63.55,447,7,0
1522922400,63.54,63.64,63.42,63.48,980,6,0
1522926000,63.48,63.53,63.35,63.36,1208,6,0
1522929600,63.37,63.37,63.25,63.33,846,7,0
1522933200,63.33,63.37,63.08,63.12,808,6,0
1522936800,63.13,63.30,63.03,63.19,743,6,0
1522940400,63.19,63.33,63.07,63.29,1184,6,0
1522944000,63.28,64.07,63.11,63.87,3426,6,0
1522947600,63.88,63.88,63.10,63.27,4161,6,0
1522951200,63.28,63.83,63.24,63.74,2635,6,0
1522954800,63.74,63.77,63.47,63.58,1648,6,0
1522958400,63.58,63.68,63.27,63.36,1262,6,0
1522962000,63.36,63.62,63.19,63.60,1244,6,0
1522965600,63.59,63.66,63.56,63.57,527,6,0
1522969200,63.58,63.72,63.57,63.66,192,6,0
1522976400,63.67,63.73,63.40,63.45,276,6,0
1522980000,63.45,63.45,62.76,63.12,1134,6,0
1522983600,63.13,63.19,62.92,63.04,940,8,0
1522987200,63.05,63.10,62.96,63.06,833,8,0
1522990800,63.06,63.17,63.06,63.15,361,6,0
1522994400,63.16,63.25,63.09,63.09,340,6,0
1522998000,63.09,63.16,63.05,63.10,198,6,0
1523001600,63.09,63.11,62.96,63.01,422,6,0
1523005200,63.01,63.12,62.89,63.08,660,6,0
1523008800,63.08,63.17,62.98,63.04,914,6,0
1523012400,63.05,63.37,63.05,63.29,1260,6,0
1523016000,63.28,63.40,63.19,63.23,662,6,0
1523019600,63.24,63.27,63.09,63.16,457,6,0
1523023200,63.15,63.17,62.88,62.96,889,6,0
1523026800,62.97,63.34,62.91,63.29,2327,6,0
1523030400,63.30,63.65,63.12,63.43,3858,6,0
1523034000,63.43,63.53,62.53,62.55,3829,6,0
1523037600,62.54,62.55,62.12,62.43,4284,6,0
1523041200,62.42,62.50,62.18,62.42,2436,6,0
1523044800,62.41,62.42,61.80,61.93,2477,6,0
1523048400,61.92,62.10,61.82,61.88,2671,6,0
1523052000,61.89,62.01,61.85,61.96,1419,6,0
1523055600,61.96,61.98,61.85,61.88,382,9,0
1523235600,61.94,62.18,61.94,62.12,405,6,0
1523239200,62.12,62.16,62.05,62.15,220,8,0
1523242800,62.16,62.28,62.12,62.26,397,8,0
1523246400,62.27,62.32,62.14,62.18,676,8,0
