time,open,high,low,close,tick_volume,spread,real_volume
1764118800,496.37,512.95,496.33,510.82,2825,25,0
1764122400,510.82,527.22,510.22,515.92,19911,24,0
1764126000,515.98,523.16,507.41,516.96,19030,24,0
1764129600,516.96,528.52,515.83,525.09,16500,24,0
1764133200,525.09,525.87,514.41,517.12,17436,24,0
1764136800,517.14,519.66,506.87,508.40,15369,24,0
1764140400,508.39,513.72,506.29,511.53,13624,24,0
1764144000,511.53,514.31,497.54,502.78,16686,24,0
1764147600,502.79,508.41,500.77,504.25,16629,24,0
1764151200,504.28,507.22,497.64,499.63,17142,24,0
1764154800,499.63,503.03,495.64,500.85,15135,24,0
1764158400,500.81,506.89,497.63,497.92,16080,24,0
1764162000,497.94,501.46,491.54,494.57,16244,24,0
1764165600,494.55,501.11,492.35,495.50,17989,24,0
1764169200,495.48,510.03,492.83,505.05,16788,24,0
1764172800,505.03,509.23,496.72,498.34,19907,24,0
1764176400,498.48,509.87,497.83,502.56,20129,24,0
1764180000,502.57,519.77,500.09,513.42,19710,24,0
1764183600,513.44,524.79,509.43,523.11,21806,24,0
1764187200,523.11,525.26,513.69,515.91,20416,24,0
1764190800,515.89,519.03,510.58,513.07,14529,24,0
1764194400,513.11,523.84,510.95,519.90,16380,24,0
1764198000,519.89,527.88,515.29,524.41,16371,24,0
1764201600,519.89,535.07,518.95,529.69,15550,24,0
1764205200,529.70,533.69,523.84,526.49,15244,24,0
1764208800,526.49,533.90,520.39,526.91,13736,24,0
1764212400,526.91,531.92,515.03,529.07,15225,24,0
1764216000,529.17,548.43,527.48,530.81,17686,24,0
1764219600,530.81,531.63,517.35,518.22,14140,24,0
1764223200,518.21,527.95,516.50,521.13,13178,24,0
1764226800,521.14,521.14,502.85,507.85,15383,24,0
1764230400,507.85,514.00,506.96,511.38,11778,24,0
1764234000,511.39,513.74,507.77,509.58,9641,24,0
1764237600,509.54,511.29,505.34,510.57,9846,24,0
1764241200,510.59,518.33,506.70,512.42,12767,24,0
1764244800,512.41,517.00,510.81,513.29,10199,24,0
1764248400,513.29,514.32,503.67,505.54,10833,24,0
1764252000,505.54,506.97,496.61,499.71,11951,24,0
1764255600,499.74,503.83,498.74,499.63,11939,24,0
1764259200,499.62,500.09,493.23,497.91,11349,24,0
1764262800,497.91,502.64,495.49,501.45,11662,24,0
1764266400,501.45,508.46,499.51,506.70,13574,24,0
1764270000,506.70,507.92,499.00,502.87,10593,24,0
1764273600,502.85,503.68,499.37,500.15,9475,24,0
1764277200,500.13,500.60,498.32,499.21,6941,24,0
1764280800,499.20,503.78,495.47,499.86,9081,24,0
1764284400,499.84,500.23,493.90,493.98,8802,24,0
1764288000,494.17,495.99,484.22,487.42,8882,24,0
1764291600,487.42,490.50,482.76,489.81,11699,24,0
1764295200,489.72,490.03,482.78,486.68,8586,24,0
1764298800,486.70,488.82,456.14,466.69,12202,24,0
1764302400,466.73,467.75,447.46,463.53,20983,24,0
1764306000,463.54,478.13,461.57,472.38,13660,24,0
1764309600,472.39,477.89,467.07,470.18,11829,24,0
1764313200,470.29,477.48,466.92,474.86,12568,24,0
1764316800,474.86,475.12,469.98,472.56,9813,24,0
1764320400,472.57,474.94,468.88,473.56,10284,24,0
1764324000,473.55,483.95,473.22,479.54,15190,24,0
1764327600,479.54,483.93,477.28,480.28,12577,24,0
1764331200,480.30,480.89,476.89,478.34,8335,24,0
1764334800,478.33,480.82,469.06,469.81,13117,24,0
1764338400,469.81,473.24,466.64,470.88,10770,24,0
1764342000,470.89,482.73,461.38,479.10,13611,24,0
1764345600,479.11,481.51,472.16,473.45,14851,24,0
1764349200,473.45,475.63,469.22,470.02,14751,24,0
1764352800,470.06,470.42,461.07,465.25,13622,24,0
1764356400,465.26,466.67,456.58,457.42,14764,24,0
1764360000,457.42,461.25,455.94,457.45,11962,24,0
1764363600,457.45,461.33,456.87,460.49,8663,24,0
1764367200,460.48,464.84,457.88,463.31,8560,24,0
1764370800,463.32,464.45,454.79,454.96,8012,24,0
1764439200,459.72,460.83,459.03,460.83,587,24,0
1764468000,459.70,466.24,459.11,465.66,8926,24,0
1764471600,465.63,468.39,463.20,466.93,12005,24,0
1764475200,466.93,469.98,460.77,462.37,11217,24,0
1764478800,462.34,463.97,454.82,457.10,10488,24,0
1764482400,457.09,459.77,455.14,455.66,9959,24,0
1764486000,455.67,458.63,454.32,456.00,9102,24,0
1764489600,455.99,458.66,455.33,457.10,8022,24,0
1764493200,457.10,461.55,456.22,461.01,9113,24,0
1764496800,461.02,461.11,456.80,459.01,11213,24,0
1764500400,459.04,459.44,455.22,456.34,9538,24,0
1764504000,456.34,456.39,445.23,446.67,10661,24,0
1764507600,446.69,450.06,446.02,448.63,10158,24,0
1764511200,448.65,448.67,434.72,446.26,13137,24,0
1764514800,446.27,456.61,445.78,448.69,15385,24,0
1764518400,448.58,449.03,440.71,442.57,11786,24,0
1764522000,442.53,444.75,437.57,441.80,12237,24,0
1764525600,441.81,446.93,440.82,444.89,11136,24,0
1764529200,444.86,444.93,438.09,442.97,11672,24,0
1764532800,443.01,444.48,436.23,436.75,10883,24,0
1764536400,436.75,438.68,433.39,435.17,10039,24,0
1764540000,435.18,438.77,430.42,434.23,10819,24,0
1764543600,434.25,441.03,430.68,440.30,11247,24,0
1764547200,440.30,441.29,432.44,435.20,8770,24,0
1764550800,435.21,435.54,425.53,427.77,15450,24,0
1764554400,427.77,429.96,387.44,392.28,26924,24,0
1764558000,392.28,394.68,378.08,383.10,23961,24,0
1764561600,383.10,391.73,380.95,383.70,19344,24,0
1764565200,383.72,384.07,371.67,373.78,18860,24,0
1764568800,373.76,377.64,351.28,366.91,21232,24,0
1764572400,366.91,370.55,356.79,358.99,15029,24,0
1764576000,359.00,362.75,355.02,358.96,14095,24,0
1764579600,358.97,361.42,355.83,358.28,12968,24,0
1764583200,358.26,367.11,356.35,365.82,14127,24,0
1764586800,365.81,368.70,363.28,364.61,12306,24,0
1764590400,364.61,367.57,363.32,363.54,9835,24,0
1764594000,363.55,365.66,363.28,363.43,9287,24,0
1764597600,363.45,364.33,343.88,347.32,18030,24,0
1764601200,347.32,350.02,327.80,340.73,23736,24,0
1764604800,340.73,360.74,338.32,355.92,22541,24,0
1764608400,355.90,366.09,341.08,360.77,24288,24,0
