time,open,high,low,close,tick_volume,spread,real_volume
1375412400,44.97,45.42,44.82,45.36,82,0,0
1375671600,44.98,45.37,44.49,44.72,151,0,0
1375758000,44.41,44.99,44.41,44.75,83,0,0
1375844400,44.59,44.85,44.21,44.58,128,0,0
1375930800,44.99,45.18,44.63,44.95,107,0,0
1376276400,44.39,45.19,44.39,44.90,110,0,0
1376362800,45.01,45.18,44.68,44.80,80,0,0
1376449200,44.78,45.23,44.29,44.90,177,0,0
1376535600,44.35,44.61,43.13,43.21,183,0,0
1376622000,43.29,43.29,42.41,43.05,153,0,0
1376881200,42.75,43.81,42.75,43.30,158,0,0
1376967600,43.30,43.32,42.77,42.77,58,0,0
1377054000,42.74,42.88,42.10,42.39,122,0,0
1377140400,42.84,43.22,42.28,43.04,169,0,0
1377226800,43.05,43.75,42.99,43.75,83,0,0
1377486000,43.48,43.74,43.19,43.33,96,0,0
1377572400,43.20,43.20,42.60,42.68,69,0,0
1377658800,42.58,42.90,42.37,42.66,99,0,0
1377831600,42.70,43.01,42.30,42.57,130,0,0
1378177200,43.29,43.29,42.29,42.60,132,0,0
1378263600,42.67,43.46,42.54,43.17,135,0,0
1378350000,43.15,43.73,42.96,43.52,118,0,0
1378436400,43.84,44.35,42.91,43.87,286,0,0
1378695600,43.93,44.44,43.51,44.31,149,0,0
1378782000,44.44,44.82,44.12,44.79,106,0,0
1378868400,44.75,44.97,44.41,44.85,103,0,0
1378954800,44.77,44.93,44.51,44.61,69,0,0
1379041200,44.61,44.91,44.43,44.78,80,0,0
1379386800,45.90,47.74,45.71,47.43,254,0,0
1379473200,47.48,48.42,46.89,47.93,262,0,0
1379559600,47.90,48.30,47.25,47.56,177,0,0
1379905200,47.60,47.64,46.93,47.18,101,0,0
1379991600,47.22,47.22,45.91,46.06,147,0,0
1380078000,46.39,46.39,45.02,45.35,171,0,0
1380164400,45.45,45.62,44.82,45.07,123,0,0
1380250800,44.83,44.90,44.02,44.48,142,0,0
1380510000,44.10,45.01,43.75,44.68,195,0,0
1380596400,44.79,45.90,44.74,45.77,135,0,0
1380682800,45.24,45.97,45.15,45.83,106,0,0
1380769200,45.84,46.34,45.11,45.90,241,0,0
1380855600,46.26,46.89,46.03,46.70,129,0,0
1381114800,46.20,46.98,46.09,46.09,168,0,0
1381201200,46.11,46.27,44.37,44.72,242,0,0
1381287600,44.59,45.31,44.31,45.03,157,0,0
1381374000,45.10,45.68,44.53,45.59,182,0,0
1381460400,45.80,45.80,44.95,45.55,146,0,0
1381719600,45.25,46.62,45.06,46.62,176,0,0
1381806000,46.05,46.39,45.75,46.10,124,0,0
1381892400,46.25,47.27,46.23,46.99,135,0,0
1381978800,46.93,48.71,46.55,48.30,296,0,0
1382324400,48.35,48.60,47.77,48.43,159,0,0
1382410800,48.38,49.31,48.11,48.98,181,0,0
1382497200,48.59,48.95,48.29,48.40,114,0,0
1382583600,48.52,48.99,47.73,48.13,214,0,0
1382925600,49.30,49.97,48.97,49.61,170,0,0
1383012000,50.00,50.20,49.49,49.67,110,0,0
1383098400,50.13,50.13,48.73,48.77,145,0,0
1383184800,49.03,49.03,48.45,48.47,61,0,0
1383530400,48.83,49.05,48.78,48.85,53,0,0
1383616800,48.66,48.74,47.92,47.98,97,0,0
1383703200,47.99,48.75,47.88,48.16,158,0,0
1383789600,48.16,48.39,47.19,47.26,151,0,0
1384135200,47.94,48.74,47.94,48.74,81,0,0
1384221600,48.49,48.50,47.27,47.56,154,0,0
1384308000,47.03,47.93,46.88,47.78,136,0,0
1384394400,47.69,48.48,47.69,48.08,120,0,0
1384480800,48.36,48.75,47.95,48.40,157,0,0
1384740000,48.74,49.96,48.56,48.66,273,0,0
1384826400,48.56,49.08,48.36,48.68,133,0,0
1384912800,48.76,48.85,47.82,48.00,131,0,0
1384999200,48.08,48.71,47.98,48.69,86,0,0
1385344800,48.84,49.28,48.04,48.21,186,0,0
1385431200,48.36,49.18,48.19,48.66,169,0,0
1385517600,48.63,48.95,48.25,48.27,105,0,0
1385690400,48.50,48.93,48.07,48.46,169,0,0
