time,open,high,low,close,tick_volume,spread,real_volume
1764172800,209.98,212.68,206.93,207.95,1158,17,0
1764176400,207.98,212.60,207.34,211.98,1828,17,0
1764180000,212.04,214.27,211.78,212.82,1519,17,0
1764183600,212.87,213.67,211.73,213.26,1341,17,0
1764187200,213.26,213.85,212.37,213.53,1285,17,0
1764190800,213.52,214.89,213.19,214.84,1301,17,0
1764194400,214.93,215.49,213.87,214.56,1345,17,0
1764345600,216.21,218.12,213.96,216.38,1029,17,0
1764349200,216.42,217.52,215.64,216.29,1630,17,0
1764352800,216.29,217.09,215.48,216.88,1354,17,0
1764356400,216.83,217.48,215.91,217.48,1510,17,0
1764604800,214.03,219.77,213.60,219.26,1059,17,0
1764608400,219.41,219.67,216.12,218.01,1810,17,0
1764612000,218.01,219.15,216.60,218.52,1460,17,0
1764615600,218.55,220.00,217.98,219.04,1210,17,0
1764619200,219.07,220.86,219.07,220.63,1102,17,0
1764622800,220.59,220.68,218.85,219.07,1267,17,0
1764626400,219.11,220.32,219.02,219.90,1310,17,0
1764691200,221.68,225.79,219.78,224.24,1091,17,0
1764694800,224.21,225.45,221.50,222.20,1734,17,0
1764698400,222.20,222.20,216.06,217.52,1850,17,0
1764702000,217.51,218.51,216.73,216.73,1346,17,0
1764705600,216.58,217.50,214.32,215.08,1279,17,0
1764709200,215.07,215.94,214.56,215.58,1108,17,0
1764712800,215.57,216.09,214.55,214.62,1206,17,0
1764777600,216.30,216.38,211.69,214.56,1150,17,0
1764781200,214.59,218.07,214.59,217.18,1876,17,0
1764784800,217.32,217.56,214.06,214.53,1478,17,0
1764788400,214.53,216.17,214.33,215.74,1105,17,0
1764792000,215.73,217.07,215.53,215.74,887,17,0
1764795600,215.67,217.04,215.67,216.59,835,17,0
1764799200,216.64,217.77,216.25,217.51,1058,17,0
1764864000,216.40,218.28,214.53,215.25,1076,17,0
1764867600,215.24,217.95,214.93,216.52,1642,17,0
1764871200,216.52,219.02,215.63,218.82,1569,17,0
1764874800,218.80,218.96,216.87,217.06,1309,17,0
1764878400,217.07,217.07,215.63,215.80,1179,17,0
1764882000,215.79,216.44,214.07,215.55,1402,17,0
1764885600,215.54,215.88,214.19,215.57,1443,17,0
1764950400,217.11,221.75,216.41,219.65,1146,17,0
1764954000,219.68,223.54,218.05,218.38,2086,17,0
1764957600,218.32,218.71,216.20,217.79,1907,17,0
1764961200,217.77,218.92,217.57,218.80,1399,17,0
1764964800,218.77,219.44,218.43,218.78,1188,17,0
1764968400,218.78,218.83,217.36,218.24,1265,17,0
1764972000,218.18,218.26,216.93,217.71,1311,17,0
1765209600,218.94,222.90,218.77,220.79,1086,17,0
1765213200,220.94,221.72,218.43,219.38,1632,17,0
1765216800,219.45,220.49,218.28,219.46,1365,17,0
1765220400,219.43,221.86,218.52,220.72,1210,17,0
1765224000,220.72,223.54,219.31,219.74,1569,17,0
1765227600,219.65,220.65,219.27,219.75,1283,17,0
1765231200,219.78,220.70,219.57,220.47,1247,17,0
1765296000,220.64,220.81,217.92,219.22,1051,17,0
1765299600,219.21,224.67,219.21,222.56,1747,17,0
1765303200,222.54,223.09,220.74,221.96,1388,17,0
1765306800,221.96,223.06,221.71,223.00,1087,17,0
1765310400,223.03,223.05,220.59,221.17,1047,17,0
1765314000,221.22,221.27,220.63,220.95,947,17,0
1765317600,220.94,221.86,220.69,221.73,1089,17,0
1765382400,221.24,221.36,219.21,220.30,985,17,0
1765386000,220.29,220.47,218.60,219.57,1622,17,0
1765389600,219.58,220.58,218.91,220.56,1300,17,0
1765393200,220.56,220.73,219.55,220.07,1071,17,0
1765396800,220.00,220.07,218.81,219.03,1079,17,0
1765400400,219.11,222.37,219.02,222.13,2081,17,0
1765404000,222.30,222.49,221.13,221.80,1772,17,0
1765468800,217.21,217.21,210.73,210.82,1118,17,0
1765472400,210.78,214.83,210.12,213.34,1972,17,0
1765476000,213.30,215.58,212.65,214.54,1546,17,0
1765479600,214.55,216.70,214.33,216.02,1451,17,0
1765483200,215.97,218.94,215.92,218.66,1447,17,0
1765486800,218.71,221.11,218.66,220.23,1429,17,0
1765490400,220.24,221.41,219.70,221.06,1436,17,0
1765555200,218.21,222.31,217.89,219.13,1026,17,0
1765558800,219.04,219.07,212.49,212.56,1972,17,0
1765562400,212.48,213.55,208.96,210.39,1998,17,0
1765566000,210.40,213.75,210.23,212.98,1633,17,0
1765569600,212.99,214.91,212.27,212.40,1498,17,0
1765573200,212.38,212.71,210.70,211.83,1400,17,0
1765576800,211.83,212.28,209.76,210.63,1661,17,0
1765814400,212.11,215.16,212.05,212.49,1136,17,0
1765818000,212.49,212.97,209.02,211.31,1864,17,0
1765821600,211.31,213.03,210.58,211.60,1491,17,0
1765825200,211.61,212.25,210.53,210.84,1196,17,0
1765828800,210.85,211.86,209.91,211.53,1284,17,0
1765832400,211.50,212.10,209.59,210.04,1263,17,0
1765836000,210.04,210.04,206.50,206.86,1522,17,0
1765900800,206.65,209.08,205.75,208.54,1041,17,0
1765904400,208.52,209.08,205.03,208.05,1770,17,0
1765908000,208.07,208.38,205.99,207.65,1500,17,0
1765911600,207.68,208.08,206.76,207.01,1257,17,0
1765915200,207.04,209.12,206.53,208.59,1315,17,0
1765918800,208.51,208.69,207.36,207.91,1403,17,0
1765922400,207.93,210.10,207.83,209.66,1417,17,0
1765987200,209.73,211.31,205.95,208.09,1051,17,0
1765990800,207.95,207.96,201.14,201.37,1847,17,0
1765994400,201.40,202.00,199.40,201.02,1688,17,0
1765998000,201.02,201.57,200.16,200.53,1456,17,0
1766001600,200.56,201.39,198.55,198.95,1327,17,0
1766005200,198.96,199.41,197.97,198.70,1446,17,0
1766008800,198.68,198.82,197.50,197.63,1402,17,0
1766073600,203.83,205.93,202.97,205.22,1065,17,0
1766077200,205.23,206.22,203.17,203.72,1740,17,0
1766080800,203.73,204.20,202.43,203.58,1349,17,0
1766084400,203.58,203.58,200.43,202.93,1397,17,0
