time,open,high,low,close,tick_volume,spread,real_volume
1764118800,2.2443,2.2633,2.2393,2.2433,124,1024,0
1764122400,2.2433,2.2483,2.2233,2.2273,426,1023,0
1764126000,2.2273,2.2503,2.2123,2.2323,410,1024,0
1764129600,2.2323,2.2373,2.2233,2.2263,293,1023,0
1764133200,2.2263,2.2313,2.2003,2.2133,317,1023,0
1764136800,2.2133,2.2233,2.2083,2.2123,272,1024,0
1764140400,2.2113,2.2343,2.2103,2.2333,237,1023,0
1764144000,2.2333,2.2383,2.2203,2.2333,274,1023,0
1764147600,2.2333,2.2363,2.2253,2.2343,294,1024,0
1764151200,2.2343,2.2343,2.2083,2.2093,315,1023,0
1764154800,2.2093,2.2123,2.1913,2.2123,307,1024,0
1764158400,2.2123,2.2143,2.1973,2.2023,247,1024,0
1764162000,2.2023,2.2083,2.1753,2.1813,272,1024,0
1764165600,2.1813,2.1833,2.1553,2.1633,453,1024,0
1764169200,2.1633,2.1813,2.1523,2.1723,421,1024,0
1764172800,2.1713,2.1823,2.1253,2.1303,667,1024,0
1764176400,2.1303,2.1363,2.0983,2.1153,952,1024,0
1764180000,2.1153,2.1673,2.1153,2.1493,619,1024,0
1764183600,2.1493,2.2293,2.1483,2.2253,905,1024,0
1764187200,2.2253,2.2413,2.2053,2.2273,730,1024,0
1764190800,2.2273,2.2283,2.2083,2.2233,435,1024,0
1764194400,2.2233,2.2243,2.2053,2.2083,442,1024,0
1764198000,2.2083,2.2383,2.2023,2.2303,431,1024,0
1764201600,2.2293,2.2413,2.2263,2.2333,268,1024,0
1764205200,2.2333,2.2393,2.2163,2.2203,280,1023,0
1764208800,2.2203,2.2253,2.2033,2.2133,339,1024,0
1764212400,2.2133,2.2363,2.2133,2.2333,385,1024,0
1764216000,2.2333,2.2493,2.2213,2.2223,452,1024,0
1764219600,2.2223,2.2263,2.1903,2.1913,350,1024,0
1764223200,2.1913,2.2103,2.1913,2.1953,274,1023,0
1764226800,2.1953,2.2003,2.1783,2.1973,362,1024,0
1764230400,2.1973,2.2153,2.1963,2.2153,241,1024,0
1764234000,2.2153,2.2193,2.2103,2.2133,244,1024,0
1764237600,2.2133,2.2193,2.2053,2.2153,246,1023,0
1764241200,2.2153,2.2353,2.2103,2.2183,291,1023,0
1764244800,2.2183,2.2213,2.1993,2.2093,244,1023,0
