time,open,high,low,close,tick_volume,spread,real_volume
1249527600,16.50,16.91,15.56,16.18,239,0,0
1249614000,16.15,16.76,16.03,16.43,119,0,0
1249873200,16.63,16.63,15.61,15.97,139,0,0
1249959600,15.98,16.00,15.50,15.67,70,0,0
1250046000,16.15,16.20,15.66,16.00,94,0,0
1250132400,16.00,16.72,16.00,16.55,90,0,0
1250218800,16.50,17.00,16.25,16.60,141,0,0
1250478000,16.27,16.37,16.20,16.22,30,0,0
1250564400,16.48,17.20,16.35,17.07,112,0,0
1250650800,16.84,17.94,16.80,17.89,124,0,0
1250737200,17.95,17.95,17.29,17.76,114,0,0
1250823600,17.79,17.97,17.58,17.82,76,0,0
1251082800,17.52,17.85,17.30,17.50,109,0,0
1251169200,17.65,17.90,17.55,17.85,51,0,0
1251255600,17.69,17.85,17.15,17.85,125,0,0
1251342000,17.85,18.21,17.55,18.16,102,0,0
1251428400,18.10,19.00,18.00,18.47,164,0,0
1251687600,18.35,18.40,17.81,18.20,104,0,0
1251774000,18.25,18.44,16.94,17.85,261,0,0
1251860400,17.76,18.25,17.48,17.68,147,0,0
1251946800,17.97,17.97,17.00,17.45,143,0,0
1252033200,17.75,18.00,17.49,17.76,102,0,0
1252378800,17.76,17.93,17.45,17.70,91,0,0
1252465200,17.85,17.85,17.22,17.26,68,0,0
1252551600,17.01,17.46,16.95,17.05,99,0,0
1252638000,17.00,17.33,16.54,16.88,147,0,0
1252897200,16.64,16.90,16.31,16.65,118,0,0
1252983600,17.25,17.35,16.63,17.18,138,0,0
1253070000,17.40,17.75,17.11,17.58,111,0,0
1253156400,17.66,17.90,16.53,16.64,173,0,0
1253242800,16.57,17.02,16.18,16.20,132,0,0
1253502000,16.28,16.63,15.87,16.61,120,0,0
1253588400,16.96,17.37,16.82,17.25,82,0,0
1253674800,17.62,17.79,17.30,17.40,77,0,0
1253761200,17.33,17.85,16.75,17.49,205,0,0
1253847600,17.48,17.48,17.10,17.13,42,0,0
1254106800,17.32,17.85,17.03,17.65,132,0,0
1254193200,17.55,17.84,16.95,17.03,127,0,0
1254279600,17.00,17.33,16.96,17.07,68,0,0
1254366000,17.00,17.09,16.21,16.31,108,0,0
1254452400,16.20,16.36,15.90,16.09,82,0,0
1254711600,16.10,16.53,16.00,16.49,68,0,0
1254798000,16.74,17.20,16.44,16.47,126,0,0
1254884400,16.57,16.61,15.92,16.13,95,0,0
1254970800,16.11,16.18,15.94,16.01,39,0,0
1255057200,15.98,16.45,15.94,16.25,76,0,0
1255316400,16.22,16.45,16.04,16.34,71,0,0
1255402800,16.19,16.67,16.15,16.53,71,0,0
1255489200,16.84,17.00,16.54,16.86,91,0,0
1255575600,17.40,17.95,17.10,17.16,147,0,0
1255662000,17.23,17.23,16.21,16.43,125,0,0
1255921200,16.46,16.64,16.06,16.24,95,0,0
1256007600,16.34,16.73,16.27,16.53,74,0,0
1256094000,16.37,16.91,16.11,16.49,149,0,0
1256180400,16.33,16.33,15.61,16.28,140,0,0
1256266800,16.13,16.41,15.92,16.05,91,0,0
1256522400,15.91,16.12,15.81,15.84,56,0,0
1256608800,15.95,15.99,15.26,15.45,97,0,0
1256695200,15.50,15.50,14.89,14.93,66,0,0
1256781600,14.95,15.20,14.72,15.04,88,0,0
1256868000,15.10,15.19,14.87,15.00,55,0,0
1257127200,15.10,15.10,14.72,14.87,54,0,0
1257213600,14.68,14.82,14.44,14.49,58,0,0
1257300000,14.60,15.25,14.33,14.78,167,0,0
1257386400,15.02,15.74,14.85,15.32,149,0,0
1257472800,15.32,15.69,14.87,15.29,162,0,0
1257732000,15.26,15.74,15.09,15.66,91,0,0
1257818400,15.69,15.69,15.18,15.45,79,0,0
1257904800,15.53,15.53,15.12,15.36,66,0,0
1257991200,15.40,15.95,15.40,15.60,91,0,0
1258077600,15.61,15.75,15.41,15.58,66,0,0
1258336800,15.63,16.21,15.53,16.01,99,0,0
1258423200,15.83,16.19,15.58,16.07,99,0,0
1258509600,16.15,16.15,15.81,16.03,57,0,0
1258596000,15.84,15.89,15.25,15.57,102,0,0
1258682400,15.56,15.65,15.31,15.44,57,0,0
1258941600,15.54,15.61,15.15,15.19,58,0,0
1259028000,15.10,15.33,15.01,15.26,49,0,0
1259114400,15.38,15.98,15.36,15.50,113,0,0
1259287200,15.13,15.88,15.06,15.86,92,0,0
1259546400,15.87,15.99,15.25,15.86,148,0,0
1259632800,15.90,16.34,15.90,15.96,83,0,0
1259719200,16.03,16.11,15.38,15.61,105,0,0
1259805600,15.58,15.94,15.58,15.93,38,0,0
1259892000,16.40,16.71,15.60,16.52,211,0,0
1260151200,16.50,16.93,16.50,16.87,50,0,0
1260237600,16.61,16.97,16.55,16.75,71,0,0
1260324000,16.61,16.81,16.34,16.81,75,0,0
1260410400,16.80,16.99,16.75,16.77,46,0,0
1260496800,16.69,16.70,16.46,16.58,38,0,0
1260756000,16.74,16.90,16.69,16.85,32,0,0
1260842400,16.85,16.90,16.71,16.74,28,0,0
1260928800,16.88,17.13,16.74,17.00,67,0,0
1261015200,16.91,16.98,16.14,16.31,109,0,0
1261101600,16.30,16.80,16.23,16.39,106,0,0
1261360800,16.79,16.85,16.36,16.49,69,0,0
1261447200,16.50,16.73,16.23,16.73,78,0,0
1261533600,16.75,16.84,16.65,16.78,36,0,0
1261620000,16.72,17.00,16.72,16.78,51,0,0
1261965600,16.75,17.80,16.75,17.38,148,0,0
1262052000,17.52,17.68,17.40,17.53,56,0,0
1262138400,17.31,17.78,17.31,17.69,57,0,0
1262224800,17.61,18.29,17.61,18.29,69,0,0
1262570400,18.30,18.90,18.01,18.86,123,0,0
1262656800,18.95,19.24,18.10,19.00,224,0,0
1262743200,18.95,19.30,18.59,19.15,123,0,0
1262829600,19.04,19.17,18.65,19.03,104,0,0
1262916000,18.90,19.30,18.85,19.17,64,0,0
1263175200,19.20,19.55,19.03,19.29,96,0,0
1263261600,19.14,19.14,18.74,19.00,67,0,0
1263348000,18.96,18.96,18.25,18.42,89,0,0
1263434400,18.48,18.87,18.15,18.43,140,0,0
1263520800,18.56,18.56,18.15,18.24,51,0,0
1263866400,17.90,18.15,17.30,17.81,162,0,0
1263952800,17.71,18.01,17.44,17.96,90,0,0
1264039200,17.87,18.49,17.79,17.99,129,0,0
1264125600,17.88,18.06,17.38,17.56,105,0,0
1264384800,17.67,17.80,17.46,17.65,67,0,0
1264471200,17.03,18.00,16.84,17.76,160,0,0
1264557600,17.64,17.95,17.25,17.41,118,0,0
1264644000,17.55,17.74,17.25,17.72,82,0,0
1264730400,17.72,17.86,17.25,17.38,89,0,0
1264989600,17.38,17.69,17.29,17.50,69,0,0
1265076000,17.51,17.80,17.35,17.70,72,0,0
1265162400,17.54,17.69,17.48,17.62,35,0,0
1265248800,17.38,17.58,17.06,17.22,89,0,0
1265335200,17.25,17.32,16.60,17.20,140,0,0
1265594400,17.08,17.29,16.87,17.01,78,0,0
1265680800,17.04,17.38,16.82,16.99,108,0,0
1265767200,16.86,16.94,16.51,16.80,81,0,0
1265853600,16.76,17.25,16.50,17.13,114,0,0
1265940000,16.98,17.39,16.79,17.36,83,0,0
1266285600,17.40,17.51,17.27,17.48,41,0,0
1266372000,17.60,17.60,17.17,17.41,68,0,0
1266458400,17.47,17.50,17.30,17.45,39,0,0
1266544800,17.50,17.62,17.36,17.53,50,0,0
1266804000,17.50,17.59,17.23,17.35,58,0,0
1266890400,17.35,17.49,17.13,17.38,70,0,0
1266976800,17.50,17.87,17.41,17.74,69,0,0
1267063200,18.00,18.39,17.69,18.09,132,0,0
1267149600,18.05,18.19,17.96,18.15,37,0,0
1267408800,18.70,18.80,18.12,18.30,97,0,0
1267495200,18.19,18.74,18.19,18.72,58,0,0
1267581600,18.75,19.94,18.75,18.91,223,0,0
1267668000,19.01,19.24,18.50,19.06,144,0,0
1267754400,19.05,19.66,19.05,19.36,92,0,0
1268013600,19.48,19.52,19.09,19.31,70,0,0
1268100000,19.44,20.00,19.15,19.35,162,0,0
1268186400,19.46,19.98,19.36,19.74,97,0,0
1268272800,19.79,19.97,19.79,19.86,30,0,0
1268359200,19.90,20.00,19.44,19.65,88,0,0
1268618400,19.56,19.56,19.03,19.42,93,0,0
1268704800,19.42,19.68,19.16,19.50,97,0,0
1268791200,19.59,19.99,19.56,19.89,57,0,0
1268877600,19.94,20.00,19.48,19.98,101,0,0
1268964000,20.00,20.28,19.69,20.11,108,0,0
1269223200,19.87,20.15,19.70,19.94,84,0,0
1269309600,19.98,20.30,19.95,20.22,47,0,0
1269396000,20.20,20.20,19.57,19.62,69,0,0
1269482400,19.75,19.75,19.31,19.65,79,0,0
1269568800,19.66,20.20,19.66,19.91,84,0,0
1269831600,20.09,20.40,19.94,20.22,80,0,0
1269918000,20.28,20.51,19.96,20.38,101,0,0
1270004400,20.39,20.68,20.17,20.56,86,0,0
1270090800,20.69,20.80,20.09,20.50,124,0,0
1270436400,20.69,20.70,19.79,20.26,140,0,0
1270522800,20.05,20.83,20.00,20.68,104,0,0
1270609200,20.58,20.74,20.40,20.48,59,0,0
1270695600,20.48,20.48,20.08,20.10,43,0,0
1270782000,20.10,20.14,19.83,20.01,54,0,0
1271041200,19.92,20.15,19.67,20.02,87,0,0
1271127600,19.86,20.24,19.75,20.15,70,0,0
1271214000,20.63,21.56,20.50,21.55,121,0,0
1271300400,21.60,22.00,21.60,21.96,45,0,0
1271386800,21.97,21.98,21.67,21.88,54,0,0
1271646000,21.68,22.04,21.30,21.90,127,0,0
1271732400,22.47,22.88,22.18,22.37,131,0,0
1271818800,22.50,22.83,21.46,21.84,209,0,0
1271905200,21.84,21.86,20.97,21.53,148,0,0
1271991600,21.43,21.62,21.08,21.49,103,0,0
1272250800,21.35,22.03,21.30,21.79,103,0,0
1272337200,21.86,21.86,20.82,21.00,123,0,0
1272423600,21.18,21.29,20.68,21.01,106,0,0
1272510000,21.33,21.80,21.33,21.40,88,0,0
1272596400,21.57,21.69,20.49,20.51,135,0,0
1272855600,20.65,21.47,20.39,21.12,170,0,0
1272942000,20.97,20.97,19.92,20.05,119,0,0
1273028400,19.94,20.06,19.20,19.59,138,0,0
1273114800,19.57,19.58,18.55,19.20,170,0,0
1273201200,19.24,19.50,18.38,19.29,220,0,0
1273460400,20.00,20.91,20.00,20.74,109,0,0
1273546800,20.33,20.80,20.17,20.66,94,0,0
1273633200,20.56,20.92,20.50,20.72,69,0,0
1273719600,20.83,20.83,20.32,20.46,66,0,0
1273806000,20.41,20.49,19.72,20.23,137,0,0
1274065200,20.25,20.52,19.92,20.52,94,0,0
1274151600,20.60,20.88,19.94,20.08,137,0,0
1274238000,19.84,20.28,18.93,20.02,253,0,0
1274324400,19.77,20.30,19.44,20.10,140,0,0
1274410800,19.90,20.25,19.54,19.81,134,0,0
1274670000,19.75,20.00,19.31,19.39,103,0,0
1274756400,19.00,19.34,18.52,19.23,142,0,0
1274842800,19.56,20.42,19.48,20.02,143,0,0
1274929200,20.37,21.55,20.29,21.34,156,0,0
1275015600,21.43,21.49,20.30,20.65,161,0,0
1275361200,20.66,20.99,20.34,20.39,104,0,0
1275447600,20.34,21.11,20.34,21.11,78,0,0
1275534000,21.06,22.00,21.06,21.66,129,0,0
1275620400,21.40,21.44,20.58,20.81,114,0,0
