time,open,high,low,close,tick_volume,spread,real_volume
1336014000,27.29,27.30,27.27,27.27,5,0,0
1336100400,27.30,27.56,27.07,27.07,76,0,0
1336446000,26.87,27.27,26.80,26.96,86,0,0
1336532400,27.09,27.14,26.63,26.84,78,0,0
1336618800,26.91,26.97,26.71,26.79,41,0,0
1336705200,26.66,27.08,26.65,27.06,47,0,0
1336964400,26.76,26.96,26.51,26.62,77,0,0
1337050800,26.32,26.68,26.32,26.44,61,0,0
1337137200,26.11,26.54,26.11,26.37,61,0,0
1337223600,26.45,26.53,26.25,26.49,53,0,0
1337310000,26.02,26.47,25.98,26.15,86,0,0
1337569200,26.21,26.67,26.16,26.63,61,0,0
1337655600,26.59,26.67,26.22,26.46,78,0,0
1337742000,26.18,26.46,25.94,25.96,83,0,0
1337828400,26.10,26.36,25.85,26.31,82,0,0
1337914800,26.26,26.54,26.04,26.32,95,0,0
1338174000,26.59,26.63,26.07,26.14,68,0,0
1338260400,26.21,26.40,26.08,26.31,55,0,0
1338346800,26.18,26.23,25.94,25.95,36,0,0
1339038000,26.38,26.56,26.34,26.40,43,0,0
1339124400,26.40,26.75,26.33,26.69,56,0,0
1339383600,27.15,27.15,26.59,26.61,59,0,0
1339470000,26.62,26.84,26.40,26.56,83,0,0
1339556400,26.63,26.91,26.50,26.89,57,0,0
1339642800,26.95,27.09,26.84,27.01,45,0,0
1339729200,27.00,27.16,26.67,26.73,72,0,0
1339988400,26.83,26.96,26.48,26.79,93,0,0
1340074800,26.84,27.65,26.84,27.62,85,0,0
1340161200,27.43,27.76,27.26,27.72,72,0,0
1340247600,27.51,27.88,27.47,27.79,55,0,0
1340334000,27.58,27.83,27.51,27.74,49,0,0
1340593200,27.55,27.76,27.40,27.48,66,0,0
1340679600,27.47,27.70,27.28,27.54,78,0,0
1340766000,27.65,28.02,27.62,27.94,52,0,0
1340852400,28.03,28.42,27.88,28.21,91,0,0
1340938800,28.62,28.72,28.00,28.44,127,0,0
1341198000,28.39,28.79,28.36,28.77,49,0,0
1341284400,28.96,29.32,28.87,29.30,57,0,0
1341370800,29.19,29.39,29.09,29.27,53,0,0
