time,open,high,low,close,tick_volume,spread,real_volume
1764172800,158.94,161.32,157.03,157.07,839,17,0
1764176400,157.11,159.01,156.84,158.89,1158,17,0
1764180000,158.89,159.34,158.13,158.94,806,17,0
1764183600,158.94,159.13,158.56,158.78,513,17,0
1764187200,158.78,159.29,152.02,156.35,1106,17,0
1764190800,156.36,157.33,156.20,157.13,678,17,0
1764194400,157.13,157.75,157.09,157.55,740,17,0
1764345600,155.83,157.03,155.61,156.97,655,17,0
1764349200,156.93,158.53,156.93,157.56,1103,17,0
1764352800,157.56,158.10,157.18,157.59,971,17,0
1764356400,157.59,157.73,156.99,157.27,980,17,0
1764604800,160.18,161.45,159.34,160.70,776,17,0
1764608400,160.70,162.87,160.55,162.40,1291,17,0
1764612000,162.40,163.01,161.66,162.60,1028,17,0
1764615600,162.60,163.98,162.45,163.56,897,17,0
1764619200,163.56,164.75,163.55,164.51,814,17,0
1764622800,164.47,164.59,163.81,164.23,832,17,0
1764626400,164.23,164.75,164.08,164.30,907,17,0
1764691200,161.16,161.57,160.11,160.23,654,17,0
1764694800,160.23,160.54,159.46,160.29,1002,17,0
1764698400,160.32,160.58,159.04,159.84,843,17,0
1764702000,159.84,160.23,159.59,159.59,567,17,0
1764705600,159.59,160.44,159.54,160.33,707,17,0
1764709200,160.32,160.68,160.08,160.61,606,17,0
1764712800,160.61,160.79,160.39,160.66,604,17,0
1764777600,157.23,157.80,156.45,157.23,710,17,0
1764781200,157.23,158.34,157.15,157.78,822,17,0
1764784800,157.78,158.03,156.68,156.93,711,17,0
1764788400,156.93,157.48,156.82,157.36,545,17,0
1764792000,157.36,157.84,157.15,157.53,504,17,0
1764795600,157.54,157.71,157.28,157.51,569,17,0
1764799200,157.51,158.29,157.32,158.12,614,17,0
1764864000,158.02,158.69,156.33,156.95,659,17,0
1764867600,156.95,157.76,156.65,157.72,854,17,0
1764871200,157.72,158.07,157.30,157.87,748,17,0
1764874800,157.87,157.94,157.16,157.39,502,17,0
1764878400,157.39,157.42,156.93,156.98,438,17,0
1764882000,156.98,157.58,156.54,157.45,577,17,0
1764885600,157.45,157.51,157.24,157.32,582,17,0
1764950400,159.08,159.34,157.81,158.08,606,17,0
1764954000,158.06,159.22,157.95,158.57,967,17,0
1764957600,158.57,158.71,157.64,158.13,804,17,0
1764961200,158.13,158.42,157.85,158.40,535,17,0
1764964800,158.39,158.88,158.28,158.68,536,17,0
1764968400,158.68,158.80,158.44,158.72,417,17,0
1764972000,158.72,158.75,158.13,158.27,480,17,0
1765209600,157.46,158.64,157.26,158.50,543,17,0
1765213200,158.50,158.64,156.80,156.83,774,17,0
1765216800,156.84,157.26,156.35,156.68,591,17,0
1765220400,156.74,157.88,156.53,157.72,414,17,0
1765224000,157.72,158.02,157.06,157.08,512,17,0
1765227600,157.08,158.10,157.05,157.79,422,17,0
1765231200,157.82,157.96,157.36,157.87,445,17,0
1765296000,154.50,155.77,154.23,155.53,499,17,0
1765299600,155.53,155.64,154.53,155.24,729,17,0
1765303200,155.27,156.13,155.12,155.48,644,17,0
1765306800,155.47,155.79,155.06,155.79,502,17,0
1765310400,155.84,156.34,155.81,155.88,482,17,0
1765314000,155.85,156.26,155.57,156.07,530,17,0
1765317600,156.07,156.51,155.81,156.40,513,17,0
1765382400,159.31,160.56,158.34,159.68,668,17,0
1765386000,159.73,159.83,158.03,158.10,892,17,0
1765389600,158.10,158.77,157.45,158.71,622,17,0
1765393200,158.71,158.95,158.24,158.80,445,17,0
1765396800,158.79,158.80,158.23,158.38,327,17,0
1765400400,158.38,160.15,158.23,160.08,664,17,0
1765404000,160.08,160.33,159.12,159.19,700,17,0
1765468800,155.00,155.00,153.26,153.41,588,17,0
1765472400,153.41,155.15,153.41,154.95,842,17,0
1765476000,154.95,155.72,154.54,155.26,737,17,0
1765479600,155.26,156.05,155.17,155.90,520,17,0
1765483200,155.90,156.49,155.75,156.24,530,17,0
1765486800,156.22,156.43,156.13,156.16,491,17,0
1765490400,156.16,156.95,156.06,156.78,515,17,0
1765555200,157.60,158.78,156.85,158.06,573,17,0
1765558800,158.06,158.18,155.39,155.52,897,17,0
1765562400,155.52,155.80,153.73,154.26,779,17,0
1765566000,154.26,155.23,154.23,154.97,376,17,0
1765569600,154.97,155.89,154.97,155.48,346,17,0
1765573200,155.49,155.63,155.10,155.36,325,17,0
1765576800,155.36,155.41,154.88,155.39,360,17,0
1765814400,153.01,153.08,150.94,151.01,648,17,0
1765818000,151.03,151.19,149.95,150.92,936,17,0
1765821600,150.92,151.37,150.59,150.82,595,17,0
1765825200,150.82,150.97,149.73,150.11,558,17,0
1765828800,150.11,150.40,149.49,150.23,549,17,0
1765832400,150.23,151.26,150.19,150.55,448,17,0
1765836000,150.55,150.74,149.98,150.34,500,17,0
