time,open,high,low,close,tick_volume,spread,real_volume
1764172800,24.48,24.60,24.34,24.35,407,32,0
1764176400,24.36,24.49,24.31,24.39,619,32,0
1764180000,24.39,24.66,24.39,24.64,475,32,0
1764183600,24.65,25.25,24.60,25.21,617,32,0
1764187200,25.21,25.37,25.16,25.29,605,32,0
1764190800,25.29,25.31,25.18,25.24,444,32,0
1764194400,25.23,25.29,25.11,25.22,427,32,0
1764345600,26.10,26.12,25.77,25.91,499,32,0
1764349200,25.90,26.05,25.82,25.93,565,32,0
1764352800,25.93,25.93,25.51,25.52,672,32,0
1764356400,25.52,25.60,25.33,25.44,612,32,0
1764604800,24.19,24.32,24.08,24.08,478,32,0
1764608400,24.08,24.17,23.50,23.74,781,32,0
1764612000,23.74,23.96,23.57,23.71,777,32,0
1764615600,23.72,23.91,23.68,23.82,621,32,0
1764619200,23.83,24.00,23.76,23.90,581,32,0
1764622800,23.90,23.93,23.73,23.85,567,32,0
1764626400,23.85,24.08,23.84,23.98,658,32,0
1764691200,24.88,25.06,24.80,25.06,474,32,0
1764694800,25.05,25.59,25.05,25.50,972,32,0
1764698400,25.51,25.62,25.32,25.48,761,32,0
1764702000,25.48,25.83,25.48,25.68,627,32,0
1764705600,25.68,25.89,25.66,25.82,521,32,0
1764709200,25.82,25.92,25.79,25.80,392,32,0
1764712800,25.80,25.81,25.48,25.56,530,32,0
1764777600,25.98,26.30,25.86,25.87,640,32,0
1764781200,25.91,26.11,25.80,25.93,833,32,0
1764784800,25.93,26.04,25.76,25.89,627,32,0
1764788400,25.89,26.13,25.88,26.10,529,32,0
1764792000,26.10,26.26,25.93,26.00,438,32,0
1764795600,26.00,26.14,25.98,26.12,351,32,0
1764799200,26.12,26.21,26.06,26.10,395,32,0
1764864000,26.04,26.04,25.76,25.79,420,32,0
1764867600,25.78,26.17,25.78,26.10,729,32,0
1764871200,26.10,26.16,25.90,25.95,621,32,0
1764874800,25.95,25.98,25.76,25.95,570,32,0
1764878400,25.95,25.99,25.81,25.87,492,32,0
1764882000,25.87,25.88,25.51,25.82,768,32,0
1764885600,25.82,25.98,25.74,25.97,542,32,0
1764950400,25.39,25.47,25.25,25.29,477,32,0
1764954000,25.30,25.68,25.30,25.39,815,32,0
1764957600,25.39,25.40,24.73,24.93,875,32,0
1764961200,24.93,25.13,24.88,25.08,703,32,0
1764964800,25.08,25.22,24.96,24.97,561,32,0
1764968400,24.98,25.22,24.94,25.17,551,32,0
1764972000,25.17,25.20,25.04,25.07,419,32,0
1765209600,25.64,25.75,25.47,25.50,571,32,0
1765213200,25.49,25.54,25.14,25.24,964,32,0
1765216800,25.24,25.39,25.16,25.25,723,32,0
1765220400,25.25,25.35,25.16,25.32,584,32,0
1765224000,25.32,25.40,25.17,25.22,616,32,0
1765227600,25.22,25.36,25.20,25.28,525,32,0
1765231200,25.28,25.51,25.28,25.48,553,32,0
1765296000,25.32,25.42,25.25,25.35,468,32,0
1765299600,25.35,26.07,25.32,26.02,951,32,0
1765303200,26.03,26.54,26.03,26.46,872,32,0
1765306800,26.47,26.57,26.26,26.38,727,32,0
1765310400,26.38,26.45,26.30,26.37,541,32,0
1765314000,26.37,26.45,26.30,26.34,480,32,0
1765317600,26.34,26.35,26.04,26.14,604,32,0
1765382400,25.80,25.86,25.70,25.77,425,32,0
1765386000,25.76,25.87,25.71,25.85,689,32,0
1765389600,25.85,25.99,25.79,25.87,593,32,0
1765393200,25.87,25.98,25.85,25.93,481,32,0
1765396800,25.93,26.13,25.78,25.90,579,32,0
1765400400,25.90,26.18,25.76,26.11,1294,32,0
1765404000,26.11,26.54,25.92,25.96,1063,32,0
1765468800,25.29,25.40,25.05,25.13,513,32,0
1765472400,25.12,25.44,25.08,25.22,830,32,0
1765476000,25.22,25.32,25.07,25.19,725,32,0
1765479600,25.19,25.34,25.15,25.26,558,32,0
1765483200,25.25,25.61,25.22,25.46,599,32,0
1765486800,25.46,25.71,25.43,25.50,688,32,0
1765490400,25.50,25.78,25.49,25.76,661,32,0
1765555200,25.86,26.02,25.80,25.95,408,32,0
