time,open,high,low,close,tick_volume,spread,real_volume
1536584400,1.52528,1.52718,1.52506,1.52661,3974,9,0
1536588000,1.52661,1.52676,1.52556,1.52568,3302,9,0
1536591600,1.52567,1.52798,1.52562,1.52780,5471,9,0
1536595200,1.52780,1.52879,1.52587,1.52678,6309,9,0
1536598800,1.52678,1.52921,1.52618,1.52754,5536,9,0
1536602400,1.52755,1.52785,1.52671,1.52698,3793,9,0
1536606000,1.52698,1.52774,1.52657,1.52657,2923,9,0
1536609600,1.52655,1.52718,1.52547,1.52568,1997,9,0
1536613200,1.52568,1.52645,1.52547,1.52578,1943,9,0
1536616800,1.52575,1.52647,1.52549,1.52639,2612,10,0
1536620400,1.52640,1.52675,1.52574,1.52590,1415,9,0
1536624000,1.52493,1.52613,1.52493,1.52574,631,19,0
1536627600,1.52575,1.52611,1.52566,1.52581,2183,15,0
1536631200,1.52580,1.52604,1.52575,1.52597,1068,9,0
1536634800,1.52596,1.52616,1.52520,1.52523,2176,9,0
1536638400,1.52524,1.52524,1.52460,1.52474,2827,9,0
1536642000,1.52474,1.52498,1.52441,1.52451,1690,10,0
1536645600,1.52451,1.52523,1.52449,1.52495,2227,9,0
1536649200,1.52496,1.52534,1.52468,1.52496,1094,9,0
1536652800,1.52496,1.52569,1.52465,1.52560,2024,9,0
1536656400,1.52560,1.52758,1.52533,1.52724,3835,9,0
1536660000,1.52724,1.52926,1.52703,1.52780,4437,9,0
1536663600,1.52780,1.52818,1.52620,1.52700,5421,9,0
1536667200,1.52698,1.52772,1.52570,1.52577,4918,9,0
1536670800,1.52577,1.52592,1.52385,1.52454,4959,9,0
1536674400,1.52453,1.52491,1.52329,1.52352,4127,9,0
1536678000,1.52352,1.52505,1.52228,1.52483,6881,9,0
1536681600,1.52484,1.52519,1.52317,1.52476,5717,9,0
1536685200,1.52476,1.52543,1.52235,1.52256,6779,9,0
1536688800,1.52252,1.52270,1.52145,1.52203,5061,9,0
1536692400,1.52203,1.52236,1.52140,1.52187,3348,9,0
1536696000,1.52187,1.52196,1.52084,1.52148,2988,9,0
1536699600,1.52147,1.52177,1.52082,1.52118,2390,9,0
1536703200,1.52118,1.52136,1.51905,1.51998,3068,9,0
1536706800,1.52002,1.52017,1.51312,1.51606,5780,9,0
1536710400,1.51598,1.51610,1.51399,1.51510,1463,30,0
1536714000,1.51498,1.51565,1.51477,1.51503,2205,20,0
1536717600,1.51502,1.51522,1.51406,1.51462,3442,14,0
1536721200,1.51464,1.51627,1.51451,1.51596,3466,9,0
1536724800,1.51596,1.51610,1.51523,1.51538,2813,9,0
1536728400,1.51545,1.51573,1.51464,1.51466,2566,9,0
1536732000,1.51465,1.51552,1.51414,1.51414,2445,9,0
1536735600,1.51415,1.51433,1.51338,1.51364,1715,9,0
1536739200,1.51363,1.51407,1.51334,1.51359,2256,9,0
1536742800,1.51360,1.51506,1.51240,1.51242,3954,9,0
1536746400,1.51242,1.51493,1.51233,1.51401,5745,9,0
1536750000,1.51402,1.51484,1.51167,1.51320,6058,9,0
1536753600,1.51322,1.51440,1.51249,1.51366,4528,9,0
1536757200,1.51367,1.51367,1.51146,1.51149,4914,9,0
1536760800,1.51152,1.51450,1.51069,1.51423,6088,9,0
1536764400,1.51404,1.51572,1.51328,1.51532,5039,9,0
1536768000,1.51532,1.51542,1.51064,1.51256,5702,9,0
1536771600,1.51259,1.51336,1.51036,1.51216,8732,9,0
1536775200,1.51214,1.51343,1.51089,1.51194,8566,9,0
1536778800,1.51194,1.51255,1.50897,1.51102,4993,9,0
1536782400,1.51104,1.51244,1.51004,1.51206,4708,9,0
1536786000,1.51204,1.51250,1.51052,1.51067,3570,9,0
1536789600,1.51067,1.51189,1.51014,1.51155,2471,9,0
1536793200,1.51156,1.51265,1.51104,1.51104,2227,9,0
1536796800,1.51055,1.51150,1.51038,1.51087,1214,44,0
1536800400,1.51086,1.51164,1.51085,1.51127,1780,20,0
