time,open,high,low,close,tick_volume,spread,real_volume
1487700000,3343.2,3345.2,3336.2,3338.2,218,16,0
1487703600,3339.2,3341.2,3338.2,3339.2,82,25,0
1487707200,3338.2,3340.2,3338.2,3339.2,213,25,0
1487710800,3338.2,3341.2,3338.2,3341.2,153,26,0
1487714400,3340.2,3345.2,3340.2,3344.2,271,25,0
1487754000,3342.9,3349.2,3342.4,3344.2,100,16,0
1487757600,3344.3,3356.2,3343.2,3343.2,622,14,0
1487761200,3343.3,3348.2,3339.2,3344.2,413,13,0
1487764800,3343.3,3345.2,3335.1,3335.2,228,17,0
1487768400,3335.1,3339.2,3329.2,3329.2,156,14,0
1487772000,3329.2,3333.2,3328.2,3331.2,197,19,0
1487775600,3332.2,3335.2,3327.4,3329.2,333,14,0
1487779200,3329.2,3331.2,3325.7,3328.2,324,13,0
1487782800,3329.2,3346.3,3324.2,3338.2,822,15,0
1487786400,3339.2,3342.2,3334.2,3338.2,195,23,0
1487790000,3338.3,3340.2,3338.2,3340.2,142,25,0
1487793600,3340.3,3343.2,3339.2,3343.2,99,25,0
1487797200,3342.2,3344.2,3337.2,3340.2,334,25,0
1487800800,3340.3,3344.2,3340.2,3342.2,166,24,0
1487840400,3341.4,3343.2,3339.2,3340.2,103,14,0
1487844000,3341.2,3348.2,3338.2,3339.2,551,15,0
1487847600,3338.2,3351.2,3338.2,3350.2,240,15,0
1487851200,3349.3,3350.2,3340.3,3342.2,167,20,0
1487854800,3343.2,3344.2,3340.2,3344.2,155,25,0
1487858400,3343.2,3346.2,3339.2,3341.2,243,25,0
1487862000,3342.2,3345.2,3341.2,3344.2,238,24,0
1487865600,3345.2,3350.2,3343.2,3345.2,343,13,0
1487869200,3346.2,3346.2,3334.2,3335.2,404,19,0
1487872800,3335.2,3337.2,3326.4,3333.2,324,13,0
1487876400,3334.2,3341.2,3334.2,3339.2,182,19,0
1487880000,3338.2,3340.2,3337.2,3339.2,158,25,0
1487883600,3340.2,3342.2,3339.2,3342.2,127,23,0
1487887200,3341.2,3342.2,3334.2,3336.2,421,23,0
1487926800,3327.4,3334.5,3327.2,3331.2,107,12,0
1487930400,3331.3,3333.2,3323.2,3327.2,588,13,0
1487934000,3326.2,3328.2,3318.2,3320.2,233,16,0
1487937600,3321.2,3321.2,3303.2,3310.2,555,13,0
1487941200,3309.3,3309.3,3289.4,3290.2,486,14,0
1487944800,3291.2,3299.2,3286.4,3287.2,505,14,0
1487948400,3288.2,3291.2,3282.4,3282.4,472,14,0
1487952000,3282.4,3306.2,3280.2,3306.2,444,14,0
1487955600,3305.2,3306.2,3296.2,3303.2,740,13,0
1487959200,3304.2,3309.2,3302.2,3305.2,243,14,0
1487962800,3306.2,3310.2,3305.2,3309.2,153,14,0
1487966400,3309.2,3310.2,3306.2,3309.2,219,25,0
1487970000,3310.2,3310.2,3307.2,3308.2,73,26,0
1487973600,3307.2,3318.2,3307.2,3317.2,98,14,0
1488186000,3314.8,3321.1,3312.1,3318.1,146,19,0
1488189600,3319.1,3324.1,3310.1,3311.1,955,15,0
1488193200,3311.1,3319.1,3307.1,3310.1,528,23,0
1488196800,3309.2,3312.1,3307.1,3308.1,277,25,0
1488200400,3307.2,3313.1,3306.1,3311.1,237,25,0
1488204000,3310.1,3311.1,3306.1,3309.1,190,21,0
1488207600,3308.2,3309.1,3304.4,3304.4,206,13,0
1488211200,3304.5,3315.1,3304.4,3315.1,435,13,0
1488214800,3314.1,3318.1,3308.1,3313.1,612,16,0
1488218400,3314.1,3316.1,3309.1,3309.1,168,25,0
1488222000,3310.1,3315.1,3309.1,3313.1,41,25,0
1488225600,3314.1,3319.1,3313.1,3319.1,68,15,0
1488229200,3318.1,3321.1,3317.1,3320.1,64,15,0
1488232800,3319.1,3323.1,3319.1,3321.1,92,15,0
1488272400,3319.1,3323.1,3317.1,3321.1,68,25,0
1488276000,3321.2,3323.1,3312.1,3314.1,531,22,0
1488279600,3314.1,3315.1,3306.1,3310.1,385,15,0
1488283200,3311.1,3312.1,3307.1,3308.1,234,25,0
1488286800,3309.1,3314.1,3308.2,3312.1,228,14,0
1488290400,3312.2,3312.2,3303.1,3308.1,201,13,0
1488294000,3307.2,3319.1,3306.1,3318.1,243,14,0
1488297600,3317.1,3319.1,3315.1,3317.1,371,15,0
1488301200,3317.1,3325.1,3314.1,3323.1,512,15,0
1488304800,3323.1,3326.1,3318.1,3323.1,170,16,0
1488308400,3322.1,3323.1,3314.1,3319.1,101,14,0
1488312000,3318.1,3321.1,3318.1,3320.1,65,13,0
1488315600,3321.1,3321.1,3316.1,3319.1,55,13,0
1488319200,3318.1,3321.1,3316.1,3319.1,76,18,0
1488358800,3322.8,3348.1,3322.8,3346.1,159,15,0
1488362400,3346.1,3364.8,3345.1,3362.1,708,13,0
1488366000,3361.1,3369.1,3360.2,3366.1,468,15,0
1488369600,3367.1,3378.1,3366.1,3375.1,271,15,0
1488373200,3375.1,3376.1,3369.1,3375.1,262,16,0
1488376800,3375.2,3380.1,3375.1,3379.1,331,24,0
1488380400,3378.1,3385.5,3377.1,3384.1,337,22,0
1488384000,3385.2,3388.1,3382.1,3387.1,444,20,0
1488387600,3387.2,3394.8,3386.1,3390.1,659,13,0
1488391200,3390.1,3393.1,3387.1,3390.1,191,15,0
1488394800,3391.1,3395.1,3390.1,3393.1,51,20,0
1488398400,3394.1,3394.1,3392.1,3394.1,37,25,0
1488402000,3393.1,3399.4,3393.1,3399.1,47,13,0
1488405600,3400.1,3400.1,3390.1,3390.1,111,23,0
1488445200,3391.1,3396.1,3384.1,3388.1,147,13,0
1488448800,3387.1,3392.1,3382.1,3385.1,602,15,0
1488452400,3384.2,3386.2,3379.2,3382.2,365,13,0
1488456000,3382.2,3389.1,3380.2,3388.1,264,22,0
1488459600,3388.1,3388.1,3383.1,3388.1,146,15,0
1488463200,3389.1,3391.1,3387.4,3388.1,224,13,0
1488466800,3387.5,3389.1,3387.4,3389.1,141,22,0
1488470400,3388.2,3391.1,3384.2,3390.7,343,13,0
1488474000,3391.2,3391.2,3387.1,3387.7,259,20,0
1488477600,3387.2,3388.2,3383.2,3388.2,115,14,0
1488481200,3387.2,3388.2,3384.2,3388.1,64,14,0
1488484800,3387.1,3388.1,3386.1,3387.1,41,15,0
1488488400,3387.1,3391.1,3387.1,3390.1,72,16,0
1488492000,3389.1,3390.1,3383.1,3386.1,206,17,0
1488531600,3376.1,3379.1,3372.1,3377.1,84,16,0
1488535200,3378.1,3383.1,3372.1,3378.1,552,13,0
1488538800,3378.2,3382.1,3374.5,3375.1,193,13,0
1488542400,3374.5,3396.1,3374.5,3396.1,328,15,0
1488546000,3395.1,3407.1,3392.8,3402.1,288,16,0
1488549600,3401.2,3409.1,3398.5,3399.1,217,16,0
1488553200,3400.1,3404.1,3396.1,3401.1,365,15,0
1488556800,3401.1,3405.1,3396.1,3396.1,448,24,0
1488560400,3396.2,3403.1,3394.2,3402.1,601,23,0
1488564000,3401.1,3408.1,3400.1,3406.1,133,25,0
1488567600,3407.1,3415.1,3406.1,3412.1,79,14,0
1488571200,3412.2,3416.1,3409.1,3412.1,197,16,0
1488574800,3411.1,3413.1,3408.1,3410.1,132,25,0
1488578400,3409.1,3412.1,3404.1,3404.1,108,24,0
1488790800,3400.0,3400.0,3390.1,3391.1,150,12,0
1488794400,3390.1,3393.1,3382.1,3389.1,616,14,0
1488798000,3388.1,3397.1,3386.1,3396.1,443,15,0
1488801600,3396.1,3398.1,3387.1,3390.1,414,13,0
1488805200,3389.1,3394.1,3389.1,3393.1,186,25,0
1488808800,3392.1,3393.1,3389.4,3392.1,174,23,0
1488812400,3393.1,3393.1,3390.1,3391.1,220,25,0
1488816000,3392.1,3392.1,3386.1,3389.1,514,13,0
1488819600,3389.1,3390.1,3380.1,3383.1,812,15,0
1488823200,3383.1,3391.1,3381.1,3387.1,211,19,0
1488826800,3386.1,3390.1,3386.1,3389.1,83,16,0
1488830400,3390.1,3400.2,3390.1,3396.2,108,14,0
1488834000,3397.2,3397.2,3394.2,3395.2,34,24,0
1488837600,3396.2,3400.2,3395.2,3399.2,191,24,0
1488877200,3399.5,3399.5,3390.2,3392.2,107,13,0
1488880800,3392.2,3393.2,3382.4,3390.2,555,13,0
1488884400,3391.2,3392.2,3385.1,3386.1,242,12,0
1488888000,3385.1,3392.1,3384.1,3384.1,216,15,0
1488891600,3383.1,3387.1,3382.4,3383.1,151,16,0
1488895200,3382.4,3387.1,3382.4,3385.1,231,13,0
1488898800,3385.1,3386.1,3383.4,3385.1,100,25,0
1488902400,3384.1,3385.1,3376.4,3379.2,246,13,0
1488906000,3380.2,3386.2,3378.2,3379.2,244,15,0
1488909600,3380.1,3388.2,3380.1,3388.2,137,15,0
1488913200,3387.3,3391.2,3387.2,3390.2,49,15,0
1488916800,3391.2,3392.2,3389.2,3389.2,109,18,0
1488920400,3388.2,3391.2,3388.2,3391.2,134,23,0
1488924000,3390.2,3391.2,3385.2,3387.2,179,25,0
1488963600,3378.1,3385.1,3378.1,3382.1,144,12,0
1488967200,3382.1,3391.1,3378.3,3384.1,730,15,0
1488970800,3383.1,3398.2,3383.1,3394.2,455,20,0
1488974400,3393.2,3397.1,3388.1,3391.1,253,13,0
1488978000,3390.1,3391.1,3377.4,3379.1,405,13,0
1488981600,3379.1,3392.2,3378.1,3389.2,276,14,0
1488985200,3388.2,3399.2,3387.2,3395.1,423,14,0
1488988800,3395.1,3403.1,3394.1,3397.1,499,13,0
1488992400,3398.1,3399.1,3391.1,3394.2,511,13,0
1488996000,3395.1,3396.2,3388.1,3389.1,308,14,0
1488999600,3389.1,3392.1,3389.1,3392.1,61,16,0
1489003200,3391.1,3395.1,3391.1,3392.1,80,14,0
1489006800,3393.1,3393.1,3385.2,3389.1,229,19,0
1489010400,3390.1,3390.1,3382.1,3383.1,195,15,0
1489050000,3381.7,3389.5,3381.5,3384.5,123,16,0
1489053600,3383.5,3395.6,3381.6,3393.6,788,15,0
1489057200,3393.6,3395.6,3388.8,3391.5,414,20,0
1489060800,3392.5,3392.5,3386.5,3389.5,453,13,0
1489064400,3389.5,3392.6,3386.5,3390.6,208,23,0
1489068000,3391.6,3391.6,3383.5,3384.5,305,16,0
1489071600,3385.5,3400.5,3385.5,3400.5,765,15,0
1489075200,3400.5,3409.5,3393.5,3408.5,1060,13,0
1489078800,3409.5,3418.5,3404.6,3408.6,636,16,0
1489082400,3408.5,3414.5,3407.6,3413.5,213,15,0
1489086000,3414.4,3414.5,3408.5,3411.5,41,17,0
1489089600,3412.5,3412.6,3407.5,3408.5,113,15,0
1489093200,3407.5,3408.5,3401.5,3405.6,229,15,0
1489096800,3406.5,3416.5,3405.6,3416.5,255,16,0
1489136400,3418.7,3427.5,3418.7,3423.5,144,13,0
1489140000,3422.5,3435.6,3418.6,3432.6,825,13,0
1489143600,3432.5,3436.6,3430.6,3434.6,414,15,0
1489147200,3433.6,3440.6,3433.6,3440.6,278,14,0
1489150800,3440.6,3443.5,3437.8,3437.8,312,13,0
1489154400,3437.8,3437.8,3431.6,3434.6,311,13,0
1489158000,3434.6,3437.6,3429.6,3435.6,825,13,0
1489161600,3435.6,3435.6,3419.5,3428.5,1166,16,0
1489165200,3428.5,3429.5,3416.5,3419.5,1321,15,0
1489168800,3420.5,3422.5,3415.5,3418.5,589,25,0
1489172400,3419.5,3420.5,3409.5,3411.5,231,25,0
1489176000,3411.5,3413.5,3407.5,3411.5,294,16,0
1489179600,3412.5,3416.5,3411.5,3415.5,281,25,0
1489183200,3416.5,3418.6,3414.5,3417.6,191,24,0
1489395600,3415.5,3422.5,3415.5,3420.5,173,20,0
1489399200,3420.5,3421.5,3409.5,3418.6,1154,13,0
1489402800,3418.5,3419.6,3410.8,3416.6,560,13,0
1489406400,3415.6,3418.5,3412.6,3414.6,426,16,0
1489410000,3415.6,3417.6,3410.8,3412.6,572,21,0
1489413600,3412.6,3418.6,3411.6,3418.6,389,18,0
1489417200,3417.6,3421.8,3416.6,3416.8,627,22,0
1489420800,3416.8,3423.8,3415.7,3416.8,745,13,0
1489424400,3416.7,3417.8,3413.7,3414.8,295,15,0
1489428000,3414.8,3419.8,3414.8,3415.8,271,18,0
1489431600,3415.8,3417.8,3414.8,3416.8,84,24,0
1489435200,3416.7,3418.8,3415.7,3417.8,129,24,0
1489438800,3417.8,3426.8,3417.8,3425.8,213,18,0
1489442400,3425.7,3425.7,3423.6,3423.6,72,24,0
1489482000,3422.7,3426.6,3420.6,3421.6,93,17,0
1489485600,3420.6,3421.6,3402.6,3402.6,917,14,0
1489489200,3402.4,3409.6,3401.6,3408.6,421,16,0
1489492800,3408.6,3410.6,3403.6,3410.6,324,13,0
1489496400,3411.6,3411.6,3405.6,3405.6,369,15,0
1489500000,3404.6,3405.6,3394.5,3404.6,728,14,0
1489503600,3405.5,3407.6,3396.6,3399.6,1090,14,0
1489507200,3398.6,3400.6,3389.6,3399.6,1214,15,0
1489510800,3399.6,3401.8,3394.6,3399.6,1018,13,0
1489514400,3398.9,3401.6,3395.6,3399.6,345,17,0
1489518000,3398.6,3400.6,3397.6,3400.6,83,24,0
1489521600,3400.6,3402.6,3399.6,3401.6,152,21,0
1489525200,3401.6,3404.6,3401.6,3404.6,195,20,0
1489528800,3403.6,3404.6,3401.6,3401.6,56,16,0
1489568400,3404.2,3405.6,3402.5,3403.6,37,24,0
1489572000,3404.6,3413.5,3400.4,3411.5,841,14,0
1489575600,3411.6,3413.5,3403.5,3403.5,437,16,0
1489579200,3403.6,3406.6,3399.5,3404.5,318,14,0
1489582800,3403.6,3409.5,3403.5,3406.6,303,17,0
1489586400,3406.6,3408.5,3404.6,3406.6,191,25,0
1489590000,3406.6,3410.5,3404.5,3408.6,349,16,0
1489593600,3408.6,3412.5,3407.6,3411.6,586,16,0
1489597200,3410.5,3413.5,3406.5,3407.5,235,14,0
1489600800,3407.6,3411.6,3407.5,3410.5,116,16,0
1489604400,3410.6,3411.5,3410.5,3410.5,67,15,0
1489608000,3410.5,3420.5,3409.5,3416.5,825,14,0
1489611600,3415.5,3423.5,3411.6,3419.5,399,12,0
1489615200,3419.5,3429.5,3417.5,3427.5,183,14,0
1489654800,3435.4,3452.5,3429.5,3448.5,424,13,0
1489658400,3448.5,3449.5,3437.5,3442.5,1058,14,0
1489662000,3442.5,3452.5,3442.5,3448.5,500,17,0
1489665600,3448.5,3451.5,3445.5,3451.5,235,15,0
1489669200,3450.5,3451.5,3441.2,3441.5,309,15,0
1489672800,3441.5,3445.5,3432.5,3439.5,698,13,0
1489676400,3439.5,3446.5,3434.5,3443.3,685,12,0
1489680000,3443.5,3445.5,3437.2,3442.2,286,12,0
1489683600,3443.2,3443.2,3434.2,3442.2,203,12,0
1489687200,3441.2,3447.2,3436.2,3444.2,77,12,0
1489690800,3445.2,3447.8,3444.1,3445.8,57,12,0
1489694400,3446.8,3446.8,3441.8,3441.8,43,25,0
1489698000,3440.8,3447.8,3439.8,3444.8,91,25,0
1489701600,3443.8,3449.8,3443.8,3445.8,31,19,0
1489741200,3442.4,3442.8,3435.8,3437.8,189,19,0
1489744800,3437.9,3444.9,3433.8,3442.9,986,19,0
1489748400,3442.9,3452.9,3442.8,3452.9,533,13,0
1489752000,3452.9,3463.9,3450.8,3460.8,545,13,0
1489755600,3460.9,3462.9,3452.8,3454.9,681,18,0
1489759200,3455.8,3457.9,3451.8,3457.9,564,23,0
1489762800,3456.9,3459.9,3451.9,3454.8,682,14,0
1489766400,3454.9,3454.9,3444.9,3448.9,691,22,0
1489770000,3447.9,3448.9,3443.8,3447.9,277,16,0
1489773600,3448.8,3454.9,3446.9,3453.9,193,21,0
1489777200,3454.8,3457.9,3452.9,3454.9,149,23,0
1489780800,3454.9,3457.8,3454.8,3455.9,217,24,0
1489784400,3455.9,3456.9,3448.8,3448.9,222,16,0
1489788000,3447.9,3452.8,3447.9,3452.1,94,24,0
1490000400,3439.0,3447.5,3439.0,3440.6,112,19,0
1490004000,3440.5,3448.6,3439.7,3444.6,509,13,0
1490007600,3444.5,3445.6,3439.6,3439.6,217,16,0
1490011200,3440.5,3444.6,3436.6,3444.6,208,20,0
1490014800,3443.5,3447.6,3443.5,3446.6,199,20,0
1490018400,3445.6,3447.6,3441.6,3442.6,204,20,0
1490022000,3443.5,3450.6,3443.5,3448.6,525,25,0
1490025600,3448.5,3455.3,3448.5,3454.6,395,15,0
1490029200,3453.6,3454.6,3448.5,3451.6,334,23,0
1490032800,3450.6,3451.6,3442.4,3445.6,156,15,0
1490036400,3445.5,3445.6,3439.5,3440.6,66,16,0
1490040000,3439.6,3442.6,3439.5,3442.6,111,24,0
1490043600,3442.5,3443.6,3438.6,3441.5,177,14,0
1490047200,3441.6,3442.6,3438.6,3438.6,78,14,0
1490086800,3444.0,3461.0,3444.0,3457.0,165,14,0
1490090400,3458.0,3461.0,3455.0,3457.0,390,15,0
