time,open,high,low,close,tick_volume,spread,real_volume
1764118800,1.581,1.602,1.580,1.602,66,140,0
1764122400,1.601,1.613,1.589,1.590,320,139,0
1764126000,1.590,1.603,1.579,1.591,272,140,0
1764129600,1.591,1.594,1.576,1.581,189,139,0
1764133200,1.580,1.585,1.566,1.569,209,139,0
1764136800,1.569,1.570,1.558,1.564,191,139,0
1764140400,1.564,1.579,1.563,1.571,162,139,0
1764144000,1.571,1.577,1.561,1.572,182,140,0
1764147600,1.572,1.583,1.570,1.580,148,139,0
1764151200,1.580,1.581,1.551,1.551,195,139,0
1764154800,1.551,1.555,1.539,1.542,224,139,0
1764158400,1.542,1.551,1.539,1.544,183,139,0
1764162000,1.543,1.547,1.535,1.543,170,139,0
1764165600,1.542,1.548,1.530,1.544,290,139,0
1764169200,1.544,1.567,1.543,1.567,243,139,0
1764172800,1.566,1.603,1.559,1.579,407,139,0
1764176400,1.578,1.589,1.551,1.566,430,139,0
1764180000,1.565,1.596,1.565,1.588,293,140,0
1764183600,1.590,1.627,1.581,1.620,526,139,0
1764187200,1.621,1.632,1.614,1.621,399,140,0
1764190800,1.622,1.622,1.612,1.616,209,139,0
1764194400,1.615,1.625,1.606,1.610,211,139,0
1764198000,1.611,1.619,1.603,1.612,170,140,0
1764201600,1.613,1.616,1.598,1.603,146,139,0
1764205200,1.603,1.610,1.599,1.603,144,139,0
1764208800,1.603,1.611,1.591,1.602,221,139,0
1764212400,1.601,1.617,1.599,1.612,184,139,0
1764216000,1.612,1.632,1.610,1.619,233,139,0
1764219600,1.619,1.620,1.598,1.599,167,139,0
1764223200,1.599,1.614,1.597,1.610,160,139,0
1764226800,1.610,1.611,1.589,1.596,188,139,0
1764230400,1.596,1.604,1.575,1.600,128,139,0
1764234000,1.600,1.600,1.578,1.581,170,139,0
1764237600,1.581,1.583,1.570,1.572,189,139,0
1764241200,1.572,1.592,1.569,1.583,202,139,0
1764244800,1.582,1.589,1.577,1.583,161,139,0
1764248400,1.583,1.590,1.575,1.580,134,139,0
1764252000,1.580,1.581,1.563,1.566,181,139,0
1764255600,1.566,1.577,1.563,1.575,189,139,0
1764259200,1.575,1.590,1.571,1.587,201,139,0
1764262800,1.586,1.600,1.583,1.598,185,139,0
1764266400,1.598,1.605,1.589,1.596,234,139,0
1764270000,1.596,1.600,1.588,1.592,162,139,0
1764273600,1.591,1.597,1.588,1.588,154,139,0
1764277200,1.588,1.588,1.579,1.582,147,139,0
1764280800,1.582,1.587,1.581,1.586,122,139,0
1764284400,1.586,1.591,1.561,1.579,119,139,0
1764288000,1.580,1.582,1.551,1.559,147,139,0
1764291600,1.559,1.565,1.543,1.549,163,139,0
1764295200,1.549,1.555,1.545,1.552,162,139,0
1764298800,1.552,1.555,1.531,1.531,202,139,0
1764302400,1.531,1.537,1.513,1.533,293,140,0
1764306000,1.532,1.546,1.532,1.542,151,139,0
1764309600,1.542,1.550,1.539,1.540,142,139,0
1764313200,1.539,1.547,1.537,1.543,140,140,0
1764316800,1.543,1.546,1.530,1.539,136,139,0
1764320400,1.539,1.545,1.533,1.539,136,139,0
1764324000,1.539,1.575,1.538,1.571,293,139,0
1764327600,1.571,1.571,1.553,1.555,189,139,0
1764331200,1.555,1.562,1.550,1.561,156,139,0
1764334800,1.561,1.561,1.541,1.550,214,139,0
1764338400,1.550,1.559,1.550,1.555,139,139,0
1764342000,1.555,1.571,1.547,1.565,267,139,0
1764345600,1.564,1.575,1.555,1.563,349,139,0
1764349200,1.564,1.584,1.561,1.579,361,139,0
1764352800,1.580,1.606,1.563,1.593,467,139,0
1764356400,1.595,1.595,1.529,1.533,458,139,0
1764360000,1.535,1.554,1.521,1.547,342,139,0
1764363600,1.547,1.569,1.541,1.562,220,139,0
1764367200,1.562,1.563,1.551,1.563,166,139,0
1764370800,1.563,1.569,1.551,1.551,168,139,0
1764439200,1.536,1.536,1.534,1.534,9,140,0
1764468000,1.529,1.535,1.525,1.531,117,139,0
1764471600,1.531,1.546,1.531,1.542,139,139,0
1764475200,1.542,1.559,1.538,1.539,135,139,0
1764478800,1.540,1.542,1.527,1.542,150,139,0
1764482400,1.542,1.550,1.539,1.542,165,139,0
1764486000,1.542,1.550,1.537,1.543,164,139,0
1764489600,1.542,1.560,1.541,1.548,171,139,0
