time,open,high,low,close,tick_volume,spread,real_volume
1764118800,2.03516,2.03520,2.03336,2.03350,618,24,0
1764122400,2.03348,2.03510,2.02837,2.03237,7505,24,0
1764126000,2.03235,2.03304,2.02901,2.03037,14451,24,0
1764129600,2.03047,2.03181,2.02993,2.03100,8299,24,0
1764133200,2.03104,2.03123,2.02816,2.02965,5723,24,0
1764136800,2.02969,2.02972,2.02760,2.02803,3391,24,0
1764140400,2.02804,2.02823,2.02660,2.02754,3907,24,0
1764144000,2.02753,2.02835,2.02615,2.02773,4996,24,0
1764147600,2.02779,2.02824,2.02500,2.02706,8870,24,0
1764151200,2.02726,2.03063,2.02624,2.02761,10563,24,0
1764154800,2.02760,2.02854,2.02568,2.02691,8882,24,0
1764158400,2.02691,2.02780,2.02565,2.02752,7400,24,0
1764162000,2.02752,2.03348,2.02566,2.02922,16262,24,0
1764165600,2.02901,2.03143,2.02291,2.03055,23244,24,0
1764169200,2.03057,2.03547,2.02846,2.03244,19523,24,0
1764172800,2.03242,2.03344,2.02941,2.03187,14151,24,0
1764176400,2.03207,2.03489,2.03007,2.03177,16883,24,0
1764180000,2.03180,2.03221,2.02945,2.02986,9629,24,0
1764183600,2.02982,2.03061,2.02948,2.03005,5847,24,0
1764187200,2.03006,2.03117,2.02911,2.02989,6019,24,0
1764190800,2.02990,2.03093,2.02919,2.03009,4176,24,0
1764194400,2.03004,2.03091,2.02994,2.03057,3650,24,0
1764198000,2.03059,2.03175,2.03032,2.03108,2111,24,0
1764201600,2.03123,2.03123,2.03038,2.03094,1262,34,0
1764205200,2.03107,2.03138,2.02890,2.03023,2743,24,0
1764208800,2.03017,2.03055,2.02953,2.02992,4211,24,0
1764212400,2.02991,2.03092,2.02915,2.02962,7015,24,0
1764216000,2.02961,2.02998,2.02841,2.02952,5959,24,0
1764219600,2.02953,2.03006,2.02888,2.02925,4314,24,0
1764223200,2.02925,2.03013,2.02822,2.02837,3983,24,0
1764226800,2.02841,2.02994,2.02791,2.02933,4631,24,0
1764230400,2.02933,2.03142,2.02843,2.02891,5856,24,0
1764234000,2.02891,2.02973,2.02647,2.02654,6430,24,0
1764237600,2.02653,2.02750,2.02568,2.02642,7605,24,0
1764241200,2.02648,2.02690,2.02390,2.02533,6414,24,0
1764244800,2.02531,2.02758,2.02482,2.02694,5468,24,0
1764248400,2.02692,2.02793,2.02602,2.02668,5784,24,0
1764252000,2.02666,2.02789,2.02572,2.02770,5489,24,0
1764255600,2.02770,2.02971,2.02734,2.02898,6519,24,0
1764259200,2.02895,2.02900,2.02724,2.02740,5567,24,0
1764262800,2.02736,2.02828,2.02593,2.02805,5768,24,0
1764266400,2.02805,2.02922,2.02709,2.02751,4060,24,0
1764270000,2.02753,2.02787,2.02620,2.02659,1593,24,0
1764273600,2.02660,2.02715,2.02630,2.02676,1095,24,0
1764277200,2.02672,2.02704,2.02656,2.02694,1034,24,0
1764280800,2.02697,2.02699,2.02653,2.02675,1726,24,0
1764284400,2.02673,2.02680,2.02593,2.02601,800,24,0
1764288000,2.02586,2.02611,2.02509,2.02524,536,32,0
1764291600,2.02518,2.02688,2.02499,2.02568,2816,24,0
1764295200,2.02567,2.02613,2.02484,2.02492,8195,24,0
1764298800,2.02490,2.02556,2.02375,2.02487,7174,24,0
1764302400,2.02487,2.02632,2.02364,2.02483,15423,24,0
1764306000,2.02488,2.02652,2.02332,2.02603,22008,24,0
1764309600,2.02607,2.02719,2.02512,2.02655,17811,24,0
1764313200,2.02661,2.02775,2.02591,2.02655,16085,24,0
1764316800,2.02661,2.02681,2.02476,2.02493,15799,24,0
1764320400,2.02486,2.02600,2.02403,2.02575,24862,24,0
1764324000,2.02573,2.02596,2.02422,2.02457,25181,24,0
1764327600,2.02459,2.02697,2.02305,2.02423,27919,24,0
1764331200,2.02421,2.02604,2.02339,2.02465,25809,24,0
1764334800,2.02468,2.02576,2.02343,2.02358,31793,29,0
1764338400,2.02357,2.02592,2.02292,2.02537,26908,29,0
1764342000,2.02534,2.02561,2.02241,2.02354,27118,29,0
1764345600,2.02342,2.02434,2.02220,2.02385,13005,29,0
1764349200,2.02384,2.02398,2.01702,2.02052,16356,29,0
1764352800,2.02049,2.02288,2.01949,2.02049,12311,29,0
1764356400,2.02051,2.02206,2.01982,2.02032,5702,29,0
1764360000,2.02029,2.02137,2.01994,2.02096,4809,29,0
1764363600,2.02094,2.02217,2.02082,2.02201,5425,29,0
1764367200,2.02202,2.02253,2.02116,2.02150,9737,29,0
1764370800,2.02153,2.02242,2.01896,2.02023,12857,29,0
1764547200,2.02155,2.02234,2.02036,2.02234,1681,55,0
1764550800,2.02231,2.02236,2.02026,2.02069,6469,29,0
1764554400,2.02068,2.02436,2.02058,2.02321,9552,29,0
1764558000,2.02321,2.02371,2.01945,2.02017,13957,29,0
1764561600,2.02019,2.02222,2.01978,2.02155,9223,29,0
1764565200,2.02157,2.02213,2.02057,2.02063,6874,29,0
1764568800,2.02065,2.02174,2.02016,2.02110,5953,29,0
1764572400,2.02109,2.02326,2.02065,2.02098,6969,29,0
1764576000,2.02098,2.02147,2.01927,2.01962,6626,29,0
1764579600,2.01971,2.02087,2.01786,2.01807,9848,29,0
1764583200,2.01806,2.01909,2.01684,2.01709,14094,29,0
1764586800,2.01708,2.02037,2.01703,2.02026,11552,29,0
1764590400,2.02022,2.02071,2.01843,2.01960,10080,29,0
1764594000,2.01959,2.02038,2.01837,2.01902,9283,24,0
1764597600,2.01902,2.02255,2.01885,2.02129,10688,24,0
1764601200,2.02128,2.02247,2.02061,2.02207,12548,24,0
1764604800,2.02205,2.02208,2.01903,2.02038,14844,24,0
1764608400,2.02036,2.02239,2.01860,2.02193,17457,24,0
1764612000,2.02180,2.02194,2.01795,2.01833,12357,24,0
1764615600,2.01836,2.01901,2.01758,2.01810,8183,24,0
1764619200,2.01810,2.01867,2.01770,2.01802,6771,24,0
1764622800,2.01801,2.01977,2.01788,2.01929,7244,24,0
1764626400,2.01927,2.01979,2.01897,2.01930,5161,24,0
