time,open,high,low,close,tick_volume,spread,real_volume
1764172800,321.58,324.37,319.27,320.57,1277,17,0
1764176400,320.71,320.71,316.70,317.82,2316,17,0
1764180000,317.82,320.11,317.79,319.29,1877,17,0
1764183600,319.31,319.52,318.03,318.28,1815,17,0
1764187200,318.29,319.45,318.23,318.73,1747,17,0
1764190800,318.75,319.23,318.29,318.96,1614,17,0
1764194400,319.01,320.31,318.43,319.93,1540,17,0
1764345600,322.63,326.69,318.58,318.58,1247,17,0
1764349200,318.70,319.33,317.33,318.72,2262,17,0
1764352800,318.86,318.97,316.74,318.14,1948,17,0
1764356400,318.15,320.09,317.74,320.09,2079,17,0
1764604800,317.42,319.59,314.38,316.94,1752,17,0
1764608400,316.85,318.38,316.13,318.23,2636,17,0
1764612000,318.22,318.32,315.34,317.33,2010,17,0
1764615600,317.34,318.32,317.17,317.56,1686,17,0
1764619200,317.55,317.84,317.06,317.68,1429,17,0
1764622800,317.67,317.69,315.25,315.92,1782,17,0
1764626400,315.92,316.54,314.78,314.80,1599,17,0
1764691200,316.71,318.24,314.37,316.24,1206,17,0
1764694800,316.19,318.29,315.23,317.53,2202,17,0
1764698400,317.54,317.60,313.91,314.58,2247,17,0
1764702000,314.59,315.78,314.17,314.19,1748,17,0
1764705600,314.17,316.53,314.05,316.51,1869,17,0
1764709200,316.53,316.89,315.67,316.23,1670,17,0
1764712800,316.24,316.46,314.93,315.02,1635,17,0
1764777600,315.82,318.80,314.05,315.80,1221,17,0
1764781200,315.72,319.86,315.65,319.07,2306,17,0
1764784800,319.11,320.15,318.01,320.07,2049,17,0
1764788400,320.11,320.72,319.60,320.35,1824,17,0
1764792000,320.34,321.49,319.82,321.11,1543,17,0
1764795600,321.07,321.46,319.80,320.89,1426,17,0
1764799200,320.87,321.29,319.93,320.06,1402,17,0
1764864000,320.88,321.09,314.65,315.97,1414,17,0
1764867600,315.94,317.30,315.12,316.16,2356,17,0
1764871200,316.16,316.85,315.01,316.60,1907,17,0
1764874800,316.57,317.59,315.67,317.58,1661,17,0
1764878400,317.59,317.82,316.55,316.95,1594,17,0
1764882000,316.93,317.37,315.88,316.91,1837,17,0
1764885600,316.92,317.29,316.56,316.70,1606,17,0
1764950400,319.79,323.02,319.66,321.96,1205,17,0
1764954000,322.06,322.19,319.60,319.62,2149,17,0
1764957600,319.58,322.17,319.11,321.67,2126,17,0
1764961200,321.69,321.82,320.03,320.61,1794,17,0
1764964800,320.61,320.86,319.98,320.10,1526,17,0
1764968400,320.11,320.81,319.99,320.46,1464,17,0
1764972000,320.46,320.87,319.94,320.53,1431,17,0
1765209600,319.98,320.18,316.74,317.86,1213,17,0
1765213200,317.84,319.51,315.10,315.85,2179,17,0
1765216800,315.86,316.13,314.41,314.55,1898,17,0
1765220400,314.54,314.75,311.19,312.33,1990,17,0
1765224000,312.32,313.55,311.35,313.12,1644,17,0
1765227600,313.06,313.34,312.33,312.62,1454,17,0
1765231200,312.68,312.84,311.95,312.11,1418,17,0
1765296000,312.65,313.85,311.87,312.39,1147,17,0
1765299600,312.45,314.30,312.20,314.14,1998,17,0
1765303200,314.16,314.91,313.71,314.73,1677,17,0
1765306800,314.71,317.45,314.61,317.44,1647,17,0
1765310400,317.47,317.90,317.00,317.48,1539,17,0
1765314000,317.46,317.68,316.78,317.32,1378,17,0
1765317600,317.32,317.73,316.38,316.48,1417,17,0
1765382400,316.24,318.08,314.72,317.29,1231,17,0
1765386000,317.16,318.86,316.61,317.13,2122,17,0
1765389600,317.14,318.19,316.65,317.40,1858,17,0
1765393200,317.42,317.47,316.26,317.13,1635,17,0
1765396800,317.12,317.21,315.56,316.04,1624,17,0
1765400400,316.06,319.99,315.94,319.69,2286,17,0
1765404000,319.73,321.20,319.44,320.26,1928,17,0
1765468800,320.32,320.90,313.53,313.81,1265,17,0
1765472400,313.87,316.79,313.53,315.69,2330,17,0
1765476000,315.64,315.98,313.48,313.94,2086,17,0
1765479600,313.94,315.36,313.60,314.38,1830,17,0
1765483200,314.37,315.24,308.69,311.62,2005,17,0
1765486800,311.58,313.20,311.53,312.55,1670,17,0
1765490400,312.55,312.84,311.50,312.07,1628,17,0
1765555200,313.69,314.71,311.01,312.09,1206,17,0
1765558800,312.11,312.19,306.93,307.22,2310,17,0
1765562400,307.19,307.74,305.49,307.74,2313,17,0
1765566000,307.68,309.97,307.62,309.63,1962,17,0
1765569600,309.67,310.45,309.17,309.19,1876,17,0
1765573200,309.20,309.95,308.94,309.63,1806,17,0
1765576800,309.62,309.88,308.11,308.63,1726,17,0
1765814400,311.24,311.24,307.11,307.41,1236,17,0
1765818000,307.54,308.72,306.22,307.80,2312,17,0
1765821600,307.80,308.22,306.25,306.55,2128,17,0
1765825200,306.55,306.68,304.82,305.95,2013,17,0
1765828800,305.96,307.92,305.72,307.70,1777,17,0
1765832400,307.70,308.32,307.14,307.89,1773,17,0
1765836000,307.90,308.45,307.33,308.08,1604,17,0
1765900800,304.32,309.84,303.15,309.74,1223,17,0
1765904400,309.89,310.67,306.40,307.17,2323,17,0
1765908000,307.21,307.54,304.47,305.60,2105,17,0
1765911600,305.63,305.92,303.13,303.13,1911,17,0
1765915200,303.10,304.99,302.58,304.77,1885,17,0
1765918800,304.76,305.16,304.01,305.07,1881,17,0
1765922400,305.05,306.82,304.93,306.77,1655,17,0
1765987200,306.56,306.82,298.95,300.88,1263,17,0
1765990800,300.76,301.28,296.48,297.54,2407,17,0
1765994400,297.54,299.82,297.26,299.28,2300,17,0
1765998000,299.27,300.32,298.12,299.00,2129,17,0
1766001600,299.00,299.56,297.93,298.21,1998,17,0
1766005200,298.19,298.32,296.54,296.68,1930,17,0
1766008800,296.63,297.67,296.26,296.69,1749,17,0
1766073600,301.54,302.30,299.17,300.30,1230,17,0
1766077200,300.38,302.57,299.53,302.24,2202,17,0
1766080800,302.18,303.20,301.89,302.86,1958,17,0
1766084400,302.85,303.51,301.08,302.83,2076,17,0
1766088000,302.82,303.87,302.54,302.82,1787,17,0
1766091600,302.77,302.92,301.58,301.63,1850,17,0
1766095200,301.62,303.04,301.45,302.91,1736,17,0
1766160000,302.51,304.22,300.94,302.88,1147,17,0
1766163600,302.89,306.06,302.89,304.78,2177,17,0
1766167200,304.75,305.90,304.53,304.80,1844,17,0
1766170800,304.81,305.66,304.68,304.77,1540,17,0
1766174400,304.70,304.86,303.83,304.41,1407,17,0
1766178000,304.44,304.63,303.81,304.26,1270,17,0
1766181600,304.24,305.71,303.62,305.63,1457,17,0
