time,open,high,low,close,tick_volume,spread,real_volume
946864800,68.62,69.19,63.81,65.19,734,0,0
946951200,64.00,64.31,61.25,61.75,388,0,0
947037600,61.75,63.00,61.00,63.00,276,0,0
947124000,61.63,62.00,60.00,60.00,238,0,0
947210400,61.75,63.50,60.75,63.50,376,0,0
947469600,62.00,63.56,62.00,63.19,194,0,0
947556000,63.44,63.63,61.25,61.56,289,0,0
947642400,61.56,62.06,60.69,61.06,225,0,0
947728800,62.13,62.50,61.50,62.13,201,0,0
947815200,62.38,62.44,61.19,61.94,207,0,0
948160800,61.25,61.25,60.13,60.50,150,0,0
948247200,60.13,62.44,60.13,61.88,288,0,0
948333600,61.56,61.75,59.88,60.81,300,0,0
948420000,61.50,61.50,59.44,60.00,263,0,0
948679200,60.94,60.94,56.69,58.00,557,0,0
948765600,57.00,57.13,54.88,56.13,364,0,0
948852000,55.94,57.69,55.06,57.38,383,0,0
948938400,57.88,59.50,56.19,58.25,626,0,0
949024800,57.00,57.44,55.50,55.63,252,0,0
949284000,56.50,56.81,55.06,56.63,338,0,0
949370400,56.94,62.00,56.81,62.00,533,0,0
949456800,61.00,61.50,59.63,60.75,350,0,0
949543200,60.50,60.63,59.00,60.50,327,0,0
949629600,61.00,61.50,60.31,61.13,226,0,0
949888800,61.00,61.00,59.00,59.00,201,0,0
949975200,59.75,61.44,59.56,61.00,252,0,0
950061600,61.31,61.31,58.75,58.75,257,0,0
950148000,59.00,59.94,58.38,59.56,257,0,0
950234400,59.50,60.50,59.19,60.06,207,0,0
950493600,59.50,60.50,59.44,60.31,132,0,0
950580000,60.06,60.19,59.06,59.75,196,0,0
950666400,58.75,59.38,55.75,57.25,577,0,0
950752800,57.25,57.44,53.56,54.50,502,0,0
950839200,54.56,55.81,52.81,53.75,520,0,0
951184800,54.13,55.56,53.13,53.63,437,0,0
951271200,54.19,55.00,52.88,54.81,363,0,0
951357600,54.94,55.19,52.63,53.06,325,0,0
951444000,53.50,54.25,52.75,53.00,251,0,0
951703200,53.75,56.88,52.94,56.81,483,0,0
951789600,57.44,58.44,56.81,57.50,321,0,0
951876000,57.81,58.31,54.31,55.63,583,0,0
951962400,55.56,56.25,54.19,55.13,370,0,0
952048800,55.50,55.81,54.38,54.50,187,0,0
952308000,54.38,54.69,53.13,53.88,263,0,0
952394400,55.00,55.00,51.00,52.38,539,0,0
952480800,52.31,53.75,51.69,52.50,394,0,0
952567200,53.31,55.50,51.75,55.31,551,0,0
952653600,55.63,55.81,53.38,53.50,274,0,0
952912800,52.63,53.19,51.81,53.00,240,0,0
