time,open,high,low,close,tick_volume,spread,real_volume
946864800,76.25,76.25,75.44,75.69,107,0,0
946951200,75.25,75.31,74.12,74.19,133,0,0
947037600,73.50,74.38,72.19,72.69,358,0,0
947124000,70.12,70.69,68.94,68.94,233,0,0
947210400,71.88,72.06,70.94,71.50,187,0,0
947469600,72.62,73.50,72.00,73.50,213,0,0
947556000,73.00,73.06,72.00,72.25,138,0,0
947642400,74.88,75.12,73.00,73.44,281,0,0
947728800,75.38,76.25,74.75,76.00,239,0,0
947815200,74.50,75.25,74.50,75.19,82,0,0
948160800,73.88,74.00,72.38,73.62,299,0,0
948247200,70.31,70.88,70.12,70.75,109,0,0
948333600,70.50,71.00,69.94,70.25,188,0,0
948420000,72.00,72.00,71.00,71.50,151,0,0
948679200,72.25,72.25,70.00,70.19,245,0,0
948765600,70.00,70.12,69.00,69.31,156,0,0
948852000,69.56,69.56,68.50,69.00,157,0,0
948938400,69.06,70.00,69.00,69.00,195,0,0
949024800,69.88,69.88,66.38,66.81,394,0,0
949284000,65.75,65.88,65.00,65.62,164,0,0
949370400,67.12,67.88,67.12,67.56,109,0,0
949456800,69.00,69.75,69.00,69.75,76,0,0
949543200,74.75,75.06,73.38,74.81,331,0,0
949629600,75.00,76.00,75.00,75.50,151,0,0
949888800,73.75,73.75,72.38,72.44,144,0,0
949975200,73.75,74.50,73.44,73.75,213,0,0
950061600,74.38,75.00,74.25,74.38,151,0,0
950148000,74.25,74.25,74.06,74.12,26,0,0
950234400,73.88,74.25,73.62,73.62,101,0,0
950493600,70.12,70.12,68.88,69.75,212,0,0
950580000,69.62,69.69,68.06,68.44,209,0,0
950666400,69.38,69.62,68.62,68.69,132,0,0
950752800,69.50,69.81,69.50,69.56,57,0,0
950839200,71.62,71.62,69.25,69.56,269,0,0
951184800,70.38,72.11,70.38,71.38,247,0,0
951357600,70.00,70.25,69.62,69.88,115,0,0
951444000,69.38,69.88,69.25,69.62,103,0,0
951703200,67.50,68.44,67.50,68.25,114,0,0
951789600,66.88,67.56,66.00,67.50,251,0,0
951876000,67.12,67.38,66.50,67.00,165,0,0
951962400,67.12,67.75,66.69,67.00,201,0,0
952048800,67.06,68.25,67.06,67.75,170,0,0
952308000,67.75,67.88,66.81,66.88,128,0,0
952394400,69.25,69.25,68.75,68.81,57,0,0
952480800,68.75,68.81,68.12,68.56,120,0,0
952567200,70.00,70.69,69.50,70.69,170,0,0
952653600,71.50,72.00,70.75,71.50,251,0,0
952912800,71.75,72.44,71.38,72.06,182,0,0
952999200,72.06,72.06,71.62,71.75,58,0,0
953085600,69.00,69.62,68.25,69.56,219,0,0
953172000,69.75,70.69,68.62,70.44,346,0,0
953258400,70.50,70.62,69.25,70.56,269,0,0
953517600,69.25,70.31,69.06,70.00,176,0,0
953604000,69.75,70.00,69.25,69.88,138,0,0
953690400,71.50,72.75,71.50,72.50,151,0,0
