time,open,high,low,close,tick_volume,spread,real_volume
961729200,3.40,3.54,3.33,3.46,37,0,0
961988400,3.50,3.54,3.25,3.33,42,0,0
962074800,3.33,3.48,3.00,3.17,81,0,0
962161200,3.21,3.29,3.04,3.21,51,0,0
962247600,3.29,3.29,3.00,3.00,30,0,0
962334000,3.10,3.21,3.04,3.15,30,0,0
962593200,3.25,3.25,3.17,3.21,13,0,0
962766000,3.25,3.33,3.17,3.33,25,0,0
962852400,3.33,3.35,3.15,3.25,33,0,0
962938800,3.34,3.87,3.19,3.42,129,0,0
963198000,3.69,4.42,3.48,4.19,139,0,0
963284400,4.52,4.75,3.96,4.25,132,0,0
963370800,4.66,5.15,4.23,5.00,151,0,0
963457200,6.00,6.04,5.37,5.58,93,0,0
963543600,5.87,5.92,4.96,5.17,123,0,0
963802800,5.33,5.37,5.08,5.21,47,0,0
963889200,5.23,5.31,4.79,4.83,65,0,0
963975600,4.79,4.83,4.37,4.67,81,0,0
964148400,5.29,5.71,5.21,5.71,59,0,0
964407600,5.67,5.92,5.35,5.58,106,0,0
964494000,5.63,5.75,5.17,5.37,91,0,0
964580400,5.37,5.83,4.71,5.79,183,0,0
964666800,5.58,6.33,5.50,5.71,154,0,0
964753200,5.71,5.73,5.17,5.42,84,0,0
965012400,5.33,6.35,4.96,6.29,183,0,0
965098800,5.98,6.04,5.79,5.81,34,0,0
965185200,5.83,6.06,5.67,5.69,65,0,0
965271600,5.67,6.00,5.50,5.85,83,0,0
965358000,6.00,6.02,5.63,5.69,48,0,0
965617200,5.67,5.79,5.17,5.33,91,0,0
965703600,5.58,5.58,5.17,5.25,50,0,0
965790000,5.24,5.31,4.83,4.90,63,0,0
965876400,4.92,5.21,4.87,4.92,69,0,0
965962800,4.77,4.92,4.40,4.67,95,0,0
966222000,4.89,4.89,4.67,4.67,23,0,0
966308400,4.65,4.67,4.21,4.21,49,0,0
966394800,4.25,4.73,4.25,4.56,66,0,0
966481200,4.67,4.83,4.54,4.83,43,0,0
966567600,4.84,4.87,4.67,4.67,24,0,0
966826800,4.64,4.65,4.42,4.52,35,0,0
966913200,4.42,4.52,4.37,4.42,31,0,0
966999600,4.33,4.37,4.17,4.35,39,0,0
967086000,4.29,4.33,4.17,4.29,33,0,0
967172400,4.26,5.04,4.17,5.04,97,0,0
967604400,4.84,5.04,4.84,5.00,25,0,0
967690800,5.08,5.08,4.67,4.83,58,0,0
967777200,4.84,4.96,4.63,4.63,46,0,0
968122800,4.67,4.76,4.50,4.65,51,0,0
968209200,4.63,4.67,4.50,4.58,30,0,0
968295600,4.58,4.67,4.50,4.63,30,0,0
968382000,4.65,4.81,4.58,4.67,45,0,0
968641200,4.69,4.73,4.60,4.73,23,0,0
968727600,4.77,4.98,4.75,4.98,26,0,0
968814000,4.96,4.96,4.67,4.69,32,0,0
968900400,4.83,4.92,4.67,4.85,49,0,0
968986800,4.74,4.85,4.42,4.50,63,0,0
969246000,4.58,4.67,4.17,4.33,76,0,0
969332400,4.25,4.33,4.25,4.25,17,0,0
969418800,4.29,4.33,3.87,3.87,51,0,0
969505200,3.87,4.08,3.50,3.67,97,0,0
969591600,3.59,4.00,3.54,3.98,54,0,0
969850800,4.00,4.46,3.92,3.96,105,0,0
969937200,3.98,4.00,3.92,3.96,15,0,0
970023600,3.96,4.08,3.83,3.87,42,0,0
970110000,4.08,4.08,3.92,3.92,17,0,0
970196400,3.83,4.08,3.81,3.92,46,0,0
970455600,3.92,4.08,3.87,3.94,41,0,0
970542000,4.17,4.17,3.85,3.87,35,0,0
970628400,3.85,3.87,3.67,3.83,39,0,0
970714800,3.83,3.87,3.69,3.69,23,0,0
970801200,3.77,3.83,3.44,3.46,48,0,0
971060400,3.50,3.58,3.33,3.37,38,0,0
971146800,3.36,3.42,3.15,3.15,34,0,0
971233200,3.15,3.33,3.06,3.25,45,0,0
971319600,3.29,3.29,2.79,3.25,97,0,0
971406000,3.23,3.37,3.00,3.17,69,0,0
971665200,3.21,3.42,3.09,3.42,46,0,0
971751600,3.42,3.54,3.37,3.50,27,0,0
971838000,3.30,3.33,3.04,3.17,46,0,0
971924400,3.29,3.33,3.17,3.17,21,0,0
972010800,3.21,3.37,3.17,3.33,29,0,0
972270000,3.41,3.42,3.33,3.37,15,0,0
972356400,3.46,3.56,3.33,3.50,43,0,0
972442800,3.56,3.96,3.33,3.87,96,0,0
972529200,3.92,4.17,3.79,4.13,56,0,0
972615600,4.39,4.63,4.33,4.56,44,0,0
972871200,4.59,5.02,4.59,4.92,54,0,0
972957600,5.00,5.00,4.37,4.54,81,0,0
973044000,4.63,4.79,4.17,4.25,87,0,0
973130400,4.41,4.41,3.83,4.17,93,0,0
973216800,4.23,4.60,4.21,4.54,48,0,0
973476000,4.37,4.58,4.29,4.33,55,0,0
973562400,4.48,4.48,4.29,4.33,24,0,0
973648800,4.17,4.33,4.04,4.21,55,0,0
973735200,4.05,4.67,4.05,4.67,63,0,0
973821600,4.58,4.67,3.83,4.63,164,0,0
974080800,4.67,4.67,4.27,4.42,56,0,0
974167200,4.50,4.63,4.37,4.48,51,0,0
974253600,4.62,4.62,4.37,4.42,31,0,0
974340000,4.56,4.67,4.35,4.54,63,0,0
974426400,4.63,4.67,4.42,4.50,38,0,0
974685600,4.38,4.54,4.21,4.27,56,0,0
974772000,4.21,4.42,3.67,4.42,130,0,0
974858400,4.19,4.19,3.44,3.79,111,0,0
975031200,3.87,4.00,3.42,3.42,72,0,0
975290400,3.67,3.98,3.58,3.98,50,0,0
975376800,4.00,4.00,3.58,3.58,43,0,0
975463200,3.54,3.67,3.46,3.50,39,0,0
975549600,3.50,4.13,3.48,3.92,89,0,0
975636000,3.92,3.96,3.83,3.92,27,0,0
975895200,3.69,3.75,3.54,3.54,28,0,0
975981600,3.58,3.71,3.50,3.52,37,0,0
976068000,3.37,3.58,3.00,3.00,80,0,0
