time,open,high,low,close,tick_volume,spread,real_volume
1410145200,29.11,29.60,28.93,29.16,130,0,0
1410231600,29.38,29.57,28.99,29.12,91,0,0
1410318000,29.03,29.33,28.04,28.59,215,0,0
1410404400,28.53,29.17,28.18,29.12,140,0,0
1410490800,29.29,29.88,29.01,29.35,169,0,0
1410750000,29.13,29.59,28.37,28.94,226,0,0
1410836400,28.94,28.94,27.07,28.05,286,0,0
1410922800,28.00,28.36,27.74,28.36,89,0,0
1411009200,27.81,29.77,27.81,29.72,202,0,0
1411095600,29.88,30.30,27.65,28.13,356,0,0
1411354800,28.33,28.33,26.69,27.07,203,0,0
1411441200,27.00,27.15,25.86,26.47,206,0,0
1411527600,26.79,27.44,26.79,27.08,102,0,0
1411614000,27.28,27.71,26.09,26.35,232,0,0
1411700400,26.70,27.02,26.53,26.91,78,0,0
1411959600,26.73,26.80,26.02,26.36,120,0,0
1412046000,26.35,26.57,25.31,25.55,173,0,0
1412132400,25.59,26.15,24.95,25.03,185,0,0
1412218800,25.24,26.17,24.98,25.90,173,0,0
1412305200,26.03,26.38,25.77,26.13,113,0,0
1412564400,26.27,26.79,25.84,25.84,148,0,0
1412650800,25.90,26.04,25.27,25.50,115,0,0
1412737200,25.45,26.43,25.01,26.31,199,0,0
1412823600,26.30,26.40,25.56,25.67,106,0,0
1412910000,25.58,25.58,24.14,24.73,204,0,0
1413169200,25.13,25.20,23.82,23.97,161,0,0
1413255600,24.41,24.61,22.60,23.83,345,0,0
1413342000,24.02,24.36,23.31,24.16,197,0,0
1413428400,23.98,25.07,23.97,24.87,132,0,0
1413514800,25.40,26.26,24.39,25.07,342,0,0
1413774000,25.23,25.78,24.63,25.09,217,0,0
1413860400,25.60,25.81,24.90,25.42,165,0,0
1413946800,25.45,26.00,25.12,25.45,177,0,0
1414033200,25.85,25.98,24.61,24.77,167,0,0
1414119600,24.60,24.96,23.30,24.17,290,0,0
1414375200,24.10,24.55,23.72,24.13,164,0,0
1414461600,24.43,24.80,24.17,24.62,108,0,0
1414548000,24.73,24.86,24.08,24.20,104,0,0
1414634400,24.15,24.34,23.51,23.87,139,0,0
1414720800,24.15,24.63,23.73,23.99,165,0,0
1414980000,23.83,25.40,23.33,24.70,328,0,0
1415066400,24.74,25.06,24.30,24.91,136,0,0
1415152800,25.10,25.48,23.88,23.93,204,0,0
1415239200,23.96,24.60,23.62,24.45,148,0,0
1415325600,24.48,24.96,24.39,24.82,81,0,0
1415584800,24.94,27.07,24.94,26.63,258,0,0
1415671200,26.63,26.83,25.42,25.85,205,0,0
1415757600,25.85,28.26,25.80,27.76,302,0,0
1415844000,27.75,28.40,26.92,27.29,251,0,0
1415930400,27.28,27.45,26.31,26.88,189,0,0
1416016800,26.87,26.88,26.78,26.84,18,0,0
1416189600,28.25,28.62,24.67,24.76,442,0,0
1416276000,24.78,25.47,24.68,25.25,112,0,0
1416362400,25.23,25.84,24.44,24.44,202,0,0
1416448800,24.44,24.44,23.58,23.82,111,0,0
1416535200,23.80,25.23,23.21,23.85,400,0,0
1416621600,23.82,23.88,23.82,23.85,10,0,0
1416794400,23.43,24.30,23.34,23.94,142,0,0
1416880800,24.00,24.12,23.49,23.67,94,0,0
1416967200,23.53,24.10,23.50,23.85,89,0,0
1417053600,23.90,23.95,23.90,23.90,11,0,0
1417140000,23.90,24.18,23.26,23.50,145,0,0
1417399200,23.33,23.64,21.78,21.91,231,0,0
1417485600,21.94,24.74,21.75,24.03,390,0,0
1417572000,24.02,25.25,23.87,24.51,228,0,0
1417658400,24.55,24.75,24.23,24.43,93,0,0
1417744800,24.42,24.51,23.40,23.66,147,0,0
1418004000,23.60,23.70,22.88,23.20,125,0,0
1418090400,23.34,25.96,22.53,25.65,456,0,0
1418176800,25.65,25.65,24.20,24.76,202,0,0
1418263200,24.78,25.50,24.64,24.73,168,0,0
1418349600,24.65,24.78,23.95,24.03,105,0,0
1418608800,24.52,24.52,22.93,23.28,195,0,0
1418695200,22.68,23.21,22.63,23.09,76,0,0
1418781600,23.49,23.54,23.43,23.53,19,0,0
1418868000,23.83,24.63,23.80,24.24,126,0,0
1418954400,24.36,24.72,23.98,24.52,133,0,0
1419213600,24.65,25.02,23.94,25.00,182,0,0
1419300000,24.78,24.95,24.44,24.80,101,0,0
1419386400,24.81,24.95,24.47,24.60,76,0,0
1419559200,24.51,24.73,24.19,24.48,106,0,0
1419818400,24.09,24.18,23.62,24.08,112,0,0
1419904800,23.63,24.00,23.13,23.33,145,0,0
1419991200,23.43,23.48,22.86,23.07,89,0,0
1420164000,23.38,24.11,23.18,24.04,121,0,0
1420423200,23.83,24.94,23.70,24.43,189,0,0
1420509600,24.51,25.01,24.15,24.43,165,0,0
1420596000,24.73,25.08,24.73,24.83,61,0,0
1420682400,25.14,25.29,24.51,25.06,149,0,0
1420768800,25.13,25.62,24.75,24.81,143,0,0
1421028000,25.25,25.25,23.84,24.49,207,0,0
1421114400,24.24,24.32,23.60,23.68,89,0,0
1421200800,23.41,24.29,23.41,23.82,136,0,0
1421287200,23.68,23.99,22.96,23.25,164,0,0
1421373600,23.14,24.17,23.08,23.98,135,0,0
1421719200,24.06,24.78,23.83,24.56,141,0,0
1421805600,24.35,24.88,24.25,24.62,100,0,0
