time,open,high,low,close,tick_volume,spread,real_volume
1764118800,13.076,13.176,13.025,13.045,134,80,0
1764122400,13.044,13.116,13.005,13.005,543,79,0
1764126000,13.005,13.125,12.965,13.075,573,79,0
1764129600,13.075,13.115,13.025,13.025,389,79,0
1764133200,13.025,13.075,12.895,12.916,400,79,0
1764136800,12.915,12.966,12.884,12.934,328,79,0
1764140400,12.926,13.015,12.915,12.975,351,79,0
1764144000,12.975,13.026,12.934,13.006,455,79,0
1764147600,13.005,13.035,12.975,13.035,516,80,0
1764151200,13.036,13.045,12.915,12.925,354,79,0
1764154800,12.925,12.925,12.835,12.865,332,79,0
1764158400,12.865,12.905,12.795,12.865,297,79,0
1764162000,12.856,12.856,12.768,12.805,442,79,0
1764165600,12.796,12.816,12.705,12.755,663,79,0
1764169200,12.746,12.885,12.745,12.885,547,79,0
1764172800,12.885,12.958,12.785,12.810,1017,79,0
1764176400,12.816,12.896,12.755,12.835,1090,80,0
1764180000,12.836,13.036,12.835,12.965,923,80,0
1764183600,12.965,13.364,12.943,13.325,2144,80,0
1764187200,13.326,13.465,13.275,13.455,1232,79,0
1764190800,13.445,13.445,13.345,13.415,525,79,0
1764194400,13.416,13.425,13.325,13.355,462,79,0
1764198000,13.355,13.455,13.325,13.402,443,79,0
1764201600,13.385,13.456,13.374,13.405,419,80,0
1764205200,13.405,13.455,13.365,13.415,280,79,0
1764208800,13.405,13.455,13.345,13.405,412,79,0
1764212400,13.405,13.485,13.385,13.465,567,79,0
1764216000,13.456,13.526,13.385,13.396,606,80,0
1764219600,13.385,13.416,13.325,13.335,261,80,0
1764223200,13.335,13.416,13.325,13.385,240,79,0
1764226800,13.385,13.394,13.255,13.265,328,79,0
1764230400,13.265,13.375,13.255,13.355,248,79,0
1764234000,13.355,13.355,13.275,13.315,252,79,0
1764237600,13.315,13.326,13.235,13.285,288,79,0
1764241200,13.284,13.394,13.264,13.325,399,79,0
1764244800,13.315,13.355,13.294,13.345,236,79,0
1764248400,13.345,13.355,13.285,13.305,196,79,0
1764252000,13.305,13.325,13.195,13.195,273,79,0
