time,open,high,low,close,tick_volume,spread,real_volume
946864800,65.00,67.44,65.00,65.56,433,0,0
946951200,64.25,65.44,62.75,63.50,464,0,0
947037600,63.13,65.31,63.00,64.31,345,0,0
947124000,65.00,66.19,64.31,66.19,258,0,0
947210400,68.00,71.06,67.50,71.06,407,0,0
947469600,71.06,71.06,67.94,68.12,331,0,0
947556000,67.00,69.37,67.00,68.50,325,0,0
947642400,67.62,68.31,66.94,67.50,263,0,0
947728800,65.75,68.37,65.62,66.69,457,0,0
947815200,68.94,69.25,68.00,68.31,188,0,0
948160800,69.37,69.37,66.50,67.31,369,0,0
948247200,66.00,68.00,65.75,67.75,276,0,0
948333600,67.69,68.25,65.56,66.78,448,0,0
948420000,65.12,65.62,64.12,64.75,264,0,0
948679200,64.62,64.81,61.56,62.13,402,0,0
948765600,62.38,63.25,61.75,62.31,294,0,0
948852000,62.94,63.38,62.13,62.75,232,0,0
948938400,62.00,64.37,61.50,64.25,350,0,0
949024800,65.00,67.37,64.87,65.31,470,0,0
949284000,65.94,67.00,62.38,66.87,832,0,0
949370400,65.87,66.50,64.69,65.56,332,0,0
949456800,65.50,66.06,63.88,65.06,393,0,0
949543200,65.31,65.81,63.63,65.25,431,0,0
949629600,64.94,65.25,64.50,64.87,144,0,0
949888800,65.44,65.44,62.75,63.31,326,0,0
949975200,62.63,63.75,62.63,63.31,157,0,0
950061600,64.37,64.37,61.69,61.75,275,0,0
950148000,61.88,63.00,61.81,62.31,196,0,0
950234400,62.50,62.56,61.06,61.63,214,0,0
950493600,61.38,62.00,60.44,60.75,250,0,0
950580000,60.88,61.69,60.63,61.19,182,0,0
950666400,62.00,62.44,61.19,61.25,176,0,0
950752800,61.75,61.94,60.19,60.19,195,0,0
950839200,60.31,60.38,58.25,58.50,246,0,0
951184800,59.75,60.38,57.63,59.50,526,0,0
951271200,59.75,60.88,58.31,60.31,459,0,0
951357600,59.94,60.25,57.88,58.56,337,0,0
951444000,58.44,58.81,56.13,56.69,362,0,0
951703200,57.00,58.44,57.00,57.50,239,0,0
951789600,58.50,60.50,58.38,59.44,331,0,0
951876000,59.44,60.25,58.00,58.88,395,0,0
951962400,57.88,59.38,57.19,57.69,420,0,0
952048800,58.63,59.00,57.56,58.00,226,0,0
952308000,57.25,58.69,57.13,57.63,275,0,0
952394400,57.88,57.94,54.00,54.50,451,0,0
952480800,55.00,57.38,54.50,55.50,527,0,0
952567200,56.44,60.06,56.44,60.06,363,0,0
952653600,60.13,61.94,60.00,61.19,283,0,0
952912800,61.00,61.00,57.63,59.25,500,0,0
952999200,58.25,58.69,57.38,57.44,182,0,0
953085600,57.44,63.50,57.38,62.75,694,0,0
953172000,63.88,65.94,63.00,64.75,502,0,0
953258400,63.88,63.94,61.00,61.38,339,0,0
953517600,61.38,61.44,59.63,60.75,300,0,0
953604000,59.75,62.00,59.69,61.69,269,0,0
953690400,62.38,64.31,61.63,63.56,419,0,0
953776800,64.19,64.81,63.56,64.37,233,0,0
953863200,64.12,64.19,61.13,62.13,414,0,0
954126000,62.00,62.31,59.94,60.50,325,0,0
954212400,59.81,61.00,59.50,60.25,257,0,0
954298800,60.13,61.50,60.13,61.00,188,0,0
954385200,61.25,63.13,60.75,60.75,427,0,0
954471600,61.25,64.50,60.13,62.63,737,0,0
954730800,64.25,65.50,64.00,65.37,189,0,0
954817200,65.62,69.37,65.44,69.00,449,0,0
954903600,68.12,69.00,66.87,67.47,362,0,0
954990000,66.00,67.00,65.06,65.87,376,0,0
955076400,65.62,65.75,64.19,64.31,182,0,0
955335600,64.00,66.75,63.75,64.87,514,0,0
955422000,65.00,66.94,64.87,66.87,228,0,0
955508400,66.25,67.00,64.75,65.12,338,0,0
955594800,68.44,70.00,68.00,70.00,245,0,0
955681200,68.50,69.94,66.50,67.44,583,0,0
