time,open,high,low,close,tick_volume,spread,real_volume
1643853600,69.79,70.46,69.57,70.12,146,0,0
1643940000,70.28,70.28,67.24,67.85,366,0,0
1644199200,68.33,68.65,67.60,68.05,183,0,0
1644285600,67.48,68.96,66.74,67.37,434,0,0
1644372000,68.38,70.96,68.26,70.69,310,0,0
1644458400,70.55,70.66,69.18,70.07,249,0,0
1644544800,69.07,75.37,68.64,74.35,819,0,0
1644804000,71.95,74.95,71.73,74.24,416,0,0
1644890400,74.18,75.47,73.46,75.38,283,0,0
1644976800,75.47,77.43,75.21,76.04,388,0,0
1645063200,76.90,77.93,75.48,75.62,363,0,0
1645149600,76.38,77.59,75.24,75.34,367,0,0
1645408800,76.64,77.07,73.81,74.57,446,0,0
1645495200,71.52,74.23,71.36,73.13,414,0,0
1645581600,74.08,75.28,72.93,73.34,397,0,0
1645668000,69.26,71.35,67.87,68.80,651,0,0
1645754400,70.46,72.10,68.35,71.74,623,0,0
1646013600,69.94,70.59,68.16,69.87,480,0,0
1646100000,69.53,70.49,66.39,66.59,527,0,0
1646186400,65.12,65.31,63.04,64.30,373,0,0
1646272800,63.99,64.40,60.35,60.43,455,0,0
1646359200,58.93,60.10,56.83,57.79,541,0,0
1646618400,55.24,59.47,54.71,57.37,740,0,0
1646704800,56.52,58.70,56.43,57.54,353,0,0
1646791200,59.13,61.16,58.17,60.61,451,0,0
1646877600,61.36,61.81,57.33,58.54,615,0,0
1646964000,59.37,61.62,58.38,58.42,554,0,0
1647223200,60.22,61.48,59.67,60.65,320,0,0
1647309600,60.41,62.87,59.24,61.82,586,0,0
1647396000,64.35,66.09,63.26,65.43,459,0,0
1647482400,65.71,65.92,63.50,63.90,304,0,0
1647568800,64.17,64.93,62.22,62.53,379,0,0
1647828000,63.06,63.93,62.53,63.47,240,0,0
1647914400,63.76,64.93,63.10,64.08,335,0,0
1648000800,64.77,64.82,62.79,63.43,273,0,0
1648087200,63.36,64.34,62.47,63.11,350,0,0
1648173600,63.31,64.12,62.52,63.22,312,0,0
1648436400,63.47,65.23,63.31,64.29,303,0,0
1648522800,65.06,68.17,64.65,67.10,501,0,0
1648609200,66.47,66.53,64.95,65.23,193,0,0
1648695600,65.90,65.94,63.83,63.92,225,0,0
1648782000,64.05,64.76,63.30,63.65,253,0,0
1649041200,64.01,64.55,62.81,64.40,310,0,0
1649127600,64.45,64.83,62.61,62.95,295,0,0
1649214000,62.73,62.96,60.62,61.79,375,0,0
1649300400,62.55,63.28,62.08,62.53,239,0,0
1649386800,63.44,64.14,62.66,63.40,293,0,0
1649646000,62.54,62.75,61.53,62.25,216,0,0
1649732400,61.51,63.18,60.82,62.80,344,0,0
1649818800,62.27,63.37,61.86,62.77,253,0,0
1649905200,63.23,63.97,62.82,63.22,230,0,0
1650337200,63.41,64.64,63.05,64.30,230,0,0
1650423600,64.83,66.20,64.53,65.54,264,0,0
1650510000,65.57,66.66,65.14,66.09,253,0,0
1650596400,65.16,65.88,64.84,64.99,192,0,0
1650855600,63.69,64.40,62.96,63.73,285,0,0
1650942000,64.93,65.12,62.91,62.92,242,0,0
1651028400,63.77,65.49,62.54,63.68,582,0,0
1651114800,65.06,66.88,64.89,66.29,276,0,0
1651201200,67.08,67.52,66.43,67.34,193,0,0
1651460400,61.90,63.13,61.89,61.95,244,0,0
