time,open,high,low,close,tick_volume,spread,real_volume
1615946400,9141.00,9228.00,9083.00,9097.00,247,0,0
1616032800,9275.00,9293.00,9129.00,9167.00,221,0,0
1616119200,9023.00,9186.00,9006.00,9186.00,198,0,0
1616378400,9094.00,9137.00,9034.00,9057.00,170,0,0
1616464800,9156.00,9210.00,8933.00,8956.00,355,0,0
1616551200,8876.00,8967.00,8779.00,8805.00,306,0,0
1616637600,8785.00,8916.00,8764.00,8885.00,205,0,0
1616724000,8909.00,8937.00,8822.00,8917.00,223,0,0
1616986800,9002.00,9056.00,8889.00,8967.00,300,0,0
1617073200,9001.00,9023.00,8828.00,8854.00,244,0,0
1617159600,8856.00,8921.00,8813.00,8846.00,207,0,0
1617246000,9000.00,9138.00,8977.00,9114.00,209,0,0
1617332400,9241.00,9410.00,9236.00,9387.00,203,0,0
1617591600,9481.00,9497.00,9302.00,9311.00,221,0,0
1617678000,9377.00,9377.00,9135.00,9148.00,256,0,0
1617764400,9131.00,9204.00,9075.00,9183.00,207,0,0
1617850800,9111.00,9192.00,9056.00,9174.00,210,0,0
1617937200,9172.00,9279.00,9113.00,9119.00,280,0,0
1618196400,9200.00,9210.00,9117.00,9128.00,115,0,0
1618282800,9043.00,9065.00,8924.00,8996.00,236,0,0
1618369200,9010.00,9079.00,8982.00,9042.00,163,0,0
1618455600,9049.00,9106.00,8987.00,9037.00,227,0,0
1618542000,9018.00,9057.00,8983.00,8997.00,128,0,0
1618801200,9025.00,9185.00,8995.00,9096.00,310,0,0
1618887600,9088.00,9088.00,8937.00,8952.00,167,0,0
1618974000,8781.00,8851.00,8698.00,8739.00,265,0,0
1619146800,8785.00,8890.00,8785.00,8869.00,127,0,0
1619406000,8923.00,8939.00,8876.00,8916.00,120,0,0
1619492400,8938.00,9010.00,8880.00,8881.00,204,0,0
1619578800,8826.00,9049.00,8793.00,9014.00,325,0,0
1619751600,8909.00,9004.00,8668.00,8706.00,470,0,0
1620270000,8703.00,8879.00,8702.00,8775.00,283,0,0
1620356400,8722.00,8805.00,8634.00,8736.00,329,0,0
1620615600,8716.00,8816.00,8693.00,8707.00,238,0,0
1620702000,8604.00,8610.00,8363.00,8389.00,280,0,0
1620788400,8436.00,8543.00,8158.00,8227.00,562,0,0
1620874800,8045.00,8125.00,7999.00,8004.00,212,0,0
1620961200,8150.00,8288.00,8120.00,8277.00,210,0,0
1621220400,8340.00,8374.00,8106.00,8167.00,364,0,0
1621306800,8172.00,8260.00,8147.00,8184.00,215,0,0
1621393200,8081.00,8139.00,8015.00,8065.00,233,0,0
1621479600,8091.00,8237.00,8058.00,8195.00,255,0,0
1621566000,8206.00,8245.00,8126.00,8158.00,191,0,0
1621825200,8157.00,8317.00,8149.00,8226.00,268,0,0
1621911600,8294.00,8325.00,8211.00,8245.00,180,0,0
1621998000,8223.00,8350.00,8213.00,8337.00,161,0,0
1622084400,8302.00,8348.00,8081.00,8090.00,323,0,0
1622170800,8208.00,8394.00,8202.00,8353.00,240,0,0
1622430000,8285.00,8375.00,8241.00,8275.00,259,0,0
1622516400,8360.00,8458.00,8326.00,8446.00,179,0,0
1622602800,8536.00,8692.00,8446.00,8564.00,465,0,0
1622689200,8562.00,8662.00,8558.00,8566.00,205,0,0
1622775600,8466.00,8531.00,8411.00,8528.00,179,0,0
1623034800,8648.00,8659.00,8518.00,8540.00,175,0,0
1623121200,8521.00,8572.00,8451.00,8452.00,174,0,0
1623207600,8400.00,8402.00,8275.00,8322.00,177,0,0
1623294000,8276.00,8349.00,8242.00,8283.00,208,0,0
1623380400,8210.00,8336.00,8205.00,8314.00,159,0,0
1623639600,8326.00,8416.00,8278.00,8416.00,187,0,0
1623726000,8498.00,8586.00,8483.00,8547.00,158,0,0
1623812400,8461.00,8618.00,8433.00,8617.00,215,0,0
1623898800,8471.00,8504.00,8363.00,8458.00,270,0,0
1623985200,8600.00,8689.00,8563.00,8582.00,235,0,0
1624244400,8420.00,8445.00,8237.00,8310.00,307,0,0
1624330800,8467.00,8476.00,8385.00,8415.00,131,0,0
1624417200,8353.00,8375.00,8232.00,8239.00,173,0,0
1624503600,8201.00,8236.00,8128.00,8198.00,214,0,0
1624590000,8320.00,8368.00,8289.00,8333.00,146,0,0
1624849200,8342.00,8362.00,8284.00,8303.00,118,0,0
1624935600,8340.00,8385.00,8298.00,8330.00,165,0,0
1625022000,8430.00,8619.00,8422.00,8499.00,326,0,0
1625108400,8465.00,8544.00,8408.00,8440.00,248,0,0
1625194800,8455.00,8578.00,8386.00,8556.00,284,0,0
1625454000,8560.00,8777.00,8533.00,8757.00,292,0,0
1625540400,8825.00,8934.00,8771.00,8918.00,234,0,0
1625626800,8923.00,9055.00,8886.00,8998.00,264,0,0
1625713200,8998.00,9047.00,8907.00,8944.00,227,0,0
1625799600,8848.00,8921.00,8714.00,8843.00,410,0,0
1626058800,9098.00,9167.00,9029.00,9110.00,265,0,0
1626145200,9171.00,9171.00,9067.00,9074.00,112,0,0
1626231600,9000.00,9240.00,9000.00,9190.00,291,0,0
1626318000,9103.00,9204.00,9103.00,9148.00,158,0,0
1626404400,9060.00,9097.00,9005.00,9076.00,169,0,0
1626663600,8917.00,8962.00,8771.00,8788.00,254,0,0
1626750000,8691.00,8814.00,8651.00,8715.00,303,0,0
1626836400,8887.00,8932.00,8743.00,8780.00,272,0,0
1627268400,9001.00,9025.00,8924.00,8999.00,201,0,0
1627354800,9065.00,9070.00,8960.00,9020.00,176,0,0
1627441200,8806.00,9008.00,8771.00,8920.00,361,0,0
1627527600,8996.00,9066.00,8894.00,9066.00,275,0,0
1627614000,9255.00,9345.00,9012.00,9041.00,453,0,0
1627873200,9227.00,9248.00,9075.00,9243.00,331,0,0
1627959600,9247.00,9274.00,9183.00,9201.00,137,0,0
1628046000,9207.00,9233.00,9163.00,9212.00,136,0,0
1628132400,9210.00,9288.00,9167.00,9287.00,166,0,0
1628218800,9260.00,9325.00,9169.00,9175.00,228,0,0
1628564400,9184.00,9325.00,9147.00,9239.00,302,0,0
1628650800,9247.00,9312.00,9212.00,9239.00,193,0,0
1628737200,9270.00,9350.00,9149.00,9156.00,289,0,0
1628823600,9166.00,9189.00,9042.00,9061.00,190,0,0
1629082800,9065.00,9076.00,8858.00,8905.00,277,0,0
1629169200,8931.00,8942.00,8851.00,8883.00,135,0,0
1629255600,8898.00,9133.00,8868.00,9113.00,316,0,0
1629342000,9060.00,9143.00,8857.00,8862.00,375,0,0
1629428400,8856.00,8899.00,8751.00,8789.00,230,0,0
1629687600,8883.00,9035.00,8880.00,9004.00,190,0,0
1629774000,9090.00,9188.00,9075.00,9104.00,213,0,0
1629860400,9148.00,9149.00,8926.00,8972.00,271,0,0
1629946800,8955.00,8959.00,8864.00,8911.00,147,0,0
1630033200,8893.00,8923.00,8830.00,8879.00,173,0,0
1630292400,8983.00,9069.00,8932.00,9021.00,237,0,0
1630378800,9016.00,9134.00,8989.00,9123.00,184,0,0
1630465200,9159.00,9424.00,9143.00,9423.00,299,0,0
1630551600,9498.00,9558.00,9450.00,9491.00,210,0,0
1630638000,9465.00,9628.00,9452.00,9592.00,226,0,0
1630897200,9720.00,9800.00,9697.00,9760.00,167,0,0
1630983600,10303.00,10418.00,9913.00,10285.00,993,0,0
1631070000,10193.00,10278.00,10085.00,10138.00,332,0,0
1631156400,10048.00,10193.00,10048.00,10126.00,213,0,0
1631242800,10128.00,10326.00,10128.00,10326.00,199,0,0
1631502000,10343.00,10473.00,10293.00,10408.00,296,0,0
1631588400,10403.00,10533.00,10343.00,10526.00,258,0,0
1631674800,10348.00,10401.00,10175.00,10235.00,340,0,0
1631761200,10268.00,10296.00,10153.00,10203.00,222,0,0
1631847600,10233.00,10266.00,10168.00,10190.00,154,0,0
1632193200,9802.00,10053.00,9802.00,10023.00,282,0,0
1632279600,10063.00,10063.00,9909.00,9938.00,184,0,0
1632452400,10183.00,10191.00,10085.00,10113.00,143,0,0
1632711600,10103.00,10111.00,9941.00,9992.00,230,0,0
1632798000,9861.00,9925.00,9741.00,9829.00,337,0,0
1632884400,9583.00,9684.00,9486.00,9557.00,371,0,0
1632970800,9671.00,9814.00,9476.00,9788.00,560,0,0
1633057200,9760.00,9820.00,9351.00,9399.00,578,0,0
1633316400,9411.00,9494.00,8957.00,9054.00,718,0,0
1633402800,8898.00,8898.00,8653.00,8747.00,340,0,0
1633489200,8969.00,8969.00,8473.00,8562.00,586,0,0
