time,open,high,low,close,tick_volume,spread,real_volume
1022641200,0.17,0.17,0.15,0.16,4,0,0
1022727600,0.16,0.16,0.15,0.15,2,0,0
1022814000,0.15,0.15,0.15,0.15,1,0,0
1023073200,0.15,0.16,0.15,0.16,2,0,0
1023159600,0.16,0.16,0.16,0.16,1,0,0
1023246000,0.16,0.17,0.16,0.16,3,0,0
1023332400,0.16,0.18,0.16,0.17,4,0,0
1023418800,0.17,0.17,0.16,0.16,2,0,0
1023678000,0.16,0.17,0.16,0.17,2,0,0
1023764400,0.17,0.17,0.16,0.17,3,0,0
1023850800,0.17,0.17,0.16,0.16,2,0,0
1023937200,0.16,0.16,0.15,0.15,2,0,0
1024023600,0.15,0.15,0.14,0.14,2,0,0
1024282800,0.15,0.15,0.13,0.13,3,0,0
1024369200,0.13,0.13,0.12,0.13,3,0,0
1024455600,0.13,0.14,0.13,0.14,2,0,0
1024542000,0.14,0.15,0.14,0.14,3,0,0
1024628400,0.14,0.14,0.14,0.14,1,0,0
1024887600,0.14,0.15,0.14,0.14,3,0,0
1024974000,0.14,0.14,0.13,0.14,3,0,0
1025060400,0.14,0.14,0.13,0.14,3,0,0
1025146800,0.14,0.15,0.13,0.13,4,0,0
1025233200,0.14,0.15,0.14,0.14,3,0,0
1025492400,0.14,0.15,0.14,0.15,2,0,0
1025578800,0.15,0.17,0.15,0.17,3,0,0
1025665200,0.17,0.17,0.16,0.17,3,0,0
1025838000,0.17,0.19,0.17,0.18,4,0,0
1026097200,0.18,0.18,0.17,0.17,2,0,0
1026183600,0.17,0.17,0.16,0.17,3,0,0
1026270000,0.17,0.17,0.16,0.17,3,0,0
1026356400,0.17,0.18,0.16,0.18,4,0,0
1026442800,0.18,0.18,0.17,0.17,2,0,0
1026702000,0.18,0.18,0.15,0.16,5,0,0
1026788400,0.17,0.17,0.16,0.16,2,0,0
1026874800,0.16,0.17,0.15,0.16,5,0,0
1026961200,0.16,0.17,0.16,0.16,3,0,0
1027047600,0.17,0.17,0.16,0.17,3,0,0
1027306800,0.16,0.17,0.16,0.17,2,0,0
1027393200,0.17,0.17,0.16,0.16,2,0,0
1027479600,0.16,0.17,0.15,0.16,5,0,0
1027566000,0.16,0.16,0.15,0.15,2,0,0
1027652400,0.15,0.15,0.12,0.12,4,0,0
1027911600,0.13,0.13,0.12,0.13,3,0,0
1027998000,0.13,0.13,0.13,0.13,1,0,0
1028084400,0.13,0.14,0.13,0.14,2,0,0
1028170800,0.14,0.14,0.13,0.13,2,0,0
1028257200,0.13,0.13,0.10,0.11,5,0,0
1028516400,0.11,0.12,0.11,0.11,3,0,0
1028602800,0.11,0.11,0.11,0.11,1,0,0
1028689200,0.11,0.11,0.11,0.11,1,0,0
1028775600,0.11,0.11,0.11,0.11,1,0,0
