time,open,high,low,close,tick_volume,spread,real_volume
1597114800,4.1900,4.2370,4.1740,4.2268,893,0,0
1597201200,4.2200,4.2830,4.2200,4.2773,688,0,0
1597287600,4.2405,4.2450,4.2405,4.2448,48,0,0
1597374000,4.2550,4.2725,4.1905,4.1992,1083,0,0
1597633200,4.2100,4.2725,4.2050,4.2468,983,0,0
1597719600,4.2400,4.3275,4.1977,4.2410,2587,0,0
1597806000,4.2425,4.2815,4.2177,4.2510,1192,0,0
1597892400,4.2045,4.2528,4.1972,4.2350,808,0,0
1597978800,4.2295,4.2398,4.1537,4.2120,1548,0,0
1598238000,4.2300,4.2825,4.2280,4.2380,1011,0,0
1598324400,4.2500,4.2890,4.2302,4.2425,1102,0,0
1598410800,4.2055,4.2888,4.1902,4.2643,1385,0,0
1598497200,4.2560,4.2688,4.1957,4.2415,1318,0,0
1598583600,4.2400,4.2468,4.1667,4.1772,975,0,0
1598842800,4.1705,4.1975,4.0880,4.0965,1451,0,0
1598929200,4.1060,4.1400,4.0037,4.0042,1709,0,0
1599015600,3.9675,4.0475,3.9647,3.9883,1449,0,0
1599102000,4.0290,4.0625,3.8025,3.8417,3328,0,0
1599188400,3.8140,3.8968,3.7015,3.7507,3274,0,0
1599447600,3.7150,3.7703,3.6272,3.6327,2040,0,0
1599534000,3.6200,3.6485,3.5405,3.5480,1441,0,0
1599620400,3.5300,3.5700,3.5157,3.5630,757,0,0
1599706800,3.5410,3.5695,3.4847,3.4890,1177,0,0
1599793200,3.4870,3.5168,3.4722,3.4973,790,0,0
1600052400,3.5300,3.5380,3.4560,3.4735,1076,0,0
1600138800,3.4825,3.5633,3.4732,3.5215,1413,0,0
1600225200,3.5500,3.7035,3.5025,3.5270,3791,0,0
1600311600,3.4900,4.5600,3.4667,3.5075,21692,0,0
1600398000,3.5000,3.5790,3.4502,3.4835,2412,0,0
1600657200,3.4490,3.4490,3.3090,3.3365,1676,0,0
1600743600,3.3460,3.3990,2.7600,3.3560,12681,0,0
1600830000,3.4115,3.4360,3.2950,3.3815,2521,0,0
1600916400,3.3205,3.3313,3.2810,3.2930,732,0,0
1601002800,3.2960,3.2960,3.2167,3.2342,969,0,0
1601262000,3.2815,3.3233,3.2800,3.3085,597,0,0
1601348400,3.3300,3.3380,3.2887,3.2960,647,0,0
1601434800,3.3665,3.3845,3.3295,3.3713,1053,0,0
1601521200,3.3725,3.3820,3.2710,3.2750,1246,0,0
1601607600,3.2700,3.2795,3.2355,3.2600,781,0,0
1601866800,3.2710,3.3565,3.2625,3.3368,1223,0,0
1601953200,3.3555,3.3893,3.3350,3.3835,807,0,0
1602039600,3.3350,3.3350,3.2765,3.2825,646,0,0
