time,open,high,low,close,tick_volume,spread,real_volume
1536649200,0.65272,0.65309,0.65270,0.65286,660,8,0
1536652800,0.65286,0.65341,0.65248,0.65334,766,8,0
1536656400,0.65333,0.65397,0.65308,0.65381,1139,8,0
1536660000,0.65380,0.65403,0.65312,0.65321,1327,8,0
1536663600,0.65321,0.65339,0.65237,0.65272,1855,8,0
1536667200,0.65271,0.65299,0.65201,0.65221,1543,8,0
1536670800,0.65221,0.65222,0.65063,0.65130,1567,8,0
1536674400,0.65130,0.65170,0.65111,0.65132,1105,8,0
1536678000,0.65132,0.65151,0.65019,0.65040,2967,8,0
1536681600,0.65041,0.65067,0.65011,0.65037,1829,8,0
1536685200,0.65036,0.65112,0.65010,0.65049,2304,8,0
1536688800,0.65049,0.65111,0.65006,0.65111,1393,8,0
1536692400,0.65111,0.65142,0.65080,0.65090,1303,8,0
1536696000,0.65090,0.65119,0.65060,0.65093,1144,8,0
1536699600,0.65093,0.65099,0.65056,0.65063,951,8,0
1536703200,0.65063,0.65124,0.65063,0.65122,612,9,0
1536706800,0.65123,0.65268,0.65123,0.65250,1059,8,0
1536710400,0.65223,0.65266,0.65196,0.65208,341,17,0
1536714000,0.65208,0.65232,0.65186,0.65198,272,8,0
1536717600,0.65198,0.65230,0.65127,0.65137,434,8,0
1536721200,0.65136,0.65149,0.65051,0.65100,1329,8,0
1536724800,0.65098,0.65123,0.65036,0.65099,1060,8,0
1536728400,0.65099,0.65165,0.65097,0.65149,619,8,0
1536732000,0.65149,0.65150,0.65088,0.65089,477,8,0
1536735600,0.65090,0.65119,0.65076,0.65118,440,8,0
1536739200,0.65118,0.65145,0.65109,0.65129,1111,8,0
1536742800,0.65129,0.65192,0.65018,0.65038,1154,8,0
1536746400,0.65038,0.65194,0.65021,0.65160,1582,8,0
1536750000,0.65159,0.65262,0.65149,0.65243,2159,8,0
1536753600,0.65243,0.65249,0.65190,0.65238,1166,8,0
1536757200,0.65238,0.65255,0.65127,0.65129,909,8,0
1536760800,0.65130,0.65161,0.65108,0.65141,1419,8,0
1536764400,0.65141,0.65254,0.65135,0.65217,2007,8,0
1536768000,0.65218,0.65277,0.65165,0.65255,1817,8,0
1536771600,0.65254,0.65438,0.65253,0.65414,2145,8,0
1536775200,0.65414,0.65637,0.65338,0.65526,3405,8,0
