time,open,high,low,close,tick_volume,spread,real_volume
1513821600,118.62,118.95,118.09,118.38,149,0,0
1513908000,118.38,118.75,117.91,118.58,149,0,0
1514253600,117.75,119.24,117.16,118.85,307,0,0
1514340000,118.81,119.59,118.32,119.39,197,0,0
1514426400,119.42,119.65,118.62,119.40,205,0,0
1514512800,118.99,120.78,118.73,119.56,354,0,0
1514858400,119.66,120.58,117.88,117.88,363,0,0
1514944800,117.89,118.47,117.26,117.78,232,0,0
1515031200,117.87,119.12,117.17,118.36,342,0,0
1515117600,118.34,119.09,117.80,118.78,215,0,0
1515376800,118.89,118.92,117.69,117.83,141,0,0
1515463200,117.84,118.99,117.22,117.90,349,0,0
1515549600,117.95,118.37,116.70,117.48,288,0,0
1515636000,117.85,117.99,116.38,116.96,234,0,0
1515722400,117.48,118.01,116.22,117.35,346,0,0
1516068000,117.80,118.46,116.87,118.00,299,0,0
1516154400,118.28,120.18,117.47,119.13,458,0,0
1516240800,119.13,119.75,118.39,119.05,265,0,0
1516327200,119.05,120.68,117.53,120.15,521,0,0
1516413600,120.15,120.15,120.14,120.15,3,0,0
1516586400,119.47,122.38,119.18,121.52,436,0,0
1516672800,121.98,122.51,120.74,121.25,282,0,0
1516759200,121.44,122.44,120.81,121.15,298,0,0
1516845600,121.17,122.29,119.89,120.72,436,0,0
1516932000,121.04,121.91,119.96,121.75,320,0,0
1517191200,119.95,121.09,119.59,119.64,270,0,0
1517277600,120.21,120.44,118.65,119.96,334,0,0
1517364000,119.94,121.26,119.40,120.65,302,0,0
1517450400,120.52,122.01,119.28,121.90,409,0,0
1517536800,120.17,120.50,118.40,118.54,258,0,0
1517796000,118.82,119.52,112.80,113.48,811,0,0
1517882400,113.49,114.79,110.16,113.28,906,0,0
1517968800,113.29,116.27,112.15,112.65,761,0,0
1518055200,112.65,114.60,110.10,110.62,698,0,0
1518141600,110.63,112.73,107.72,111.63,903,0,0
1518228000,111.57,111.81,111.57,111.66,40,0,0
1518400800,112.78,113.24,111.03,112.18,383,0,0
1518487200,112.15,113.99,110.52,112.28,682,0,0
1518573600,112.19,113.28,108.04,109.06,736,0,0
1518660000,109.03,111.27,108.72,111.19,295,0,0
1518746400,111.15,112.07,109.76,111.18,460,0,0
1519092000,110.89,111.87,109.35,109.60,376,0,0
1519178400,109.61,110.11,107.68,107.80,306,0,0
1519264800,107.75,110.69,107.49,109.66,450,0,0
1519351200,109.96,110.84,108.33,109.69,476,0,0
1519437600,109.70,109.70,109.34,109.69,72,0,0
1519610400,110.87,112.22,109.38,110.97,559,0,0
1519696800,111.51,112.08,109.99,111.14,382,0,0
1519783200,111.15,112.06,108.91,109.99,515,0,0
1519869600,110.01,111.01,107.24,108.30,584,0,0
1519956000,108.66,109.32,107.44,108.98,345,0,0
1520215200,108.75,109.61,107.64,109.13,357,0,0
1520301600,109.15,109.98,107.88,107.89,295,0,0
1520388000,107.89,110.07,107.79,109.68,278,0,0
1520474400,109.67,112.24,108.91,112.10,424,0,0
1520560800,111.90,112.94,110.49,112.28,453,0,0
1520820000,112.75,113.31,111.72,112.71,315,0,0
1520906400,113.41,113.88,112.50,113.40,276,0,0
1520992800,112.97,114.55,112.22,112.61,431,0,0
1521079200,112.64,113.26,111.31,112.30,357,0,0
1521165600,112.08,113.12,111.38,111.90,331,0,0
1521424800,111.91,112.27,109.99,110.50,316,0,0
1521511200,110.30,111.30,109.60,110.05,316,0,0
1521597600,110.48,110.58,108.50,108.87,256,0,0
1521684000,108.58,109.68,107.41,107.47,344,0,0
1521770400,108.35,108.74,105.80,106.45,399,0,0
1522033200,107.93,108.13,106.10,107.57,371,0,0
1522119600,107.91,108.74,106.53,107.50,402,0,0
1522206000,107.39,110.79,107.34,110.79,351,0,0
1522292400,109.17,110.79,108.84,109.23,385,0,0
1522638000,108.43,109.65,106.44,107.77,577,0,0
1522724400,107.31,108.54,106.60,108.21,299,0,0
1522810800,106.68,111.29,106.44,111.29,510,0,0
1522897200,111.46,111.46,109.66,109.75,190,0,0
1522983600,109.82,110.99,108.77,109.39,402,0,0
1523242800,110.72,110.72,108.78,109.36,253,0,0
1523329200,110.87,110.87,108.92,109.30,234,0,0
1523415600,108.32,110.13,108.00,108.84,375,0,0
1523502000,107.58,109.52,107.55,108.16,337,0,0
1523588400,108.15,109.58,108.13,109.26,180,0,0
1523847600,109.50,110.64,108.98,110.06,277,0,0
1523934000,108.37,109.43,107.98,108.83,245,0,0
1524020400,109.38,109.65,106.46,107.11,412,0,0
1524106800,106.89,107.02,105.09,106.53,351,0,0
1524193200,105.57,106.75,101.79,102.14,650,0,0
1524452400,102.43,103.93,101.84,102.65,397,0,0
1524538800,102.96,103.64,100.97,101.53,392,0,0
1524625200,101.70,102.53,100.81,101.35,310,0,0
1524711600,101.60,104.13,100.88,102.17,594,0,0
1524798000,102.65,103.37,101.52,101.79,285,0,0
1525057200,102.36,102.50,100.58,100.97,246,0,0
1525143600,100.60,100.86,98.57,99.36,335,0,0
1525230000,99.83,100.08,97.04,97.60,386,0,0
1525316400,96.50,98.18,96.25,97.58,279,0,0
1525402800,97.59,99.78,97.34,99.09,339,0,0
1525662000,99.71,100.01,98.07,98.12,230,0,0
1525748400,98.59,98.87,96.43,96.74,304,0,0
1525834800,97.43,97.73,95.95,96.11,225,0,0
1525921200,96.65,98.05,96.00,97.24,352,0,0
1526007600,96.91,98.26,96.89,97.42,224,0,0
1526266800,97.73,97.97,96.74,97.10,184,0,0
1526353200,96.95,97.24,96.35,96.60,144,0,0
1526439600,97.11,97.55,96.53,97.19,197,0,0
1526526000,97.36,97.99,96.98,97.85,154,0,0
1526612400,97.69,98.81,97.32,97.60,290,0,0
1526871600,98.26,99.99,97.99,99.59,268,0,0
1526958000,99.98,100.45,99.42,99.75,184,0,0
1527044400,99.87,100.60,99.25,100.34,224,0,0
1527130800,100.85,101.12,99.77,100.28,214,0,0
1527217200,100.76,101.19,99.91,100.43,224,0,0
1527562800,100.97,101.87,99.90,101.24,368,0,0
1527649200,101.06,102.24,101.06,102.04,139,0,0
1527735600,101.48,101.73,99.66,100.37,304,0,0
1527822000,100.69,101.15,99.65,100.37,269,0,0
1528081200,100.79,101.09,100.02,100.14,150,0,0
1528167600,99.93,100.96,99.88,100.35,175,0,0
1528254000,100.40,100.86,99.82,100.76,173,0,0
1528340400,100.82,101.52,100.33,101.22,199,0,0
1528426800,100.79,102.65,100.37,102.65,271,0,0
1528686000,101.79,103.64,101.76,103.35,221,0,0
1528772400,103.17,104.65,102.59,104.60,270,0,0
1528858800,105.30,105.79,104.14,105.26,327,0,0
1528945200,104.47,105.61,104.44,105.16,166,0,0
1529031600,105.38,107.88,104.37,107.68,473,0,0
1529290800,107.15,108.16,104.83,104.94,446,0,0
1529377200,104.55,106.70,103.65,105.88,478,0,0
1529463600,106.33,106.49,105.36,106.48,212,0,0
1529550000,105.61,107.84,105.20,107.41,349,0,0
1529636400,107.58,108.79,106.98,108.34,287,0,0
1529895600,107.15,109.59,106.96,108.94,348,0,0
1529982000,109.07,109.86,107.48,108.17,387,0,0
1530068400,106.90,109.09,106.90,108.67,262,0,0
1530154800,108.10,109.28,107.54,108.84,275,0,0
1530241200,109.91,109.91,107.79,108.92,326,0,0
1530500400,107.51,110.00,107.51,109.56,294,0,0
1530586800,108.19,109.58,108.11,108.84,230,0,0
1530759600,109.56,109.68,108.34,108.78,191,0,0
1530846000,109.11,110.02,108.65,109.50,236,0,0
1531105200,109.62,110.08,106.15,107.30,555,0,0
1531191600,108.40,113.08,106.08,112.49,992,0,0
1531278000,111.94,112.95,111.32,112.51,270,0,0
1531364400,111.96,112.78,110.97,112.22,337,0,0
1531450800,111.04,112.79,110.63,112.65,272,0,0
1531710000,112.03,113.13,111.71,112.78,210,0,0
1531796400,112.13,115.25,112.12,115.25,315,0,0
1531882800,114.19,115.34,113.90,114.88,220,0,0
1531969200,114.05,116.59,114.05,115.76,338,0,0
1532055600,116.62,116.79,114.62,115.92,365,0,0
1532314800,115.00,116.10,113.59,114.17,420,0,0
1532401200,114.92,114.94,113.88,114.54,175,0,0
1532487600,114.91,116.08,114.36,116.03,233,0,0
1532574000,115.28,116.94,114.17,114.42,469,0,0
1532660400,114.97,115.50,114.02,114.17,217,0,0
1532919600,114.08,114.61,113.65,114.16,185,0,0
1533006000,114.80,115.63,113.81,114.83,362,0,0
1533092400,114.29,115.01,113.22,113.61,291,0,0
1533178800,112.38,114.94,112.29,114.71,298,0,0
1533265200,114.82,116.70,114.09,116.21,384,0,0
1533524400,115.40,118.45,115.15,117.47,454,0,0
1533610800,116.70,117.60,113.53,114.27,572,0,0
1533697200,114.04,114.86,113.31,113.45,252,0,0
1533783600,114.27,114.28,113.39,113.69,121,0,0
1533870000,113.77,114.01,112.58,113.10,220,0,0
1534129200,112.99,113.49,112.02,113.17,277,0,0
1534215600,112.96,113.49,111.99,113.11,286,0,0
1534302000,112.38,113.75,112.04,113.51,230,0,0
1534388400,112.34,114.73,112.34,114.20,293,0,0
1534474800,114.95,115.09,113.89,114.89,235,0,0
1534734000,114.83,115.83,113.95,114.81,375,0,0
